,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Vasko's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Дата Туташхиа,"Amirejibi, Chabua",9536371711,,,744        pp,4.56,"1,045",2018,1980,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2023",,Paperback,view,/book/show/11047629
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Алекс        (Камий Верховен, #2)","Lemaitre, Pierre",,9786191503421,,336        pp,4.09,"17,614","Feb 02, 2011",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2022",,Paperback,view,/book/show/23553945
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ще се видим там горе        (Ще се видим там горе, #1)","Lemaitre, Pierre",,9786191505883,,664        pp,4.19,"14,487","Aug 21, 2013","Jun 22, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2022",,Paperback,view,/book/show/25698623
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Приключенията на Оги Марч,"Bellow, Saul",,9786197350371,,624        pp,3.84,"18,126","Sep 18, 1953","Dec 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2022",,Paperback,view,/book/show/43020720
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Кларънс,"Harte, Bret",,,,168        pp,4.50,2,unknown,1984,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2022",,Paperback,view,/book/show/57754164
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why I Write?: The Early Prose from 1945 to 1952,"Hrabal, Bohumil",8024642689,9788024642680,8024642689,300        pp,4.25,8,unknown,"Jan 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2022",,Hardcover,view,/book/show/44319293-why-i-write
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,За щастието на людоедите,"Pennac, Daniel",9549933075,,,224        pp,3.99,"12,855","May 02, 1985",2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2022",,Paperback,view,/book/show/60373590
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Obscene Bird of Night,"Donoso, José",1567920462,9781567920468,1567920462,438        pp,4.18,"3,106",1970,"Jun 30, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2022",,Paperback,view,/book/show/382975.The_Obscene_Bird_of_Night
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,По следите на изгубеното време 1,"Proust, Marcel",,,,467        pp,4.14,"60,148","Nov 14, 1913",1984,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Огромно нещо. Как да го кажа? Своеобразно автобиографична, доколкото касае съзерцанията, внушенията, мечтите на ""разказвача"" ..., и въобще всичко, отрОгромно нещо. Как да го кажа? Своеобразно автобиографична, доколкото касае съзерцанията, внушенията, мечтите на ""разказвача"" ..., и въобще всичко, отразено във възхищението му към красотата. Безкрайни поетични описания и захласвания, към природа, архитектура, музика, към всички форми на изкуството. Пише за времена, в които езикът далеч не е бил достатъчен, за да гарантира комуникацията. Напротив, обноските, жестовете, мимиките, облеклото ..., всичко това е доминирало в изграждането на представата за събеседника, несравнимо по мащаби спрямо днес. На всичко това се отдавало огромно внимание дотолкова, че в много от случаите е ангажирало цялото ежедневие. Огромното влияние на детайлите, нещо което с годините постепенно избледнява, поражда в ""разказвача"" постоянна тъга към това изчезващо време. Съжалявам, че съзерцанието отстъпваше място на подробностите в обноските и потъваше в паяжината на взаимовръзките на героите, а техният свърхпретенциозен темперамент, често пъти бе твръде повърхностен и без никаква плътност и покритие. Хареса ми опитът на Пруст да извади на повърхността скритото във всеки привидно ясен образ, но много бързо се завръщаше към неговото ""привидно"". Пробив липсваше, трансцеденталното остана зад стъклото, само смътно напомня за ""Разходката"" на Валзер или творбите на Хуан Рамон Хименес. Сравнително краткото начало, ""Комбре"", ми даде надежда, че книгата е това, което очаквам. Но от втората и най-обемиста част ""Една любов на Суан"", рязко всичко премина в безкрайни описания на салонни срещи и сагата с обсесията на Суан към Одет. В последната глава отново ""действието"" премина в света на ""разказвача"", за да свърже своята детска любов към Жилберт (дъщерята на Суан и Одит) именно с тази на Суан към Одит. Пренасяне, копиране, интерполиране. Интересна перспектива на една и съща обсесия, съдържаща се по същество в любовта за самата любов, при това заедно с обсесията на автора да подражава на създадения от него идеалистичен образ на Суан. ""Разказвачът"" все едно разказва за човек, който наблюдава през ключалката жена, в която е влюбен, докато в същото време представя себе си на читателя как гледа през ключалка друга въображаема любов. Майко мила, тегава работа. Докато четях имах усещането, че се уча да плета на една кука. А сещате ли се какво е това, ето, да се подсетите: https://images.squarespace-cdn.com/co... Стилът напомня на дневник, а текстът изобилства от безкрайни изречения, ювелирни плетеници от пищен изказ и поетични метафори. Обемът на този чутовен писателски труд напомня този на Томас Улф. Личи същата обсесия и желанието да сътвори и пресъздаде ""жив списък"" на всичко по някакъв начин вдъхновявало автора.Литературно фигурно пързаляне върху лед от обноски и преструвки, под който прозират намеренията, помислите и фактическите черти на характера на героите.Наративът изобилства с огромна доза въобразяване на случващото се. Описанията са допълвани и разширявани с мнението и представата на ""разказвача"", което определено преминава във фикция - фантастично разтягане на всеки образ и впечатление. Съмърсет Моъм е казал, че тази творба на Пруст е ""greatest fiction to date"". Може би именно това ""разтягане на образите"" и вторачване в детайлите, днес може да се открие в стила на Мураками. Обсесивно вторачване в образите, мното японско ми звучи. Вероятно параметрите на въобразяването се обуславят и от здравословното състояние на Пруст. Създават впечатление, което не е далече от истината, че авторът е прекарал голяма част от живота си обездвижен. Самият той споменава на няколко пъти, че е бил принуден да извлича от мига повече, отколкото му предоставя случая. Оттам вероятно идва и огромното внимание, което авторът отделя върху наблюдението и взирането - по начин, по който всичко е обект на съзерцание, а по-късно и на пресъздаване, един вид единствен възможен живот и игра. Амин.Опа, сега се сетих, че произведението на Пруст е нямало да види ""бял свят"", ако самият той не е финансирал издаването на първата част. Донякъде това е разбираемо, защото трудно се възприема формат, който е бил твърде различен от това, което средностатистическият читател си е представял ""за четене"". И тук отново инстинктивно правя алюзия с трудстостите, които е имал Томас Улф с неговите планини от чернови. Стига толкова, вече амин!...more",Notes are private!,0,6,1,"Jan 07, 2022","Jan 28, 2022","Jan 07, 2022",,Hardcover,view (with text),/book/show/16078346-1
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jailbird,"Vonnegut, Kurt, Jr.",0385333900,9780385333900,0385333900,310        pp,3.83,"24,541",1979,"Jan 12, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,49JailbirdДа се хвана за заглавието. Ей така. Вонегът никога не би кръстил книгата си ""Затворникът"" и макар преводът да е коректен, е някък неподход3,49JailbirdДа се хвана за заглавието. Ей така. Вонегът никога не би кръстил книгата си ""Затворникът"" и макар преводът да е коректен, е някък неподходящ, липсва ""птичката"". Руското заглавие ""Рецидивистът"", отново звучи гадно. ""Пандизчията"" пък, също би било толкова точно, но отново, ама хич не става. Сякаш испанското и по-неточно ""Птица в клетка"" (или ""Птичка в кафез"") е по-подходящото. Сещам се, че Гюнтер Грас е дал напътствия на нашата преводачка Надя Фурнаджиева да превежда книгата му по звучност и темпоритъм, добре звучи.Отново пъстра мозайка от истории, което този път малко ме умори, но Вонегът си е Вонегът. Няма какво да преразказвам. Имаше една постоянна заигравка и иронично напомняне, че дипломите не правят хората по-човечни и мъдри. Интересна беше историята за ""Сако и Ванцети"", както и корелацията между: ""триумвиратът"", който е трябвало да реши донякъде съдбата на двамата осъдени, и Пилат Понтийски. Споменатият ""триумвират"" се е състоял от ректора на Харвард: А. Лорънс Лоуел, ректорът на Масачузетският технологичен институт: Самюъл Уесли Стратън, и Робърт Грант (юрист и писател) . Тримата са избрани да представляват сформирания от губернатора на Масачузетс (под натиска на обществените протести в защита на обвиняемите, впрочем и част от световната интелигенция тогава, сред които е Айнщайн - https://en.wikipedia.org/wiki/Sacco_a...) ""Консултативен съвет"", който е трябвало да вземе решение относно апела за помилване на двамата осъдени на смърт - https://en.wikipedia.org/wiki/Sacco_a...Изкушавам се да кажа, че Вонегът мачка героите си като пластелин, постоянно ги трансформира и променя. Възход и падение, богатство и отново ""зануляване"" - техният статут никога не е постоянна величина, като някакво напомняне, че в крайна сметка ние нищо вечно не притежаваме. А съдбата често пъти е в ръцете на произвола на ""мъдреци"" със съмнителни качества.Главният герой в романа Уолтър Ф. Старбък, е неволен и треторазряден участник в случая Уотъргейт. Разбира се, ""малкият човек"" винаги е бил лесна и удобна мишена, винаги той понася последствията, причинени от ""големите риби"". Е, тук има и фантастични обрати, но като цяло ""малкият човек"" си остава в състояние на ""птичка в кафез""....more",Notes are private!,0,2,1,"Jan 07, 2022","Jan 18, 2022","Jan 07, 2022",,Paperback,view (with text),/book/show/4987.Jailbird
