,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mari's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La libraia tascabile,"Di Canio, Cristina",8809977211,9788809977211,B0B21CFJHB,240        pp,3.91,165,2022,"Jul 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 03, 2023","Jun 07, 2023","Jun 09, 2023",,Kindle Edition,view,/book/show/61153441-la-libraia-tascabile
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ELP,"Manzini, Antonio",8838945497,9788838945496,8838945497,536        pp,4.12,"1,202","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/156732916-elp
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dark Lands,", unknown",1784294411,9781784294410,1784294411,0        pp,3.67,3,unknown,"Jan 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/136348315-the-dark-lands
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madre d'ossa,"Tuti, Ilaria",8830448761,9788830448766,,384        pp,3.84,857,"Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/151979217-madre-d-ossa
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una sera tra amici a Jinbōchō,"Yagisawa, Satoshi",8807035421,9788807035425,8807035421,176        pp,3.78,"2,669","Dec 06, 2011","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/128270740-una-sera-tra-amici-a-jinb-ch
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il cielo sopra la mia testa,"Guillain, Charlotte*",8851165513,9788851165512,8851165513,0        pp,4.46,89,unknown,"Nov 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Loose Leaf,view,/book/show/102884029-il-cielo-sopra-la-mia-testa
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maid,"Prose, Nita*",0008435766,9780008435769,0008435766,352        pp,3.78,"539,001","Jan 04, 2022","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/67352961-the-maid
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Customs,"Sharif, Solmaz",1526655292,9781526655295,B0BHNRWDDL,113        pp,4.22,965,"Mar 01, 2022","May 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Kindle Edition,view,/book/show/74407810-customs
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La guerra dei Courtney,"Smith, Wilbur",8869053792,9788869053795,8869053792,535        pp,4.26,"3,380",2018,"Jan 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/43245713-la-guerra-dei-courtney
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pietr il Lettone,"Simenon, Georges",8845971163,9788845971167,,125        pp,3.47,"8,367",1930,"Jan 20, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,ebook,view,/book/show/13421658-pietr-il-lettone
