,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kasia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stress Free for Good: 10 Scientifically Proven Life Skills for Health and Happiness,"Luskin, Fred",0060832991,9780060832995,0060832991,223        pp,3.71,150,"Feb 01, 2004","Dec 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/679016.Stress_Free_for_Good
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forgive for Good: A Proven Prescription for Health and Happiness,"Luskin, Fred",0062517201,9780062517203,0062517201,240        pp,4.05,"1,031","Dec 24, 2001","Dec 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/1459610.Forgive_for_Good
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Two Vows and a Viscount        (The Seduction Book 2),"James, Eloisa*",,,B0CLZ1LCHL,218        pp,4.13,783,"Dec 19, 2023","Dec 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/200850134-two-vows-and-a-viscount
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Two Dances and a Duke        (The Seduction Book 1),"James, Eloisa*",,,B0CLZ239M5,138        pp,4.03,"1,009","Dec 19, 2023","Dec 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/200838129-two-dances-and-a-duke
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter,"French, Tana*",,9780241684306,0241684307,406        pp,4.23,"10,506","Mar 05, 2024","Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/209245111-the-hunter
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.23,"10,506","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/174156145-the-hunter
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mad Earl's Bride        (Scoundrels, #3.5)","Chase, Loretta",0062276999,9780062276995,0062276999,100        pp,3.81,"2,950",1995,"Jun 04, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 21, 2024","Jan 21, 2024",,Unknown Binding,view,/book/show/17132895-the-mad-earl-s-bride
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Viscount Vagabond,"Chase, Loretta",0380708361,9780380708369,0380708361,228        pp,3.57,"1,899",1988,"Jan 01, 1990",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Paperback,view,/book/show/805384.Viscount_Vagabond
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Scandal Wears Satin        (The Dressmakers, #2)","Chase, Loretta",0062100319,9780062100313,0062100319,372        pp,3.93,"7,384","Jun 26, 2012","Jun 26, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 20, 2024",,Mass Market Paperback,view,/book/show/12925825-scandal-wears-satin
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Duke in Shining Armor        (Difficult Dukes, #1)","Chase, Loretta",0062457381,9780062457387,0062457381,388        pp,3.77,"5,955","Nov 28, 2017","Nov 28, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Mass Market Paperback,view,/book/show/34217551-a-duke-in-shining-armor
