,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,NerwSlowa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afryka to nie państwo,"Faloyin, Dipo",8308083625,9788308083628,8308083625,400        pp,4.44,"4,807","Apr 07, 2022","Feb 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Paperback,view,/book/show/204797258-afryka-to-nie-pa-stwo
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Szary płaszcz        (Drużyna do zadań specjalnych, #5)","Mortka, Marcin",8383305656,9788383305653,8383305656,512        pp,4.26,133,"Mar 13, 2024","Mar 13, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kolejna książka ostatnio, której zupełnie nie umiem ocenić, mimo że była na tyle okej, że spędziłam przy niej parę wieczorów.Z jednej strony mamy tu tKolejna książka ostatnio, której zupełnie nie umiem ocenić, mimo że była na tyle okej, że spędziłam przy niej parę wieczorów.Z jednej strony mamy tu to, co w sadze o Kociołku lubimy najbardziej - trochę dowcipu, walkę ze Złym, bohaterskie czyny, drużynowe interakcje i historie, męstwo, braterstwo, dbanie o siebie nawzajem i szczyptę wyśmienitych kulinariów. Postacie, które do tej pory były raczej nieme (tak, Sara, na Ciebie patrzę), tutaj W KOŃCU dostają własny głos i coś do powiedzenia, i wszystkim wychodzi to tylko na dobre, że zamiast rekwizytu powoli stają się osobą.Z drugiej jest tu po prostu więcej tego samego, ze wszystkimi tego zaletami i wadami. Bohaterowie idą w miejsca, ale nie do końca wiadomo, po co, robią w tychże miejscach bohaterskie, wspaniałe czyny, ale z opresji najczęściej ratuje ich czysty przypadek, połowę czasu nie rozumieją, co się dzieje, by potem w jednym momencie doznać olśnienia (najczęściej oczywiście od zupełnie przypadkowo spotkanej osoby). Dużo tu walk ze Złymi potworami, dużo fajnych odzywek, dużo akcji... ale czy to wystarcza, żeby powiedzieć coś nowego?Bardzo lubię serię o Kociołku i każdą część w Legimi witam z uśmiechem na twarzy, a potem z radością poświęcam jej kilka kolejnych wieczorów. Widać, źe Mortka wyrósł na wspaniałej, porządnej fantastyce, i że choć trudno byłoby mu zbudować tak wspaniały świat, jak jego Mistrzom (do których, podejrzewam, zalicza Pratchetta), to robi, co może, by stworzyć coś angażującego czytelnika i pozwalającego oderwać się od codzienności. To wychodzi znakomicie, zwłaszcza że Autor słucha uważnie głosów swoich czytelników i jest w stanie przyjąć na klatę, że w XXI wieku napisanie żony głównego bohatera jako pięknej, rudowłosej, wiecznie spragnionej namiętnego seksu, ale też świetnie gotującej i zajmującej się wspólnymi dziećmi kobiety li tylko czekającej na kolejne wieści od męża i niemającej poza tym żadnych innych cech osobowości (nawet jeśli usilnie próbuje się przekonać czytelnika, że jest inaczej) jest nieco passe. Jednocześnie mam wrażenie, że Autor przez większość czasu nie do końca ma jakikolwiek pomysł na zagospodarowanie wększości kobiecych bohaterek - teściowa Kociołka jest religijna i pochłonięta romansem, Sara jest dobrą gospodynią głównie stającą się bierną świadkinią wydarzeń, nadal stawiającą się w swoistej kontrze do męża oraz do ojca. Najlepiej wypada tu Salia, której opisom towarzyszy jednak pewna naiwność i upodobanie do opisywania dzieci jako o wiele doroślejszych, niż rzeczywiście są.W tym tomie Autor spróbował także rozwijać wątki terapeutyczne, tzn. rozliczania się z własną rodziną i konfrontowania członków rodziny z tym, co rzeczywiście robili, a nie to, co im się wydaje, że się działo. I o ile osobiści jestem za pisaniem i mówieniem wszędzie, jak dobra, naukowa terapia może przyczynić się do naszego dobrostanu psychicznego, również w sposób pośredni, o tyle tutaj ciągle zadawałam sobie pytanie, czy pozwalanie toksycznemu narcyzowi na przebywanie w naszym domu tak długo, jak będzie potrzebował, gdy są w nim również nasze dzieci, jest właściwe (nawet jeśli obwaruje się to przesłankami typu mycie przez narcyza garów). Jednocześnie jednak jest tu mnóstwo wspaniałego absurdu, akcji, przygody. Członkowie drużyny, mimo że dostają mało czasu antenowego, są wyraźni i konkretnie opisani, a sceny akcji z ich udziałem przekraczają kolejne granice wyobraźni. Mam jednak wrażenie, że połączenia między niektórymi wydarzeniami bywają pozorne, a przy kolejnym ratunku z opresji następującym przypadkiem i w ostatniej chwili nieco już przewracałam oczami.Przeczytam każdą kolejną część, będę się z niej cieszyć i ją polecać - to, jak Mortka panuje nad tempem powieści, a także jej wątkami, jest bowiem z kolei absolutnie wspaniałe. Autor wie, kiedy zwolnić i kazać drużynie pałaszować cebulową z grzankami, a kiedy wrzucać ją w chaos kolejnej bitwy. To sprawia z kolei, że na długi, męczący tydzień pełen wrażeń saga o Kociołku jest książką idealną - bo jest w stanie tak mocno nas wciągnąć, że zapomnimy o wszystkim innym. Jednocześnie jednak muszę zauważyć, że literacko nie zawsze jest to najwyższy poziom tworzenia historii, i że jeśli chcemy dostać fantastykę, która poza akcją i fabułą dostarcza nam także materiał do większych przemyśleń (bez sarkania na to, jaka żona głównego bohatera jest piękna i chętna), to powinniśmy raczej sięgnąć np. po doskonałą T. Kingfisher. Przy czym to nie jest typowa wada, bo i takie książki są potrzebne: lekkie, wciągające, nieprzytłaczające, zostawiające nas z uczuciem spełnienia. Będę czyta każdą kolejną część i mam nadzieję, że następna pojawi się już niedługo....more",Notes are private!,0,0,1,Apr 2024,"Apr 07, 2024","Apr 01, 2024",,Paperback,view (with text),/book/show/209078828-szary-p-aszcz
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Koniec,"Hermanowicz, Marta",8367515706,9788367515702,8367515706,336        pp,3.80,35,"Mar 18, 2024","Mar 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Apr 01, 2024",,Paperback,view,/book/show/200347060-koniec
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cierń,"Kingfisher, T.",8383303963,9788383303963,8383303963,0        pp,4.03,"22,030","Aug 15, 2023","Mar 27, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Króciutka powieść mojej chyba ulubionej autorki fantastycznej, laureatki Nagrody Hugo (za fenomenalną, przetwarzającą znane baśnie i motywy ""Pokrzywę Króciutka powieść mojej chyba ulubionej autorki fantastycznej, laureatki Nagrody Hugo (za fenomenalną, przetwarzającą znane baśnie i motywy ""Pokrzywę i kość"") pojawiła się w Legimi zupełnie niespodziewanie, ale - zgodnie z oczekiwaniami - okazała się niezwykle przyjemną, pomysłową lekturą.Podoba mi się to, co Kingfisher uczyniła swoim znakiem rozpoznawczym, czyli branie powszechnie znanych motywów (piękna księżniczka w wieży, złośliwa wróżka chrzestna) i obracanie ich w zupełnie inną stronę niż ta, do której jesteśmy przyzwyczajeni znanymi baśniami. Dużo tu wyobraźni, dużo tu kontestowania, dużo radości z opowieści i zaskakująco dużo pola do namysłu - bo może to nie piękno stanowi o tym, czy ktoś jest dobry i warty, może nie każdy rycerz musi na oślep zabijać każde stworzenie, które znajdzie się obok jego miecza, może magii nie należy rozkazywać, tylko ją poprosić. Bardzo lubię brać te opowieści i zastanawiać się nad tym, co one mówią o baśniach w ogóle, ale też o macierzyństwie, o granicach miłości (która może nie zawsze powinna być bezwarunkowa), o opiece, o losie, poczuciu obowiązku i winy oraz o godzeniu się z nim (lub nie).Bardzo, bardzo polecam....more",Notes are private!,0,0,1,"Mar 30, 2024",Apr 2024,"Apr 01, 2024",,ebook,view (with text),/book/show/209343406-cier
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kaczki. Dwa lata na piaskach,"Beaton, Kate",8367360605,9788367360609,8367360605,436        pp,4.42,"26,364","Sep 13, 2022","Jan 20, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Komiks wybitny i totalny - niby intymny, pojedynczy, autobiograficzny, a tak naprawdę poruszający ogrom problemów, kapitalizm, patriarchat, kwestię wpKomiks wybitny i totalny - niby intymny, pojedynczy, autobiograficzny, a tak naprawdę poruszający ogrom problemów, kapitalizm, patriarchat, kwestię wpływu okoliczności na przemocowe zachowania, nierówności, systemowy seksizm (bo ""Hej, laleczko"" to nie jest miłe zagajenie rozmowy) i uwięzienie w systemie i wyborach, które to nie my podjęliśmy. Co ma zrobić osoba mająca dwadzieścia lat, której całe życie mówiono, że może albo mieć dom, albo pracę? I że praca jest tylko daleko, na drugim końcu kraju (i świata)? Co może zrobić, mając ogromny kredyt studencki, którego nie jest w stanie spłacać? I w jakim stopniu wybory podjęte w takiej sytuacji są świadomą decyzją, a nie rezultatem systemowego zmuszenia? A co, gdy ta osoba ma skończone tylko osiem lat podstawówki, a w drodze drugie dziecko?Dużo tu o mężczyznach i o wpływie środowiska na zachowanie (i proporcji 50 mężczyzn na 1 kobietę w środowisku pracy). Dużo też o tym, jak i kobiety, i mężczyźni są uwięzieni i eksploatowani przez system, kapitalizm, wielkie korporacje, i jak bardzo właściwie nie mają możliwości pójścia w żadną inną stronę. Dużo o tym, jak mężczyźni potrafią być przemocowi, a jak kobiety uwięzione (bo jeśli coś zgłoszą, to i tak opinia będzie o nich, że to one się ""puszczają""), i dużo też uwag (co rzadkie!), jak bardzo mężczyźni też są w tym wszystkim uwięzieni.Na okładce autorka doskonałych (również autobiograficznych!) komiksów pisze, że ""W Kaczkach Beaton nie mówi nam, w jakim stopniu kapitalizm drenuje, wykorzystuje, komercjalizuje i alienuje. Ani tego nie pokazuje. Odtwarza życie w kopalni w najdrobniejszych szczegółach i pozwala nam samodzielnie wyciągnąć wnioski - tak, jak sama musiała to zrobić, gdy pojawiła się tam w wieku dwudziestu jeden lat. Efekt jest porażający"" =- i jest to moim zdaniem najtrafniejsze podsumowanie ""Kaczek"". Jest to niby intymna, zwyczajna historia Autorki, która jako bardzo młoda osoba po licencjacie pojechała do kopalni po drugiej stronie Kanady, by tam pracować w ""narzędziowni"". Nie ma tu wielkich słów ani wątków, nie ma fajerwerków, nie ma Wielce Poważnych Uwag O Byciu Intelektualistą Wrażliwym Na Krzywdę. Przez to jednak całość robi się jeszcze bardziej wymowna - bo wszystkie te rzeczy to coś, co sami mogliśmy przeżyć, co mogliśmy usłyszeć, jak wygląda (czy wyglądał?) świat. Dla mnie jest to absolutnie porażające. Fenomenalne doświadczenie.Nie rozumiem, dlaczego Aga Zano nie tłumaczyła też Sandmana, i nie rozumiem, dlaczego nie dostaje wszystkich nagród świata - powinna!...more",Notes are private!,0,1,1,"Mar 29, 2024","Mar 29, 2024","Mar 29, 2024",,Paperback,view (with text),/book/show/205099207-kaczki-dwa-lata-na-piaskach
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wściekłe suki,"de la Cerda, Dahlia",8396811393,9788396811394,8396811393,184        pp,4.31,"2,718",2019,"Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Paperback,view,/book/show/203993169-w-ciek-e-suki
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Коротка історія українського борщу,"Kuznetsova, Eugenia",6177818587,9786177818587,6177818587,72        pp,4.62,247,unknown,"Jul 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Najwspanialszy komiks od dawna - z pytaniem o to, co tworzy dom, dzieciństwo, ten Jeden Właściwy Smak, i pokazujący wszystkie zawiłości, jakie z tym sNajwspanialszy komiks od dawna - z pytaniem o to, co tworzy dom, dzieciństwo, ten Jeden Właściwy Smak, i pokazujący wszystkie zawiłości, jakie z tym się wiążą. Pięknie narysowany, świetnie napisany (do tego za moment wrócę) i genialnie przetłumaczony na polski przez Macieja Piotrowskiego, wykazującego się tutaj idealnym idiomatycznym słuchem i umiejętnościami przeniesienia - jak podejrzewam - specyficznych slangowych wyrażeń na nasze tak, by brzmiały prawdziwie. (Naprawdę, żałuję, że pan Piotrowski nie tłumaczył np. Sandmana - mam wrażenie, że dobrze by to tej historii zrobiło).Ten krótki komiks jest zaskakująco złożony i wielowarstwowy (zwłaszcza jak na tak cieniutki tomik!). Ton całej opowieści wydawał mi się jednak dość znajomy... po czym zorientowałam się, że ""Jewhenia Kuzniecowa"" to ta sama autorka co ""Eugenia Kuzniecowa"" od doskonałych ""Nim dojrzeją maliny"" i niedawno czytanej przeze mnie równie dobrej ""Drabiny"". Zupełnie nie znam się na transliteracji i transkrybowaniu nazwisk i nazw własnych z cyrylicy, natomiast jako konsumentce i czytelniczce zabieg wydawnictwa wydaje mi się dość od czapy, zwłaszcza że ""Eugenię"" czyta i poleca mnóstwo ludzi, którzy prawdopodobnie chętnie sięgnęliby też po komiks swojej ulubionej autorki, a teraz nie każdy znajdzie w sobie tyle dociekliwości, by dowiadywać się, czy Jewhenia to Eugenia. Szkoda.Bierzcie i czytajcie z tego wszyscy, albowiem jest to Wspaniała Proza....more",Notes are private!,0,0,1,"Mar 18, 2024","Mar 18, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/193748427
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glukozowa rewolucja,"Inchauspe, Jessie",8367674308,9788367674300,8367674308,352        pp,4.45,"25,213","Jan 10, 2022","May 17, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nie wiem, co o tym myśleć. Najpierw napisałam długi post o tym, jak dobra jest to książka, bo rzeczywiście pierwsze dwie części w fajny, konkretny spoNie wiem, co o tym myśleć. Najpierw napisałam długi post o tym, jak dobra jest to książka, bo rzeczywiście pierwsze dwie części w fajny, konkretny sposób tłumaczą, jak właściwie działają nasz organizm, energia, mitochondria, kalorie, glukoza i inne cukry. Dorzuciłam też sporo o powabie pseudonauki i o tym, jak łatwo się na nią nabrać, zwłaszcza gdy jesteśmy sfrustrowani kolejnym niepowodzeniem dietetycznym albo lekarzem, który olewa niepokojące nas objawy, bo ""taka pani uroda"" i ""jeszcze się wyrówna"" (które to objawy oczywiście u kolejnego lekarza okazują się poważne i wcale nie do olania). Obrazowe metafory, lekki, prosty język i ogólny sens zgodny z wiedzą naukową (tzn. skoki cukru wywoływane przez współczesną, często wysoko przetworzoną dietę, są szkodliwe dla naszego organizmu) sprawiły, że mocno się wciągnęłam i że przeczytałam tę książkę w dwa wieczory, opowiadając o niej z entuzjazmem wszystkim znajomym.Potem zaczęłam jednak analizować część trzecią, w której Autorka daje konkretne wskazówki dot. sposobu odżywiania się, z których co najmniej część rzeczywiście jest uzasadniona badaniami naukowymi (np. ruszanie się zaraz po posiłku może być korzystne dla naszego poziomu cukru), a na części ""się nie znam"", nawet jeśli picie rozcieńczonego octu przed posiłkiem nawet dla mnie brzmiało podejrzanie. I, niestety, stało się to, co zazwyczaj w przypadku książek ""popularnonaukowych"" - również ta w większej części okazała się szurią. Jasne, świetnie, gdy jemy więcej warzyw, ograniczamy słodkie, gdy ruszamy się po posiłku, ale po pierwsze nie jest to nic nowego, a po drugie te stare, sprawdzane i udowadniane od lat fakty są przetykane (i stawiane na równi z!) opiniami bazowanymi na badaniach.. mających 8 osób, czyli zdecydowanie niereprezentatywnymi. Niestety, praktycznie zawsze, gdy ktoś oferuje nam prostą odpowiedź, okazuje się ona złudzeniem. Tak jest też w tym przypadku - bo nawet jeśli ktoś uczy nas krytyki i analizy logicznej, to jesteśmy tylko ludźmi z własnymi emocjami i lękami. Niedobrze jest też, że ktoś tę książkę wydaje w takiej formie (zwłaszcza że jakieś 80% z niej jest naprawdę okej i ma solidne podstawy naukowe), niedobrze jest, że ludzie ją czytają i że sobie polecają. Ja usłyszałam od niej od osoby z doktoratem - i niestety, obie dałyśmy się nabrać. Cóż, bywa i tak. ...more",Notes are private!,0,2,1,"Mar 20, 2024","Mar 22, 2024","Mar 20, 2024",,Hardcover,view (with text),/book/show/180132137-glukozowa-rewolucja
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kapelusz prezydenta,"Laurain, Antoine",,9788367029858,,unknown,3.95,"7,399",Jan 2012,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024",not set,"Mar 18, 2024",,Paperback,view,/book/show/62807613-kapelusz-prezydenta
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zwykłe ludzkie ułomności,"Nolan, Megan",8396995028,9788396995025,8396995028,272        pp,3.83,"3,629","Jun 15, 2023","Feb 28, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nolan wspaniale flirtuje z poetyką thrillera, by tak naprawdę zaserwować nam opowieść o rodzinie, równie nieszczęśliwej, jak wiele innych, ale za słabNolan wspaniale flirtuje z poetyką thrillera, by tak naprawdę zaserwować nam opowieść o rodzinie, równie nieszczęśliwej, jak wiele innych, ale za słabo, by kogoś naprawdę zainteresować. A także o dziedziczeniu traum, samotności w doświadczeniu, które przypada tysiącom innych ludzi, nieumiejętności emocjonalnego otwarcia się i jego tragicznych skutkach, zaniedbaniu i braku sprzeciwu wobec tragedii życia. Kocham prozę pisaną przez pretensjonalne intelektualistki, i podtrzymuję swoją tegoroczną decyzję, by Dzień Kobiet świętować lekturą takiej właśnie prozy. Doskonała, świetnie zbudowana, czuła, ale nieprzeszarżowana historia pokazująca ogromny warsztat literacki i talent obserwacyjny Autorki. Bardzo, bardzo polecam....more",Notes are private!,0,1,1,"Mar 17, 2024","Mar 17, 2024","Mar 17, 2024",,Paperback,view (with text),/book/show/205093922-zwyk-e-ludzkie-u-omno-ci
