,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Christopher's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Annihilation        (Southern Reach, #1)","VanderMeer, Jeff*",0374104093,9780374104092,0374104093,195        pp,3.77,"232,200","Feb 04, 2014","Feb 04, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2023","Mar 12, 2023","Mar 12, 2023",,Paperback,view,/book/show/17934530-annihilation
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hungry Ghosts,"Hosein, Kevin Jared*",0063213389,9780063213388,0063213389,336        pp,3.86,"1,705","Feb 07, 2023","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2023","Mar 12, 2023","Mar 12, 2023",,Hardcover,view,/book/show/61109596-hungry-ghosts
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hild        (The Hild Sequence, #1)","Griffith, Nicola*",0374280878,9780374280871,0374280878,546        pp,3.83,"11,365","Jan 01, 2013","Nov 12, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 03, 2023","Feb 12, 2023","Feb 03, 2023",,Hardcover,view,/book/show/17332243-hild
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devil House,"Darnielle, John*",0374212236,9780374212230,0374212236,416        pp,3.23,"13,675","Jan 25, 2022","Jan 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 08, 2023","Jan 08, 2023","Jan 08, 2023",,Hardcover,view,/book/show/57693663-devil-house
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Did You Ever Have a Family,"Clegg, Bill",1476798184,9781476798189,1476798184,320        pp,3.79,"27,394","Sep 01, 2015","May 17, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2023",,Paperback,view,/book/show/27877148-did-you-ever-have-a-family
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Left Hand of Darkness,"Le Guin, Ursula K.",,,,304        pp,4.10,"181,960",1969,"Jul 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2022",,Paperback,view,/book/show/18423.The_Left_Hand_of_Darkness
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Days: A Memoir of Faith, Desire and Freedom","Millar, Ali",1529109523,9781529109528,1529109523,388        pp,4.17,526,Jul 2022,"Jul 14, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Aug 07, 2022","Aug 07, 2022","Aug 07, 2022",,Hardcover,view,/book/show/59350161-the-last-days
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wall of Storms        (The Dandelion Dynasty, #2)","Liu, Ken*",1481424319,9781481424318,1481424319,858        pp,4.35,"6,698","Oct 04, 2016","Jul 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2022",not set,"Apr 11, 2022",,Paperback,view,/book/show/32919660-the-wall-of-storms
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,965","Jan 25, 2022","Jan 25, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2022","Apr 06, 2022","Apr 06, 2022",,Hardcover,view,/book/show/57773248-notes-on-an-execution
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half a Lifelong Romance,"Chang, Eileen",0307387542,9780307387547,0307387542,379        pp,4.06,"1,770",1948,"Mar 08, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2022","Apr 06, 2022","Apr 06, 2022",,Paperback,view,/book/show/25937741-half-a-lifelong-romance
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ocean at the End of the Lane,"Gaiman, Neil*",0062255657,9780062255655,0062255657,181        pp,4.02,"617,998","Jun 18, 2013","Jun 18, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 20, 2022","Mar 20, 2022","Mar 20, 2022",,Hardcover,view,/book/show/15783514-the-ocean-at-the-end-of-the-lane
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving the Witness: Exiting a Religion and Finding a Life,"Scorah, Amber*",0735222541,9780735222540,0735222541,288        pp,3.81,"4,694","Jun 04, 2019","Jun 04, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2022","Mar 20, 2022","Mar 17, 2022",,Hardcover,view,/book/show/42506310-leaving-the-witness
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"East of West, Vol. 2: We Are All One","Hickman, Jonathan",1607068559,9781607068556,1607068559,144        pp,4.07,"7,754","Apr 09, 2014","Apr 09, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2022","Mar 17, 2022","Mar 17, 2022",,Paperback,view,/book/show/18809235-east-of-west-vol-2
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"East of West, Vol. 1: The Promise","Hickman, Jonathan",1607067706,9781607067702,1607067706,152        pp,3.91,"15,965",2013,"Sep 11, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 17, 2022","Mar 17, 2022","Mar 17, 2022",,Paperback,view,/book/show/17929637-east-of-west-vol-1
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alien Virus Love Disaster,"Otis, Abbey Mei",1618731491,9781618731494,1618731491,224        pp,3.84,352,"Aug 14, 2018","Aug 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2022",,Paperback,view,/book/show/36490478-alien-virus-love-disaster
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Song of Flight        (Warrior Bards, #3)","Marillier, Juliet*",045149282X,9780451492821,045149282X,446        pp,4.24,"1,759","Sep 21, 2021","Sep 21, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2022","Jan 19, 2022","Jan 16, 2022",,Paperback,view,/book/show/56293182-a-song-of-flight
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Autumn Bones        (Agent of Hel, #2)","Carey, Jacqueline*",1101626526,,B00C5R71VM,368        pp,3.84,"5,668","Oct 01, 2013","Oct 01, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 13, 2022","Jan 25, 2022","Jan 13, 2022",,Kindle Edition,view,/book/show/17340100-autumn-bones
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burning Girls and Other Stories,"Schanoes, Veronica",1250781507,9781250781505,1250781507,336        pp,3.90,641,"Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2022",,Hardcover,view,/book/show/53205891-burning-girls-and-other-stories
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"White Tiger        (Dark Heavens, #1)","Chan, Kylie*",0732282969,9780732282967,0732282969,546        pp,3.87,"4,519","Jul 24, 2006","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2022",,Mass Market Paperback,view,/book/show/1644692.White_Tiger
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ilario: The Lion's Eye        (First History #1),"Gentle, Mary",0575076607,9780575076600,0575076607,672        pp,3.48,321,"Jun 26, 2007","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2022",,Paperback,view,/book/show/986598.Ilario
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hidden Stars        (Rune of Unmaking #1),"Howard, Madeline",0060575875,9780060575878,0060575875,424        pp,3.67,217,"Oct 01, 2004",Oct 2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2022",,Mass Market Paperback,view,/book/show/1124962.The_Hidden_Stars
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Currents        (Agent of Hel, #1)","Carey, Jacqueline*",0451464788,9780451464781,0451464788,356        pp,3.79,"8,947","Oct 02, 2012","Oct 02, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 08, 2022","Jan 09, 2022","Jan 08, 2022",,Hardcover,view,/book/show/13507967-dark-currents
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Office of Historical Corrections,"Evans, Danielle*",,9781594487330,1594487332,269        pp,4.19,"32,434","Nov 10, 2020","Nov 10, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2022","Jan 08, 2022","Jan 04, 2022",,Hardcover,view,/book/show/51777605-the-office-of-historical-corrections
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Children of Time        (Children of Time, #1)","Tchaikovsky, Adrian*",1447273281,9781447273288,1447273281,608        pp,4.30,"124,335",2015,"Jun 04, 2015",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2022,Jan 2022,"Jan 01, 2022",,Hardcover,view,/book/show/25499718-children-of-time
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Ivy,"Yang, Susie*",,,,354        pp,3.56,"31,945","Nov 03, 2020","Nov 03, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 21, 2021","Dec 21, 2021","Dec 21, 2021",,Hardcover,view,/book/show/50892388-white-ivy
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hex,"Olde Heuvelt, Thomas*",1250780934,9781250780935,1250780934,384        pp,3.73,"37,357","Apr 17, 2013","Sep 21, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 15, 2021","Dec 15, 2021","Dec 15, 2021",,Paperback,view,/book/show/56179364-hex
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Paladin of Souls        (World of the Five Gods, #2)","Bujold, Lois McMaster*",0380818612,9780380818617,0380818612,470        pp,4.18,"25,173","Sep 23, 2003","Apr 26, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 14, 2021","Nov 21, 2021","Nov 14, 2021",,Paperback,view,/book/show/61904.Paladin_of_Souls
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kushiel's Mercy        (Imriel's Trilogy, #3)","Carey, Jacqueline*",044661016X,9780446610162,044661016X,796        pp,4.33,"17,719","May 31, 2008","Jun 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Oct 20, 2021","Oct 28, 2021","Oct 20, 2021",,Mass Market Paperback,view,/book/show/6060614-kushiel-s-mercy
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kushiel's Justice        (Imriel's Trilogy, #2)","Carey, Jacqueline*",0446500038,9780446500036,0446500038,703        pp,4.27,"19,271","Jan 01, 2007","Jun 14, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 14, 2021","Oct 14, 2021","Oct 15, 2021",,Hardcover,view,/book/show/40217.Kushiel_s_Justice
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sympathizer        (The Sympathizer, #1)","Nguyen, Viet Thanh*",0802123457,9780802123459,0802123457,371        pp,4.01,"113,602","Apr 02, 2015","Apr 07, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Oct 2021,Oct 2021,"Oct 15, 2021",,Hardcover,view,/book/show/23168277-the-sympathizer
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Plane in the Sky: An Oral History of 9/11,"Graff, Garrett M.*",,,B07QGGSS3S,16        pp,4.72,"34,951","Sep 10, 2019","Sep 10, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 21, 2021","Sep 21, 2021","Oct 15, 2021",,Audiobook,view,/book/show/43821581-the-only-plane-in-the-sky
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lord of Chaos        (The Wheel of Time, #6)","Jordan, Robert",0812513754,9780812513752,,"1,011        pp",4.18,"175,328","Oct 15, 1994","Nov 15, 1995",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Sep 19, 2021","Sep 19, 2021","Oct 15, 2021",,Mass Market Paperback,view,/book/show/35231.Lord_of_Chaos
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beautiful World, Where Are You","Rooney, Sally*",0374602603,9780374602604,0374602603,356        pp,3.54,"388,505","Sep 07, 2021","Sep 07, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 12, 2021","Sep 12, 2021","Oct 15, 2021",,Hardcover,view,/book/show/56597885-beautiful-world-where-are-you
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Case Histories        (Jackson Brodie, #1)","Atkinson, Kate",0316010707,9780316010702,0316010707,389        pp,3.81,"107,482","Sep 01, 2004","Oct 17, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 06, 2021","Sep 06, 2021","Oct 15, 2021",,Paperback,view,/book/show/16243.Case_Histories
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Days,"Erpenbeck, Jenny",081122192X,9780811221924,081122192X,239        pp,3.73,"4,043",2012,"Nov 11, 2014",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 02, 2021","Sep 02, 2021","Oct 15, 2021",,Hardcover,view,/book/show/20724710-the-end-of-days
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kushiel's Scion        (Imriel's Trilogy, #1)","Carey, Jacqueline*",044661002X,9780446610025,044661002X,944        pp,4.22,"21,806","Jun 12, 2006","May 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2021","Aug 15, 2021","Oct 15, 2021",,Mass Market Paperback,view,/book/show/153007.Kushiel_s_Scion
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Third Rainbow Girl: The Long Life of a Double Murder in Appalachia,"Eisenberg, Emma Copley*",0316449237,9780316449236,0316449237,336        pp,3.12,"5,861","Jan 21, 2020","Jan 21, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 02, 2021","Aug 02, 2021","Oct 15, 2021",,Hardcover,view,/book/show/37655694-the-third-rainbow-girl
