,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Michael's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wittgenstein’s Nephew,"Bernhard, Thomas",0226043924,9780226043920,0226043924,101        pp,4.03,"5,837",1982,"Feb 15, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2016",,Paperback,view,/book/show/92578.Wittgenstein_s_Nephew
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best American Poetry 2013,"Duhamel, Denise",1476708142,9781476708140,1476708142,240        pp,3.52,265,"Sep 10, 2013","Sep 10, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is an excellent, wide-ranging collection that includes poems by Kim Addonizio and Matthew Zapruder, and a whole host of poets wedged alphabeticalThis is an excellent, wide-ranging collection that includes poems by Kim Addonizio and Matthew Zapruder, and a whole host of poets wedged alphabetically in between.The guest dj here is Denise Duhamel. You can read her 2009 poem, 'Delta Flight 659' here: http://www.poets.org/poetsorg/poem/de... (Sean Penn was the James Franco of an earlier era.)There are older, established poets, such as Richard Wilbur, John Ashbery, and Louise Gluck; and there are many younger poets, like Laura Kasischke, Dorothea Lasky, and Wendy Xu.Some of my own favorite poems include Wendy Xu's 'Where the Hero Speaks to Others"": http://www.versedaily.org/2012/wheret...(You can read Xu's other 'hero' poems here: http://www.h-ngm-n.com/storage/WendyX... )Another favorite of mine here is Ashbery's ""Resisting Arrest"": http://www.poetryinternationalweb.net... Many pages are given generously to David Trinidad's wonderful & Warholian ""Peyton Place: A Haiku Soap Opera,"" an excerpt of which is here:http://www.poets.org/poetsorg/poem/pe...There is also Anthony Madrid's ironically rhyming ""Once Upon a Time"": http://www.poetryfoundation.org/poetr...And there is another favorite of mine: Mary Ruefle's ""Little Golf Pencil"":http://www.ecotonejournal.com/index.p...In short, this is a collection that gives one a good sense of where American poetry has been lately and where it might be heading. Yeah, there is no conceptual poetry, but that would take all the fun out of conceptual poetry, if it were to be included in anthologies.... In any case, this is a lyrical, beautiful, often moving, and very often entertaining mix....more",Notes are private!,0,0,1,"Nov 26, 2013","Dec 15, 2013","Nov 26, 2013",,Kindle Edition,view (with text),/book/show/16130055-the-best-american-poetry-2013
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love, Dishonor, Marry, Die, Cherish, Perish","Rakoff, David",038553521X,9780385535212,038553521X,115        pp,3.93,"6,902","Jul 16, 2013","Jul 16, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A delightful, rich, and moving long narrative poem. The rhyming couplets, often but not always in iambic pentameter, give this tale a wonderfully ironA delightful, rich, and moving long narrative poem. The rhyming couplets, often but not always in iambic pentameter, give this tale a wonderfully ironic, Dr.-Seussian veneer. Don't be fooled or put off; Rakoff's last story is a serious and deeply thoughtful one....more",Notes are private!,0,0,1,not set,"Nov 25, 2013","Nov 26, 2013",,Hardcover,view (with text),/book/show/16099190-love-dishonor-marry-die-cherish-perish
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"American Poetry: The Twentieth Century, Volume 1: Henry Adams to Dorothy Parker","Hass, Robert",1883011779,9781883011772,1883011779,"1,000        pp",4.26,99,"Mar 20, 2000","Mar 20, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is an excellent collection. The editors' decision to include some works by a few seminal songwriters (e.g. W. C. Handy, Ma Rainey) is a good one.This is an excellent collection. The editors' decision to include some works by a few seminal songwriters (e.g. W. C. Handy, Ma Rainey) is a good one. The proportional representation of each poet feels about right, with the largest sections being devoted to Frost, Stevens, Pound, Williams, and Eliot. The biographical sketches are excellent, as are the notes, by and large (the notes on Pound's poems occasionally seem arbitrary; apparently, the editors have decided to translate the foreign-language phrases used by Pound, but have decided not to try to explain many of the now foreign-seeming references--to be sure, a thorough annotation of the Pound poems included in this anthology would quickly overrun the space available). One of the pleasures a of a good historical anthology such as this one is the way it allows one to see the work of one poet vis-a-vis the work of another. For example, I found it rewarding to read the best of Edward Arlington Robinson's work in proximity to some of the best poems of Frost. Similarly, it is quite interesting to go from some of the cantos of Pound right into the work of Marianne Moore--this reminds one how playful (often mischievously, even angrily playful) Pound's poetry can feel and how serious Moore's poems can seem, just beneath the comedic surface. (One also is reminded of how much of Pound's poetry seems suffused with a paranoid fear of usury and money in general--and there can be little doubt that, in Pound's paranoid, half-baked political worldview, his raging against money-lending and ""the Syphilis of the State"" is all bound up quite tightly with his virulent anti-Semitism.)There are many poets in this volume to discover and re-discover. I had forgot just how startling Mina Loy's poems can be. I had never paid any attention to Robinson's poems, thinking he was old-fashioned and backward-looking; what a pleasure it was to read his poems in this collection. I had not read Jeffers in a very long time, and it was good to read poems like ""Vulture"" and ""Hurt Hawks"" again. (I read a lot of Jeffers in my last two years of high school, and then later 'rejected' his work as being a bit too macho--and I also was turned off a bit when I read of critics finding in Jeffers a kind of ""proto-fascism""--which is somewhat absurd on a number of levels, particularly considering that few intelligent readers would reject the work of Yeats because of his dubious political views, and Pound is widely regarded as one of the greatest and most influential poets of his century. After all, even Wallace Stevens--aesthetic radical that he may have been--was a Republican who apparently liked to provoke inebriated fights… Not exactly the amiable, 'sensitive' man one might expect or hope for.) It was great to read H. D. again, and Amy Lowell. And it was good to discover a poem like Einor Wylie's ""Incantation.""This is a great collection to keep near to hand. Yet another reason to be grateful for the existence of the Library of America....more",Notes are private!,0,0,1,not set,"Nov 20, 2013","Nov 26, 2013",,Hardcover,view (with text),/book/show/559473.American_Poetry
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Armies of the Night: History as a Novel, the Novel as History","Mailer, Norman",0452272793,9780452272798,0452272793,304        pp,3.62,"3,231",1968,"Jan 01, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fantastic book. Anyone who wants to understand the fraught history of the Left in America has to include this wild, ironic, and visionary title on hA fantastic book. Anyone who wants to understand the fraught history of the Left in America has to include this wild, ironic, and visionary title on her or his reading list...A few quotes:On the change of mood in the hippie movement, over the course of the 1960s, from bright and happy, to dark and tormented:“A generation of the American young had come along different from five previous generations of the middle class. The new generation believed in technology more than any before it, but the generation also believed in LSD, in witches, in tribal knowledge, in orgy, and revolution. [...] Their radicalism was in their hate for authority—the authority was the manifest of evil to this generation. It was the authority who had covered the land with those suburbs where they stifled as children while watching the adventures of the West in the movies, while looking at the guardians of dull genial celebrity on television; they had had their minds jabbed and poked and twitched and probed and finally galvanized into to surrealistic modes of response by commercials cutting into dramatic narratives.”""Now, here, after several years of the blandest reports from the religious explorers of LSD, vague Tibetan lama goody-goodness auras of religiosity being the only publicly announced or even rumored fruit from all trips back from the buried Atlantis of LSD, now suddenly an entire generation of acid-heads seemed to have said goodbye to easy visions of heaven, no, now the witches were here, and rites of exorcism, and black terrors of the night...The hippies had gone from Tibet to Christ to the Middle Ages, now they were Revolutionary Alchemists."" “An extraordinary multiplication of the romantic, but it was not Rubin’s apocalyptic vision alone–it had been seen before by men so vastly different (but for the consonants of their name) as Castro, Cortes, and Christ–it was the collective vision now of the drug-illumined and revolutionary young of the American middle class.”And the great, gothic, brilliantly hyperbolic last paragraph of the book—could there be a better way of summing up 1967 in America:“Brood on that country who expresses our will. She is America, once a beauty of magnificence unparalleled, now a beauty with a leprous skin. She is heavy with child no one knows if legitimate—and languishes in dungeon whose walls are never seen. Now the first contractions of her fearsome labor begin—it will go on: no doctor exists to tell the hour. […] she will probably give birth, and to what?—the most fearsome totalitarianism the world has ever known? or can she, poor giant, tormented lovely girl, deliver a babe of a new world brave and tender, artful and wild? Rush to the locks. God writhes in his bonds. Rush to the locks. Deliver us from our curse. For we must end on the road to that mystery where courage, death, and the dream of love promise of sleep.”...more",Notes are private!,0,1,1,"Nov 06, 2013","Nov 08, 2013","Nov 06, 2013",,Paperback,view (with text),/book/show/12474.The_Armies_of_the_Night
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Resurrection of The Body and The Ruin of The World,"Guest, Paul*",1930974272,9781930974272,1930974272,96        pp,4.28,67,"Mar 04, 2003","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2013",not set,"Nov 06, 2013",,Paperback,view,/book/show/1074819.The_Resurrection_of_The_Body_and_The_Ruin_of_The_World
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Hologram for the King,"Eggers, Dave",193636574X,9781936365746,193636574X,312        pp,3.29,"28,835",Jun 2012,"Jun 19, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"By no means a bad book, but not a profound one, either. The tone of this novel struck me as very much like the tone of the Sophia Coppolla film, ""LostBy no means a bad book, but not a profound one, either. The tone of this novel struck me as very much like the tone of the Sophia Coppolla film, ""Lost in Translation."" Poignant, sweetly ironic vignettes in the life a white American coming to grips with his impotence, to be saved by (what else) the love of a young woman....more",Notes are private!,0,0,1,not set,not set,"Nov 06, 2013",,Hardcover,view (with text),/book/show/13722902-a-hologram-for-the-king
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zealot: The Life and Times of Jesus of Nazareth,"Aslan, Reza",140006922X,9781400069224,140006922X,296        pp,3.86,"69,742","Jul 16, 2013","Jul 16, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book does two things, and it does them both very well. First, it presents a good, succinct summary of scholarship on the subject of the 'historicThis book does two things, and it does them both very well. First, it presents a good, succinct summary of scholarship on the subject of the 'historical Jesus.' Secondly, the book presents a compelling and quite believable picture of who Jesus might have been, in the context of first century Palestine. Here is a video of Reza Aslan speaking about 'Zealot' at the Politics and Prose bookstore in Washington DC--well worth watching: http://youtu.be/1z65Z8UjmYY ...more",Notes are private!,0,0,1,not set,not set,"Nov 06, 2013",,Hardcover,view (with text),/book/show/17568801-zealot
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Manuscript Found in Saragossa,"Potocki, Jan",0140445803,9780140445800,0140445803,631        pp,4.09,"3,696",1794,"Mar 07, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An indescribable novel.,Notes are private!,0,0,1,not set,"Oct 16, 2013","Oct 17, 2013",,Paperback,view (with text),/book/show/93180.The_Manuscript_Found_in_Saragossa
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hare,"Aira, César",1852422912,9781852422912,1852422912,256        pp,3.80,510,1991,"Feb 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2013",,Paperback,view,/book/show/152811.The_Hare
