,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Radu's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cujo,"King, Stephen*",,9786064314239,,435        pp,3.78,"285,419",1981,"Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/63080319-cujo
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Călărețul cu șoim,"Kadare, Ismail",6067796252,9786067796254,6067796252,208        pp,3.67,82,Sep 2001,Jan 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Apr 10, 2024","Apr 11, 2024","Apr 10, 2024",,Paperback,view,/book/show/50498257-c-l-re-ul-cu-oim
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doamna Hayat,"Altan, Ahmet",6069786807,9786069786802,6069786807,288        pp,4.08,"1,131",2021,"Nov 20, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Apr 10, 2024","Apr 10, 2024","Apr 10, 2024",,Paperback,view,/book/show/203689181-doamna-hayat
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deborah,"Mihuleac, Cătălin",9735065835,9789735065836,9735065835,224        pp,4.20,105,Oct 2019,Oct 2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 06, 2024","Apr 10, 2024","Apr 06, 2024",,Paperback,view,/book/show/52300695-deborah
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hitler si Stalin. Aliati si inamici. Tiranii in cel de-al Doilea Razboi Mondial,"Rees, Laurence",,9786303190136,,512        pp,4.53,"1,148","Feb 02, 2021","Aug 08, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Apr 03, 2024","Apr 06, 2024","Apr 03, 2024",,Paperback,view,/book/show/199332253-hitler-si-stalin-aliati-si-inamici-tiranii-in-cel-de-al-doilea-razboi
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cuibul bufniței,"Runcanu, Tudor*",6063366105,9786063366109,6063366105,208        pp,3.62,63,unknown,2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 03, 2024","Apr 03, 2024","Apr 03, 2024",,Paperback,view,/book/show/56085947-cuibul-bufni-ei
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Găuri albe,"Rovelli, Carlo",,9789735082512,,136        pp,3.75,8,unknown,2024,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,Jan 2024,"Apr 03, 2024",,Paperback,view,/book/show/208553487-g-uri-albe
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Astfel de lucruri mărunte,"Keegan, Claire",6069786815,9786069786819,6069786815,104        pp,4.19,"153,383","Nov 05, 2021",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Apr 03, 2024","Apr 03, 2024","Apr 03, 2024",,Paperback,view,/book/show/204995036-astfel-de-lucruri-m-runte
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cartea orașelor,"Răsuceanu, Andreea*",9735073110,9789735073114,9735073110,270        pp,3.47,112,Dec 2021,Dec 2021,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,"Mar 29, 2024","Apr 03, 2024","Mar 29, 2024",,Paperback,view,/book/show/59864610-cartea-ora-elor
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Montaillou: The Promised Land of Error,"Le Roy Ladurie, Emmanuel",0394729641,9780394729640,0394729641,383        pp,3.98,"1,904",1975,"Jul 12, 1979",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/45529.Montaillou
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neliniște,"Livaneli, Zülfü",,9786060973331,,176        pp,4.04,"8,620",2017,"Nov 15, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,12,1,"Mar 27, 2024","Mar 29, 2024","Mar 27, 2024",,Paperback,view,/book/show/203175875-nelini-te
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Solaris,"Lem, Stanisław",6069363736,9786069363737,6069363736,240        pp,3.99,"107,589",1961,May 2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/22669748-solaris
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martin Chuzzlewit,"Dickens, Charles",0140436146,9780140436143,0140436146,829        pp,3.83,"16,338",1844,"Aug 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/1990.Martin_Chuzzlewit
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oliver Twist,"Dickens, Charles",,,,608        pp,3.88,"388,660",1838,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/18254.Oliver_Twist
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,David Copperfield,"Dickens, Charles",6063345108,9786063345104,6063345108,"1,152        pp",4.03,"238,606",Nov 1850,"Nov 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/51884173-david-copperfield
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",6064020679,9786064020673,6064020679,528        pp,4.51,"397,775","Oct 18, 2022","Nov 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,"Mar 18, 2024","Mar 22, 2024","Mar 18, 2024",,Hardcover,view,/book/show/202739646-demon-copperhead
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ratline: Love, Lies, and Justice on the Trail of a Nazi Fugitive","Sands, Philippe",1474608124,9781474608121,1474608124,411        pp,4.18,"5,196","Apr 16, 2020","Apr 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 17, 2024","Mar 18, 2024","Mar 17, 2024",,Hardcover,view,/book/show/45692429-the-ratline
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Haide, zboară odată","Keret, Etgar*",6067798840,9786067798845,6067798840,256        pp,4.03,"3,957","Apr 13, 2018",Oct 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,"Mar 16, 2024","Mar 17, 2024","Mar 16, 2024",,Paperback,view,/book/show/59337581-haide-zboar-odat
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ușa,"Szabó, Magda",,9789737248190,9737248198,232        pp,4.10,"27,089",1987,"May 08, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4,5 *",Notes are private!,0,5,1,"Mar 15, 2024","Mar 16, 2024","Mar 15, 2024",,Paperback,view (with text),/book/show/25648918-u-a
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Povestea lui Orişicine,"Roth, Philip",9734680307,9789734680306,9734680307,256        pp,3.62,"19,771","May 09, 2006","Dec 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5 *",Notes are private!,0,3,1,"Mar 14, 2024","Mar 15, 2024","Mar 14, 2024",,Paperback,view (with text),/book/show/50269160-povestea-lui-ori-icine
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sindromul de panică în Orașul Luminilor,"Vişniec, Matei",9734627961,9789734627967,9734627961,324        pp,4.17,321,2009,2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/15992693-sindromul-de-panic-n-ora-ul-luminilor
