,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jess's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bel Canto,"Patchett, Ann",0060934417,9780060934415,,318        pp,3.93,"283,427","May 22, 2001","Apr 01, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The writing of this was very good and I appreciated that it is character driven rather than plot which was refreshing for a hostage scenario book. HowThe writing of this was very good and I appreciated that it is character driven rather than plot which was refreshing for a hostage scenario book. However I did feel it dragged slightly and the epilogue was so random and I feel unnecessary/rushed so that’s disappointing. But great writing!...more,Notes are private!,0,3,1,"Jul 18, 2022","Jul 30, 2022","Jul 18, 2022",,Paperback,view (with text),/book/show/113333.Bel_Canto
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Girl Lost,"Barrymore, Drew",0671689231,9780671689230,0671689231,304        pp,3.85,"3,599",1990,"Feb 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2022",,Paperback,view,/book/show/58658.Little_Girl_Lost
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giovanni’s Room,"Baldwin, James",,,,159        pp,4.32,"156,571","Jan 01, 1956",Jun 2000,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Great writing, a book full of flawed characters which makes a more interesting read. The introduction was useful to see how unexpected and progressiveGreat writing, a book full of flawed characters which makes a more interesting read. The introduction was useful to see how unexpected and progressive this book was when first released. I quite liked the way Baldwin wrote his female character too which is not always the case with male authors ...more",Notes are private!,0,0,1,"Jul 15, 2022","Jul 17, 2022","Jul 15, 2022",,Paperback,view (with text),/book/show/38462.Giovanni_s_Room
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,550","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2022",,Hardcover,view,/book/show/60435878-carrie-soto-is-back
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Interrupted","Kaysen, Susanna",0679746048,9780679746041,0679746048,169        pp,3.93,"244,121",1993,"Apr 19, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 30, 2022",,Paperback,view,/book/show/68783.Girl_Interrupted
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Town Called Solace,"Lawson, Mary",1784743925,9781784743925,1784743925,302        pp,4.03,"24,242",2021,"Feb 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 30, 2022",,Hardcover,view,/book/show/53328334-a-town-called-solace
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Want to Die But I Want to Eat Tteokpokki,"Baek, Se-hee",,9786237351030,,232        pp,3.31,"51,833","Jun 20, 2018",Aug 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 04, 2022",,Paperback,view,/book/show/49228706-i-want-to-die-but-i-want-to-eat-tteokpokki
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Girl Is a Half-formed Thing,"McBride, Eimear",0571317162,9780571317165,0571317162,203        pp,3.50,"12,380","Jun 17, 2013","Apr 10, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5* this is written in stream of consciousness so had to piece together what was happening. She wrote it really well in the style but it was a lot of3.5* this is written in stream of consciousness so had to piece together what was happening. She wrote it really well in the style but it was a lot of brain power to follow lol very depressing story line. I think 3.5* might sound like I didn’t like it but that’s not true I just can’t rate it the same as some books I’ve given 4*. Sort of writing you’d analyse in English class...more,Notes are private!,0,1,1,"May 02, 2022","May 16, 2022","May 02, 2022",,Paperback,view (with text),/book/show/22011034-a-girl-is-a-half-formed-thing
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Album,"Didion, Joan",0374532079,9780374532079,0374532079,224        pp,4.06,"39,038",1979,"Nov 10, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2022",,Paperback,view,/book/show/421.The_White_Album
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alone With You in the Ether,"Blake, Olivie*",,,B08BK995LT,248        pp,3.84,"76,077","Jun 20, 2020","Jun 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 29, 2022",,Kindle Edition,view,/book/show/54208009-alone-with-you-in-the-ether
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of a New Name        (The Neapolitan Novels, #2)","Ferrante, Elena",1787702235,9781787702233,1787702235,471        pp,4.44,"179,016","Sep 22, 2012","Jul 09, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow wow wow I loved this so much, one of my favourite books I’ve ever read. Elena ferrante is just amazing her characters and writing are fantastic- IWow wow wow I loved this so much, one of my favourite books I’ve ever read. Elena ferrante is just amazing her characters and writing are fantastic- I don’t even know how to describe it I just love this book! I’m so glad I’ve still got 2 more in the quartet to read I’m going to start straight away ...more",Notes are private!,0,2,1,"Aug 30, 2022","Sep 07, 2022","Apr 26, 2022",,Paperback,view (with text),/book/show/54680670-the-story-of-a-new-name
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disorientation,"Chou, Elaine Hsieh",0593298357,9780593298350,0593298357,403        pp,3.85,"14,382","Mar 22, 2022","Mar 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2022",,Hardcover,view,/book/show/58350424-disorientation
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Brilliant Friend        (The Neapolitan Novels, #1)","Ferrante, Elena",,9781787702226,1787702227,331        pp,4.04,"332,930","Oct 19, 2011","Mar 05, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Love her writing and how she’s able to write about childhood and adolescence without the book feeling childish- will definitely read the next in the qLove her writing and how she’s able to write about childhood and adolescence without the book feeling childish- will definitely read the next in the quartet...more,Notes are private!,0,2,1,"Apr 11, 2022","Apr 25, 2022","Apr 11, 2022",,Paperback,view (with text),/book/show/52717097-my-brilliant-friend
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,965","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2022",,Hardcover,view,/book/show/57773248-notes-on-an-execution
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vladimir,"Jonas, Julia May*",1529080444,9781529080445,1529080444,256        pp,3.45,"32,015","Feb 01, 2022","May 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2022",,Hardcover,view,/book/show/59536917-vladimir
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women & Power: A Manifesto,"Beard, Mary",1631494759,9781631494758,1631494759,115        pp,4.03,"34,488","Nov 02, 2017","Dec 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2022",,Hardcover,view,/book/show/36525023-women-power
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Educated,"Westover, Tara*",,,,382        pp,4.47,"1,525,645","Feb 20, 2018","Feb 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2022",,Kindle Edition,view,/book/show/37826561-educated
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",178669137X,9781786691378,178669137X,537        pp,4.33,"471,182","Feb 07, 2017","Aug 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 18, 2022",not set,"Apr 06, 2022",,Paperback,view,/book/show/35051839-pachinko
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shoko's Smile: Stories,"Eunyoung, Choi",0143135260,9780143135265,0143135260,272        pp,3.94,"5,024","Jul 07, 2016","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2022",,Paperback,view,/book/show/55782297-shoko-s-smile
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Idaho,"Ruskovich, Emily",0701189096,9780701189099,0701189096,320        pp,3.51,"24,295",1950,"Jan 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2022",,Paperback,view,/book/show/30141401-idaho
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0349142920,9780349142920,0349142920,388        pp,4.08,"1,175,314","Sep 12, 2017","Jan 01, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5* I think. This was really good, started it ages ago before exams but got back into it quickly. Really like her writing it reminds me of Taylor Jen4.5* I think. This was really good, started it ages ago before exams but got back into it quickly. Really like her writing it reminds me of Taylor Jenkins Reid, going to watch the tv show of this asap ...more",Notes are private!,0,3,1,"Mar 30, 2022","Apr 04, 2022","Mar 30, 2022",,Paperback,view (with text),/book/show/36509779-little-fires-everywhere
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arrival,Nataliya Deleva | Наталия Делев*,1911648373,9781911648376,1911648373,272        pp,4.08,116,unknown,"Feb 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2022",,Paperback,view,/book/show/59951056-arrival
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Four Minutes,Nataliya Deleva | Наталия Делев*,194883037X,9781948830379,194883037X,136        pp,3.96,"1,892",2017,"Aug 17, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2022",,Paperback,view,/book/show/57660270-four-minutes
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Body Keeps Your Secrets,"Osborne-Crowley, Lucia",1911648136,9781911648130,1911648136,256        pp,4.14,988,2021,"May 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2022",,Paperback,view,/book/show/57357165-my-body-keeps-your-secrets
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebecca,"du Maurier, Daphne",0316323705,9780316323703,,449        pp,4.24,"628,882",Aug 1938,"Dec 17, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2022",,ebook,view,/book/show/17899948-rebecca
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Promise,"Galgut, Damon",,,B08S32WMD1,293        pp,3.87,"42,369","Apr 06, 2021","Jun 17, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was really good could easily be a 5*, writing is great and it was interesting the way it flicked from one character to another seamlessly- ratingThis was really good could easily be a 5*, writing is great and it was interesting the way it flicked from one character to another seamlessly- rating might change to higher later idk ...more",Notes are private!,0,1,1,"Aug 14, 2022","Aug 16, 2022","Feb 08, 2022",,Kindle Edition,view (with text),/book/show/57974723-the-promise
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Assembly,"Brown, Natasha*",0241992664,9780241992661,0241992664,112        pp,3.85,"25,351","Jun 03, 2021","May 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5*- I did enjoy/appreciate this, just it’s so short and I read it in one sitting I don’t think it had as big an impact on me as it might have if it 3.5*- I did enjoy/appreciate this, just it’s so short and I read it in one sitting I don’t think it had as big an impact on me as it might have if it were longer ...more",Notes are private!,0,1,1,"Oct 19, 2022","Oct 19, 2022","Feb 06, 2022",,Paperback,view (with text),/book/show/58709534-assembly
