,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Price of Salt, or Carol","Highsmith, Patricia",0393325997,9780393325997,0393325997,292        pp,4.02,"70,873",1952,"Mar 17, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024",not set,"Mar 27, 2024",,Paperback,view,/book/show/52258.The_Price_of_Salt_or_Carol
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eric Stanton & the History of the Bizarre Underground,"Seves, Richard Pérez *",0764355422,9780764355424,0764355422,288        pp,4.29,48,"Oct 15, 2018","Oct 15, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 21, 2024","Mar 27, 2024","Mar 21, 2024",,Hardcover,view,/book/show/36701319-eric-stanton-the-history-of-the-bizarre-underground
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knowing the Score: What Sports Can Teach Us About Philosophy,"Papineau, David",0465049680,9780465049684,0465049680,304        pp,3.33,126,unknown,"May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 04, 2024",not set,"Mar 04, 2024",,Hardcover,view,/book/show/31934104-knowing-the-score
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monsters: A Fan's Dilemma,"Dederer, Claire",0525655115,9780525655114,0525655115,257        pp,3.82,"9,399","Apr 25, 2023","Apr 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 04, 2024","Mar 21, 2024","Mar 04, 2024",,Hardcover,view,/book/show/61685822-monsters
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Things,"Gray, Alasdair",0747562288,9780747562283,0747562288,318        pp,4.00,"20,404",1992,2002,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 05, 2024","Mar 04, 2024","Feb 05, 2024",,Paperback,view,/book/show/72355.Poor_Things
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Cup of Rage,"Nassar, Raduan",0141396806,9780141396804,0141396806,64        pp,3.46,"2,830",1978,"Feb 23, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 02, 2024","Feb 05, 2024","Feb 02, 2024",,Paperback,view,/book/show/24874291-a-cup-of-rage
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Of Love and Other Demons,"García Márquez, Gabriel",0517405091,9780517405093,0517405091,160        pp,3.97,"76,133",Sep 1994,"May 11, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jan 23, 2024",Feb 2024,"Jan 23, 2024",,Paperback,view,/book/show/23876.Of_Love_and_Other_Demons
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memories of My Melancholy Whores,"García Márquez, Gabriel",1400095948,9781400095940,1400095948,115        pp,3.59,"87,198","Oct 19, 2004","Nov 14, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 22, 2024","Jan 23, 2024","Jan 22, 2024",,Paperback,view,/book/show/5947099-memories-of-my-melancholy-whores
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fetish and Other Stories,"Moravia, Alberto",,,B000KG6UXU,0        pp,3.72,54,"Jan 01, 1966","Jan 01, 1973",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,1,1,"Nov 21, 2023","Dec 07, 2023","Nov 21, 2023",,Mass Market Paperback,view,/book/show/150083670-the-fetish-and-other-stories
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flowers of Evil,"Baudelaire, Charles",0192835459,9780192835451,0192835459,464        pp,4.20,"71,298","Aug 23, 1857",1998,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 12, 2023","Nov 14, 2023","Nov 12, 2023",,Paperback,view,/book/show/536387.The_Flowers_of_Evil
