,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Eric's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Harriet the Spy,"Fitzhugh, Louise",0440416795,9780440416791,0440416795,300        pp,3.95,"99,429",1964,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Mass Market Paperback,view,/book/show/232576.Harriet_the_Spy
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Talent for Murder,"Swanson, Peter*",0063205033,9780063205031,0063205033,320        pp,4.26,114,"Jul 04, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/199116301-a-talent-for-murder
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sandman: Book Two,"Gaiman, Neil*",1779516436,9781779516435,1779516436,544        pp,4.53,"1,569","Mar 24, 1992","Apr 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Paperback,view,/book/show/60012215-the-sandman
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sandman: Book One,"Gaiman, Neil*",177951977X,9781779519771,B09VQ1HJ4R,549        pp,4.47,"3,821","Aug 28, 1990","Apr 12, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 02, 2024","Apr 02, 2024","Apr 02, 2024",,Kindle Edition,view,/book/show/60763399-the-sandman
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ozark Dogs,"Cranor, Eli*",1641294531,9781641294539,1641294531,312        pp,3.73,"2,026","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Hardcover,view,/book/show/61409932-ozark-dogs
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before They Are Hanged        (The First Law, #2)","Abercrombie, Joe",0575077883,9780575077881,0575077883,441        pp,4.35,"172,145","Mar 15, 2007","Mar 15, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 25, 2024","Apr 07, 2024","Mar 25, 2024",,Trade Paperback,view,/book/show/902715.Before_They_Are_Hanged
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Equal Rites        (Discworld, #3; Witches, #1)","Pratchett, Terry",0060855908,9780060855901,0060855908,240        pp,4.06,"179,743","Jan 15, 1987","Sep 13, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"Mar 11, 2024not set","Mar 18, 2024not set","Mar 18, 2024",,Paperback,view,/book/show/34507.Equal_Rites
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Know Tough,"Cranor, Eli*",1641293454,9781641293457,1641293454,336        pp,3.66,"3,018","Mar 22, 2022","Mar 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 16, 2024","Mar 24, 2024","Mar 16, 2024",,Hardcover,view,/book/show/57695442-don-t-know-tough
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eight Perfect Murders,"Swanson, Peter*",0062838202,9780062838209,0062838202,270        pp,3.64,"77,599",2019,"Mar 03, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This may be the quintessential Peter Swanson novel.References to classic crime novels? Check, big time.References to poetry? Check.Unreliable narratorThis may be the quintessential Peter Swanson novel.References to classic crime novels? Check, big time.References to poetry? Check.Unreliable narrator? Check.Cats and dogs? Check.Messed up motivations for murder? Check.Double twist ending? Check At least one dip in the chilly Atlantic? Check.Why four stars and not five? I don’t know. Maybe I expected some things I thought were set up to pay off, but didn’t. Is it still great? Yes!...more",Notes are private!,0,3,1,"Mar 03, 2024","Mar 07, 2024","Mar 03, 2024",,Hardcover,view (with text),/book/show/52225186-eight-perfect-murders
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dune        (Dune, #1)","Herbert, Frank",059309932X,9780593099322,059309932X,658        pp,4.27,"1,357,799","Jun 01, 1965","Oct 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"To give this book a fair , you have to give it the context of its time. When you read it now, it’s an exciting space opera. There is space traveTo give this book a fair , you have to give it the context of its time. When you read it now, it’s an exciting space opera. There is space travel, knife fights with snarling villains, ray guns, the whole nine yards.But in 1965, it helped open up the idea of what science fiction could be. It’s an ecological fable, a psychedelic journey, a religious allegory, a world-building blueprint for George Lucas, and a tale of medieval-style political plotting in the fashion of Game of Thrones.Some things about it aren’t on point for 2024:1. The villainous men are described as effeminate and are homosexual pedophiles. There aren’t any positive LGBT exemplars here.2. The use of Arab culture and language in the Fremen (who are depicted as being in many ways, primitive), would today be called cultural appropriation.3. The hero, Paul Atreides, coded as “white” and a member of the ruling class, is the savior of the Arab-like Fremen. 4. There’s a society of women, the Bene Gesserit, who are in many ways like Jedis in their training and powers, but they seem to end up as concubines to powerful men, rather than leaders in their own right.But in many ways, it’s right on point for our times. It largely concerns the hard choices you have to make when living on a world with limited or diminishing resources. If you take that as the theme, it couldn’t be more relevant....more",Notes are private!,0,6,1,Mar 2024,"Mar 15, 2024","Mar 01, 2024",,Hardcover,view (with text),/book/show/44767458-dune
