,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Melissa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thank You for Listening,"Whelan, Julia*",0063095564,9780063095564,0063095564,432        pp,4.01,"67,137","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Excellent, a lot of fun. Top notch upmarket romance with a lot of self-awareness and confidence. I had no idea until the end that the audiobook narratExcellent, a lot of fun. Top notch upmarket romance with a lot of self-awareness and confidence. I had no idea until the end that the audiobook narrator was the author. This is literally the only fiction author I ever want to hear reading their audiobook. ...more",Notes are private!,0,1,1,not set,"Dec 18, 2022","Dec 18, 2022",,Paperback,view (with text),/book/show/59314703-thank-you-for-listening
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman Last Seen in Her Thirties,"Pagán, Camille*",1503933040,9781503933040,B073TTB3LJ,238        pp,3.80,"13,677","Feb 27, 2018","Feb 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2022,"Dec 03, 2022",,Kindle Edition,view,/book/show/36117615-woman-last-seen-in-her-thirties
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gleanings        (Arc of a Scythe, #3.5)","Shusterman, Neal*",1534499970,9781534499973,1534499970,423        pp,4.07,"13,710","Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 30, 2022","Dec 01, 2022",,Hardcover,view,/book/show/60320602-gleanings
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jackie and Me,"Bayard, Louis",1643750356,9781643750354,1643750356,352        pp,3.52,"3,056","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 21, 2022","Aug 22, 2022",,Hardcover,view,/book/show/58328431-jackie-and-me
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thank You For Your Servitude: Donald Trump's Washington and the Price of Submission,"Leibovich, Mark",0593296311,9780593296318,0593296311,352        pp,4.18,"3,432","Jul 12, 2022","Jul 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 22, 2022","Aug 22, 2022",,Hardcover,view,/book/show/60545811-thank-you-for-your-servitude
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bittersweet: How Sorrow and Longing Make Us Whole,"Cain, Susan*",0451499786,9780451499783,0451499786,310        pp,3.98,"20,829","Apr 05, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved it. It was the right book at the right time for me. My all-time favorite musician is Elliott Smith, so… Actually, it’s a crime that Elliott SmitLoved it. It was the right book at the right time for me. My all-time favorite musician is Elliott Smith, so… Actually, it’s a crime that Elliott Smith was never once mentioned in this book. But it’s okay. This is a highly meaningful book....more",Notes are private!,0,1,1,not set,"Jul 29, 2022","Jul 29, 2022",,Hardcover,view (with text),/book/show/58734811-bittersweet
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sister of Darkness: The Chronicles of a Modern Exorcist,"Stavis, R.H.",0062656147,9780062656148,0062656147,288        pp,3.56,900,"Feb 06, 2018","Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You know what? I liked this. For some reason, I believe her. Maybe because I’ve had a couple out of body experiences brought on by extremely low bloodYou know what? I liked this. For some reason, I believe her. Maybe because I’ve had a couple out of body experiences brought on by extremely low blood sugar and during each one, I came to believe that I had what I thought of as “a devil” on me, or possibly a curse. That feeling has stuck with me for months following these experiences, then faded. Anyway, it can’t hurt to meditate and be grateful and hold some obsidian, so why not do it? I’m doing it....more",Notes are private!,0,0,1,not set,Jan 2022,"Jul 29, 2022",,Hardcover,view (with text),/book/show/34150798-sister-of-darkness
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Because of Winn-Dixie,"DiCamillo, Kate*",0763616052,9780763616052,0763616052,182        pp,4.09,"257,087","Mar 01, 2000","Aug 06, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very sweet book with an extremely lovable dog.,Notes are private!,0,2,1,not set,"Jul 04, 2022","Jul 05, 2022",,Paperback,view (with text),/book/show/357664.Because_of_Winn_Dixie
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cabin at the End of the World,"Tremblay, Paul*",0062679104,9780062679109,0062679104,272        pp,3.32,"78,481","Jun 26, 2018","Jun 26, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don’t understand the negative s. People are stupid. I stayed up all night reading this book. Paul Tremblay is one of the best authors out therI don’t understand the negative s. People are stupid. I stayed up all night reading this book. Paul Tremblay is one of the best authors out there right now, a modern Ira Levin. ...more",Notes are private!,0,1,1,not set,Jul 2022,"Jul 01, 2022",,Hardcover,view (with text),/book/show/36381091-the-cabin-at-the-end-of-the-world
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This is the Story of a Happy Marriage,"Patchett, Ann",0062236679,9780062236678,0062236679,308        pp,4.00,"35,147","Nov 11, 2013","Nov 05, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 30, 2022","Jul 01, 2022",,Hardcover,view,/book/show/17349222-this-is-the-story-of-a-happy-marriage
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tracy Flick Can't Win,"Perrotta, Tom",1501144065,9781501144066,1501144065,259        pp,3.64,"13,286","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mildly entertaining in the way Tom Perrotta always is, and also mildly predictable. I liked Election a lot. I enjoyed this update, but I’m not writingMildly entertaining in the way Tom Perrotta always is, and also mildly predictable. I liked Election a lot. I enjoyed this update, but I’m not writing home about it....more",Notes are private!,0,1,1,not set,Jan 2022,"Jun 27, 2022",,Hardcover,view (with text),/book/show/58977852-tracy-flick-can-t-win
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cabin,"Preston, Natasha*",1492618551,9781492618553,1492618551,327        pp,3.63,"31,839","Sep 06, 2016","Sep 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jun 21, 2022","Jun 21, 2022",,Paperback,view,/book/show/28755320-the-cabin
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flora & Ulysses: The Illuminated Adventures,"DiCamillo, Kate*",076366040X,9780763660406,076366040X,231        pp,3.88,"50,085","Sep 24, 2013","Sep 24, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is Kate DiCamillo the greatest currently active children’s writer? Probably, yeah. She’s the one to study if you want to write for children and not taIs Kate DiCamillo the greatest currently active children’s writer? Probably, yeah. She’s the one to study if you want to write for children and not talk down to them....more",Notes are private!,0,1,1,not set,"Jun 10, 2022","Jun 12, 2022",,Hardcover,view (with text),/book/show/16052012-flora-ulysses
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magician's Elephant,"DiCamillo, Kate*",0763644102,9780763644109,0763644102,201        pp,3.86,"25,833","Sep 08, 2009","Sep 08, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Per Ann Patchett’s recommendation in her book These Precious Days: Essays, I got this book from the library and read it in a couple hours. It’s a wondPer Ann Patchett’s recommendation in her book These Precious Days: Essays, I got this book from the library and read it in a couple hours. It’s a wonderful book. Both adults and children will get something from reading this. I do have a couple spoiler-filled questions, though.(view spoiler)[Every character got their due and were a part of the book’s ending… except the countess. What of the countess? Didn’t she deserve a bit more to end her story? Even just a quick mention would have gone a long way. Perhaps in the part about how the elephant forgot about her time in Baltese and the people of Baltese began to forget about the elephant? Drop in something about the countess there—viola! Another plot line ended.My other issue is about how long the magician spent in prison. It seemed to be that the plot in this book happened rather quickly. Boy gets fortune told re an elephant, elephant appears, boy sees elephant when she is being kept by the countess who lets anyone come see once per month—on the first month she did it, I think. Since the elephant was still the talk of the town when the countess procured her, it couldn’t have been that long. Yet the magician is scraggly-bearded in prison with crazy fingernails. You know what, it’s fine. I guess you might grow crazy fingernails in a few months…? I don’t really think it even WAS a few months, though, seemed way shorter, idk. Who cares, though. It’s a wonderful book. (hide spoiler)]...more",Notes are private!,0,1,1,not set,"Jun 04, 2022","Jun 04, 2022",,Hardcover,view (with text),/book/show/6345760-the-magician-s-elephant
