,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Alex's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dubliners,"Joyce, James",0192839993,9780192839992,0192839993,207        pp,3.84,"156,198","Jun 15, 1914","Mar 15, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 18, 2024",not set,"Mar 18, 2024",,Paperback,view,/book/show/11012.Dubliners
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",0735219117,9780735219113,,384        pp,4.39,"2,989,320","Aug 14, 2018","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2024",not set,"Mar 13, 2024",,ebook,view,/book/show/36809135-where-the-crawdads-sing
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Franny and Zooey,"Salinger, J.D.",0316769029,9780316769020,0316769029,201        pp,3.96,"222,172",1957,"Jan 30, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Are you taking the piss with this dialogue?? How many cigarettes are smoked in this thing????,Notes are private!,0,5,1,"Mar 05, 2024","Mar 09, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/5113.Franny_and_Zooey
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summerwater,"Moss, Sarah*",1529035430,9781529035438,1529035430,208        pp,3.52,"13,537","Aug 07, 2020","Aug 20, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Intensely mediocre. Boilerplate characters. Incredibly tired and obvious social commentary. I'm really not sure this does 'say so much about our dividIntensely mediocre. Boilerplate characters. Incredibly tired and obvious social commentary. I'm really not sure this does 'say so much about our divided times'. Writers simply have to stop catering for people who cannot read....more,Notes are private!,0,1,1,"Mar 05, 2024","Mar 09, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/52185452-summerwater
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seven Steeples,"Baume, Sara",1916291481,9781916291485,1916291481,256        pp,3.53,"2,073",2022,"Apr 07, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.52 is an absolutely spot-on average rating from the folks here at goodreads What we have here is a couple moving out of Dublin to go be wasters in s3.52 is an absolutely spot-on average rating from the folks here at goodreads What we have here is a couple moving out of Dublin to go be wasters in some house in the middle of nowhere, and then 250 pages of in-depth descriptions of their domestic habits, their dogs and their gradual descent into total squalor. I'd put the reading experience in the same bracket as Nicholson Baker's The Mezzanine, in that at times it was completely beautiful, but if I was even slightly tired I kinda wanted to die. I have so much respect for how much time this must have taken to write, how much thought went into each word selection, paragraph structure, the exact syllabic count of each sentence. The manipulation of the language is perfect at times. When this book Hits you can really just sink into the prose and feel so cosy and at home like you're swimmin around in a cup of tea. You also gotta admire Baume's commitment to FINDING all this domestic detail and bundling it into a novel where, literally, Absolutely Nothing Happens.That kinda saggy middle of the book was definitely where I struggled, for that reason. I started to get a bit frustrated that really nothing, NOthing was going to happen. The descriptions start to feel a tad repetitive. There's not really any tension in the relationship, despite the sense of violence and looming threat in a lot of the imagery. Maybe Baume could have made the same points about The Simple Life in less time. bUt i guess all this I've said is kinda the point. Sometimes 8 years just pass. Sometimes the same things do just happen. Sometimes two people do just love each other. Yeah yeah nah yeah tbf there may not be tension but the slow transition of the couple from being naive young #vanlife people to becoming basically the same person is executed in such a subtle, haunting and tender way.Hmmmm okay okay the more I get into this  the more I think 3.52 is actually too low?? Sara Baume might actually be a genius. Fuck....more",Notes are private!,0,2,1,"Feb 16, 2024","Mar 02, 2024","Feb 16, 2024",,Paperback,view (with text),/book/show/59701896-seven-steeples
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Game of Thrones        (A Song of Ice and Fire, #1)","Martin, George R.R.",0553588486,9780553588484,0553588486,835        pp,4.44,"2,489,829","Aug 06, 1996",Aug 2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 31, 2024",not set,"Jan 31, 2024",,Mass Market Paperback,view,/book/show/13496.A_Game_of_Thrones
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dignity,"Conran, Alys",,9781474609432,,384        pp,4.24,221,unknown,"Apr 04, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5. I was rooting for this book so hard. It's a novel with loads of highly ambitious elements that shouldn't work but kinda do, and other more conven3.5. I was rooting for this book so hard. It's a novel with loads of highly ambitious elements that shouldn't work but kinda do, and other more conventional elements that should work pretty easily but feel kinda off. Basically we got a very old lady in like the equivalent of Southend refusing to leave her home, her young n unexpectedly pregnant carer, and THEN her mother way back in colonial India getting pregnant and having a bad time. Also then the old lady in her childhood later on. All in first person. It's a lot. The main hook for me was seeing how Conran was gonna pull it off. And tbf she did a pretty good job of it.I think there are some problems with the writing itself, mostly the dialogue. I felt like the robot devil in futurama going 'you cant just have your characters announce how they feel! That makes me feel angry!' There definitely could have been something quite phenomenal here had the author reigned herself in a little bit and let the stories speak for themselves more. BUT the characters and the drama really grabbed me, and the rapid shifting of perspective, which sHOULD have fucked any prospect of momentum, actually made it a really engaging and pacey read. Bonus points for all the wild psychadelic imagery just sandblasted onto the page outta nowhere....more",Notes are private!,1,1,1,"Jan 17, 2024","Feb 18, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/43277352-dignity
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",0571255655,9780571255658,0571255655,89        pp,4.33,"80,837",Feb 2010,"Feb 10, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is phenomenal. This is the best I've read of Keegan by some way and her usual standards are pretty damn high. It's just so tender and warm and heThis is phenomenal. This is the best I've read of Keegan by some way and her usual standards are pretty damn high. It's just so tender and warm and heartbreaking and so subtlety done. Claire captures exactly how adults act around children when they know something's wrong, something that they're too young to understand. Perfect blend of sadness and hope. Honestly just feels like reading a warm breeze. What a summer. What a story. Had me hEAVING on the sofa mate. Everybody should read this....more",Notes are private!,0,0,1,"Jan 15, 2024","Jan 17, 2024","Jan 15, 2024",,Paperback,view (with text),/book/show/8143909-foster
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day,"Keegan, Claire",0571382010,9780571382019,0571382010,47        pp,4.01,"10,962","Aug 31, 2023","Aug 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Banged this out on the coach to London. I really am such a fan of the way Claire Keegan makes a point about a problem in society without villanising aBanged this out on the coach to London. I really am such a fan of the way Claire Keegan makes a point about a problem in society without villanising anyone and still granting empathy to each of her characters. Even just the pacing of her sentences makes this whole thing feel so desperately lonely. Descriptively probably the most bleak of the stories I've read from her, with enough space around it for it to leave you with some big thinks to do afterwards. Note to self dont be a tight arse it will literally ruin your life....more",Notes are private!,0,0,1,"Jan 15, 2024","Jan 15, 2024","Jan 15, 2024",,Hardcover,view (with text),/book/show/73936042-so-late-in-the-day
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wednesday's Child: Stories,"Li, Yiyun",0374606374,9780374606374,0374606374,256        pp,3.79,"1,064","Aug 30, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"God this was such a treat. I will always associate listening to this collection with such a special month or so of my life. Yiyun Li proving again n aGod this was such a treat. I will always associate listening to this collection with such a special month or so of my life. Yiyun Li proving again n again she is one of the most original contemporary writers. The way she layers her stories, the way she goes deeper and deeper into memory until you get to one tiny nugget of Story in the middle, it's such an engaging and challenging reading experience, but one that feels so sweet and comforting. Li seems to be grappling here with the impossibility of remembering How Things Happened, how something was said, how you felt during the big moments of your life.It's her power of observation and her kinda ghostly, just slightly strange way of presenting people that really draws us into all these lives. She makes the everyday feel surreal, the unbelievable feel believable. I'd recommend giving this book to someone who is a mother or maybe a child. There's so much love and loss and uncertainty on show here. It's good for welling up on the train. It's good for looking at the cranes on the harbourside....more",Notes are private!,0,1,1,"Jan 11, 2024","Feb 18, 2024","Jan 11, 2024",,Hardcover,view (with text),/book/show/65215744-wednesday-s-child
