,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lee's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saving Daylight,"Harrison, Jim",1556592353,9781556592355,1556592353,124        pp,4.20,283,2006,"Apr 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2017",not set,"Jan 06, 2017",,Hardcover,view,/book/show/30266.Saving_Daylight
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dark Net,"Percy, Benjamin*",,,,272        pp,3.22,"2,137","Aug 01, 2017","Aug 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2017",,Kindle Edition,view,/book/show/32801497-the-dark-net
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thrill Me: Essays on Fiction,"Percy, Benjamin*",,,B01LYGITNJ,185        pp,4.32,"1,202","Oct 18, 2016","Oct 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2017",,Kindle Edition,view,/book/show/32570972-thrill-me
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aztec        (Aztec, #1)","Jennings, Gary",0765317508,9780765317506,0765317508,754        pp,4.26,"19,242",1980,"May 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2016",not set,"Dec 29, 2016",,Paperback,view,/book/show/550454.Aztec
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Thinking of Ending Things,"Reid, Iain*",1508215197,9781508215196,,6        pp,3.56,"155,255","Jun 14, 2016","Jun 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2016",,Audiobook,view,/book/show/30227965-i-m-thinking-of-ending-things
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rebel Without a Crew, or How a 23-Year-Old Filmmaker with $7,000 Became a Hollywood Player","Rodríguez, Robert",0452271878,9780452271876,0452271878,285        pp,4.17,"4,942","Aug 01, 1995","Sep 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2016",,Paperback,view,/book/show/51430.Rebel_Without_a_Crew_or_How_a_23_Year_Old_Filmmaker_with_7_000_Became_a_Hollywood_Player
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crawl,"Lorn, Edward",,,B00I55OT6I,50        pp,3.53,374,"Jan 31, 2014","Jan 31, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2016",,Kindle Edition,view,/book/show/20611936-crawl
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,David Copperfield,"Dickens, Charles",0451530047,9780451530042,0451530047,928        pp,4.03,"238,611",Nov 1850,"Feb 07, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2016",not set,"Sep 22, 2016",,Mass Market Paperback,view,/book/show/1985.David_Copperfield
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Ounce of Mercy,"Thompson, Lee*",,,,220        pp,4.50,2,unknown,"Sep 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 22, 2016",not set,"Sep 22, 2016",,Kindle Edition,view,/book/show/32183246-an-ounce-of-mercy
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wayward        (Wayward Pines, #2)","Crouch, Blake*",1477808701,9781477808702,1477808701,298        pp,4.15,"69,830","Sep 17, 2013","Sep 17, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2016",,Paperback,view,/book/show/17920175-wayward
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Town        (Wayward Pines, #3)","Crouch, Blake*",1477872582,9781477872581,B00GUU9262,294        pp,4.10,"63,842","Jul 15, 2014","Jul 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2016",,Kindle Edition,view,/book/show/20423680-the-last-town
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pines        (Wayward Pines, #1)","Crouch, Blake*",1469216000,9781469216003,1469216000,11        pp,3.94,"124,951","Aug 21, 2012","Aug 21, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2016",,Audio CD,view,/book/show/15034320-pines
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road Home,"Harrison, Jim",0330484281,9780330484282,0330484281,446        pp,4.35,"1,657",1998,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2016",,Paperback,view,/book/show/199854.The_Road_Home
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brown Dog,"Harrison, Jim",0802120113,9780802120113,0802120113,525        pp,4.16,"2,444","Dec 03, 2013","Dec 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2016",,Hardcover,view,/book/show/17707989-brown-dog
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River Swimmer: Novellas,"Harrison, Jim",0802120733,9780802120731,0802120733,240        pp,3.80,"1,922","Jan 01, 2013","Jan 08, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2016",,Hardcover,view,/book/show/15811129-the-river-swimmer
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversations with Jim Harrison,"DeMott, Robert",1578064562,9781578064564,1578064562,276        pp,4.11,82,"May 06, 2002","May 06, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2016",,Paperback,view,/book/show/435107.Conversations_with_Jim_Harrison
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Place for Sinners,"Dries, Aaron*",1619219883,9781619219885,1619219883,304        pp,3.47,184,"May 06, 2014","May 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2016",,Paperback,view,/book/show/21900205-a-place-for-sinners
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Lit by Fireflies,"Harrison, Jim",0395488842,9780395488843,0395488842,unknown,4.05,"2,117","Aug 01, 1990","Jan 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2016",not set,"Feb 11, 2016",,Hardcover,view,/book/show/1649394.The_Woman_Lit_by_Fireflies
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Locke & Key, Vol. 6: Alpha & Omega","Hill, Joe*",1613778538,9781613778531,1613778538,192        pp,4.48,"31,054","Feb 05, 2014",Jan 2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2016","Feb 11, 2016","Feb 11, 2016",,Hardcover,view,/book/show/16164271-locke-key-vol-6
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Locke & Key, Vol. 5: Clockworks","Hill, Joe*",1613772270,9781613772270,1613772270,160        pp,4.47,"33,501",Jul 2013,Jul 2013,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2016","Feb 11, 2016","Feb 11, 2016",,Hardcover,view,/book/show/13490570-locke-key-vol-5
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Locke & Key, Vol. 4: Keys to the Kingdom","Hill, Joe*",1600108865,9781600108860,1600108865,152        pp,4.38,"35,392","Jul 19, 2011",Feb 2013,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2016","Feb 11, 2016","Feb 11, 2016",,Hardcover,view,/book/show/9674335-locke-key-vol-4
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Signwave: An Aftershock Novel        (Aftershock, #3)","Vachss, Andrew*",1101870443,9781101870440,1101870443,272        pp,3.45,190,"Jun 09, 2015","Jun 09, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2016","Feb 06, 2016","Feb 06, 2016",,Hardcover,view,/book/show/23164962-signwave
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Life of Bees,"Kidd, Sue Monk*",0142001740,9780142001745,0142001740,302        pp,4.09,"1,291,200","Nov 08, 2001","Jan 28, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2016",not set,"Feb 06, 2016",,Paperback,view,/book/show/37435.The_Secret_Life_of_Bees
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Locke & Key, Vol. 3: Crown of Shadows","Hill, Joe*",1600106951,9781600106958,1600106951,152        pp,4.39,"39,412","Jul 27, 2010",Feb 2013,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2016","Feb 06, 2016","Feb 06, 2016",,Hardcover,view,/book/show/7202841-locke-key-vol-3
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Locke & Key, Vol. 2: Head Games","Hill, Joe*",,,,160        pp,4.31,"45,472","Sep 01, 2009",Feb 2015,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2016","Feb 06, 2016","Feb 06, 2016",,Hardcover,view,/book/show/6120349-locke-key-vol-2
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Locke & Key, Vol. 1: Welcome to Lovecraft","Hill, Joe*",1600102379,9781600102370,1600102379,168        pp,4.15,"96,611","Sep 29, 2008",Feb 2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2016","Feb 06, 2016","Feb 06, 2016",,Hardcover,view,/book/show/3217221-locke-key-vol-1
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Writing Movies for Fun and Profit: How We Made a Billion Dollars at the Box Office and You Can, Too!","Garant, Robert Ben",1439186758,9781439186756,1439186758,311        pp,3.95,"2,260","Jul 05, 2011","Jul 05, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2016","Feb 06, 2016","Feb 06, 2016",,Hardcover,view,/book/show/11403610-writing-movies-for-fun-and-profit
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batman: The Night of the Owls,"Snyder, Scott*",1401237738,9781401237738,1401237738,360        pp,4.05,"8,143",2012,"Feb 19, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 06, 2016","Feb 06, 2016","Feb 06, 2016",,Hardcover,view,/book/show/15784159-batman
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shine Your Light On Me,"Thompson, Lee*",,,B01BGL7V80,133        pp,3.49,45,"Feb 15, 2016","Feb 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2016",,Kindle Edition,view,/book/show/28937225-shine-your-light-on-me
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zero Lives Remaining,"Cesare, Adam*",,,B01B264UJ2,110        pp,3.72,458,"Jan 01, 2016","Jan 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,0,not set,not set,"Jan 30, 2016",,Kindle Edition,view,/book/show/28754660-zero-lives-remaining
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ancient Minstrel,"Harrison, Jim",0802124569,9780802124562,0802124569,255        pp,3.68,"1,138","Mar 01, 2016","Mar 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2016",,Hardcover,view,/book/show/25786917-the-ancient-minstrel
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hurst,"Percy, Benjamin*",,,B011CGDP4I,48        pp,3.61,89,"Jul 09, 2015","Jul 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2016",,Kindle Edition,view,/book/show/25904348-hurst
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Words        (Mark Novak, #1)","Koryta, Michael*",0316122637,9780316122634,0316122637,420        pp,3.62,"4,964","Aug 18, 2015","Aug 18, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2016","Feb 11, 2016","Jan 15, 2016",,Hardcover,view,/book/show/23341560-last-words
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tan and Sandy Silence        (Travis McGee #13),"MacDonald, John D.",0449224767,9780449224762,0449224767,308        pp,4.06,"3,957",1971,"Mar 09, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2016","Jan 15, 2016","Jan 15, 2016",,Paperback,view,/book/show/267763.A_Tan_and_Sandy_Silence
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales from the Script: 50 Hollywood Screenwriters Share Their Stories,"Hanson, Peter",0061855928,9780061855924,0061855928,343        pp,3.84,284,2010,"Jan 26, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2016","Feb 06, 2016","Jan 15, 2016",,Paperback,view,/book/show/7041008-tales-from-the-script
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Devil's Guide to Hollywood: The Screenwriter as God!,"Eszterhas, Joe",031235987X,9780312359874,031235987X,416        pp,3.62,400,"Aug 22, 2006","Sep 19, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2016","Jan 15, 2016","Jan 15, 2016",,Hardcover,view,/book/show/363494.The_Devil_s_Guide_to_Hollywood
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"There Was a Little Girl        (Matthew Hope, #11)","McBain, Ed",0340598867,9780340598863,0340598867,292        pp,3.69,640,"Sep 07, 1994","Nov 03, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 15, 2016","Jan 15, 2016","Jan 15, 2016",,Hardcover,view,/book/show/735810.There_Was_a_Little_Girl
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Green Ripper,"MacDonald, John D.",0397013620,9780397013623,0397013620,221        pp,4.12,"4,236",1979,"Sep 01, 1979",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 07, 2016","Jan 15, 2016","Jan 07, 2016",,Hardcover,view,/book/show/2089903.The_Green_Ripper
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rhinos Don't Eat Pancakes,"Kemp, Anna*",148143845X,9781481438452,148143845X,32        pp,4.16,546,2011,"May 05, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 18, 2015","Jan 15, 2016","Dec 18, 2015",,Hardcover,view,/book/show/23309752-rhinos-don-t-eat-pancakes
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piggy Bunny,"Vail, Rachel*",0312649886,9780312649883,0312649886,32        pp,3.78,396,"Feb 14, 2012","Feb 14, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 18, 2015","Jan 15, 2016","Dec 18, 2015",,Hardcover,view,/book/show/11458111-piggy-bunny
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Moose That Says Moo,"Hamburg, Jennifer",0374350582,9780374350581,0374350582,32        pp,3.68,343,"Sep 24, 2013","Oct 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 18, 2015","Jan 15, 2016","Dec 18, 2015",,Hardcover,view,/book/show/17261146-a-moose-that-says-moo
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shockwave        (Aftershock, #2)","Vachss, Andrew*",0307908852,9780307908858,0307908852,272        pp,3.35,350,"Jan 01, 2014","Jun 03, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. I liked the first in the series better, mostly because I cared about the characters more and the story line was more interesting, but this 3.5 stars. I liked the first in the series better, mostly because I cared about the characters more and the story line was more interesting, but this is still well worth your time. Andrew Vachss's writing is very addictive. I'll read everything he's written. ...more",Notes are private!,0,5,1,"Dec 17, 2015","Dec 17, 2015","Dec 17, 2015",,Hardcover,view (with text),/book/show/18465821-shockwave
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder Mysteries,"Gaiman, Neil*",1840235217,9781840235210,1840235217,64        pp,4.06,"5,855",Oct 1992,"Jun 01, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Dec 12, 2015","Dec 17, 2015","Dec 12, 2015",,Hardcover,view,/book/show/490789.Murder_Mysteries
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neil Gaiman's Midnight Days,"Gaiman, Neil*",1840231068,9781840231069,1840231068,208        pp,3.81,"3,201","Dec 08, 1999","Dec 07, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love reading an author's early work, and Gaiman has had mad skills since the beginning of his publishing career. He's so worth your time. Also checkI love reading an author's early work, and Gaiman has had mad skills since the beginning of his publishing career. He's so worth your time. Also check out Trigger Warning and the complete Sandman series....more",Notes are private!,0,14,1,"Dec 12, 2015","Dec 17, 2015","Dec 12, 2015",,Paperback,view (with text),/book/show/47702.Neil_Gaiman_s_Midnight_Days
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Streets        (The Pines Trilogy, #3)","Dunbar, Robert*",098304578X,9780983045786,098304578X,334        pp,3.93,28,"Aug 14, 2015","Aug 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2015",,Paperback,view,/book/show/26141265-the-streets
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Made to Kill        (Ray Electromatic Mysteries, #1)","Christopher, Adam*",076537918X,9780765379184,076537918X,237        pp,3.37,"1,866","Nov 03, 2015","Nov 03, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 10, 2015",,Hardcover,view,/book/show/23848137-made-to-kill
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Big Sleep        (Philip Marlowe, #1)","Chandler, Raymond",,9780241960950,0241960959,251        pp,3.95,"155,389","Feb 06, 1939","Jul 07, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2015",,Paperback,view,/book/show/105706.The_Big_Sleep
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perchance to Dream: Selected Stories,"Beaumont, Charles",0143107658,9780143107651,0143107658,320        pp,3.93,"1,155","Oct 13, 2015","Oct 13, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 08, 2015",,Paperback,view,/book/show/24611644-perchance-to-dream
