,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jessica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mask Falling        (The Bone Season, #4)","Shannon, Samantha*",1639734619,9781639734610,1639734619,544        pp,4.45,"10,522","Jan 26, 2021","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/201559379-the-mask-falling
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simon Sort of Says,"Bow, Erin*",1368082858,9781368082853,1368082858,320        pp,4.33,"3,204","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/61030596-simon-sort-of-says
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lore Olympus: Volume Six        (Lore Olympus, #6)","Smythe, Rachel*",059359908X,9780593599082,059359908X,432        pp,4.47,"3,544","May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/195888453-lore-olympus
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Brief Cases        (The Dresden Files, #15.1)","Butcher, Jim*",0451492129,9780451492128,,516        pp,4.40,"20,870","Jun 05, 2018","Jun 05, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Worth it just for the final novelette, which shows a day at the zoo from Harry's, Maggie's, and Mouse's perspective. Also, a trio of stories about sasWorth it just for the final novelette, which shows a day at the zoo from Harry's, Maggie's, and Mouse's perspective. Also, a trio of stories about sasquatches, and a story from the POV of Gentleman Johnny Marcone. Nice all around! ...more",Notes are private!,0,5,1,"Apr 06, 2024","Apr 10, 2024","Apr 06, 2024",,ebook,view (with text),/book/show/12183815-brief-cases
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.20,337,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fate Inked in Blood        (Saga of the Unfated, #1)","Jensen, Danielle L.*",,,,414        pp,4.10,"29,458","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/209656459-a-fate-inked-in-blood
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Instant Karma        (Fortuna Beach, #1)","Meyer, Marissa*",1250618819,9781250618818,1250618819,400        pp,3.75,"21,053","Nov 03, 2020","Nov 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/53174679-instant-karma
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No More Ear Buns!,"Mathieu-Daudé, Agnès",164690804X,9781646908042,164690804X,48        pp,3.57,14,unknown,"Apr 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Adorable! This cute chapter book for young readers about a Viking girl who hates wearing skirts and eating fish was just precious and funny, and the iAdorable! This cute chapter book for young readers about a Viking girl who hates wearing skirts and eating fish was just precious and funny, and the illustrations are darling! ...more",Notes are private!,0,4,1,"Apr 02, 2024","Apr 02, 2024","Apr 04, 2024",,Paperback,view (with text),/book/show/61273058-no-more-ear-buns
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lincoln Highway,"Towles, Amor*",0735222355,9780735222359,0735222355,576        pp,4.23,"259,068","Oct 05, 2021","Oct 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Gorgeously heartbreaking. It reminded me of The Grapes of Wrath, in a way, but it didn't seem like anything was ugly or sad just for the sake of beingGorgeously heartbreaking. It reminded me of The Grapes of Wrath, in a way, but it didn't seem like anything was ugly or sad just for the sake of being ugly or sad. It just seemed so real, and yet had a fairy tale quality as well. I want to cry, thinking about some of the characters, bur others make me smile when I think of them. I'm going to be thinking about this book for a long time. ...more",Notes are private!,1,15,1,"Apr 02, 2024","Apr 06, 2024","Apr 02, 2024",,Hardcover,view (with text),/book/show/57109107-the-lincoln-highway
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hark! A Vagrant,"Beaton, Kate",1770460608,9781770460607,1770460608,168        pp,4.21,"24,508","Sep 27, 2011","Sep 27, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Hardcover,view,/book/show/10767466-hark-a-vagrant
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Exit Strategy        (The Murderbot Diaries, #4)","Wells, Martha*",,,B078X1N8VF,176        pp,4.39,"99,354","Oct 02, 2018","Oct 02, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh, Murderbot! What hijinks you do encounter! And I think your impression of Normal Human Man Walking Through Spaceport deserves an award!",Notes are private!,0,13,1,"Mar 31, 2024",Apr 2024,"Apr 02, 2024",,Kindle Edition,view (with text),/book/show/35519109-exit-strategy
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nobody's Son,"Stewart, Sean*",0441001289,9780441001286,0441001289,273        pp,3.77,463,"Jan 28, 1993","May 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Mass Market Paperback,view,/book/show/602467.Nobody_s_Son
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tattooist of Auschwitz,"Morris, Heather*",0063413108,9780063413108,0063413108,288        pp,4.30,"932,285","Jan 11, 2018","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/205030496-the-tattooist-of-auschwitz
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Saga, Volume 11","Vaughan, Brian K.*",1534345930,9781534345935,1534345930,153        pp,4.26,"4,807","Nov 29, 2023","Nov 29, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Petition to make the upcoming issues just entirely the adventures of Hazel and Squire, joining the circus, going on adventures, ending the war.",Notes are private!,0,4,1,"Mar 26, 2024","Mar 27, 2024","Mar 27, 2024",,ebook,view (with text),/book/show/29237226-saga-volume-11
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Darkness Within Us,"Levenseller, Tricia*",1250840775,9781250840776,1250840775,336        pp,4.28,189,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/201126787-the-darkness-within-us
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretty Ugly,"Sedaris, David",166266527X,9781662665271,166266527X,32        pp,3.66,376,unknown,"Feb 27, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was handed this at The King's English by a children's bookseller who then eagerly watched me read it. When I burst out laughing at the last page, shI was handed this at The King's English by a children's bookseller who then eagerly watched me read it. When I burst out laughing at the last page, she laughed with me. Then we turned around and handed it to a couple of women we had been talking to, and watched them read it, giddy with anticipation when they reached the ended, and shrieked and laughed as I had. This book is creepy, it's clever, it's funny, it's a surprise, it's everything you could want from the creator of Olivia and the guy who brought the world ""Six to Eight Black Men.""...more",Notes are private!,0,6,1,"Mar 19, 2024","Mar 19, 2024","Mar 19, 2024",,Hardcover,view (with text),/book/show/165940550-pretty-ugly
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Complicated Love Story Set in Space,"Hutchinson, Shaun David*",1534448535,9781534448537,1534448535,452        pp,3.92,"3,393","Jan 19, 2021","Jan 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Complicated? Yes. Set in space? Yes. Love story? Well, okay. I didn't care for one of the people in the love story, and was indifferent to the other. Complicated? Yes. Set in space? Yes. Love story? Well, okay. I didn't care for one of the people in the love story, and was indifferent to the other. This really is one of those books where you're like, I'm not the audience for this. I really liked some aspects of the story, and every time my attention would wander, there would be some sort of insane sci fi movie twist to reel me back in! But other times I was like, That thing you mentioned in passing? That's what I want to hear about! That thing you keep going on and on about? I could not care less. A younger reader who wanted to read a romance about two boys in space will go nuts for this, though. ...more",Notes are private!,0,5,1,"Mar 16, 2024","Mar 26, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/54304222-a-complicated-love-story-set-in-space
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Emily Wilde’s Map of the Otherlands        (Emily Wilde, #2)","Fawcett, Heather*",0593500199,9780593500194,0593500199,345        pp,4.37,"24,002","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/134117196-emily-wilde-s-map-of-the-otherlands
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unwedding,"Condie, Ally*",1538757583,9781538757581,1538757583,320        pp,3.78,93,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/199262864-the-unwedding
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One of Our Kind,"Yoon, Nicola*",0593470672,9780593470671,0593470672,272        pp,3.44,118,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/200287110-one-of-our-kind
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night War,"Bradley, Kimberly Brubaker*",0735228566,9780735228566,0735228566,288        pp,4.31,128,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/186872349-the-night-war
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Write Fearless. Edit Smart. Get Published. | A Master Class for Fiction Writers.,"Mangum, Lisa*",1639933018,9781639933013,1639933018,240        pp,0.00,0,unknown,"Jan 07, 2025",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Mar 12, 2024",,Paperback,view,/book/show/208177124-write-fearless-edit-smart-get-published-a-master-class-for-fiction
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sorceress Comes to Call,"Kingfisher, T.",1250244072,9781250244079,1250244072,336        pp,4.54,98,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/195790847-a-sorceress-comes-to-call
