,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sheila's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cold, Colder, Coldest","Jandrey, G Davies",1611794242,9781611794243,1611794242,248        pp,5.00,2,unknown,"Apr 24, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Detective Marie Stansky's cold cases offer mystery and speculation, well seasoned with great characters and threads of family drama, perfectly tied toDetective Marie Stansky's cold cases offer mystery and speculation, well seasoned with great characters and threads of family drama, perfectly tied to time(s) and place. Readers of Deep Breathing will recognize some of the characters and enjoy revisiting their lives. Reader of The Law of Unintended Consequences too. But new readers won’t feel left behind, and could easily pick this intriguing novel up first.Jandrey’s characters are no cardboard cutouts. Those with physical, mental, or emotional difficulties are never defined by their trials, but rather by who they really are—not invisible, not ignorable either. Relationships are complex, not broken. Healing requires quiet effort and conscious thought. And mysteries are made for forgiveness and kindness to strangers, not mere intellectual exercise.From cops to homeless guys, from wheelchair to wedding, and from traditional (large) family values to real values, this novel entertains (with great humor), entices (with fascinating puzzles), and engages the reader (with trials and triumphs). It’s far more than police procedural or cozy (or uncozy) mystery. It’s slice of life, outlook on life, and celebration of life in all its complications, and it’s a great read.Disclosure: I read Deep Breathing and I was delighted to find I could meet those characters again....more",Notes are private!,0,1,1,not set,"Apr 08, 2024","Apr 08, 2024",,Paperback,view (with text),/book/show/208966228-cold-colder-coldest
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Evans Above        (Constable Evans, #1)","Bowen, Rhys*",0425166422,9780425166420,0425166422,214        pp,3.82,"7,255","Nov 15, 1997",Dec 1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set evocatively in a sleepy Welsh village at the foot of Mount Snowden, Evans Above introduces P.C. Evan Evans. Returned to a place of many Evanses wiSet evocatively in a sleepy Welsh village at the foot of Mount Snowden, Evans Above introduces P.C. Evan Evans. Returned to a place of many Evanses with many occupations, he finds his quiet life troubled by fallen hikers on the mountain (who may have been pushed) and overly solicitous women (eager to marry or marry him off). Not quite cozy, not quite police procedural, and not just another village drama, it’s a fun story with enticing characters and scenery and a plot with clever clues that all work together.It’s the details that make the story – details of mountain and village life, details of dialog and hints of Welsh language, details of relationships, and details of British policing. It’s hard to read without hearing that Welsh lilt in the English conversation, or without turning around and expecting to see the mountain towering above.Mystery connoisseurs will probably solve the mystery at the same time as the protagonist. But others will follow along, enjoying his logical reasoning and making their own guesses – not just who the murderer is, but also how many murderers, who stole the pie and who will get the guy. It's an enjoyable evocative read.Disclosure: I think my mum was given it in Whales. I borrowed it from her and enjoyed it....more",Notes are private!,0,1,1,not set,"Apr 08, 2024","Apr 08, 2024",,Mass Market Paperback,view (with text),/book/show/383515.Evans_Above
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Pear-Shaped Life,"Harrington, Carmel*",0008276633,,B07NZM6BB7,384        pp,3.82,"1,347",unknown,"Mar 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Funny, confident, carefree Greta Gale is just waiting for her big break as an actor, and surely one day she’ll get the perfect part. Acting is her dreFunny, confident, carefree Greta Gale is just waiting for her big break as an actor, and surely one day she’ll get the perfect part. Acting is her dream and her life, and eating is her consolation. But perhaps she’s not as confident and carefree as she seems, while sleeping tablets fuel destructive disaster.Meanwhile, across the ocean in the United States, there’s another Greta Gale inspiring people like Greta with books and podcasts. Irish Greta would love to be more like her. But no one is quite who they seem in this deceptively intriguing novel. A yellow brick road, peopled with cowardly lion and more, entices the reader on toward surprising conclusions as Greta sets out to travel, and travels well.The characters, Irish and American, are convincing. Their stories are more than cookie-cutter life-lessons. The road trip/yellow brick road theme is very neatly imagined. And the conclusion is satisfying without being predictable. I really enjoyed the read.Disclosure: My sister-in-law thought I’d like it and she was right....more",Notes are private!,0,1,1,not set,"Apr 08, 2024","Apr 08, 2024",,Kindle Edition,view (with text),/book/show/45727646-my-pear-shaped-life
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cut and Thirst,"Atwood, Margaret*",1662523335,9781662523335,B0CRJGKXBS,35        pp,3.06,"3,189","May 01, 2024","May 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A group of elderly women have a deep thirst for revenge as they meet together over plates of cheese and contemplate adding murder to the platter. The A group of elderly women have a deep thirst for revenge as they meet together over plates of cheese and contemplate adding murder to the platter. The characters are fun and quirky. Their grievance is deeply literary. And their targets are the evil men who besmirched the name of their novelist friend. There are pleasing allusions those eternal questions of what constitutes good writing, and there’s humor and hilarity in the intended murder methods. But it all boils down to human nature in the end—nature well-drawn and well-told in this entertaining and odd short story.Disclosure: I couldn’t resist a short story by Margaret Atwood!...more",Notes are private!,0,1,1,not set,"Apr 08, 2024","Apr 08, 2024",,Kindle Edition,view (with text),/book/show/209411839-cut-and-thirst
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Matterhorn        (Mac Dekker, #1)","Reich, Christopher",166251655X,9781662516559,B0CCGVFLXC,344        pp,4.32,"4,545","Apr 01, 2024","Apr 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A young spy dies on the Matterhorn. An old man hears the news. And tragedy reveals secrets long hidden, as well as bringing elderly spies together to A young spy dies on the Matterhorn. An old man hears the news. And tragedy reveals secrets long hidden, as well as bringing elderly spies together to solve the mystery and save the world.The stakes are high and the politics all too real in this contemporary action story. Aging agents add a dimension of wisdom and determination. And a blend of ancient and modern gives pleasing intrigue to the tale. It’s a gripping thriller, with a cool backdrop of mountain and mounting threats, and the author cleverly avoids taking any side but the side of good actions flowing from good intentions.Disclosure: I got it on a deal and enjoyed the read....more",Notes are private!,0,1,1,not set,"Apr 08, 2024","Apr 08, 2024",,Kindle Edition,view (with text),/book/show/193772031-matterhorn
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Songbirds,"Lefteri, Christy",0593238044,9780593238042,0593238044,336        pp,4.04,"20,604","Jul 08, 2021","Aug 03, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Poachers kill songbirds in Cyprus. Employers wound immigrant women. And mothers keep themselves separate from their children. But Christy Lefteri’s noPoachers kill songbirds in Cyprus. Employers wound immigrant women. And mothers keep themselves separate from their children. But Christy Lefteri’s novel offers redemption to employer, mother and poacher, as each learns a different way of seeing lives worth caring for and saving. Meanwhile readers get to share in an intriguingly different way of life, evocatively portrayed from different points of view.What leads a successful academic to become a poacher? What makes an intelligent woman fail to remain close to her daughter? What makes a servant leave or stay? And why don’t the authorities care?Songbirds begins with a missing woman and the question of how she disappeared. But there’s so much more to it. The characters’ choices challenge reader expectations as well as the assumptions made by protagonists. The search for the missing woman is also a search through the hearts of those who knew her. And the resolution echoes with changed hearts and wiser paths.The writing kept me glued to the page—evocative, heart-rending but delightfully humorous, and full of insight and life. I really enjoyed the read.Disclosure: My sister in law thought I’d enjoy it and I did...more",Notes are private!,0,1,1,not set,"Apr 08, 2024","Apr 08, 2024",,Hardcover,view (with text),/book/show/56293868-songbirds
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hour,"Hoffman, Alice*",1982175389,9781982175382,1982175389,272        pp,3.63,"28,006","Aug 15, 2023","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/199798000-the-invisible-hour
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eyes of Darkness,"Koontz, Dean*",0425153975,9780425153970,0425153975,369        pp,3.81,"31,974",1981,"Jul 01, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The premise and characters draw readers quickly into a curious mystery in this novel. Why is a woman getting messages from her dead son? And why is moThe premise and characters draw readers quickly into a curious mystery in this novel. Why is a woman getting messages from her dead son? And why is moving on so hard?Of course, the resolution is fascinating, mysterious, and scary. Moving from everyday tragedy to tragic plots and planning, the story unsettles, confuses, and ultimately satisfies the reader, and is a really good read.Disclosure: I borrowed it and thoroughly enjoyed it....more",Notes are private!,0,1,1,not set,"Jan 10, 2024","Mar 08, 2024",,Hardcover,view (with text),/book/show/32443.The_Eyes_of_Darkness
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dress,"Meador, Minnette*",,,B0CVV5DNN7,57        pp,4.67,3,unknown,"Feb 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fairytale story of a misfit girl trying to find her way in life, Minnette Meador’s The Dress draws in readers young and old with delightful humor anA fairytale story of a misfit girl trying to find her way in life, Minnette Meador’s The Dress draws in readers young and old with delightful humor and a pitch-perfect narrative voice. The story reads smoothly and is filled with great characters and enjoyable details. Every scene is important, and every minor step will lead to a cool, scary, exciting, and wonderfully satisfying conclusion. It’s a gem of a book!Disclosure: I’ve met the author, many years ago, and I couldn’t resist the cover of this book! I’m so glad I added it to my library....more",Notes are private!,0,1,1,not set,Mar 2024,"Mar 08, 2024",,Kindle Edition,view (with text),/book/show/208817552-the-dress
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mind the Gap        (Hidden Cities, #1)","Golden, Christopher*",0553384694,9780553384697,0553384694,370        pp,3.40,429,"May 20, 2008","May 20, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Set in a very convincing London (ancient and modern), Mind the Gap is a fast-paced teen paranormal mystery where echoes of N.K Jemisin and Charles DicSet in a very convincing London (ancient and modern), Mind the Gap is a fast-paced teen paranormal mystery where echoes of N.K Jemisin and Charles Dickens blend with history and a touch of magic, and a gang of teenage kids take in one new member, Jazz, without knowing how she will change their lives.Much of the mystery centers on who knows what and why. Meanwhile a terrifying start slides smoothly into Oliver Twist-style theft and entertainment, which slides equally smoothly back into terror.This is no sweet teen romance (though there is romance). It’s no easy teen victory (though there will be victory, of a sort). And it’s not an easy read. But it’s fast, fun, intriguing, and scary, with a curiously believable sense for what lies beneath London, and a very cool sense of magic. Teen fiction with serious edge.Disclosure: I’d just read The City We Became when I saw this and couldn’t resist it....more",Notes are private!,0,1,1,not set,"Mar 08, 2024","Mar 08, 2024",,Paperback,view (with text),/book/show/2575034-mind-the-gap
