,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tracy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wrong Sister,"Douglas, Claire*",140595762X,9781405957625,B0CBP8MMXF,400        pp,4.22,941,unknown,"Mar 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/188025684-the-wrong-sister
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middletide,"Crouch, Sarah*",166803509X,9781668035092,166803509X,288        pp,4.18,121,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/199798457-middletide
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Together Tea,"Kamali, Marjan*",0062236806,9780062236807,0062236806,321        pp,3.97,"5,361","May 21, 2013","May 21, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/16240786-together-tea
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Expiration Dates,"Serle, Rebecca*",1982166827,9781982166823,1982166827,272        pp,3.79,"12,954","Mar 19, 2024","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.25 stars ⭐️ A slower start. I wasn’t a fan of, One Italian Summer, and I had no expectations for this one. The synopsis intrigued me enough to pick 4.25 stars ⭐️ A slower start. I wasn’t a fan of, One Italian Summer, and I had no expectations for this one. The synopsis intrigued me enough to pick this up though and I amso glad I did. The halfway point is where I was completely drawn in and the ending was perfectly executed. Story line was unique and light-hearted. Highly recommend. ...more",Notes are private!,2,6,1,"Mar 30, 2024",Apr 2024,"Mar 30, 2024",,Hardcover,view (with text),/book/show/176443178-expiration-dates
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last One at the Wedding,"Rekulak, Jason*",1250895790,9781250895790,B0CPWT13KW,0        pp,5.00,4,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/203590129-the-last-one-at-the-wedding
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wolf Hall        (Thomas Cromwell, #1)","Mantel, Hilary",0007230184,,B00IFARVYA,653        pp,3.90,"210,307","Apr 30, 2009",2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/6101138-wolf-hall
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Our Yesterdays: A Novel of Lady Macbeth,"Morris, Joel H.",0593715381,9780593715383,B0C7TC9KD9,363        pp,3.90,184,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/177178507-all-our-yesterdays
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whale Fall,"O'Connor, Elizabeth",0593700910,9780593700914,0593700910,224        pp,4.12,201,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/195888522-whale-fall
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Truth about the Devlins,"Scottoline, Lisa*",0525539700,9780525539704,0525539700,384        pp,4.07,"3,183","Mar 26, 2024","Mar 26, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My favourite character in this book was the cat, Mango and I am a dog person. This started strong but lulled in the middle. A family of lawyers and onMy favourite character in this book was the cat, Mango and I am a dog person. This started strong but lulled in the middle. A family of lawyers and one is corrupt. This reminded me a little bit of the Murdagh legal family where one of them is a bad apple. The writing was also worthy of a few eye rolls. I just didn’t connect with this book at all. I think I have read quite a few good thrillers this year that were extremely strong, and this one just didn’t compare. 2.5 stars ⭐️ ...more",Notes are private!,2,3,1,Apr 2024,"Apr 10, 2024","Mar 26, 2024",,Hardcover,view (with text),/book/show/181350612-the-truth-about-the-devlins
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How to Solve Your Own Murder        (Castle Knoll Files, #1)","Perrin, Kristen*",0593474015,9780593474013,0593474015,368        pp,3.91,"4,705","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/181350367-how-to-solve-your-own-murder
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coast Road,"Murrin, Alan",0063336529,9780063336520,0063336529,320        pp,4.14,51,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/198530985-the-coast-road
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Happened to Nina?,"McTiernan, Dervla*",,9780063042285,,unknown,4.22,"3,723","Mar 05, 2024","Mar 26, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars ✨ This was an outstanding audiobook listen. When I listen to audio, I usually listen only when I am walking, but towards the last 70% I coul4.5 stars ✨ This was an outstanding audiobook listen. When I listen to audio, I usually listen only when I am walking, but towards the last 70% I couldn’t shut this off.Last year I read, The Murder Rule, and was not as impressed as I have been by her other books. This made up for it 100%. Girlfriend and boyfriend go on a hike. Only the boyfriend comes back. It seems that it is pretty easy to imagine who killed her. It is all of the in between that really pulled me in. How much would you do to protect your child and family? Do we really know what the intricacies of our children’s relationships are?There was one tiny part that bothered me. ...more",Notes are private!,4,6,1,"Apr 03, 2024","Apr 04, 2024","Mar 25, 2024",,Audiobook,view (with text),/book/show/208084479-what-happened-to-nina
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sandwich,"Newman, Catherine*",0063345161,9780063345164,0063345161,240        pp,4.26,172,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/200028726-sandwich
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darling Girls,"Hepworth, Sally*",125028452X,9781250284525,125028452X,368        pp,4.21,"17,622","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/127280429-darling-girls
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Lovers,"Henry, Emily*",,,0593440870,377        pp,4.14,"1,049,699","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/58690308-book-lovers
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Act of Esme Lennox,"O'Farrell, Maggie*",0755334809,9780755334803,0755334809,278        pp,3.92,"42,990",2006,"May 17, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/817670.The_Vanishing_Act_of_Esme_Lennox
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lake of Lost Girls,"Greene, Katherine*",1639109080,9781639109081,1639109080,320        pp,4.02,193,unknown,"Nov 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/207571151-the-lake-of-lost-girls
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fallen Angel,"Brookmyre, Chris",1408710838,9781408710838,1408710838,293        pp,4.10,"2,576","Apr 25, 2019","Apr 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/43063636-fallen-angel
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Perfect Mothers: A Novel,"Zacharias, Karen Spears*",088146922X,9780881469226,B0CV5T4WVL,227        pp,4.40,5,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Kindle Edition,view,/book/show/207705647-no-perfect-mothers
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,471","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/181110028-the-great-divide
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One of Our Own,"Berry, Lucinda*",,,B0CM4ZRYFZ,unknown,4.08,"3,854","Mar 12, 2024","Mar 12, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 ⭐️ This was a short thriller about a suicide hotline worker, Felecia. She takes a call from a young lady that is in distress and considering endin3.5 ⭐️ This was a short thriller about a suicide hotline worker, Felecia. She takes a call from a young lady that is in distress and considering ending her life. From there, Felecia gets wrapped up in a situation that hits close to home. Though short, this was thoroughly entertaining. In my younger life, I was a 911 operator and so it brought up some calls that I answered, which will never leave me. It was easy to insert myself into the scenario.There is nothing overly surprising about this book. It is short and gets right to the point. I enjoyed listening to this on audiobook as, and the ringing of the phone made it even more authentic then reading it.If you are looking for a great audiobook this will definitely hit the mark. ...more",Notes are private!,0,1,1,"Apr 06, 2024","Apr 06, 2024","Mar 12, 2024",,Audible Audio,view (with text),/book/show/203146256-one-of-our-own
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trial,"Spain, Jo*",1529419220,9781529419221,1529419220,368        pp,4.44,45,"Jun 06, 2024","Apr 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/209446057-the-trial
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Until August,"García Márquez, Gabriel",0593801997,9780593801994,0593801997,144        pp,3.78,"7,222","Mar 06, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/199928404-until-august
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When the Jessamine Grows,"Everhart, Donna*",149674070X,9781496740700,149674070X,400        pp,4.24,"1,754","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/138378707-when-the-jessamine-grows
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Goodbye Birdie Greenwing,"Waller, Ericka",1473578469,9781473578463,B0CGLG91SD,347        pp,4.68,59,unknown,"Apr 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Kindle Edition,view,/book/show/197836991-goodbye-birdie-greenwing
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kill for Me, Kill for You","Cavanagh, Steve*",,,B0C7RLB11D,351        pp,4.28,"13,245","Jul 20, 2023","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Move this up on your TBR if you are looking for an excellent psychological thriller. This was told in several different POVs. It is based on the tropeMove this up on your TBR if you are looking for an excellent psychological thriller. This was told in several different POVs. It is based on the trope of Strangers on the Train, by Alfred Hitchcock, which I have never read. It started slow and didn’t hook me in the way a previous thriller read had. A slow burn for sure. Then at 30% it picked up pace and you wondered where it was all heading. I for one, didn’t see it all clearly until the last few pages.Why four stars? I felt that parts of it were not authentic. The background was New York but I found some of the speech of the characters to be more British in language and style. (This is probably just me.) Also, as stated, it started slow and parts were a bit unbelievable. Still….. read this book. I can understand the high s this is receiving. Probably more of a 4.25 read to be honest....more",Notes are private!,0,5,1,"Mar 20, 2024","Mar 24, 2024","Mar 05, 2024",,Kindle Edition,view (with text),/book/show/177058954-kill-for-me-kill-for-you
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night We Lost Him,"Dave, Laura*",1668002930,9781668002933,1668002930,320        pp,4.21,28,"Oct 01, 2024","Oct 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/207299448-the-night-we-lost-him
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.22,"10,608","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/174156145-the-hunter
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,383","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/58210933-trust
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Good Night, Irene","Urrea, Luis Alberto*",0316265853,9780316265850,0316265853,407        pp,4.15,"16,207","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/63023640-good-night-irene
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Long Time Dead: A D.I. Duncan McAdam Mystery,"Dalgliesh, J M*",1800802919,9781800802919,1800802919,368        pp,4.41,"7,449","Oct 15, 2023","Oct 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/199539205-a-long-time-dead
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blue Iris,"Stone, Rachel*",,9798888240953,B0CCSS6MX4,378        pp,4.49,94,unknown,"Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/195021783-the-blue-iris
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unquiet Bones,"White, Loreth Anne*",1662518005,9781662518003,1662518005,351        pp,4.26,"3,797","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/151984427-the-unquiet-bones
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Thought It Was Just Me (But It Isn't): Making the Journey from ""What Will People Think?"" to ""I Am Enough""","Brown, Brené*",1592403352,9781592403356,1592403352,303        pp,4.20,"24,849",2007,"Dec 27, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/2689871-i-thought-it-was-just-me-but-it-isn-t
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dead Man of Storr        (The Misty Isle #2),"Dalgliesh, J M*",,,B0CKLJDHWP,352        pp,4.40,"5,717","Nov 19, 2023","Nov 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Kindle Edition,view,/book/show/199476500-the-dead-man-of-storr
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stoner,"Williams, John",1590171993,9781590171998,1590171993,288        pp,4.33,"166,212",1965,"Jun 20, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/166997.Stoner
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burial Rites,"Kent, Hannah*",0316243914,9780316243919,0316243914,336        pp,4.03,"112,514","Sep 10, 2013","Sep 10, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/17333319-burial-rites
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Lovely Lie,"Hendricks, Jaime Lynn",1613165196,9781613165195,B0CK566Y44,0        pp,4.26,253,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Kindle Edition,view,/book/show/69706058-a-lovely-lie
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Holding,"Norton, Graham",1444792008,9781444792003,1444792008,320        pp,3.83,"30,760","Oct 06, 2016","Oct 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/31364727-holding
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Seven Sisters        (The Seven Sisters, #1)","Riley, Lucinda",1476759901,9781476759906,1476759901,460        pp,4.18,"130,147","Nov 01, 2014","May 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/22609358-the-seven-sisters
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",1250880319,9781250880314,1250880319,352        pp,4.22,"34,600","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My 6th 5 ⭐️ this year. What is going on? A book owner is the one who recommended this and said, “I am very picky about thrillers because sometimes theMy 6th 5 ⭐️ this year. What is going on? A book owner is the one who recommended this and said, “I am very picky about thrillers because sometimes they are too overdone and try too hard to impress. But this one was amazing.” I share her sentiment. - especially the amazing part. I couldn’t put this down and have a serious book hangover today so I hope someone else is making supper. ...more",Notes are private!,4,8,1,"Mar 17, 2024","Mar 19, 2024","Feb 22, 2024",,Hardcover,view (with text),/book/show/127279000-listen-for-the-lie
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild and Distant Seas,"Roberts, Tara Karr*",1324064889,9781324064886,1324064889,304        pp,3.82,900,"Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/150779156-wild-and-distant-seas
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Happened To You?: Conversations on Trauma, Resilience, and Healing","Perry, Bruce D.",1250223180,9781250223180,1250223180,304        pp,4.45,"79,867","Apr 27, 2021","Apr 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/53238858-what-happened-to-you
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light of Eternal Spring by Angel Di Zhang,"Di Zhang, Angel*",1039004504,9781039004504,1039004504,233        pp,3.98,397,unknown,"Jan 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A wonderful debut for Canadian literature. This book grabbed me right away. Amy receives word that her estranged mother has passed away. Living in NewA wonderful debut for Canadian literature. This book grabbed me right away. Amy receives word that her estranged mother has passed away. Living in New York since she was 18, Amy returns to her homeland of Northeastern China. The Chinese stories and the lessons throughout the book speak of forgiveness and redemption. “For me, it was not only possible but necessary to have two homes. To be where I needed a place I came from and the place I chose.”Highly recommend. 4.5 stars....more",Notes are private!,2,7,1,"Feb 24, 2024","Feb 24, 2024","Feb 20, 2024",,Paperback,view (with text),/book/show/63387762-the-light-of-eternal-spring-by-angel-di-zhang
