,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Linda's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Quilter's Daughter        (Daughters of Lancaster County, #2)","Brunstetter, Wanda E.*",1593107145,9781593107147,1593107145,288        pp,4.23,"3,172",2005,"Jan 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 30, 2013",,Paperback,view,/book/show/181416.The_Quilter_s_Daughter
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daughters of Lancaster County        (Daughters of Lancaster County, #1-3)","Brunstetter, Wanda E.*",1597898392,9781597898393,1597898392,888        pp,4.44,832,2005,"Nov 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 30, 2013",,Hardcover,view,/book/show/918936.Daughters_of_Lancaster_County
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Simple Act: Discovering the Power of Generosity,"Macomber, Debbie*",1439108935,9781439108932,1439108935,224        pp,4.10,"1,212","Jan 01, 2009","Nov 03, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 30, 2013",,Hardcover,view,/book/show/6344046-one-simple-act
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Calling Me Home,"Kibler, Julie*",1250014522,9781250014528,1250014522,325        pp,4.25,"43,550","Aug 20, 2012","Feb 12, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2013",,Hardcover,view,/book/show/15793184-calling-me-home
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leading Change,"Kotter, John P.*",0875847471,9780875847474,0875847471,187        pp,4.03,"21,801","Jan 01, 1988","Sep 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2013",,Audiobook,view,/book/show/51370.Leading_Change
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Year with Eleanor,"Hancock, Noelle",0061875031,9780061875038,0061875031,304        pp,3.87,"6,923",Jun 2011,"Jun 07, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2013",,Hardcover,view,/book/show/10321825-my-year-with-eleanor
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lilac Bus,"Binchy, Maeve",0099498642,9780099498643,0099498642,196        pp,3.65,"13,768",1984,"Jan 12, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 26, 2012",,Paperback,view,/book/show/41952.The_Lilac_Bus
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Scarf,"Furnivall, Kate*",0425221644,9780425221648,0425221644,470        pp,3.79,"5,297","Jan 01, 2008","Jun 24, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 26, 2012",,Paperback,view,/book/show/2309409.The_Red_Scarf
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer of the Bear,"Pollen, Bella*",0230748708,9780230748705,0230748708,441        pp,3.71,"2,378",2010,2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is somewhat melancholy for me as the father dies and the author explains the trials the three children go through. I had this experience alsThis book is somewhat melancholy for me as the father dies and the author explains the trials the three children go through. I had this experience also, my Dad died when I was young. Yet this story comes from the true story of an escaped bear near the Scottish Isles. In the end the book reminds us that there are no coincidences. A very intriguing read....more",Notes are private!,0,0,1,"Jul 20, 2012","Aug 05, 2012","Jul 20, 2012",,Hardcover,view (with text),/book/show/8474682-the-summer-of-the-bear
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Flight of Gemma Hardy,"Livesey, Margot*",0062064223,9780062064226,0062064223,443        pp,3.61,"15,710",2012,"Jan 24, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2012",,Hardcover,view,/book/show/12002819-the-flight-of-gemma-hardy
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Larson, Erik*",030740885X,9780307408853,030740885X,451        pp,3.88,"201,637","May 10, 2011","Jan 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2012",,Paperback,view,/book/show/12602377-in-the-garden-of-beasts
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,South of Broad,"Conroy, Pat",038541305X,9780385413053,038541305X,514        pp,3.85,"47,808","Aug 11, 2009","Aug 11, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 08, 2012",,Hardcover,view,/book/show/6135237-south-of-broad
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mere Christianity,"Lewis, C.S.",0684823780,9780684823782,0684823780,191        pp,4.35,"412,770",1942,"Jan 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2012",,Paperback,view,/book/show/11138.Mere_Christianity
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Noah's Compass,"Tyler, Anne*",0307272400,9780307272409,0307272400,277        pp,3.37,"13,306",2009,"Jan 05, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2012",,Hardcover,view,/book/show/6261277-noah-s-compass
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Storekeeper's Daughter        (Daughters of Lancaster County, #1)","Brunstetter, Wanda E.*",1593104464,9781593104467,1593104464,318        pp,4.16,"4,118","Jan 01, 2005","Mar 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Pennsylvania Dutch Amish country is a relaxed simple living and wonderful place to live. The Fisher family has anything but a simple life. Yet the LORPennsylvania Dutch Amish country is a relaxed simple living and wonderful place to live. The Fisher family has anything but a simple life. Yet the LORD does not give us more than we can handle one friend quotes from the bible. This book is filled with Dutch words...bible verses...and the story of triumph over tragedy. A mother dies suddenly. A baby is kidnapped from the family. the family does not keep well with the stress of these tragedy's especially the oldest daughter Naomi who get the majority of her mothers responsibilities placed on her shoulders....more,Notes are private!,0,1,1,not set,"Jun 22, 2012","Jun 22, 2012",,Paperback,view (with text),/book/show/136967.The_Storekeeper_s_Daughter
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortal Life of Henrietta Lacks,"Skloot, Rebecca*",1400052181,9781400052189,1400052181,382        pp,4.12,"735,191","Feb 02, 2010",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 16, 2012",,Paperback,view,/book/show/9571617-the-immortal-life-of-henrietta-lacks
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hemlock Bay        (FBI Thriller, #6)","Coulter, Catherine*",0515133302,9780515133301,0515133302,352        pp,4.05,"10,095",Jan 2001,"Jul 02, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I enjoy the who- done-it of Catherine Coulters character mystery novels.Dillon and Lacey are a married couple that work for the FBI. they are working I enjoy the who- done-it of Catherine Coulters character mystery novels.Dillon and Lacey are a married couple that work for the FBI. they are working to find a really crazy woman and a leader of a cult while trying to protect their son and Dillon's sister from the mayhem that ensues. A real page turning mystery I highly reccomend....more,Notes are private!,0,0,1,"Jun 16, 2012","Jun 28, 2012","Jun 16, 2012",,Mass Market Paperback,view (with text),/book/show/319139.Hemlock_Bay
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Wedding in December,"Shreve, Anita",0316154512,9780316154512,B007C4QBKK,352        pp,3.13,"21,008","Oct 10, 2005","Jan 01, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The woman who is to be married, Bridget has had a bout with breast cancer. She finds her high school sweetheart at a reunion and the relationship beg The woman who is to be married, Bridget has had a bout with breast cancer. She finds her high school sweetheart at a reunion and the relationship begins. The author has written of the phases of cancer treatment with clarity. A reader can understand what a woman goes through from first diagnosis to treatment to after treatment. High School friends all gather at a new Inn owned by, Nora, for the wedding. The friendships are explored and it is not only the wedding but a tragedy from their high school days that meshes these friends together during this weekend...a fun read....more",Notes are private!,0,0,1,not set,"Jun 05, 2012","Jun 14, 2012",,Paperback,view (with text),/book/show/14963.A_Wedding_in_December
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Matter of Marriage,"Macomber, Debbie*",077832379X,9780778323792,077832379X,384        pp,3.95,"4,463",Apr 1997,"Dec 27, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I read these 'fluffy' love novels when I need a break from serious reading...on to something with more subsistence!I read these 'fluffy' love novels when I need a break from serious reading...on to something with more subsistence!...more,Notes are private!,0,0,1,"Jun 02, 2012","Jun 05, 2012","Jun 02, 2012",,Paperback,view (with text),/book/show/538262.This_Matter_of_Marriage
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkable Creatures,"Chevalier, Tracy*",0007178379,9780007178377,0007178379,352        pp,3.88,"51,266",2009,"Aug 24, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This novel is about two women who live to collect fossils. While it is considered an unladylike, dirty, and mysterious pursuit Mary Anning a poor EnglThis novel is about two women who live to collect fossils. While it is considered an unladylike, dirty, and mysterious pursuit Mary Anning a poor English young woman has the 'eye' for finding these collectables then selling them to help support her poor family. Three sisters move to Lyme Regis where Mary lives. The older Miss Philpot becomes fast friends with Mary as they begin to scan the beaches together in their pursuit of fossil hunting. The love life of sister Margaret, the sorrow of the poor family of Mary's, and the soothing behavior of sister Louise all add to an adventure of finding some of the earliest whole fossils specimens for England's museums. Men come in and out of the Mary and Elizabeth Philpot's lives and men will always get the credit for the discoveries of the fossils as it is the day and age of men dominant role in England....more",Notes are private!,0,0,1,not set,"Jun 02, 2012","Jun 02, 2012",,Hardcover,view (with text),/book/show/6457081-remarkable-creatures
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Stone Angel        (Kathleen Mallory, #4)","O'Connell, Carol",051512298X,9780515122985,051512298X,388        pp,4.10,"4,160",1997,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 02, 2012",,Mass Market Paperback,view,/book/show/74694.Stone_Angel
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gift from the Sea,"Lindbergh, Anne Morrow",0394724550,9780394724553,0394724550,130        pp,4.15,"51,249",1955,"Jan 30, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2012",,Paperback,view,/book/show/77295.Gift_from_the_Sea
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Your Own North Star: Claiming the Life You Were Meant to Live,"Beck, Martha N.*",0812932188,9780812932188,0812932188,380        pp,4.02,"7,333",1997,"Jan 29, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2012",,Paperback,view,/book/show/66140.Finding_Your_Own_North_Star
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Zanesville,"Beard, Jo Ann",0316084476,9780316084475,0316084476,287        pp,3.62,"4,421","Apr 25, 2011","Apr 25, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2012",,Hardcover,view,/book/show/9429864-in-zanesville
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shanghai Girls        (Shanghai Girls, #1)","See, Lisa*",1400067111,9781400067114,1400067111,309        pp,3.91,"154,781","May 26, 2009","May 26, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2012",,Hardcover,view,/book/show/5960325-shanghai-girls
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adventures of Huckleberry Finn,"Twain, Mark",0142437174,9780142437179,0142437174,327        pp,3.83,"1,265,514","Feb 18, 1884","Dec 31, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2012",,Paperback,view,/book/show/2956.The_Adventures_of_Huckleberry_Finn
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Island of the Blue Dolphins,"O'Dell, Scott",0440439884,9780440439882,0440439884,184        pp,3.87,"332,524","Sep 09, 1960","Oct 01, 1971",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2012",,Paperback,view,/book/show/233818.Island_of_the_Blue_Dolphins
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falling Angels,"Chevalier, Tracy*",0452283205,9780452283206,B0014XZA02,336        pp,3.61,"25,751",2001,"Jan 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At the death of Queen Victoria three children meet at the local cemetery. Simon is the graveyard diggers son that who works with his father. Lavinia aAt the death of Queen Victoria three children meet at the local cemetery. Simon is the graveyard diggers son that who works with his father. Lavinia and Maude meet and become fast friends. Soon the families come to live next door to each other, much to Maude and Lavinia's delight. Playing in the graveyard, Simon is included in the girls friendship. As the years go by Mrs. Kitty Colman gets involved in the suffragette movement much to the shame of her family. While the girls friendship is central to the theme of this novel, the members of the family all have roles to play and opinions that spice the story up. A good read that takes place in England in the early 1900's....more",Notes are private!,0,0,1,not set,"May 17, 2012","May 22, 2012",,Paperback,view (with text),/book/show/2872.Falling_Angels
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gods and Kings        (Chronicles of the Kings, #1)","Austin, Lynn*",0764229893,9780764229893,0764229893,317        pp,4.33,"15,272",1995,"Feb 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/359994.Gods_and_Kings
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gift,Hafez,0140195815,9780140195811,0140195815,333        pp,4.40,"8,822",1999,"Aug 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/72910.The_Gift
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edible Wild Plants: A North American Field Guide,"Elias, Thomas S.",0806974885,9780806974880,0806974885,286        pp,4.22,555,Jan 1983,"Dec 31, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/977083.Edible_Wild_Plants
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Angels Watching Over Me        (Shenandoah Sisters, #1)","Phillips, Michael R.",0764227009,9780764227004,0764227009,320        pp,4.11,"6,375","Jan 01, 2003","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/817379.Angels_Watching_Over_Me
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Locket        (The Locket, #1)","Evans, Richard Paul",0671004239,9780671004231,0671004239,448        pp,4.13,"11,979",1998,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Mass Market Paperback,view,/book/show/232268.The_Locket
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mistress of the Revolution,"Delors, Catherine*",0525950540,9780525950547,0525950540,451        pp,3.91,"2,234",2008,"Mar 13, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Hardcover,view,/book/show/1706794.Mistress_of_the_Revolution
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Illuminator        (Illuminator, #1)","Vantrease, Brenda Rickman",0312331924,9780312331924,0312331924,406        pp,3.74,"6,506","Jan 01, 2004","Dec 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/690872.The_Illuminator
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ruby Ring,"Haeger, Diane*",1400051738,9781400051731,1400051738,371        pp,3.71,"1,163",2005,"Apr 05, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/25812.The_Ruby_Ring
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I, Mona Lisa","Kalogridis, Jeanne*",0312341393,9780312341398,B001F0R9YE,515        pp,3.86,"8,513","May 02, 2006","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Paperback,view,/book/show/85854.I_Mona_Lisa
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Happiness Project,"Rubin, Gretchen*",0061583251,9780061583254,0061583251,301        pp,3.65,"172,435",2009,"Dec 29, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Hardcover,view,/book/show/6398634-the-happiness-project
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Chalk Girl        (Kathleen Mallory, #10)","O'Connell, Carol",0399157743,9780399157745,0399157743,373        pp,4.06,"3,525","Jun 09, 2011","Jan 17, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2012",,Hardcover,view,/book/show/10856198-the-chalk-girl
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is Not the Life I Ordered: 50 Ways to Keep Your Head Above Water When Life Keeps Dragging You Down,"Stephens, Deborah Collins",1573243051,9781573243056,1573243051,220        pp,3.38,327,"Jan 01, 2006","Mar 01, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Life throws curve balls at the four authors and this is how they handle them with grace and surprising results.,Notes are private!,0,0,1,"Apr 14, 2012","Jun 02, 2012","Apr 14, 2012",,Hardcover,view (with text),/book/show/435659.This_Is_Not_the_Life_I_Ordered
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Win Friends and Influence People,"Carnegie, Dale",,,,288        pp,4.22,"979,835",Oct 1936,1998,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I was excited to read this book to learn more of how to treat people in interactions with them. It turned out to be a  for me of techniques I alI was excited to read this book to learn more of how to treat people in interactions with them. It turned out to be a  for me of techniques I already knew....more,Notes are private!,0,0,1,"Apr 14, 2012","May 15, 2012","Apr 14, 2012",,Paperback,view (with text),/book/show/4865.How_to_Win_Friends_and_Influence_People
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Reliable Wife,"Goolrick, Robert",1565125967,9781565125964,1565125967,291        pp,3.27,"79,080","Mar 16, 2009","Mar 31, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book is written after the author reads the conditions and happenings of peoples that endure long harsh winters. The book takes you into the life This book is written after the author reads the conditions and happenings of peoples that endure long harsh winters. The book takes you into the life a a only man who advertises for a wife. When the wife appears she is worth her weight in gold as she saves the life of Truitt the man who has sent for her. A good two day read. ...more,Notes are private!,0,0,1,not set,Apr 2012,"Apr 02, 2012",,Hardcover,view (with text),/book/show/4929705-a-reliable-wife
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Illustrated Kama Sutra,"Vātsyāyana, Mallanaga",1594777705,9781594777707,,320        pp,3.46,"6,472",300,"Oct 07, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 02, 2012",,ebook,view,/book/show/12708132-the-complete-illustrated-kama-sutra
