,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Frank's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Name Is Lucy Barton        (Amgash, #1)","Strout, Elizabeth*",1400067693,9781400067695,1400067693,193        pp,3.58,"161,442","Jan 12, 2016","Jan 12, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In this simple gem, Elizabeth Trout gives us, page by page, little glimpses of her character’s life. In the end, the book adds up to a profound, deeplIn this simple gem, Elizabeth Trout gives us, page by page, little glimpses of her character’s life. In the end, the book adds up to a profound, deeply felt look at a life full of unthinkable pain and equally unthinkable love and forgiveness. As much as any writer I know, Strout has mastered the proverb “less is more.”...more",Notes are private!,0,0,1,"Mar 27, 2024","Mar 29, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/25893709-my-name-is-lucy-barton
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maltese Falcon,"Hammett, Dashiell",,,,213        pp,3.88,"107,008",1930,"Mar 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Maltese Falcon was Dashiell Hammett’s most famous novel, and the detective Sam Spade his most memorable character, but his enduring legacy to liteThe Maltese Falcon was Dashiell Hammett’s most famous novel, and the detective Sam Spade his most memorable character, but his enduring legacy to literature is his lean, macho style of writing, a style which has influenced generations of mystery writers after him.Spade is a tough San Francisco private detective whose partner, Miles Archer, is hired to find a beautiful client’s sister. Archer follows the sister’s companion, but both he and the guy he’s following are murdered. When Spade seeks to find justice for his partner, he’s drawn into a world of shady characters, all of whom seem to be looking for the statue of a falcon that was made for the king of Spain centuries ago. The jewel encrusted statue is worth a fortune.Spade’s pursuit of the falcon is big-time fun, full of epic adventures, mystery, murder, colorful characters, humor and a glorious treasure hunt. The Maltese Falcon is hardly great literature, but it set the standard for tough guy books and their authors, including Hammett’s contemporary, Ernest Hemingway. For that reason, I’m giving it five stars. ...more",Notes are private!,0,1,2,"Dec 02, 2022not set","Dec 17, 2022not set","Dec 17, 2022",,Paperback,view (with text),/book/show/29999.The_Maltese_Falcon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Faithful Place        (Dublin Murder Squad, #3)","French, Tana*",0670021873,9780670021871,0670021873,400        pp,3.99,"120,864","Jul 13, 2010","Jul 13, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A writer like Tana French doesn’t come along that often. Brilliant, infinitely readable, and most importantly to her publisher, her first two novels wA writer like Tana French doesn’t come along that often. Brilliant, infinitely readable, and most importantly to her publisher, her first two novels were huge best sellers. I read both of them and gave them both five stars. So I was disappointed that her third, Faithful Place, went on and on about protagonist Frank Mackey’s dysfunctional family before it got to the meat of the story. Amazon calls it a crime novel, but the first two thirds are really a family saga that could have used some serious editing. Having said all that, French is so damn good that she managed to redeem herself with an ending that’s so original and shocking I’m giving Faithful Place four stars. ...more",Notes are private!,0,1,1,"Oct 18, 2019","Nov 24, 2019","Nov 24, 2019",,Hardcover,view (with text),/book/show/7093952-faithful-place
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cemetery Road,"Iles, Greg*",0062824619,9780062824615,0062824619,590        pp,4.12,"21,139","Mar 05, 2019","Mar 05, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Greg Iles is a topnotch observer of Southern history and its defects, as he so aptly demonstrates in his latest novel, Cemetery Road. Contrary to manyGreg Iles is a topnotch observer of Southern history and its defects, as he so aptly demonstrates in his latest novel, Cemetery Road. Contrary to many ers, I didn’t see this as an anti-Trump screed, but rather a compelling story of how the personal greed of a few people ran counter to the good of the community. I was enjoying it immensely until the last hundred pages, when the plot took such an outrageous and unbelievable leap toward resolution that I found it impossible to suspend my disbelief....more",Notes are private!,0,3,1,"Mar 25, 2019","Apr 08, 2019","May 19, 2019",,Hardcover,view (with text),/book/show/40604810-cemetery-road
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Robicheaux        (En Dave Robichaux-krimi, #21)","Burke, James Lee",1501176846,9781501176845,1501176846,447        pp,4.21,"8,287","Jan 02, 2018","Jan 02, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"RobicheauxJames Lee Burke is a national treasure. He’s written 39 books; 22 of them feature the hard living, alcoholic cop Dave Robicheaux, who has thRobicheauxJames Lee Burke is a national treasure. He’s written 39 books; 22 of them feature the hard living, alcoholic cop Dave Robicheaux, who has the heart of a poet, the soul of a true democrat, a will of steel, a deep disdain for racists, and enough demons to fill a hundred books. “Robicheaux,” which was published in 2018, is his best book yet. Burke, who’s still going strong at 82, published his latest book, New Iberia Blues, a few months ago.Like all of Burke’s books, Robicheaux is a series of plots and subplots that branch out as majestically as a Louisiana live oak. It’s set in a southern Louisiana that he describes with a beauty that’s as lush as the land itself. It’s filled with eccentric and lowlife characters who are ultimately tied to Robicheaux’s epic struggles with alcohol and a past that includes a violent tour in Vietnam and years working in the New Orleans PD with Clete Purcel, a larger than life character who always seems to have Robicheaux’s back when he isn’t getting them both into trouble. Robicheaux and Purcel confront a lineup of potential murders that include a local patrician with designs on the governor’s mansion, a mysterious woman who was either the sister or cousin of the patrician, a Mafia boss who looks like ‘a gelatinous heap of whale sperm’, a crooked cop, a hired assassin who kills without remorse but looks like a circus clown and has a soft spot for abused children, a successful writer who bears a strong resemblance to Burke himself, and the ex-con who works as the patrician’s chauffer. Then there’s Robicheaux’s own battle to clear himself of the murder of the low-life drunk who killed his third wife in a car accident.It's all great fun, with enough zany characters to make “Robicheaux” worthwhile, but the best thing about this and every James Lee Burke book is the breathtaking beauty of his writing....more",Notes are private!,0,1,1,"Apr 18, 2019","May 14, 2019","May 14, 2019",,Hardcover,view (with text),/book/show/35297186-robicheaux
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Woods        (Dublin Murder Squad, #1)","French, Tana*",0670038601,9780670038602,0670038601,429        pp,3.79,"399,750","May 17, 2007","May 17, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In The Woods is listed on Amazon as a murder mystery, but it’s so much more than that. It’s a fairy tale, a love story, a police procedural, a psycholIn The Woods is listed on Amazon as a murder mystery, but it’s so much more than that. It’s a fairy tale, a love story, a police procedural, a psychological thriller, a look into the sexually damaged soul of Ireland, a literary gem, a gorgeously written book that defies genre.The author of this marvelous book, Tana French, an Irish American who was born in Vermont, spent her childhood bouncing around from country to country with her mother and her economist father. She studied acting at Trinity College in Dublin and ultimately settled there, where she still lives with her husband and two daughters. In The Woods is the first in her Dublin Murder Squad series. There are actually three story lines to this book. The first is about Rob Ryan, one of the two Irish cops who are called in to investigate the murder of a 12 year old girl. As fate would have it, as a child Ryan lived in the same village where the murdered girl lived. When he was twelve, he and his two playmates were attacked by an unknown assailant. His playmates disappeared, but Ryan was found alone in the woods, terrified and unable to remember anything. Fast forward twenty years, the disappearance of his two friends still unsolved, and he and his partner, Cassie Maddox, are pursuing the murderer of the young girl. Ryan, meanwhile, as he investigates, finds himself visiting familiar terrain and trying to find out what happened to his friends so many years ago. Was there a connection between their disappearance and the murder of this young girl?In The Woods is as much about the relationship between Ryan and Maddox as it is about the murder. French portrays Ryan as only a woman could — sensitive, caring and able to form a deep, non-sexual friendship with a woman — something few male writers would be able to portray. In fact, you really have to suspend your disbelief to accept the relationship as French portrays it. But then, it’s a fairy tale, you’ll remember. Ryan’s relationship with Cassie is one of the strengths of the book — at least until it isn’t. While French has written a brilliant book, the ending is quite disappointing. I’m still giving it five stars, even though I would have sustained the fairy tale and made it much more happily ever after....more",Notes are private!,0,1,1,"Aug 23, 2018","Oct 10, 2018","Aug 23, 2018",,Hardcover,view (with text),/book/show/237209.In_the_Woods
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An Uncertain Place        (Commissaire Adamsberg, #8)","Vargas, Fred",1846554454,9781846554452,1846554454,408        pp,3.88,"5,027",2008,"May 02, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vampire stories have been captivating the Western world ever since Bram Stoker’s classic Dracula was published in 1897. The idea of people sucking theVampire stories have been captivating the Western world ever since Bram Stoker’s classic Dracula was published in 1897. The idea of people sucking the blood from other people never appealed to me, so I resisted the urge to indulge until I recently picked up a book given to me by a friend, a book called “An Uncertain Place.” I didn’t know the book was about vampires until I had read enough to be hooked by the zany characters and breezy, erudite style of the author, the French writer Fred Vargas, who’s quite a celebrity in Europe, but virtually unknown in the States. Parisian police commissioner Jean-Baptiste Adamsberg is in London for a conference when his Scotland Yard colleague Radstock tells him about the case of a pile of shoes with severed feet in them left outside the gates of Highgate Cemetery, famous for such notable occupants as Karl Marx, George Eliot and Michael Faraday. Adamsberg doesn’t think much about this bizarre event when he gets back to Paris and is confronted with an equally outrageous incident — the murder of a wealthy old man who’s been cut up into hundreds of pieces with a chainsaw and hammer.Yes, the two events are connected, but Vargas sends Adamsberg through an Alice in Wonderland adventure before he can solve the murder and clear away a half dozen roadblocks Vargas throws in his path. Along the way, Adamsberg saves a kitten from certain death, is framed for the murder of the old man by an ambitious colleague, is targeted for murder himself by a young man who claims to be his son, goes to Yugoslavia to track the killer, learns about the origins of vampires and their connection not only to the murder of the wealthy Parisian, but also the severed feet in Highgate Cemetery, nearly dies in the tomb of a suspected vampire. It all sounds very ghoulish, but Vargas, whose real name is Frédérique Audoin-Rouzeau, makes “An Uncertain Place” a certain delight. ...more",Notes are private!,0,1,1,"Dec 18, 2017","Feb 15, 2018","Feb 15, 2018",,Paperback,view (with text),/book/show/9939253-an-uncertain-place
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Then There Were None,"Christie, Agatha",,,,250        pp,4.28,"1,355,950","Nov 06, 1939","Mar 17, 2009",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Best Selling Mystery Writer of All TimeAgatha Christie has sold more books than any other novelist in history — 66 novels, 14 books of short storiThe Best Selling Mystery Writer of All TimeAgatha Christie has sold more books than any other novelist in history — 66 novels, 14 books of short stories — more than a billion copies in total. And more than 50 movies have been made of her works. So, as a reasonably literate person, I figured I should at least give her a shot, see what all the fuss is about. So I bought the Kindle version of And Then There Were None, her best seller — a hundred million copies sold. (It ranks behind Don Quixote, A Tale of Two Cities, The Lord of the Rings, The Little Prince and The Hobbit on the list of all time best sellers.)Can a hundred million readers be wrong? Well, after plowing through And Then There Were None, my unequivocal response: YES! And Then There Were None is a silly, unexciting, poorly written book that stretches the concept of suspension of disbelief beyond its breaking point. I’m disappointed, but at least I can take Agatha Christie off my bucket list....more",Notes are private!,0,0,1,not set,not set,"Jan 06, 2018",,Kindle Edition,view (with text),/book/show/28289663-and-then-there-were-none
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Water Lilies,"Bussi, Michel",1474601766,9781474601764,1474601766,368        pp,4.04,"16,921",2011,"Mar 02, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Black Water LiliesI never thought I’d call a murder mystery charming and delightful, but that’s a perfect description for Black Water Lilies, the magiBlack Water LiliesI never thought I’d call a murder mystery charming and delightful, but that’s a perfect description for Black Water Lilies, the magical book by French author Michel Bussi. This richly layered tale stars a bitter old woman, a seductive art teacher and a talented young art student who live in Giverny, the home of Claude Monet and his famous gardens. Monet, who died in 1926, also plays an important role in this wonderful tale. In fact, I learned things about him I didn’t know, in spite of a life long interest in his work, a fascinating day spent in Giverny a few years ago and several visits to The Musée de l’Orangerie and the Musée d’Orsay, where most of his works are shown.The story begins with the discovery of a murdered man in the stream that runs through Monet’s gardens. It meanders through the mind of the old woman, who seems to know something about the murder victim, to the brash young cop who comes to investigate the murder. It flows through to the talented young girl, who hopes to win a prize for her interpretation of Monet’s famous water lily paintings, and meanders into the life of the beautiful school teacher, whose loveless marriage leaves her open to the flirtations of the dashing cop.Black Water Lilies is as impressionistic as Monet’s paintings. Just when you think you know whodunit, the book takes another turn, and you’re left wondering what happened. Michel Bussi has created a beautifully written story that’s both magical and mysterious. But if you’re expecting a traditional mystery novel, you’re going to be disappointed. Black Water Lilies transcends genre. It’s simply a great work of fiction. ...more",Notes are private!,0,1,1,"Oct 03, 2017","Nov 06, 2017","Nov 19, 2017",,Mass Market Paperback,view (with text),/book/show/33391439-black-water-lilies
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redemption Road,"Hart, John*",0312380364,9780312380366,0312380364,417        pp,4.09,"21,203","May 03, 2016","May 03, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"John Hart is one the most talented suspense novelists writing today. “The Last Child”, his second book, is a real masterpiece. I’ve also read “Iron HoJohn Hart is one the most talented suspense novelists writing today. “The Last Child”, his second book, is a real masterpiece. I’ve also read “Iron House”, another spellbinder. So when I picked up “Redemption Road”, I expected more of the same. What a disappointment. Hart tries so hard to add dramatic tension to the plot it becomes tedious. The motives of the characters are so incredible I had to suspend my suspension of disbelief.Forget “Redemption Road.” Hopefully, Hart has his mojo back with his latest book, “The Hush”....more",Notes are private!,0,0,1,"Oct 16, 2017",Nov 2017,"Nov 12, 2017",,Hardcover,view (with text),/book/show/26883206-redemption-road
