,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ujjyaini's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Duchess Deal        (Girl Meets Duke, #1)","Dare, Tessa*",,,B01N5BWIBA,389        pp,4.00,"59,304","Aug 22, 2017","Aug 22, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Straight 4.5 stars. I am not a romance reader but this was so good. I liked both the characters Ash and Emma love the banter and humor, love how both Straight 4.5 stars. I am not a romance reader but this was so good. I liked both the characters Ash and Emma love the banter and humor, love how both of them had their own story and struggle and they both had their own growth, the spicy scenes were spicy but not too overdrawn the ending was a bit rushed but the humor was so good. Loved it....more",Notes are private!,0,0,1,"Apr 10, 2024","Apr 10, 2024","Apr 10, 2024",,Kindle Edition,view (with text),/book/show/33259027-the-duchess-deal
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Dust: A Path Through China,Ma Jian,0385720238,9780385720236,0385720238,336        pp,3.85,"2,212",2001,"Nov 12, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/92325.Red_Dust
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandora's Lab: Seven Stories of Science Gone Wrong,"Offit, Paul A.",1426217994,9781426217999,B01FBZXSNO,277        pp,4.15,"7,414","Apr 04, 2017","Apr 04, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/33146881-pandora-s-lab
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character","Feynman, Richard",0393355624,9780393355628,0393355624,400        pp,4.27,"201,216",1985,"Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/35167685-surely-you-re-joking-mr-feynman
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jersey: The All Blacks: The Secrets Behind the World's Most Successful Team,"Bills, Peter",1509856692,9781509856695,B079RLDXH6,528        pp,3.66,251,unknown,"Aug 09, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/40509600-the-jersey
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Native Son,"Wright, Richard",,,,504        pp,4.03,"99,104",1940,"Aug 02, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/15622.Native_Son
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Send Nudes,"Sams, Saba",1526648989,9781526648983,1526648989,224        pp,3.54,"6,129","Jan 20, 2022","Jan 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/58612901-send-nudes
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hungry Ghosts,"Hosein, Kevin Jared*",0063213389,9780063213388,0063213389,336        pp,3.86,"1,705","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/61109596-hungry-ghosts
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rape of Nanking: The Forgotten Holocaust of World War II,"Chang, Iris",0140277447,9780140277449,0140277447,290        pp,4.21,"42,206","Oct 14, 1997","Nov 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/95784.The_Rape_of_Nanking
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fisherman King,"Daud, Kathrina Mohd",,9789814901208,,208        pp,3.89,241,2020,Aug 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/52440307-the-fisherman-king
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annihilation of Caste,"Ambedkar, B.R.",8187190442,9788187190448,8187190442,100        pp,4.62,"7,361","May 15, 1936","Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/8521879-annihilation-of-caste
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man’s Search for Meaning,"Frankl, Viktor E.",080701429X,9780807014295,080701429X,165        pp,4.37,"713,791",1959,"Jun 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/4069.Man_s_Search_for_Meaning
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This is Going to Hurt: Secret Diaries of a Junior Doctor,"Kay, Adam*",,,,285        pp,4.41,"282,853","Sep 07, 2017","Sep 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/35510008-this-is-going-to-hurt
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reptile Memoirs,"Ulstein, Silje*",0802158862,9780802158864,0802158862,400        pp,3.65,"1,169","Jun 17, 2021","Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/58656182-reptile-memoirs
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nervous Conditions,"Dangarembga, Tsitsi",1580051340,9781580051347,1580051340,204        pp,4.04,"19,430",1988,"Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/158674.Nervous_Conditions
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gul Gulshan Gulfam,"Kishore, Pran",9351777774,9789351777779,9351777774,448        pp,3.87,38,unknown,"Jul 05, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/35291058-gul-gulshan-gulfam
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shape of Water        (Inspector Montalbano, #1)","Camilleri, Andrea",0142004715,9780142004715,0142004715,224        pp,3.75,"22,527",1994,"May 31, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/163166.The_Shape_of_Water
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Apples Fell from the Sky,"Abgaryan, Narine",1786077310,9781786077318,,256        pp,4.26,"13,734","Mar 16, 2015","Mar 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,ebook,view,/book/show/51551602-three-apples-fell-from-the-sky
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Cat Yugoslavia,"Statovci, Pajtim",1101871830,,B01IZTDX7E,255        pp,3.72,"8,866",2014,"Apr 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/34875448-my-cat-yugoslavia
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hole,"Pyun, Hye-Young",1628727802,9781628727807,1628727802,198        pp,3.36,"7,248","Mar 23, 2016","Aug 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/31213272-the-hole
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sweet Bean Paste,"Sukegawa, Durian",1786071959,9781786071958,1786071959,218        pp,4.07,"44,590","Feb 06, 2013","Oct 05, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/33376821-sweet-bean-paste
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Cats Disappeared from the World,"Kawamura, Genki",1509889175,9781509889174,1509889175,202        pp,3.79,"70,954","Aug 30, 2012","Sep 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/40740914-if-cats-disappeared-from-the-world
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Men Tell Tales: The Memoir of a Police Surgeon,"Umadathan, Dr B",935422430X,9789354224300,B08WVSCTZP,340        pp,4.10,"1,551",unknown,"Mar 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/57591934-dead-men-tell-tales
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nothing to See Here,"Wilson, Kevin*",0062913484,9780062913487,,288        pp,3.96,"183,990","Oct 29, 2019","Oct 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,ebook,view,/book/show/42519313-nothing-to-see-here
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cat Who Saved Books,"Natsukawa, Sōsuke",0063095726,9780063095724,0063095726,198        pp,3.73,"53,577","Feb 05, 2017","Dec 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/56755560-the-cat-who-saved-books
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Songs of W.E.B. Du Bois,"Jeffers, Honorée Fanonne",006294293X,9780062942937,006294293X,816        pp,4.52,"33,639","Aug 24, 2021","Aug 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/51183428-the-love-songs-of-w-e-b-du-bois
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kane & Abel        (Kane & Abel, #1)","Archer, Jeffrey*",0312995059,9780312995058,0312995059,592        pp,4.33,"121,945",1979,"Mar 13, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/78983.Kane_Abel
