,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pranjal's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play It As It Lays,"Didion, Joan",0007414986,,,214        pp,3.92,"67,097",1970,"Nov 10, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 13, 2023",,Paperback,view,/book/show/13649889-play-it-as-it-lays
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Those Who Leave and Those Who Stay        (The Neapolitan Novels, #3)","Ferrante, Elena",,,,418        pp,4.35,"148,713","Oct 30, 2013",2020,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 25, 2023","Mar 30, 2023","Mar 25, 2023",,Paperback,view,/book/show/54755822-those-who-leave-and-those-who-stay
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossroads,"Franzen, Jonathan",0374181179,9780374181178,0374181179,592        pp,4.06,"56,503","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2023",,Hardcover,view,/book/show/55881796-crossroads
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Big Sleep / Farewell, My Lovely / The High Window        (Philip Marlowe, #1-3)","Chandler, Raymond",0375415017,9780375415012,0375415017,696        pp,4.48,"1,432",1942,"Oct 15, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2023",,Hardcover,view,/book/show/2053.The_Big_Sleep_Farewell_My_Lovely_The_High_Window
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Years,"Ernaux, Annie*",,,,256        pp,4.18,"29,440","Feb 07, 2008","Nov 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2023",,Paperback,view,/book/show/34355387-the-years
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Netanyahus,"Cohen, Joshua",1913097609,9781913097608,1913097609,240        pp,3.81,"13,645","May 05, 2021","May 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 02, 2023","Mar 09, 2023","Feb 21, 2023",,Paperback,view,/book/show/55817233-the-netanyahus
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wide Sargasso Sea,"Rhys, Jean",0393352560,9780393352566,0393352560,176        pp,3.59,"92,872",Oct 1966,"Jan 25, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2023",,Paperback,view,/book/show/25622780-wide-sargasso-sea
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of a New Name        (The Neapolitan Novels, #2)","Ferrante, Elena",1787702235,9781787702233,1787702235,471        pp,4.44,"179,006","Sep 22, 2012","Jul 09, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 19, 2023","Mar 02, 2023","Jan 10, 2023",,Paperback,view,/book/show/54680670-the-story-of-a-new-name
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs Funnybones,"Khanna, Twinkle*",0143424467,9780143424468,0143424467,235        pp,3.51,"17,912","Aug 18, 2015","Aug 18, 2015",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jan 07, 2023",,Paperback,view,/book/show/25870749-mrs-funnybones
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Portrait,"O'Farrell, Maggie*",,,,355        pp,4.02,"139,033","Aug 30, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/60353768-the-marriage-portrait
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamnet,"O'Farrell, Maggie*",1472223799,9781472223791,1472223799,372        pp,4.20,"255,703","Mar 31, 2020","Mar 31, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/43890641-hamnet
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jane Gardam's Old Filth Trilogy Boxed Set,"Gardam, Jane",1609452283,9781609452285,1609452283,512        pp,4.35,161,"Nov 04, 2014","Nov 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2022",,Paperback,view,/book/show/23453120-jane-gardam-s-old-filth-trilogy-boxed-set
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Independent People,"Laxness, Halldór",0679767924,9780679767923,0679767924,482        pp,4.14,"12,427",1934,"Jan 14, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2022",,Paperback,view,/book/show/77287.Independent_People
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Young Mungo,"Stuart, Douglas*",0802159559,9780802159557,0802159559,390        pp,4.39,"57,131","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2022",,Hardcover,view,/book/show/58891551-young-mungo
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Big Sleep        (Philip Marlowe, #1)","Chandler, Raymond",0394758285,9780394758282,0394758285,231        pp,3.95,"155,383","Feb 06, 1939","Jul 12, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2022",,Paperback,view,/book/show/2052.The_Big_Sleep
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Precious Days,"Patchett, Ann",1526640953,9781526640956,1526640953,330        pp,4.44,"36,762","Nov 23, 2021","Nov 23, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 11, 2022","Dec 23, 2022","Dec 08, 2022",,Paperback,view,/book/show/59732031-these-precious-days
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pale King,"Wallace, David Foster",0316074233,9780316074230,0316074233,548        pp,3.97,"18,233","Apr 15, 2011","Apr 15, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2022",,Hardcover,view,/book/show/9443405-the-pale-king
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Persepolis: The Story of a Childhood        (Persepolis, #1)","Satrapi, Marjane",037571457X,9780375714573,037571457X,153        pp,4.26,"208,404","Apr 29, 2003","Jun 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2022",,Paperback,view,/book/show/9516.Persepolis
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Jones & The Six,"Reid, Taylor Jenkins*",1524798622,9781524798628,1524798622,355        pp,4.21,"1,486,613","Mar 05, 2019","Mar 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2022",,Hardcover,view,/book/show/40597810-daisy-jones-the-six
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins*",1501139231,9781501139239,1501139231,389        pp,4.42,"3,001,536","Jun 13, 2017","Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2022",,Hardcover,view,/book/show/32620332-the-seven-husbands-of-evelyn-hugo
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malibu Rising,"Reid, Taylor Jenkins*",,,,369        pp,4.04,"1,018,109","May 27, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2022",,Hardcover,view,/book/show/55404546-malibu-rising
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stalingrad,"Grossman, Vasily",1681373270,9781681373270,1681373270,"1,088        pp",4.27,"2,786",1952,"Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2022",,Paperback,view,/book/show/42194293-stalingrad
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Promised Land,"Obama, Barack*",1524763160,9781524763169,1524763160,751        pp,4.34,"227,436","Nov 17, 2020","Nov 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 17, 2022",not set,"Jun 17, 2022",,Hardcover,view,/book/show/55359022-a-promised-land
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman at Point Zero,"El Saadawi, Nawal",1783605944,9781783605941,1783605944,142        pp,4.18,"21,185",1975,"Nov 15, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 14, 2022","Jun 17, 2022","Jun 14, 2022",,Paperback,view,/book/show/25198077-woman-at-point-zero
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fran Lebowitz Reader,"Lebowitz, Fran",0679761802,9780679761808,0679761802,333        pp,3.61,"7,945",1994,"Nov 08, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2022",,Paperback,view,/book/show/55362.The_Fran_Lebowitz_Reader
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebecca,"du Maurier, Daphne",,,,410        pp,4.24,"628,839",Aug 1938,2006,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 09, 2022","Jan 21, 2023","Apr 09, 2022",,Paperback,view,/book/show/594139.Rebecca
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memorial,"Washington, Bryan",,,,320        pp,3.57,"34,764","Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2021",,Hardcover,view,/book/show/48902303-memorial
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0571368719,9780571368716,,65        pp,4.19,"153,296","Nov 05, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2021",,ebook,view,/book/show/56943583-small-things-like-these
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Auschwitz Photographer: The powerful true story of Wilhelm Brasse prisoner number 3444,"Crippa, Luca",,,B088GYMX8Y,292        pp,4.37,"3,242",2013,"Mar 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 27, 2021",,Kindle Edition,view,/book/show/57374521-the-auschwitz-photographer
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nomadland,"Bruder, Jessica*",1800750307,9781800750302,1800750307,273        pp,4.03,"47,326","Sep 19, 2017",Mar 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 27, 2021",not set,"Apr 27, 2021",,Paperback,view,/book/show/57452156-nomadland
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Magical Thinking,"Didion, Joan",1400078431,9781400078431,1400078431,227        pp,3.93,"242,875","Sep 01, 2005","Feb 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 02, 2021",,Paperback,view,/book/show/7815.The_Year_of_Magical_Thinking
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birds of America,"McCarthy, Mary",0156126303,9780156126304,0156126303,348        pp,3.45,341,1965,"Jan 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2021",,Paperback,view,/book/show/80058.Birds_of_America
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Album,"Didion, Joan",0374532079,9780374532079,0374532079,224        pp,4.06,"39,032",1979,"Nov 10, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Chronicling the 60s in her impeccable English prose, Joan Didion acquaints one with the scruffy edges of the amorphous American culture and politics. Chronicling the 60s in her impeccable English prose, Joan Didion acquaints one with the scruffy edges of the amorphous American culture and politics. ""In politics of revolution everyone was expandable...""-bewildered at Huey Newton's (organizer, The Black Panther Party) rhetoric safety in generalization when speaking for the black community instead of presenting issues specific and personal (avoiding them as mine fields)....Sprinkling the pages with the fascinating recollection of her presence during the Manson murders and of the fact that she and Roman Polanski were god parents to the same child....Brief vignettes of her being present at one of the recordings of the band The Doors, when Jim Morrison would enter the studio late in his black vinyl pants and sit unnoticed for hours....Her obsession with waterworks, dams and greenhouses; written so observantly with rehearsed ease of a writer who is aware of her chops.A brilliant reportage of the life and times she lived, smoked and battled her incorrigible migraine....more",Notes are private!,0,4,1,"Mar 11, 2021","Mar 28, 2021","Mar 11, 2021",,Paperback,view (with text),/book/show/421.The_White_Album
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Northanger Abbey,"Austen, Jane",0141439793,9780141439792,0141439793,254        pp,3.85,"401,103","Dec 20, 1817","Apr 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2020",,Paperback,view,/book/show/414332.Northanger_Abbey
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Traveller At The Gates Of Wisdom,"Boyne, John*",0857526197,9780857526199,0857526197,448        pp,3.65,"4,766","Jul 23, 2020","Jul 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 06, 2020",,Hardcover,view,/book/show/52693863-traveller-at-the-gates-of-wisdom
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upside Down: A Primer for the Looking-Glass World,"Galeano, Eduardo",0312420315,9780312420314,0312420315,358        pp,4.39,"3,660",1998,"Oct 05, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 27, 2020",,Paperback,view,/book/show/264894.Upside_Down
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intimacy,"Kureishi, Hanif",349923193X,9783499231933,349923193X,252        pp,3.51,"5,624",1998,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 27, 2020",,Pocket Book,view,/book/show/153418.Intimacy
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond Good and Evil,"Nietzsche, Friedrich",014044923X,9780140449235,014044923X,240        pp,4.02,"95,713",1886,"Apr 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2020",,Paperback,view,/book/show/12321.Beyond_Good_and_Evil
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Franny and Zooey,"Salinger, J.D.",,,,202        pp,3.96,"222,163",1957,"May 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 23, 2020",,Mass Market Paperback,view,/book/show/77531.Franny_and_Zooey
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,311        pp,4.21,"671,400",Apr 1966,"May 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2020",,Paperback,view,/book/show/18373.Flowers_for_Algernon
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559736,9780525559733,0525559736,307        pp,3.52,"190,860","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 18, 2020",,Hardcover,view,/book/show/42815544-bunny
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edie: American Girl,"Stein, Jean",0802134106,9780802134103,0802134106,564        pp,4.07,"7,051",1982,"Oct 14, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 16, 2020",,Paperback,view,/book/show/14606.Edie
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mating,"Rush, Norman",067973709X,9780679737094,067973709X,480        pp,3.82,"4,589","Sep 03, 1991","Sep 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2020",,Paperback,view,/book/show/527513.Mating
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Life as a Rat,"Oates, Joyce Carol",0062899902,9780062899903,,416        pp,3.73,"6,024","Jun 04, 2019","Jun 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2020",,ebook,view,/book/show/40942642-my-life-as-a-rat
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Naked Lunch,"Burroughs, William S.",0802140181,9780802140180,0802140181,289        pp,3.46,"91,234",Jul 1959,"Jan 26, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2020",,Paperback,view,/book/show/7437.Naked_Lunch
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ficciones,"Borges, Jorge Luis",0802130305,9780802130303,0802130305,174        pp,4.42,"67,785",1944,"Feb 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2020",,Paperback,view,/book/show/426504.Ficciones
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life: A User's Manual,"Perec, Georges",0879237511,9780879237516,0879237511,581        pp,4.19,"8,993","May 15, 1978",Oct 1988,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2020",,Paperback,view,/book/show/28293.Life
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Valentine,"Wetmore, Elizabeth*",,,B07WC7PF2J,304        pp,3.77,"41,426","Mar 31, 2020","Apr 07, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 27, 2021","May 27, 2021","Mar 27, 2020",,Kindle Edition,view,/book/show/49679683-valentine
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Song of Achilles,"Miller, Madeline*",1408816032,9781408816035,1408816032,352        pp,4.33,"1,484,680","Sep 20, 2011","Sep 20, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2020",,Hardcover,view,/book/show/11250317-the-song-of-achilles
