,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Robert's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Oppermans,"Feuchtwanger, Lion",,,B00CJ0MVII,0        pp,4.42,"1,651","Jan 01, 1933","Jan 01, 1933",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An excellent, frightening novel about a Jewish family in Germany succumbing to the predations of the National Socialists in 1933.This is a pitch perfeAn excellent, frightening novel about a Jewish family in Germany succumbing to the predations of the National Socialists in 1933.This is a pitch perfect rendition of what it must have felt like to see bestiality unleashed in classrooms, medical clinics, shops, streets and homes—all focused on Jews who had thought they were part of a civilized society. Feuchtwanger is unsparing—and why shouldn’t he be—in taking the reader through the collapse of ideals, identities and human relations. The final passages devoted to one family member’s nightmare in a camp are chilling. He wrote this novel as Hitler had risen to and was abusing power, urging his followers to focus their sadistic impulses on Jews, among others, but chiefly upon Jews. I’m grateful to the publisher and translator for having resurfaced this novel. It’s one of those fine, powerful books too easily forgotten in the passage of time....more",Notes are private!,0,3,1,not set,"Feb 20, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/131366147-the-oppermans
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,970","Oct 25, 2022","Oct 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wanted to like The Passenger more than I did. Despite McCarthy's compelling quick-fire dialogue and unworldly gift for description, I found that itsI wanted to like The Passenger more than I did. Despite McCarthy's compelling quick-fire dialogue and unworldly gift for description, I found that its core story was half-smothered in various forms of enigma that one has found and found again in DeLillo, Pynchon, Auster, and others.The core story is a passionate relationship between a talented man and his schizophrenic but brilliant younger sister. Both of them are haunted by their father to greater or lesser degree. He worked on the first atomic bomb and knew things the government, presumably, did not want spread around. The brother has gone from being an apprentice physicist to a race car driver to a salvage diver. The sister, in flashbacks, goes mad, has persistent hallucinations of a vaudevillian nature, and disbelieves in any reality other than numbers, which she handles with something like genius. Unsurprisingly she commits suicide. I'm not giving anything away that McCarthy doesn't make clear fairly early in the novel.So this is a doomed brother/sister relationship overshadowed by the father's guilt. The sister succumbs to things that go on in her mind, and the brother succumbs to things that actually or allegedly happen. The brother is pursued by mysterious emissaries from the government; his demimonde New Orleans friends tell him he's going to jail on a phony tax charge; he participates in a strange, aborted salvage operation in the waters around New Orleans; he spends time on a species of ghost drilling rig off of Florida; he takes flight; he shows up in an asylum where he talks to an inmate who knew his sister before she killed herself; he comes back to New Orleans for an exposition by a friend about the mafia connection to the assassination of JFK; and eventually he severs all ties with his past by living in a windmill on the Spanish island Formentera, which is near Ibiza.Page by page, McCarthy draws you into all this if you don't stop and ask: what's anything got to do with anything else except through mysterious, nefarious connections that are kind of threadbare by now, picked over by other good writers and gnawed by lesser writers, mystery writers, crime writers, Elmore Leonard, for example? The bomb, inexplicable plane crashes, existential escapes, madness, and good old JFK on hand to be shot in the head again...but not by Oswald, you fools! Remember Castro, remember the mob, remember the phony Warren Commission Report.The cognitive dissonance here hinges on beautiful writing, which falters at times, and far less imaginative substance parting ways. McCarthy appears serious about his focus on enigmatic forces and foes. This stuff puts him outside the main story, it seems to me, which is best served when the story stays within itself, which is to say inside the Bobby/Alicia relationship.The final passages of The Passenger are either magnificent mind-bending prose or stagy purple prose. You decide. McCarthy remains worth reading, but novelists tend not to succeed when they overplay their calling as cosmic philosophers.Merged :I wanted to like The Passenger more than I did. Despite McCarthy's compelling quick-fire dialogue and unworldly gift for description, I found that its core story was half-smothered in various forms of enigma that one has found and found again in DeLillo, Pynchon, Auster, and others.The core story is a passionate relationship between a talented man and his schizophrenic but brilliant younger sister. Both of them are haunted by their father to greater or lesser degree. He worked on the first atomic bomb and knew things the government, presumably, did not want spread around. The brother has gone from being an apprentice physicist to a race car driver to a salvage diver. The sister, in flashbacks, goes mad, has persistent hallucinations of a vaudevillian nature, and disbelieves in any reality other than numbers, which she handles with something like genius. Unsurprisingly she commits suicide. I'm not giving anything away that McCarthy doesn't make clear fairly early in the novel.So this is a doomed brother/sister relationship overshadowed by the father's guilt. The sister succumbs to things that go on in her mind, and the brother succumbs to things that actually or allegedly happen. The brother is pursued by mysterious emissaries from the government; his demimonde New Orleans friends tell him he's going to jail on a phony tax charge; he participates in a strange, aborted salvage operation in the waters around New Orleans; he spends time on a species of ghost drilling rig off of Florida; he takes flight; he shows up in an asylum where he talks to an inmate who knew his sister before she killed herself; he comes back to New Orleans for an exposition by a friend about the mafia connection to the assassination of JFK; and eventually he severs all ties with his past by living in a windmill on the Spanish island Formentera, which is near Ibiza.Page by page, McCarthy draws you into all this if you don't stop and ask: what's anything got to do with anything else except through mysterious, nefarious connections that are kind of threadbare by now, picked over by other good writers and gnawed by lesser writers, mystery writers, crime writers, Elmore Leonard, for example? The bomb, inexplicable plane crashes, existential escapes, madness, and good old JFK on hand to be shot in the head again...but not by Oswald, you fools! Remember Castro, remember the mob, remember the phony Warren Commission Report.The cognitive dissonance here hinges on beautiful writing, which falters at times, and far less imaginative substance parting ways. McCarthy appears serious about his focus on enigmatic forces and foes. This stuff puts him outside the main story, it seems to me, which is best served when the story stays within itself, which is to say inside the Bobby/Alicia relationship.The final passages of The Passenger are either magnificent mind-bending prose or stagy purple prose. You decide. McCarthy remains worth reading, but novelists tend not to succeed when they overplay their calling as cosmic philosophers.Merged :I wanted to like The Passenger more than I did. Despite McCarthy's compelling quick-fire dialogue and unworldly gift for description, I found that its core story was half-smothered in various forms of enigma that one has found and found again in DeLillo, Pynchon, Auster, and others.The core story is a passionate relationship between a talented man and his schizophrenic but brilliant younger sister. Both of them are haunted by their father to greater or lesser degree. He worked on the first atomic bomb and knew things the government, presumably, did not want spread around. The brother has gone from being an apprentice physicist to a race car driver to a salvage diver. The sister, in flashbacks, goes mad, has persistent hallucinations of a vaudevillian nature, and disbelieves in any reality other than numbers, which she handles with something like genius. Unsurprisingly she commits suicide. I'm not giving anything away that McCarthy doesn't make clear fairly early in the novel.So this is a doomed brother/sister relationship overshadowed by the father's guilt. The sister succumbs to things that go on in her mind, and the brother succumbs to things that actually or allegedly happen. The brother is pursued by mysterious emissaries from the government; his demimonde New Orleans friends tell him he's going to jail on a phony tax charge; he participates in a strange, aborted salvage operation in the waters around New Orleans; he spends time on a species of ghost drilling rig off of Florida; he takes flight; he shows up in an asylum where he talks to an inmate who knew his sister before she killed herself; he comes back to New Orleans for an exposition by a friend about the mafia connection to the assassination of JFK; and eventually he severs all ties with his past by living in a windmill on the Spanish island Formentera, which is near Ibiza.Page by page, McCarthy draws you into all this if you don't stop and ask: what's anything got to do with anything else except through mysterious, nefarious connections that are kind of threadbare by now, picked over by other good writers and gnawed by lesser writers, mystery writers, crime writers, Elmore Leonard, for example? The bomb, inexplicable plane crashes, existential escapes, madness, and good old JFK on hand to be shot in the head again...but not by Oswald, you fools! Remember Castro, remember the mob, remember the phony Warren Commission Report.The cognitive dissonance here hinges on beautiful writing, which falters at times, and far less imaginative substance parting ways. McCarthy appears serious about his focus on enigmatic forces and foes. This stuff puts him outside the main story, it seems to me, which is best served when the story stays within itself, which is to say inside the Bobby/Alicia relationship.The final passages of The Passenger are either magnificent mind-bending prose or stagy purple prose. You decide. McCarthy remains worth reading, but novelists tend not to succeed when they overplay their calling as cosmic philosophers....more",Notes are private!,0,5,2,not setnot set,"Dec 31, 2022not set","Feb 09, 2024",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ours Was the Shining Future: The Story of the American Dream,"Leonhardt, David",0812993209,9780812993202,0812993209,528        pp,4.32,578,"Oct 24, 2023","Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At the very end of this book, Leonhardt notes that it undoubtedly is a cause for outrage. I would agree with that. He also insists that there is causeAt the very end of this book, Leonhardt notes that it undoubtedly is a cause for outrage. I would agree with that. He also insists that there is cause for optimism that the United States can, through its democratic institutions, find ways to reduce health care costs and income inequality, build a solid system of pre-school education, find a balance in immigration policy that does not extend the mistakes of the past, pursue an anti-trust policy that Amazon, Google, bank banks, and other intricately constructed monopolists can't outwit, and heal the tribal breaches in the electorate that have led from disagreement to contempt and hatred. I don't know whether I join him in his optimistic--or hopeful--outlook. He has done such a masterful job in detailing how the U.S. has fallen behind in education, underinvested in national research programs, hindered unions from using their collective power to narrow income gaps, bungled the immigration crisis, etc., that outrage is my lingering sentiment.Bolstered by persuasive data compiled by credible social scientists, Leonhardt makes particularly strong cases against trickle-down growth theorists on the right and purist Brahmin progressives on the left. He sketches out a form of national politics that isn't ""let's meet in the middle,"" or ""let's cut the baby in half."" His vision is more sophisticated. He explores why working class, Latino, Asian and other voters have drifted away from the Democratic party. He sets the stage for understanding the wildly eccentric and wrathful era of Trump. He argues for a politics in which one group doesn't look down on the other...or feel looked down upon by the other. He challenges the absolutist liberal purity of the highly-educated Democrat brahmins, and he takes a long look at the ways Republican tax policy, particularly from Reagan through the two Bush presidents to Trump, has shortchanged national needs and pumped too much money and influence into the pockets of the the wealthy, the rich, the superrich, and the unbelievably super-super rich. Time and again he points out ways in which countries like Canada, Denmark, and Germany score better in important categories of national performance.This is a very good, very balanced, insightful book. I usually try to find a good reason not to award 5 stars. This time I couldn't. It's up-to-date, relevant, and worrying....more",Notes are private!,1,2,1,not set,not set,"Jan 21, 2024",,Hardcover,view (with text),/book/show/90663680-ours-was-the-shining-future
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The SECRET AGENT: A Simple Tale ""Annotated Edition"" by Joseph Conrad","Conrad, Joseph",,,B0B5719ZQM,unknown,3.59,"22,736",1907,"Jun 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Secret Agent: A Simple Tale is only simple in some of its moving parts, which begin with a colossal dressing down of the secret agent by an officiThe Secret Agent: A Simple Tale is only simple in some of its moving parts, which begin with a colossal dressing down of the secret agent by an official of the embassy that has long employed him in England. The story then moves along like a dolphin, sometimes you glimpse its back and other times it is swimming beneath the water. The heart of the novel lies in Conrad’s fantastic characterizations which in turn depend on the impasto of his writing, a smearing on of adjectives and modifications and tergiversations that is heavy but beautiful. Once a character enters the story, he/she is caught under Conrad’s microscope. The flaws and quirks show, the weaknesses and strengths. The secret agent’s family does its best not to know exactly what he is up to, and yet his movements and associations come through, sometimes by candlelight, sometimes by street light. What goes around comes around as the circles tighten upon themselves. We see embassy potentates and high-ranking members of parliament in their hauteur. We see crummy, feckless revolutionaries. We see a fantastic portrayal of a woman betrayed attempting to recover her footing after her fate seems sealed—this portrayal emerging with the delicacy of a hammer striking an anvil. Conrad’s writing approaches overwriting without becoming purple or losing its edge of cynicism. There are sentences that remind you of Lawrence or Faulkner but are distinctively Conradian. I will never understand how a young Pole became such a master of the English language. This is not a book that possesses any particular grandeur other than in its reliably powerful prose. It might be too sour for some because of the sordid tale it relates, and it might be too rich for others in the fine, sometimes amazing, psychological and moral judgments it makes, but contemporary writers of spy stories and the like just don’t have the genius Conrad possessed to write sentences so deeply considered that they make your head spin.....more",Notes are private!,0,2,1,"Jan 09, 2024","Jan 15, 2024","Jan 09, 2024",,Kindle Edition,view (with text),/book/show/61941039-the-secret-agent
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rigor of Angels: Borges, Heisenberg, Kant, and the Ultimate Nature of Reality","Egginton, William",0593316304,9780593316306,0593316304,368        pp,4.27,558,unknown,"Aug 29, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a magnificent, ambitious, and well-written book that has at its center a proposition reflected in quantum theory: we cannot know both the veloThis is a magnificent, ambitious, and well-written book that has at its center a proposition reflected in quantum theory: we cannot know both the velocity and position of a particle at the same time.It's one or the other, but not both. Why not? Well, Werner Heisenberg's physics and subsequent experiments tell us it is impossible because we dwell in space-time (that is our dimension and reference, if you will) and particles do not. Further, the simple act of our measuring a particle alters it. No one has to tell the particle, ""Hey, I'm measuring you,"" for it to know the measuring is happening. Somehow the particle picks this up on its own, and somehow a particle can adjust/manifest its state faster than the speed of light--the word for this is ""superluminal""-- which is the supreme measuring stick of space-time and, until Heisenberg developed quantum theory, was thought to be impossible. In effect, quantum theory presents us with a physics beyond our ken. This could be called the physics of uncertainty, an epistemological dead-end.Kant, William Egginton states, already understood that some things are, in fact, impossible to know because our reasoning capability sets its own limits, creating the reality within which we think we live. Borges, Egginton notes, captures the essence of our entrapment in fictions that are in line with the paradoxes of quantum theory: Funes the Memorius and The Garden of Forking Paths.Often when a writer tries to combine such disparate thinkers and artists, there is a forced quality to the outcome. In this case, no. Somehow Kant through philosophy and Borges through literature described the quantum experience that Heisenberg teased out of scientific inquiry. Egginton expends a fair amount of effort jousting with the notion that uncertainty might in some way relieve a human being of ethical responsibility. His point is that we have the freedom to complete our reality by the choices we make. We can do the right thing even if, viewed from a quantum perspective, we operate with substantial informational deficits, i.e., uncertainty. This a demanding book, but it's worth reading if you are curious about the limits of what you can know and the possibilities inherent in what you can't....more",Notes are private!,0,4,1,not set,not set,"Jan 03, 2024",,Hardcover,view (with text),/book/show/63946909-the-rigor-of-angels
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Terribly Serious Adventure: Philosophy and War at Oxford, 1900-1960","Krishnan, Nikhil",0525510605,9780525510604,0525510605,400        pp,4.11,117,unknown,"Jul 04, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book caught my attention because one of its protagonists is AJ Ayer, author of the slim volume, Language, Truth and Logic, which was on the syllaThis book caught my attention because one of its protagonists is AJ Ayer, author of the slim volume, Language, Truth and Logic, which was on the syllabus of a course I took as a freshman in college that nominally was focused on religious ideas. I had the impression that Ayer thought he had cornered philosophy and was preparing to skin it by debunking the notion of religious ideas (and all metaphysics) in his emphasis on the limits of language and what we can ""know"" through its use, but since there is nothing about religion in the book, I could only infer that to be the case.Ayer and other logical positivists (empirically minded) philosophers were determined to boil the nonsense out of what we say and think. The present volume takes the reader through a long string of these Oxford philosophers in mid-20th century who read as the product of a Protestant, Little England, conservative ethos, although they would violently dispute the notion that something as vague as ""ethos"" has any meaning at all. Their thrust was toward the particular; ethos is some kind of fuzzy generalization. Ergo, what I have written here is nonsense.Well, maybe so, but as I read through the interdependent biographies of Ayer, Gilbert Ryle, Stuart Hampshire, I did have the uncharitable sense that they were not quite philosophers; rather, they saw themselves as quasi-scientists in the fields of philology and/or lexicography. At best they all seemed to ascribe to a reasonable proposition: Clarity of thought yields clarity of expression. Put another way, I would say that in order to write well, you must think well. This is not really headline news.What was Ayer's book doing in this course, really? I'm still not sure. I suppose the message was that ""religious ideas"" is an oxymoron, similar to ""military intelligence."" But the course professor was more histrionic and exhuberant than clear in what he was up to. He could have said what I've said here and even if it is nonsense, made more sense than what he did say....more",Notes are private!,0,1,1,not set,"Dec 31, 2023","Dec 31, 2023",,Hardcover,view (with text),/book/show/62926808-a-terribly-serious-adventure
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tinker, Tailor, Soldier, Spy        (The Karla Trilogy, #1)","le Carré, John",,,B004RKXNDU,400        pp,4.06,"94,544",Apr 1974,"Jun 07, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I admire and enjoy LeCarre’s books, but I have not read all of them and the ones I have read have been out of sequence, so I blame getting somewhat loI admire and enjoy LeCarre’s books, but I have not read all of them and the ones I have read have been out of sequence, so I blame getting somewhat lost in this novel partly on that. I missed the action when Smiley is pushed into retirement and Control dies, although all that is recounted here by way of backstory chapters. There is a lot of backstory because the search for a mole entails ing all of the moments when Karla, the arch fiend, might have inserted him into the Circus’s operations. So things can get tedious as Smiley pores through ledgers and account books searching for clues.I won’t risk a comment on the mole’s identity. I’ll only say that there a number of red herrings here. Three stars from me is a pretty decent rating. LeCarre writes well, invents interesting characters, mixes in lots of tradecraft, and is very good at summoning wreaths of fog at key moments....more",Notes are private!,0,1,1,"Dec 28, 2023","Dec 28, 2023","Dec 23, 2023",,Kindle Edition,view (with text),/book/show/20587606-tinker-tailor-soldier-spy
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Justice on the Brink: The Death of Ruth Bader Ginsburg, the Rise of Amy Coney Barrett, and Twelve Months That Transformed the Supreme Court","Greenhouse, Linda",059344793X,9780593447932,059344793X,336        pp,4.04,635,unknown,"Nov 09, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the second book I have read recently focused on the current Supreme Court. Greenhouse says it was written in a hurry, and that’s evident in vaThis is the second book I have read recently focused on the current Supreme Court. Greenhouse says it was written in a hurry, and that’s evident in various passages that seem redundant or chronologically out of place, but there is a great deal of insight here, and if the book is not a pleasure to read, it is informative.The narrative arc basically tracks the rightward swing of the court as advanced by its most conservative members. To call them conservative may be understating things. Alito, Gorsuch, Kavenaugh, Coney Barrett, and Thomas are a sullen bunch. This account places considerable emphasis on how unwilling they were to testify to their views during confirmation hearings and how often they and the right-wing activists who adore them have strained and pushed in successful attempts to shove religion into national life. Rather appeal to the law of the land in constitutional terms, the activists want to redefine it by repeatedly pointing out how injured they are by not being allowed to place their religious conscience above the law. The aforementioned justices are fine with that. Alito in particular thinks religion, i.e., Christianity, has gotten a bad deal, but the impetus for replanting Christianity at the center of national identity comes from all five. Four of them are Catholics, for what it’s worth, although four of every five Americans are not Catholics. So you don’t have to bake a cake for someone who is gay if it will injure your conscience and if you don’t want a gay couple to temporarily foster a child, you don’t have to permit that, and if you want you child to go to a Catholic school at the general public’s expense, that’s fine. And of course there is antiabortion sentiment and states’ right to govern a woman’s womb.  On numerous occasions we see how picayune the issues brought before the court really are. There is an industry of groups devoted to fashioning and advancing complaints that the court could simply not address but, because of its membership, eagerly does so. It is as if the court were a climbing wall with cracks all over its face that these groups grab at in an attempt to go over the top. They are analogous to lobbyists advancing special interests, sometimes creating special interests, desperately scratching for a place to insert at least a fingernail to ensure that if they don’t rise, at least they won’t fall.Within the narrative arc, we see the Chief Justice John Roberts lose his control over the court’s agenda and decision making. The gang of five have shoved him out of the way. Much as he would like to cautiously advance a conservative agenda, he is trampled in the rush to through caution to the wind.Post-Ginsburg, the three liberal justices are largely left to dissent. This polarization resembles but is not quite as severe as what we see in Congress, but the fact that the gang of five consistently twist and turn to advance its political views through “originalist’ and “textualist” readings of the constitution is cynical and depressing.The court’s astonishing misreading of the second amendment, which occurred before the gang of five came into power, might be thought of as the judgment that set the stage for the many wrong turns that followed. Read the second amendment and you will see that it was written to ensure that an armed militia could be called upon in the absence of formal state police power in the 18th century. Law enforcement didn’t have cars and radios back then. Order might break down. A militia might be needed to hold the fort, or, as often was the case, chase and capture runaway slaves. That’s clearly what the so-called Fathers or Founders had in mind. Any disinterested English teacher would explain the second amendment’s text to you this way. The second amendment is largely irrelevant in a time when the police powers of the state are virtually military-grade. No need for militias. No need, fortunately, to chase runaway slaves. And no need for assault rifles in private hands, either.Ultimately we can best understand the court as an institution caught up in a cultural backlash. Our national identity is changing and has changed, and the present court is a key element of the resistance. ...more",Notes are private!,0,0,1,not set,not set,"Dec 21, 2023",,Hardcover,view (with text),/book/show/57499891-justice-on-the-brink
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,West from Appomattox: The Reconstruction of America after the Civil War,"Richardson, Heather Cox",,,B0015R3Q3A,413        pp,3.92,465,2007,"Mar 28, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had expected this book to focus more tightly on reconstruction as it transpired in the South. Actually it focuses on the post-Civil War reconstructiI had expected this book to focus more tightly on reconstruction as it transpired in the South. Actually it focuses on the post-Civil War reconstruction of the entire country during the final four decades of the 19th century. Richardson depicts a country in continuous battle over whether the government should remain small and let the cream of society rise to the top or be active in protecting and advancing the special interests of not only former slaves but immigrants, workers, Indians, and women. Her mission is not to take sides in this debate; it is to describe what happened. She argues that the enduring discomfort between the North and South found a pressure relief value in the West, a place where honesty, hard work, faith and family gave Americans a chance to develop an odd kind of heroic individualism which in fact constantly relied upon federal support. She spends a lot of time focusing on the struggle between labor and business, a lot of time on the struggle of women to occupy an equal place in society, and a fair amount of time on the destruction of the indigenous peoples of America. Although she writes a great deal about a variety of Black leaders and common folk, her observations seem somewhat thin. Nonetheless she makes clear that the reaction against Blacks obtaining post-war privileges they previously were denied was fierce and effective. Corruption and White rage undid the best of intentions, and as she presents America, the guiding ethos became the creation of the middle class. Oddly, the capstone figure in this process became Teddy Roosevelt, the Easterner who became known as a Westerner, a man who was both a trust-buster and a Rough Rider. Why he should have been the hood ornament of the middle class is not entirely clear to me, but it had to do with bringing the East and West together…and not spending much time on the South.I found the writing in the book wordy and wasn’t as interested in the long quotes from famous men and women as Richardson seems to have been. I also wondered if the book were not too ambitious; to cover so much ground, Richardson has to make many sweeping judgments. That can be disconcerting at times and dizzying at times. But she wanted to encapsulate the entirety of a nation’s development in the aftermath of a Great War, and in broad strokes, she achieved her goal....more",Notes are private!,0,1,1,not set,"Dec 10, 2023","Dec 10, 2023",,Kindle Edition,view (with text),/book/show/19299927-west-from-appomattox
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nine: Inside the Secret World of the Supreme Court,"Toobin, Jeffrey",0385516401,9780385516402,0385516401,384        pp,4.09,"17,829","Aug 23, 2007","Sep 18, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a very well-written, thoughtful book about the Supreme Court more or less dealing with the 1970s through the early 2000s. Toobin succeeds in tThis is a very well-written, thoughtful book about the Supreme Court more or less dealing with the 1970s through the early 2000s. Toobin succeeds in taking on four tasks:--Examining crucial issues, cases, and opinions;--Taking the reader into the crypt of the Court and its cryptic workings;--Profiling the proclivities, strengths and weaknesses of the Court's membership;--Linking the Court's judicial role to the political and social realities within which it functions.His portrait of Justice Anthony Kennedy is vivid: a self-dramatizing Horatio at the bridge.He portrays Sandra Day O'Connor as a plainspoken swing voter well-attuned to society's needs and expectations.He sketches Samuel Alito as the bullheaded, plodding, awkward right-winger that he is.He gives us interesting insight into Antonin Scalia, whose bravura and brilliance counted for little when it came to counting votes (he was predictably and noisily a conservative ""originalist,"" contending that the meaning of words written in the eighteenth century limited and defined their meaning in the twenty-first century.Ever since Bush v. Gore, the Court has tarnished its status as a neutral arbiter of constitutional issues. The Burger and Rehnquist led more or less liberal Courts. Roberts has lost control of his Court, which is skewed far to the right.Early on Toobin makes a point that is worth making, however: the Court is a conservative, undemocratic institution. It was so defined at the beginning and remains so to this day. There are many interesting proposals for reforming the Court, but only one thing is certain: the Court will resist them all....more",Notes are private!,0,0,1,not set,not set,"Dec 01, 2023",,Hardcover,view (with text),/book/show/280410.The_Nine
