,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Martha's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mist,"King, Stephen*",,,,176        pp,3.94,"154,988","Aug 29, 1980","Oct 02, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/813214.The_Mist
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind Knows My Name,"Allende, Isabel*",0593598121,9780593598122,0593598121,304        pp,4.03,"33,272","Jun 06, 2023","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/207677111-the-wind-knows-my-name
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tattooist of Auschwitz,"Morris, Heather*",0063413108,9780063413108,0063413108,288        pp,4.30,"932,290","Jan 11, 2018","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/205030496-the-tattooist-of-auschwitz
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Familiar,"Bardugo, Leigh*",125088425X,9781250884251,125088425X,400        pp,4.32,"1,112","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/133286777-the-familiar
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fellow Travelers,"Mallon, Thomas",0375423486,9780375423482,0375423486,356        pp,3.64,"2,946","Jan 01, 2007","Apr 24, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,For some reason thought this was a book about time travel? It was instead about McCarthyism… still enjoyed just took a while for me to realize there wFor some reason thought this was a book about time travel? It was instead about McCarthyism… still enjoyed just took a while for me to realize there would be NO time travel...more,Notes are private!,1,2,1,"Apr 05, 2024","Apr 09, 2024","Apr 08, 2024",,Hardcover,view (with text),/book/show/701724.Fellow_Travelers
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day,"Nicholls, David",0340896965,9780340896969,0340896965,435        pp,3.83,"341,241","Jun 11, 2009","Jan 01, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pretty much exactly like the new TV series but written down I guess. Usually source material has more depth but felt like I didn’t gather anything newPretty much exactly like the new TV series but written down I guess. Usually source material has more depth but felt like I didn’t gather anything new here, read if you REALLY liked the show I guess ...more",Notes are private!,0,1,1,"Apr 04, 2024","Apr 06, 2024","Apr 08, 2024",,Paperback,view (with text),/book/show/6280118-one-day
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migrations,"McConaghy, Charlotte*",125020402X,9781250204028,125020402X,256        pp,4.14,"73,120","Aug 04, 2020","Aug 04, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I feel like books are always advertised as vehicles to take you places you’ve never been but I can’t remember the last time I felt so traveled after fI feel like books are always advertised as vehicles to take you places you’ve never been but I can’t remember the last time I felt so traveled after finishing a book. Migrations is…. A migration of body and spirit and mind. Incredibly melancholic and very quietly and loudly sad. Favorite book of the year so far, cannot recommended enough. Brace yourself, the world is a wild place...more",Notes are private!,0,5,1,"Mar 31, 2024","Apr 02, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/42121525-migrations
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",,,B0C9GQV1TT,410        pp,4.11,"180,564","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Got curious,Notes are private!,0,0,1,"Mar 28, 2024","Mar 29, 2024","Mar 29, 2024",,Kindle Edition,view (with text),/book/show/181344829-bride
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",006621131X,9780066211312,,262        pp,4.21,"280,509","Jan 19, 2010","Mar 26, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Soooooo excellent. Really poignantly talks about the life of an artist in a way that’s both enthralling and tragic. Sometimes art can fill you up moreSoooooo excellent. Really poignantly talks about the life of an artist in a way that’s both enthralling and tragic. Sometimes art can fill you up more than food ...more,Notes are private!,1,2,1,"Mar 27, 2024","Mar 31, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/206318521-just-kids
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Daydreams,"Hankin, Laura*",0593438191,9780593438190,0593438191,368        pp,3.60,"8,016","May 02, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/205900220-the-daydreams
