,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Brian Rosenblat's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Courage to be Disliked,"Kishimi, Ichiro",1760630497,9781760630492,1760630497,288        pp,4.00,"75,180","Dec 12, 2013","May 17, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2019",,Paperback,view,/book/show/35239798-the-courage-to-be-disliked
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming,"Obama, Michelle*",,,,426        pp,4.46,"1,047,742","Nov 13, 2018","Nov 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2019",,Hardcover,view,/book/show/38746485-becoming
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Educated,"Westover, Tara*",,,,352        pp,4.47,"1,525,717","Feb 20, 2018","Feb 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2019",,Hardcover,view,/book/show/35133922-educated
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Do Is Who You Are: How to Create Your Business Culture,"Horowitz, Ben*",0062871331,9780062871336,0062871331,288        pp,4.00,"7,279","Oct 29, 2019","Oct 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2019",,Hardcover,view,/book/show/44063692-what-you-do-is-who-you-are
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Design,"Frost, Brad",0998296600,9780998296609,0998296600,189        pp,4.01,975,2016,2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2019",,Paperback,view,/book/show/35496817-atomic-design
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death's End        (Remembrance of Earth’s Past, #3)","Liu, Cixin*",,,B00WDVKZY0,605        pp,4.43,"111,202",Nov 2010,"Sep 20, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 12, 2019","Oct 16, 2019","Aug 12, 2019",,Kindle Edition,view,/book/show/25735618-death-s-end
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recursion,"Crouch, Blake*",1524759805,,B07HDSHP7N,336        pp,4.16,"234,598","Jun 11, 2019","Jun 11, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 30, 2019","Nov 05, 2019","Jul 30, 2019",,Kindle Edition,view,/book/show/41941223-recursion
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Matilda,"Dahl, Roald",0141301066,9780141301068,0141301066,240        pp,4.34,"949,156","Oct 01, 1988","Jun 01, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Jul 2019,"Jul 15, 2019","Jul 01, 2019",,Paperback,view,/book/show/39988.Matilda
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Forest        (The Three-Body Problem, #2)","Liu, Cixin*",,,,512        pp,4.42,"144,686",unknown,"Aug 11, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 26, 2019","Jul 26, 2019","Jun 26, 2019",,Hardcover,view,/book/show/23168817-the-dark-forest
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Talking to Strangers: What We Should Know About the People We Don’t Know,"Gladwell, Malcolm",,,,320        pp,4.01,"294,264","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jun 02, 2019",,Hardcover,view,/book/show/43812079-talking-to-strangers
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Call Me Coach,"Wooden, John",0071424911,9780071424912,0071424911,272        pp,4.18,"1,955","Jan 01, 1972","Oct 08, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 30, 2019",,Paperback,view,/book/show/40955.They_Call_Me_Coach
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Three-Body Problem        (Remembrance of Earth’s Past, #1)","Liu, Cixin*",,,,400        pp,4.09,"332,444",May 2006,"Oct 14, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 20, 2019","Jun 26, 2019","May 07, 2019",,Kindle Edition,view,/book/show/18245960-the-three-body-problem
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hitchhiker's Guide to the Galaxy        (Hitchhiker's Guide, #1)","Adams, Douglas",,,,208        pp,4.23,"1,840,956","Oct 12, 1979","Dec 18, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 02, 2019","May 13, 2019","May 02, 2019",,Kindle Edition,view,/book/show/42410904-the-hitchhiker-s-guide-to-the-galaxy
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nickel Boys,"Whitehead, Colson*",,,,213        pp,4.26,"245,123","Jul 16, 2019","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 30, 2019",,Kindle Edition,view,/book/show/42270835-the-nickel-boys
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",,,152473165X,339        pp,4.41,"259,832","May 21, 2018","May 21, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 16, 2019","Apr 29, 2019","Apr 29, 2019",,Hardcover,view,/book/show/37976541-bad-blood
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,"Schmidt, Eric",,,B076ZHG3H3,238        pp,3.99,"14,992",2019,"Apr 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Told through stories of those who worked most closely with Bill Campbell, there is wisdom in this book about what it takes to inspire and lead teams. Told through stories of those who worked most closely with Bill Campbell, there is wisdom in this book about what it takes to inspire and lead teams. Bill taught people how to bring their full, authentic selves to work. To be a great leader, you need to be willing to deeply support and connect with your people. He set a high bar for himself and the people he mentored and this book is a good reminder of how important this is.Bill seems to have been a selfless coach and mentor and wanted to avoid the spotlight. In some ways, that's one key thing lacking in this book. While you get to know his wisdom through anecdotes, I didn't feel like I really got to know Bill Campbell. But maybe that's the way he would have liked it!...more",Notes are private!,0,3,1,"Mar 20, 2019","Mar 30, 2019","Mar 06, 2019",,Kindle Edition,view (with text),/book/show/42764751-trillion-dollar-coach
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The President Is Missing,"Clinton, Bill",,,,513        pp,3.85,"116,150","Jun 04, 2018","Jun 04, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 21, 2019","Apr 10, 2019","Feb 21, 2019",,Kindle Edition,view,/book/show/35097255-the-president-is-missing
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red Moon,"Robinson, Kim Stanley",0316262374,9780316262378,0316262374,446        pp,3.38,"4,437","Oct 23, 2018","Oct 23, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2018",,Hardcover,view,/book/show/38496710-red-moon
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fifth Risk,"Lewis, Michael",1324002646,9781324002642,1324002646,221        pp,4.09,"44,514","Oct 02, 2018","Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2018",,Hardcover,view,/book/show/40109421-the-fifth-risk
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Crawdads Sing,"Owens, Delia*",,,,370        pp,4.39,"2,989,462","Aug 14, 2018","Aug 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 18, 2019","Sep 27, 2018",,Kindle Edition,view,/book/show/42421761-where-the-crawdads-sing
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alexander Hamilton,"Chernow, Ron",,,B000QJLQZI,818        pp,4.22,"180,989","Apr 26, 2004","Mar 29, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 28, 2018","Feb 07, 2019","Aug 28, 2018",,Kindle Edition,view,/book/show/5647399-alexander-hamilton
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchen Confidential: Adventures in the Culinary Underbelly,"Bourdain, Anthony",,,B002UM5BXW,321        pp,4.16,"315,267",2000,"Dec 10, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 09, 2018","Jul 18, 2018","Jul 09, 2018",,Kindle Edition,view,/book/show/8161568-kitchen-confidential
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How To Win Friends and Influence People,"Carnegie, Dale",,,B003WEAI4E,291        pp,4.22,"979,786",Oct 1936,"Aug 24, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 22, 2018",Jun 2018,"May 22, 2018",,Kindle Edition,view,/book/show/8696865-how-to-win-friends-and-influence-people
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shoe Dog,"Knight, Phil",,,B0176M1A44,402        pp,4.47,"298,404","Apr 24, 2016","Apr 26, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 26, 2018","May 09, 2018","Apr 26, 2018",,Kindle Edition,view,/book/show/4030991-shoe-dog
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Were Eight Years in Power: An American Tragedy,"Coates, Ta-Nehisi",0399590560,9780399590566,0399590560,367        pp,4.39,"29,527","Oct 03, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2018",,Hardcover,view,/book/show/33916061-we-were-eight-years-in-power
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Man for All Markets: From Las Vegas to Wall Street, How I Beat the Dealer and the Market","Thorp, Edward O.",,,B00SEFEYCI,390        pp,4.24,"6,368",2016,"Jan 24, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2018",,Kindle Edition,view,/book/show/30194505-a-man-for-all-markets
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fire and Fury: Inside the Trump White House,"Wolff, Michael",,,B077F4WZZY,339        pp,3.44,"75,635","Jan 05, 2018","Jan 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 19, 2018","Feb 23, 2018","Jan 03, 2018",,Kindle Edition,view,/book/show/36595266-fire-and-fury
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lost Moon: The Perilous Voyage of Apollo 13,"Lovell, Jim",0395670292,9780395670293,,378        pp,4.37,"8,921","Sep 06, 1994","Sep 06, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2018",,Hardcover,view,/book/show/193659.Lost_Moon
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Michael Jordan: The Life,"Lazenby, Roland*",,,B00AFGKXOW,678        pp,4.31,"7,150","Jan 01, 2014","May 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2017",,Kindle Edition,view,/book/show/20058338-michael-jordan
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leonardo da Vinci,"Isaacson, Walter*",1501139150,9781501139154,1501139150,600        pp,4.20,"106,221","Oct 17, 2017","Oct 17, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2017",,Hardcover,view,/book/show/34684622-leonardo-da-vinci
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wonder        (Wonder, #1)","Palacio, R.J.",,,,315        pp,4.37,"1,086,061","Feb 14, 2012","Feb 14, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is currently my daughter's favorite book. She's in 3rd grade and is now reading it for the second time. The movie just came out and she wants to This is currently my daughter's favorite book. She's in 3rd grade and is now reading it for the second time. The movie just came out and she wants to see it, but I thought it might be fun to also read it before we go. I can't remember the last time I read a book that was set in middle school.I was impressed - the themes are powerful and the character development was stronger than I would have expected. It contains important life lessons about how things aren't fair, the power of kindness, what it means to be brave, and how you need to view things from multiple perspectives to truly understand.To read this you have to embrace the audience for which it was written. But I would recommend to anyone- you don't need to be in elementary or middle school to enjoy....more",Notes are private!,0,0,1,"Nov 25, 2017","Nov 25, 2017","Nov 28, 2017",,Hardcover,view (with text),/book/show/11387515-wonder
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apollo 8: The Thrilling Story of the First Mission to the Moon,"Kluger, Jeffrey",,,B01M9F1OTT,445        pp,4.42,"6,305","May 16, 2017","May 16, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2017",Jan 2018,"Nov 01, 2017",,Kindle Edition,view,/book/show/33613492-apollo-8
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,"Bilton, Nick*",1591848148,9781591848141,1591848148,328        pp,4.40,"43,582","May 02, 2017","May 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 15, 2022","Mar 14, 2022","Nov 01, 2017",,Hardcover,view,/book/show/31920777-american-kingpin
