,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Madison's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wordslut: A Feminist Guide to Taking Back the English Language,"Montell, Amanda*",006286887X,9780062868879,006286887X,304        pp,4.31,"16,473","May 28, 2019","May 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/41716694-wordslut
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Magical Overthinking: Notes on Modern Irrationality,"Montell, Amanda*",1668007975,9781668007976,1668007975,272        pp,4.07,485,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/176443264-the-age-of-magical-overthinking
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What My Mother and I Don't Talk About: Fifteen Writers Break the Silence,"Filgate, Michele*",1982107340,9781982107345,1982107340,288        pp,3.80,"13,736","Apr 30, 2019","Apr 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/42201997-what-my-mother-and-i-don-t-talk-about
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fall of Hyperion        (Hyperion Cantos, #2)","Simmons, Dan",0553288202,9780553288209,0553288202,517        pp,4.23,"126,453",Mar 1990,Dec 1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Mass Market Paperback,view,/book/show/77565.The_Fall_of_Hyperion
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Innocence,"Wharton, Edith",159308143X,9781593081430,159308143X,293        pp,3.97,"174,488",Oct 1920,"Aug 26, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/53835.The_Age_of_Innocence
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beloved,"Morrison, Toni",,9781400033416,1400033411,324        pp,3.95,"435,366","Sep 16, 1987","Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/6149.Beloved
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Larson, Erik*",0609608444,9780609608449,0609608444,447        pp,4.00,"682,605","Feb 11, 2003","Feb 11, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/397483.The_Devil_in_the_White_City
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middlemarch,"Eliot, George",0451529170,9780451529176,0451529170,912        pp,4.02,"162,897",1871,"Dec 02, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Mass Market Paperback,view,/book/show/19089.Middlemarch
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Magical Thinking,"Didion, Joan",1400078431,9781400078431,1400078431,227        pp,3.93,"242,914","Sep 01, 2005","Feb 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/7815.The_Year_of_Magical_Thinking
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hobbit        (The Lord of the Rings, #0)","Tolkien, J.R.R.",,,,366        pp,4.29,"3,973,388","Sep 21, 1937","Aug 15, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/5907.The_Hobbit
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Handmaid’s Tale        (The Handmaid's Tale, #1)","Atwood, Margaret*",,,,311        pp,4.14,"2,046,929",1985,Apr 1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/38447.The_Handmaid_s_Tale
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",,,,565        pp,4.26,"214,115","Sep 28, 2021",Jan 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was a gift from my queen of impeccable taste Liz Norton so I KNEW it was going to be good! Going to try and give a  without giving awaThis book was a gift from my queen of impeccable taste Liz Norton so I KNEW it was going to be good! Going to try and give a  without giving away spoilers so here we go:I LOVE a multi-character interwoven tale - especially one over the course of thousands of years. I thought the continuity was very clever and seamless, and I loved the owl symbolism throughout. I really felt attached to Zeno particularly, he was such a sweetly written narrator. His last chapter made me tear up.My warning for this book is that readers have to be patient. It’s a little slow at the beginning and REALLY picks up the pace in the second half. I personally couldn’t put it down for the last two sittings. Don’t let the page count be daunting, there’s a lot of blank pages switching between narrations.My biggest gripe is that I wasn’t so interested in Anna’s or Omeir’s stories and was always a bit disinterested when I had to go back to their POVs. I understood the importance of them but … eh. My second biggest gripe is that we didn’t get enough of Konstance’s story. Her’s was certainly the most exciting and action packed tale, and yet they wrapped her story up WAY too quickly and IMO left the world building severely underdeveloped. Without getting into the weeds of it, I still have so many unanswered questions! Her time jump really threw me off and I was really bummed we didn’t get more context, I could’ve read a book of just her journey alone so I was really bummed that hers felt the most rushed....more",Notes are private!,1,2,1,"Mar 11, 2024","Mar 30, 2024","Mar 11, 2024",,Kindle Edition,view (with text),/book/show/56931626-cloud-cuckoo-land
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Violent Delights,"Nemerever, Micah*",0062963635,9780062963635,0062963635,460        pp,3.99,"17,684","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/49203397-these-violent-delights
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greedy: Notes from a Bisexual Who Wants Too Much,"Winston, Jen*",1982179171,9781982179175,1982179171,336        pp,3.95,"6,068","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/56898297-greedy
