,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mattia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Recognitions,"Gaddis, William",0140187081,9780140187083,0140187081,976        pp,4.20,"5,682",1955,"May 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A few thoughts on the book, which I abandoned halfway through.A few thoughts on the book, which I abandoned halfway through....more",Notes are private!,0,6,1,not set,not set,"Apr 23, 2021",,Paperback,view (with text),/book/show/395058.The_Recognitions
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To Have and Have Not,"Hemingway, Ernest",0684859238,9780684859231,0684859238,176        pp,3.52,"32,629",1937,1999,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video But mostly to have not.Video But mostly to have not....more,Notes are private!,0,4,1,not set,not set,"Apr 23, 2021",,Hardcover,view (with text),/book/show/4630.To_Have_and_Have_Not
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reading Myself and Others,"Roth, Philip",0679749071,9780679749073,0679749071,320        pp,3.76,380,1975,"May 29, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"- Recommended especially (exclusively?) to readers familiar with his early works, up to Portnoy, as most of the essays discuss them at length.- The es- Recommended especially (exclusively?) to readers familiar with his early works, up to Portnoy, as most of the essays discuss them at length.- The essays on the decay of American politics in the 70s could well have been written in the late 2010s, especially in relation to Roth's take on his president (Nixon at the time).- The long, semi-fictional essay on Kafka is a magnificent love letter to one of literature's most tragic and hermetic figures. This last one is a must-read in a book that's otherwise, and obviously, for dedicated fans only....more",Notes are private!,0,25,1,not set,not set,"Feb 06, 2021",,Paperback,view (with text),/book/show/29735.Reading_Myself_and_Others
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,More Alive and Less Lonely: On Books and Writers,"Lethem, Jonathan",1612196039,9781612196039,1612196039,336        pp,3.49,143,unknown,"Mar 21, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I can think of few people who love books as passionately as Jonathan Lethem - and this collection is a great testimony of a lifetime dedicated to the I can think of few people who love books as passionately as Jonathan Lethem - and this collection is a great testimony of a lifetime dedicated to the cause of fiction....more,Notes are private!,0,15,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/31415657-more-alive-and-less-lonely
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Baudolino,"Eco, Umberto",0156029065,9780156029063,0156029065,527        pp,3.79,"23,529",Nov 2000,"Oct 06, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video Up there with Against the Day as an ubridled fantasy of immense scope with a clear commitment to tracing the nightmarish coils of history.Video Up there with Against the Day as an ubridled fantasy of immense scope with a clear commitment to tracing the nightmarish coils of history....more,Notes are private!,0,30,1,not set,not set,"Feb 06, 2021",,Paperback,view (with text),/book/show/10507.Baudolino
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Collected Stories of Philip K. Dick, Volume 2: Second Variety","Dick, Philip K.",1857988809,9781857988802,1857988809,395        pp,4.21,"9,153",May 1987,"Aug 12, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So strange* to read Dick doing straight-up golden age-y science fiction (& fantasy, too, occasionally!). Mind-blowing and engaging.(*What makes it strSo strange* to read Dick doing straight-up golden age-y science fiction (& fantasy, too, occasionally!). Mind-blowing and engaging.(*What makes it strange, I guess, is how not that very strange it all is - oh, but the seeds of future obsessions are all here, all very visible)....more",Notes are private!,0,9,1,not set,not set,"Feb 06, 2021",,Paperback,view (with text),/book/show/816495.The_Collected_Stories_of_Philip_K_Dick_Volume_2
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Complete Peanuts, Vol. 10: 1969–1970","Schulz, Charles M.",1560978279,9781560978275,1560978279,325        pp,4.59,956,2008,"Oct 19, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Feb 06, 2021",,Hardcover,view,/book/show/54593.The_Complete_Peanuts_Vol_10
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cities of the Plain        (The Border Trilogy, #3)","McCarthy, Cormac",0679747192,9780679747192,0679747192,293        pp,4.12,"27,027","May 12, 1998",Jul 1999,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video The Border Trilogy combines great literary nourishment of the most wholesome kind (interesting characters living extraordinary lives) withVideo The Border Trilogy combines great literary nourishment of the most wholesome kind (interesting characters living extraordinary lives) with lofty reflections and a great sense of awe. With this in mind, Cities - as the book that ties the first two together - is everything we as readers had a right to expect....more",Notes are private!,0,17,2,not setnot set,not setnot set,"Feb 06, 2021",,Paperback,view (with text),/book/show/40470.Cities_of_the_Plain
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Crossing        (The Border Trilogy, #2)","McCarthy, Cormac",,,0394574753,426        pp,4.15,"40,150",Jun 1994,"Jun 07, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video The first handful of chapters alone would be worth the read, even if they wasn't a masterpiece attached to them.Video The first handful of chapters alone would be worth the read, even if they wasn't a masterpiece attached to them....more",Notes are private!,0,20,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/365990.The_Crossing
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Pretty Horses        (The Border Trilogy, #1)","McCarthy, Cormac",0679744398,9780679744399,0679744398,302        pp,4.04,"123,986",1992,"Jun 29, 1993",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video All them purrrdy horsis.Video All them purrrdy horsis....more,Notes are private!,0,14,1,not set,not set,"Feb 06, 2021",,Paperback,view (with text),/book/show/469571.All_the_Pretty_Horses
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Island of the Day Before,"Eco, Umberto",0156030373,9780156030373,0156030373,528        pp,3.49,"15,585",Sep 1994,"Jun 05, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video FATHER KASPAR COME BACK TO MEVideo FATHER KASPAR COME BACK TO ME...more,Notes are private!,0,5,1,not set,not set,"Feb 06, 2021",,Paperback,view (with text),/book/show/10506.The_Island_of_the_Day_Before
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prague Cemetery,"Eco, Umberto",0547577532,9780547577531,0547577532,445        pp,3.49,"27,765","Oct 25, 2010","Nov 08, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video  on Deutsche Welle BooksVirtuosistic, hilarious, haunting: Eco deconstructs the workings of paranoia and oppression through one of the greVideo  on Deutsche Welle BooksVirtuosistic, hilarious, haunting: Eco deconstructs the workings of paranoia and oppression through one of the greatest villains in recent European literature....more",Notes are private!,0,9,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/10314376-the-prague-cemetery
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silence,"DeLillo, Don",1982164557,9781982164553,1982164557,117        pp,2.66,"12,834","Oct 20, 2020","Oct 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video Don DeLillo discovers the button that changes the font in Pages.(You have NO IDEA how bad I feel for making that joke. Mr. DeLillo please Video Don DeLillo discovers the button that changes the font in Pages.(You have NO IDEA how bad I feel for making that joke. Mr. DeLillo please forgive me)...more,Notes are private!,0,14,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/53879204-the-silence
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Arrest,"Lethem, Jonathan",0062938789,9780062938787,0062938789,307        pp,3.15,"2,967","Nov 10, 2020","Nov 10, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video Lethem, like his bereaved farmers and shit-bikers, goes back to the basics - and to his genre origins.The novel's fantastic but the picturVideo Lethem, like his bereaved farmers and shit-bikers, goes back to the basics - and to his genre origins.The novel's fantastic but the pictures smell of author gone power-crazy. Next thing he'll be giving us colored fonts, or even, shudder, left-aligned courier....more",Notes are private!,0,5,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/51179946-the-arrest
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Paris Review Interviews, 1",The Paris Review,0312361750,9780312361754,0312361750,510        pp,4.39,"1,150","Oct 17, 2006","Oct 17, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video The Art of Fiction is the gold standard in writers' interviews: great snippets into the lives, idiosyncracies, obsessions and quirks of soVideo The Art of Fiction is the gold standard in writers' interviews: great snippets into the lives, idiosyncracies, obsessions and quirks of some of the greatest writers in recent history. Recommended to passionate readers, but an absolute must for aspiring writers....more",Notes are private!,0,2,1,not set,not set,"Feb 06, 2021",,Paperback,view (with text),/book/show/11473.The_Paris_Review_Interviews_1
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Buddenbrooks: The Decline of a Family,"Mann, Thomas",0679417370,9780679417378,0679417370,731        pp,4.19,"30,336",1901,"Oct 04, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video And you thought your dentist was a bit heavy-handed.Video And you thought your dentist was a bit heavy-handed....more,Notes are private!,0,12,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/80890.Buddenbrooks
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Talk to the Hand: The Utter Bloody Rudeness of the World Today, or Six Good Reasons to Stay Home and Bolt the Door","Truss, Lynne",1592401716,9781592401710,1592401716,206        pp,3.31,"3,498","Oct 24, 2005","Nov 08, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Don't read this book. It makes Lynne Truss, an insightful and hilarious writer, sound like an awful person.It's not so much the complaining about rudeDon't read this book. It makes Lynne Truss, an insightful and hilarious writer, sound like an awful person.It's not so much the complaining about rudeness (although that, too, feels like it was greatly exaggerated to give the book a reason to exist) as the fact that hardly a pages goes by without a mention of Eats, Shoots and Leaves' international success. The fact that it's mostly mentioned to complain about it (""it's so hard being a famous author"") makes it worse....more",Notes are private!,0,1,1,not set,not set,"Feb 06, 2021",,Hardcover,view (with text),/book/show/8596.Talk_to_the_Hand
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Narrative of the Life of Frederick Douglass,"Douglass, Frederick",1580495761,9781580495769,1580495761,158        pp,4.11,"123,683",1845,"Aug 30, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video An indictment of the cold market logic sustaining many of history's most hideous crimes.Video An indictment of the cold market logic sustaining many of history's most hideous crimes....more,Notes are private!,0,14,1,not set,not set,"Dec 03, 2020",,Paperback,view (with text),/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adventures of Augie March,"Bellow, Saul",0143039571,9780143039570,0143039571,586        pp,3.84,"18,126","Sep 18, 1953","Oct 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video The Adventures of Mimi Villars, now that's what I wanted to read.Video The Adventures of Mimi Villars, now that's what I wanted to read....more",Notes are private!,0,12,1,not set,not set,"Dec 03, 2020",,Paperback,view (with text),/book/show/11908.The_Adventures_of_Augie_March
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder in the Front Row: Shots From the Bay Area Thrash Metal Epicenter,"Oimoen, Harald",1935950037,9781935950035,1935950037,272        pp,4.54,144,"Oct 11, 2011","Jan 24, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The pictures are amazing - too bad so many of my music heroes turned out to be obnoxious homophobes.,Notes are private!,0,14,2,not setnot set,not setnot set,"Nov 07, 2020",,Hardcover,view (with text),/book/show/11388021-murder-in-the-front-row
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vathek,"Beckford, William",0192836560,9780192836564,0192836560,180        pp,3.24,"6,617",1786,1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A sensualistic fantasy opera of immense decadence and depravity. Foundational in tone and content on so much 20th century fantasy - Jack Vance clearlyA sensualistic fantasy opera of immense decadence and depravity. Foundational in tone and content on so much 20th century fantasy - Jack Vance clearly took a leaf from this book - what I really like to do when I read books like this is imagine how it must have felt to experience the banquets and feasts here described as an 18th century Englishman who never saw a piece of fruit more exotic than a pear....more,Notes are private!,0,22,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/859694.Vathek
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Castle of Otranto,"Walpole, Horace",0192834401,9780192834409,0192834401,125        pp,3.18,"34,978",1764,"Jul 16, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video A villain so theatrically despicable you just know he's stroking his mustache every time he speaks.Video A villain so theatrically despicable you just know he's stroking his mustache every time he speaks....more,Notes are private!,0,14,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/12923.The_Castle_of_Otranto
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Utopia Avenue,"Mitchell, David",0812997433,9780812997439,0812997433,574        pp,4.00,"23,542","Jul 14, 2020","Jul 14, 2020",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video So much to say, but really, what's with the comically explicit anti-Italian sentiment? Did Gino from the bakery around the corner key MitcVideo So much to say, but really, what's with the comically explicit anti-Italian sentiment? Did Gino from the bakery around the corner key Mitchell's Bentley or something?...more",Notes are private!,0,13,1,not set,not set,"Nov 07, 2020",,Hardcover,view (with text),/book/show/52597312-utopia-avenue
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Number9Dream,"Mitchell, David",0812966929,9780812966923,0812966929,401        pp,3.87,"25,358",2001,"Feb 11, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video Imaginative storytelling and linguistic flair swirled into a machine at once explosive and tightly controlled, like the engine of a muscleVideo Imaginative storytelling and linguistic flair swirled into a machine at once explosive and tightly controlled, like the engine of a muscle car.There: this book is a Ford Mustang. I'm not saying it's flawless (guzzles fuel like a camel, driving it to the office makes you look like a twat), but if you're worried about the flaws - if you seem them at all - you're not the product's intended customer....more",Notes are private!,0,10,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/6820.Number9Dream
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 7th Function of Language,"Binet, Laurent",1784703192,9781784703196,1784703192,400        pp,3.76,"6,059","Aug 19, 2015","Jan 04, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video Binet's revenge on the Linguistics exam he failed in sophomore yearVideo Binet's revenge on the Linguistics exam he failed in sophomore year...more,Notes are private!,0,10,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/35610817-the-7th-function-of-language
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Storia della bambina perduta        (L'amica geniale, #4)","Ferrante, Elena",8866325511,9788866325512,8866325511,451        pp,4.44,"137,121","Oct 29, 2014","Oct 29, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Video  of the Neapolitan novelsAnd you thought the first three were sad.Video  of the Neapolitan novelsAnd you thought the first three were sad....more,Notes are private!,0,7,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/23456814-storia-della-bambina-perduta
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Storia di chi fugge e di chi resta        (L'amica geniale, #3)","Ferrante, Elena",8866324116,9788866324119,8866324116,382        pp,4.35,"148,728","Oct 30, 2013","Oct 30, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video  of the Neapolitan novelsI loved the series deeply, but I really struggled with this volume - not for a drop in quality (of the writing, oVideo  of the Neapolitan novelsI loved the series deeply, but I really struggled with this volume - not for a drop in quality (of the writing, of the plotting) but because of a very perceivable generic shift. The mysteries of the first two volumes, its seedy neighborhood dealings and supernatural overtones, are rejected in favor of a literary divorce novel that feels airless and predictable. Lila's intrusion in the narrative, albeit brief, is the volume's main redemptive feature....more",Notes are private!,0,6,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/18716142-storia-di-chi-fugge-e-di-chi-resta
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Storia del nuovo cognome        (L'amica geniale, #2)","Ferrante, Elena",,,,470        pp,4.44,"179,025","Sep 22, 2012","Sep 22, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video  of the Neapolitan novelsEasily the most enthralling book in the series, stretching the events of a fatal Summer into an epic tale of misgVideo  of the Neapolitan novelsEasily the most enthralling book in the series, stretching the events of a fatal Summer into an epic tale of misguided joys and suffocating sorrow....more",Notes are private!,0,6,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/16005941-storia-del-nuovo-cognome
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Labyrinth of the Spirits,"Ruiz Zafón, Carlos",1474606237,,B07DCY1MX1,833        pp,4.53,"52,874","Nov 17, 2016","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Series Alicia: *drinks wine*Everybody else: OOOH SHE SO DARKSeries Alicia: *drinks wine*Everybody else: OOOH SHE SO DARK...more,Notes are private!,0,18,2,not setnot set,not setnot set,"Aug 22, 2020",,Kindle Edition,view (with text),/book/show/51925792-the-labyrinth-of-the-spirits
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atonement,"McEwan, Ian*",038572179X,9780385721790,B00A2M6OLU,351        pp,3.94,"519,693","Sep 20, 2001",Mar 2003,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video Honestly though - roast dinner in this weather, Emily what's wrong with you.Video Honestly though - roast dinner in this weather, Emily what's wrong with you....more",Notes are private!,0,19,1,not set,not set,"Aug 22, 2020",,Paperback,view (with text),/book/show/6867.Atonement
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Effi Briest,"Fontane, Theodor",0140441905,9780140441901,0140441905,272        pp,3.26,"14,071",1894,"Nov 18, 1976",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Video ReviewOne of the most stimulating and surprising ghost stories I've ever read, nested within a novel of astonishing psychological complexity.Video ReviewOne of the most stimulating and surprising ghost stories I've ever read, nested within a novel of astonishing psychological complexity....more",Notes are private!,0,11,2,not setnot set,not setnot set,"Aug 22, 2020",,Mass Market Paperback,view (with text),/book/show/442296.Effi_Briest
