,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Daniel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1984,"Orwell, George",0452284236,9780452284234,B00A2MTYAI,368        pp,4.19,"4,598,587","Jun 08, 1949",Jul 2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024","Apr 11, 2024","Apr 07, 2024",,Paperback,view,/book/show/61439040-1984
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm,"Orwell, George",0451526341,9780451526342,,141        pp,3.99,"3,884,116","Aug 17, 1945",Apr 1996,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Mar 22, 2024","Mar 22, 2024",,Mass Market Paperback,view,/book/show/170448.Animal_Farm
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Utopia Avenue,"Mitchell, David",0812997433,9780812997439,0812997433,574        pp,4.00,"23,543","Jul 14, 2020","Jul 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2024","Mar 16, 2024","Mar 08, 2024",,Hardcover,view,/book/show/52597312-utopia-avenue
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slade House,"Mitchell, David",,,B00S3RILQW,241        pp,3.81,"64,533",Oct 2015,"Oct 27, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024","Mar 07, 2024","Mar 05, 2024",,Kindle Edition,view,/book/show/40611069-slade-house
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2666,"Bolaño, Roberto",843396867X,9788433968678,843396867X,"1,128        pp",4.21,"41,675",2004,"Oct 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024",not set,"Mar 03, 2024",,Paperback,view,/book/show/63032.2666
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,By Night in Chile,"Bolaño, Roberto",0811215474,9780811215473,0811215474,118        pp,3.89,"13,021",Nov 2000,"Dec 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 23, 2024","Mar 03, 2024","Feb 23, 2024",,Paperback,view,/book/show/63031.By_Night_in_Chile
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Savage Detectives,"Bolaño, Roberto",0374191484,9780374191481,0374191484,577        pp,4.17,"44,066","Nov 02, 1998","Apr 03, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2024","Feb 23, 2024","Jan 29, 2024",,Hardcover,view,/book/show/63033.The_Savage_Detectives
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Mango Street,"Cisneros, Sandra",0679734775,9780679734772,0679734775,110        pp,3.69,"190,550",1984,"Apr 03, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 17, 2024","Jan 18, 2024","Jan 17, 2024",,Paperback,view,/book/show/139253.The_House_on_Mango_Street
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Hobbit, a Wardrobe, and a Great War: How J.R.R. Tolkien and C.S. Lewis Rediscovered Faith, Friendship, and Heroism in the Cataclysm of 1914-18","Loconte, Joseph",0718021762,9780718021764,0718021762,201        pp,4.08,"5,726","Jun 30, 2015","Jan 01, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 14, 2023","Dec 16, 2023","Dec 14, 2023",,Hardcover,view,/book/show/23647114-a-hobbit-a-wardrobe-and-a-great-war
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Distance,"Diaz, Hernan*",1566894883,9781566894883,1566894883,256        pp,4.12,"17,130","Oct 03, 2017","Oct 10, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 18, 2023","Nov 20, 2023","Nov 18, 2023",,Paperback,view,/book/show/34381330-in-the-distance
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,411","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 14, 2023","Nov 18, 2023","Nov 14, 2023",,Hardcover,view,/book/show/58210933-trust
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Light We Cannot See,"Doerr, Anthony*",1476746583,9781476746586,1476746583,531        pp,4.32,"1,661,503","May 06, 2014","Jan 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 27, 2023","Oct 04, 2023","Sep 27, 2023",,Hardcover,view,/book/show/18143977-all-the-light-we-cannot-see
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I Know Why the Caged Bird Sings        (Maya Angelou's Autobiography, #1)","Angelou, Maya",0553279378,9780553279375,B00P4JQBIC,289        pp,4.29,"530,988",1969,Nov 1993,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2023","Sep 27, 2023","Sep 05, 2023",,Paperback,view,/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recovery: Freedom from Our Addictions,"Brand, Russell",1250141923,9781250141927,1250141923,288        pp,3.96,"11,830","Sep 21, 2017","Oct 03, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 03, 2023","Sep 05, 2023","Sep 03, 2023",,Hardcover,view,/book/show/33932358-recovery
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Writing: A Memoir of the Craft,"King, Stephen*",0743455967,9780743455961,0743455967,320        pp,4.34,"287,654",2000,Jul 2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 22, 2023","Aug 25, 2023","Aug 22, 2023",,Mass Market Paperback,view,/book/show/10569.On_Writing
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fraud,"Smith, Zadie",0525558969,9780525558965,0525558969,464        pp,3.35,"17,306","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 06, 2023",,Hardcover,view,/book/show/66086834-the-fraud
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Final Revival of Opal & Nev,"Walton, Dawnie*",198214016X,9781982140168,198214016X,368        pp,3.84,"30,594","Mar 30, 2021","Mar 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 18, 2023","Jul 20, 2023","Jul 18, 2023",,Hardcover,view,/book/show/54304125-the-final-revival-of-opal-nev
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Silmarillion,"Tolkien, J.R.R.",0618391118,9780618391110,0618391118,386        pp,4.01,"292,812","Sep 15, 1977","Nov 15, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 14, 2023","Jun 22, 2023","Jun 14, 2023",,Hardcover,view,/book/show/7332.The_Silmarillion
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Obelisk Gate        (The Broken Earth, #2)","Jemisin, N.K.*",,,,410        pp,4.30,"162,131","Aug 16, 2016","Aug 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2023",,Paperback,view,/book/show/26228034-the-obelisk-gate
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Creative Act: A Way of Being,"Rubin, Rick",0593652886,9780593652886,0593652886,406        pp,4.08,"32,182","Jan 17, 2023","Jan 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 06, 2023","Jun 09, 2023","Jun 06, 2023",,Hardcover,view,/book/show/60965426-the-creative-act
