,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,"Katherine ""Kj""'s rating",my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Keanu Reeves is Not in Love With You: The Murky World of Online Romance Fraud,"Holmes, Becky",1789651638,9781789651638,1789651638,288        pp,4.08,370,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/194028309-keanu-reeves-is-not-in-love-with-you
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fields' Guide to Secrets        (Poppy Fields Adventures #8),"Mulhern, Julie*",,,B0BPN7H1NN,176        pp,4.36,613,unknown,"Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/68049536-fields-guide-to-secrets
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fields' Guide to Voodoo        (Poppy Fields Adventures #3),"Mulhern, Julie*",,,B07N34V34S,262        pp,4.49,978,unknown,Jan 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/56684980-fields-guide-to-voodoo
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fields' Guide to Assassins        (Poppy Fields Adventures #2),"Mulhern, Julie*",,,B07H19BCJH,unknown,4.38,"1,170","Sep 25, 2018",Jan 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/56684949-fields-guide-to-assassins
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Because,"McConaughey, Matthew*",0593622030,9780593622032,0593622030,32        pp,4.08,"1,410",unknown,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/83817472-just-because
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killing Me Softly        (Country Club Murders #17),"Mulhern, Julie*",,,B0CL2KSQCN,190        pp,4.70,892,"Dec 26, 2023","Dec 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/199726248-killing-me-softly
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Diamond Girl        (The Country Club Murders, #6.5)","Mulhern, Julie*",1635113636,9781635113631,B079F1LMZV,39        pp,4.26,698,"Feb 13, 2018","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,ebook,view,/book/show/38235465-diamond-girl
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Guaranteed to Bleed        (The Country Club Murders #2),"Mulhern, Julie*",,,B08LCF6161,296        pp,4.21,"3,092","Oct 13, 2015","Oct 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/55719240-guaranteed-to-bleed
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evil Woman        (Country Club Murders #14),"Mulhern, Julie*",,,B09GF8V5SL,235        pp,4.47,"1,309","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/59016841-evil-woman
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lyin' Eyes        (Country Club Murders #13),"Mulhern, Julie*",,,B08WCK4QLY,239        pp,4.47,"1,371","Sep 28, 2021","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/57054877-lyin-eyes
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night Moves        (The Country Club Murders, #12)","Mulhern, Julie*",,,B08BDT6F4Y,265        pp,4.47,"1,461","Feb 23, 2021","Feb 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/56219817-night-moves
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killer Queen        (The Country Club Murders #11),"Mulhern, Julie*",,,B084JJB73T,230        pp,4.49,"1,389","Jun 30, 2020","Jun 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/52291190-killer-queen
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stayin' Alive        (Country Club Murder #10),"Mulhern, Julie*",,,B082RFCMY6,250        pp,4.44,"1,417","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/49239533-stayin-alive
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Telephone Line        (The Country Club Murders #9),"Mulhern, Julie*",1635115493,9781635115499,B07Q4F81FK,250        pp,4.41,"1,632","Jun 18, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/44655666-telephone-line
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Back Stabbers,"Mulhern, Julie*",,,B0CLN6TWNZ,277        pp,4.37,"1,670","Oct 23, 2018","Oct 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/200580308-back-stabbers
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadow Dancing: Country Club Murders,"Mulhern, Julie*",,,B0C9521497,278        pp,4.39,"1,638","Jun 19, 2018","Jun 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/180338229-shadow-dancing
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cold as Ice,"Mulhern, Julie*",,,B0BKH7LGKF,274        pp,4.37,"1,822","Oct 17, 2017","Oct 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/63109523-cold-as-ice
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Watching the Detectives        (The Country Club Murders, #5)","Mulhern, Julie*",,,B0B23X48SC,unknown,4.38,"1,912","May 23, 2017","May 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/61156659-watching-the-detectives
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Send in the Clowns        (Country Club Murders #4),"Mulhern, Julie*",,,B09K82XZG2,250        pp,4.24,"2,025","Oct 25, 2016","Oct 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/59451957-send-in-the-clowns
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clouds in My Coffee        (The Country Club Murders #3),"Mulhern, Julie*",,,B094NWH8QK,274        pp,4.19,"4,539","May 10, 2016","May 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/58025697-clouds-in-my-coffee
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Only the Good Die Young        (Country Club Murders, #1.5)","Mulhern, Julie*",,,B0CK4KWTRK,68        pp,4.39,342,unknown,"Sep 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/199229565-only-the-good-die-young
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lost in Paris        (Lost in Paris, 1)","Webb, Betty",1728269903,9781728269900,1728269903,272        pp,3.37,274,"Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/61334719-lost-in-paris
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Clock Struck Murder        (Lost in Paris, #2)","Webb, Betty",1728269938,9781728269931,1728269938,320        pp,3.26,34,unknown,"Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/179947319-the-clock-struck-murder
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Familiar        (Accidentals #5),"Cassidy, Dakota",,,B01M3QF00Q,296        pp,4.21,806,"Oct 14, 2016","Oct 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/32614862-the-accidental-familiar
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Then Came Wanda... With A Baby Carriage        (Accidentals #6),"Cassidy, Dakota",,,B071NKF21Z,165        pp,4.28,679,"May 15, 2017","May 15, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/35020328-then-came-wanda-with-a-baby-carriage
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Accidentally Dead, Again        (Accidentally Paranormal #6)","Cassidy, Dakota",0425247511,9780425247518,0425247511,344        pp,4.07,"2,025","Jun 05, 2012","Jun 05, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Trade Paperback,view,/book/show/12381210-accidentally-dead-again
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Bridge,"Godfrey, Rebecca*",1982123184,9781982123185,1982123184,480        pp,3.81,"2,007","Sep 19, 2005","Jun 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/43258143-under-the-bridge
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gathering Mist        (Timber Creek K-9 Mystery #9),"Mizushima, Margaret*",1639108947,9781639108947,1639108947,256        pp,4.47,15,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/205015148-gathering-mist
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Storm Rising        (Kate Burkholder, #15.5)","Castillo, Linda*",1250368014,9781250368010,B0CTY4YR4B,65        pp,4.32,327,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/207199812-dark-storm-rising
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Genie        (Accidentally Paranormal #7),"Cassidy, Dakota",0425253244,9780425253243,0425253244,339        pp,4.14,"2,005","Dec 04, 2012","Dec 04, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Trade Paperback,view,/book/show/12589630-the-accidental-genie
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interview With an Accidental        (Accidentally paranormal #9.9),"Cassidy, Dakota",1625178956,,B00XBBV3EW,44        pp,3.76,571,"May 07, 2015","May 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/25503021-interview-with-an-accidental
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Show Me the Money        (Heist Ladies Caper Mystery #5),"Shelton, Connie*",1945422971,9781945422973,B08ZJTDXCR,352        pp,4.73,74,"May 21, 2021","May 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/57724703-show-me-the-money
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Marty's Horrible, Terrible, Very Bad Day        (Accidentals #8)","Cassidy, Dakota",,,B07LBYWCT9,184        pp,4.33,529,"Feb 28, 2019","Feb 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/43236754-marty-s-horrible-terrible-very-bad-day
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accidentally Dead        (Accidentally Paranormal #2),"Cassidy, Dakota",0425221598,9780425221594,0425221598,340        pp,3.86,"6,003","Jul 01, 2008","Jul 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/3121124-accidentally-dead
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Werewolf        (Accidentally Paranormal #1),"Cassidy, Dakota",0425219305,9780425219300,0425219305,326        pp,3.68,"8,995","Feb 05, 2008","Feb 05, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/1397889.The_Accidental_Werewolf
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Coffee, Cream Pies, and Crimes        (A Cape Bay Cafe Mystery #11)","Lin, Harper*",,,B0C2JJVWH4,270        pp,3.82,214,unknown,"Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/131811598-coffee-cream-pies-and-crimes
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Road to Murder        (Tuscan Mystery, #4)","Trinchieri, Camilla*",1641295562,9781641295567,1641295562,336        pp,4.33,251,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/173476228-the-road-to-murder
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lifeline,"Ellen, Tom",0008523851,9780008523855,0008523851,400        pp,4.36,203,"Feb 29, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/58894237-the-lifeline
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Last Hour,"Hurst, Daniel*",,,B0C15TRDQX,234        pp,3.94,"4,114","Mar 30, 2023","Mar 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/124934206-her-last-hour
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Human        (Accidentally Paranormal #3),"Cassidy, Dakota",042522595X,9780425225950,042522595X,343        pp,3.94,"4,402","Mar 03, 2009","Mar 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/3713038-the-accidental-human
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Gargoyle        (Accidentals #12),"Cassidy, Dakota",,,B09N8HN5RK,178        pp,4.31,313,unknown,"Dec 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/59799283-the-accidental-gargoyle
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crime Scene        (Clay Edison, #1)","Kellerman, Jonathan",0399594620,9780399594625,0399594620,432        pp,3.72,"9,007","Aug 01, 2017","Jul 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/34019124-crime-scene
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Mermaid        (Accidentals #7),"Cassidy, Dakota",,,B074PDLXZR,312        pp,4.27,663,"Oct 30, 2017","Oct 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/36003832-the-accidental-mermaid
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Accidental Werewolf 2: Something About Harry        (Accidentally Paranormal #8),"Cassidy, Dakota",0425268659,9780425268650,0425268659,322        pp,4.18,"1,615","Dec 03, 2013","Dec 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/17239873-the-accidental-werewolf-2
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accidentally Catty        (Accidentally Paranormal #5),"Cassidy, Dakota",0425239608,9780425239605,B005DI7U2A,353        pp,4.03,"2,927","Mar 01, 2011","Mar 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/8272991-accidentally-catty
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accidentally Demonic        (Accidentally Paranormal #4),"Cassidy, Dakota",042523228X,9780425232286,042523228X,352        pp,3.94,"3,386","Jan 07, 2010","Feb 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Trade Paperback,view,/book/show/6586415-accidentally-demonic
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accidentally Divine        (Accidentals #11),"Cassidy, Dakota",,,B08VH6M2JN,348        pp,4.35,352,"Apr 29, 2021","Apr 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/57025954-accidentally-divine
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accidentally Ever After        (Accidentals #2),"Cassidy, Dakota",,,B01607KX6W,219        pp,4.06,947,"Sep 29, 2015","Sep 28, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/26841800-accidentally-ever-after
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Nina Got Her Fang Back        (Accidentals #4),"Cassidy, Dakota",,,B01I4LY9DU,198        pp,4.32,825,"Jul 07, 2016","Jul 07, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/30969831-how-nina-got-her-fang-back
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bearly Accidental        (Accidentals #3),"Cassidy, Dakota",,,B01BQXJWGW,214        pp,4.17,879,"Feb 13, 2016","Feb 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/29089848-bearly-accidental
