,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,John's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night's Reign        (Curse of the Fathers, #1)","Katz, Daan*",,,B09SXYT3FG,unknown,4.40,20,unknown,Feb 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/105326134-night-s-reign
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Garden Gnome        (Theory of Magic, #1)","McIntyre, Jeff*",,,B0BGJ9H8T1,407        pp,4.33,12,unknown,"Oct 10, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My  of The Garden Gnome is published at Before We Go Blog.“Magic was supposed to be…magical. Not screams and tears.”The Garden Gnome by Jeff McIMy  of The Garden Gnome is published at Before We Go Blog.“Magic was supposed to be…magical. Not screams and tears.”The Garden Gnome by Jeff McIntyre is the perfect example of why you shouldn’t judge a book by its cover. While the cover artwork is undoubtedly beautiful, the image of a gnome hiding in shrubbery may lead you to believe this is a middle-grade novel, or perhaps even a cozy fantasy. However, The Garden Gnome could be more accurately described as a contemporary low fantasy crossed with a Michael Crichton-style thriller.The main premise of The Garden Gnome is an imminent return of magic to our modern world dominated by science and technology. Although The Garden Gnome has a global scope, most of the book takes place in suburban Chicago. The story shifts among several different perspectives, weaving a complex web of personal and political intrigue.We are introduced first to Tony, the ten-year-old son of Daniel, a history professor, and Sophia, a businesswoman with a powerful but enigmatic boss. Bullied at school, Tony finds solace from an imaginary friend he calls Bob. But Bob, like Tony himself, may offer more than meets the eye.Jeff McIntyre blends science fiction into The Garden Gnome via an impending breakthrough at Fermilab, the U.S. Department of Energy’s national particle accelerator laboratory just outside of Chicago. For me, McIntyre’s incorporation of a particle accelerator within a fantasy novel brought back fond memories of reading The Wheel of Osheim, the excellent final volume of Mark Lawrence’s Red Queen’s War trilogy.The Fermilab plot thread also provides the basis for introducing many of the other point-of-view characters in the book, most notably Leo, a science and technology reporter for the Chicago Tribune newspaper, and Deb, an FBI agent. Leo and Deb are both investigating Nadir, an organization that opposes the advances at Fermilab and might potentially cross over into the realm of violence and terrorism.Although this is a fantasy novel, several of the characters and organizations in The Garden Gnome feel worthy of a James Bond movie. Beyond Nadir, The Garden Gnome features another shady multinational organization known as the Knights of the Stone. Derived from Arthurian mythos, the Knights of the Stone are dedicated to the suppression of magic by whatever means necessary.Gray morality comes in through this purported return of magic, which is considered an opportunity by some and a grave threat by others. But if magic is destined to bring about the apocalypse, does that serve as justification for murder?Jeff McIntyre’s prose is straightforward and enjoyable, propelling the plot forward at a fast clip. I also enjoyed the blend of fantasy and science fiction throughout The Garden Gnome, although I wish the particle accelerator had featured more prominently in the latter part of the book.The garden gnome himself is an absolute delight. Although he doesn’t get a lot of page time, I thoroughly enjoyed each of his scenes.Altogether, The Garden Gnome is a delightful surprise, a Crichtonesque thriller that blends contemporary fantasy with science fiction, Arthurian legend, and Ian Fleming levels of intrigue. I thoroughly enjoyed this book and am eager to see what happens next in Jeff McIntyre’s Theory of Magic series....more",Notes are private!,10,50,1,"Apr 09, 2024","Apr 09, 2024","Apr 09, 2024",,Kindle Edition,view (with text),/book/show/62933993-the-garden-gnome
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diavola,"Thorne, Jennifer Marie*",,,B0C1X7ZSN4,296        pp,4.13,"1,231","Mar 26, 2024","Mar 26, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My complete  of Diavola is published at Grimdark Magazine.Jennifer Thorne brings supernatural terror to an already dysfunctional family vacationMy complete  of Diavola is published at Grimdark Magazine.Jennifer Thorne brings supernatural terror to an already dysfunctional family vacation in Diavola, which follows the Pace family on their ill-fated Italian holiday. Although the family’s surname translates to “peace” in Italian, they are not given a moment’s rest as their rental home turns out to be an infamous haunted house, feared and shunned by the local populace.The lead protagonist in Diavola is Anna Pace, the black sheep of the family who is treated like an outcast and can never live up to their expectations. Rightfully or not, Anna takes the blame for many of the family’s misfortunes. Thorne reaches a T. Kingfisher-level of narration with Anna: she is smart, funny, and so vibrantly engaging that it’s impossible not to love her.As in her previous novel, Lute, Jennifer Thorne both embraces and upends the trope of naïve, unbelieving Americans who face a supernatural threat in an historic European setting. Diavola exploits this clash of cultures to great effect, skillfully walking the line between camp and deathly serious horror. At its best, the laugh-out-loud moments in Diavola are worthy of Oscar Wilde’s classic short story, “The Canterville Ghost,” which also features an American family who take up residence in an old European haunted house while expressing a stubborn disbelief in local legends. Although this approach risks becoming self-parody in less capable hands, Jennifer Thorne’s incisive, sardonic writing strikes just the right balance between humor and horror. She is also an expert at characterization: a large part of what makes Diavola work so well is that the Pace family is so believable in their dysfunction.I especially enjoyed the final third of the novel, where Thorne brilliantly ties together the various threads of the story while delivering plenty of unexpected twists. I was delighted by Anna’s character growth in this final part of Diavola as she addresses issues of loneliness and belonging while fighting back against the embodiment of fear itself.Altogether, Diavola is a must-read for horror fans, delivering a thrill ride that is equal parts fun and terrifying....more",Notes are private!,0,37,1,"Apr 09, 2024","Apr 09, 2024","Apr 09, 2024",,Kindle Edition,view (with text),/book/show/126918202-diavola
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wickwire Watch        (The Riverfall Chronicles, #1)","Hagen, Jacquelyn*",1958853003,9781958853009,1958853003,421        pp,4.12,320,"Sep 09, 2022","Sep 09, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My SPFBO9 finalist  of The Wickwire Watch is published at Before We Go Blog.“Had Mr. Bash known this was the night he was going to die, he wouldMy SPFBO9 finalist  of The Wickwire Watch is published at Before We Go Blog.“Had Mr. Bash known this was the night he was going to die, he would have stayed at home.”The Victorian charm of Charles Dickens meets the steampunk-inflected magic of Final Fantasy in The Wickwire Watch, the SPFBO9 finalist by Jacquelyn Hagen and the first entry in her Riverfall Chronicles series.The lead protagonist is Inkwell Featherfield, or simply Ink for short, a plucky boy of uncertain age and parentage who maintains a livelihood through thievery and his clever wit. Dressed in his oversized clothes and top hat, Ink recalls the Artful Dodger from Charles Dickens’s 1838 novel, Oliver Twist. Jacquelyn Hagen incorporates gray morality in The Wickwire Watch through a cast of side characters with questionable motivations. The darkest part of the worldbuilding involves ghostly beings known as Spektors, who play an increasingly prominent role as the novel progresses:“Spektors were once mortal. They are the spirits of those who died so full of hate and bitterness they couldn’t bear to leave this world behind without making others feel their pain and suffering.”I also enjoyed the steampunk elements of The Wickwire Watch, including a magical pocket watch and plenty of airship action, which is always a treat for Final Fantasy fans like myself.The Wickwire Watch changes style throughout the novel, opening as a Victorian murder mystery following the death of poor Mr. Bash. By the middle of the novel, The Wickwire Watch transitions into a cozy-ish found family-type story. The latter part of the book shifts tone again, becoming a dark fantasy with mild elements of horror:“Ink opened his mouth to scream his bloody lungs out. But before the sound could form, the man reached forward, took him by the throat, and threw him onto the back of the horse.”Although Jacquelyn Hagen’s writing is excellent throughout the novel, the inconsistent pacing and stylistic shifts in The Wickwire Watch threw me out of the story rather than engaging me as I had hoped.Overall, The Wickwire Watch contains a lot of elements that I love, but these pieces didn’t come together as effectively as I would have liked. Still, readers looking for a Dickensian-inspired fantasy will find a lot to love here. The Riverfall Chronicles continues with The Spider Key, the second book of the series....more",Notes are private!,0,33,1,Apr 2024,Apr 2024,"Apr 01, 2024",,Paperback,view (with text),/book/show/62669845-the-wickwire-watch
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Necrotown        (The Mountain City Chronicle, #1)","Nader, Alexander*",,,,unknown,4.24,51,unknown,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My complete  of Necrotown is published at Grimdark Magazine.Necrotown by Alexander Nader is a dark urban fantasy noir narrated by Sam Flint, a qMy complete  of Necrotown is published at Grimdark Magazine.Necrotown by Alexander Nader is a dark urban fantasy noir narrated by Sam Flint, a quasi-immortal private detective living in squalor on the wrong side of Mountain City—not that there’s any right side of Mountain City, a town overrun by drugs, violence, and corruption.Mountain City is also teeming with monsters, including arms dealing werewolves known as Hairs, usurious Trolls, and several other magical races. The only part of the city where these races coexist is the Glow, the neon-drenched slum that Sam calls home.Sam’s sleuthing partner in Necrotown is his voluptuous wife, the appropriately named Fox, a body-hopping kitsune with a living fox tattoo. The fox tattoo has a name, Sune, and exhibits plenty of personality as it scampers over her body, baring its teeth in anger toward any perceived threat.As the novel opens, the loving couple are desperate for rent money. They accept a job from Lloyd Burgess, a deep-pocketed sleazebag who instructs them to retrieve his wayward daughter, Sarah, from the notorious Necrotown. Was she kidnapped by gang members? Or perhaps running away from an abusive father? Sarah has more than a few surprises of her own in store for the reader.Necrotown is the worst section of this godawful city, overrun by death Mages and plenty of necromancy. As a quasi-immortal, Sam himself is not immune from death, and in fact dying is still quite painful. But if he’s lucky, death may be followed by an equally painful resurrection:“‘This week is gonna suck for you.’ Fox trails a delicate hand across my throat. ‘You are going to die at least six times.’”The loving and overly flirtatious relationship between Sam and Fox is the highlight of Necrotown, especially as Fox inhabits other beings’ bodies. This keeps their enemies guessing while also providing fuel for Sam’s lowbrow humor. Alexander Nader’s pulp fiction-style writing superbly conveys the noir vibes of Necrotown, striking a nice balance between humor and horror without ever taking itself too seriously. That being said, the novel would benefit from another round of editing to polish the text and clean up a number of distracting typos. For example, discussion of the five “burrows” of New York City conjures a more leporine image than I believe the author intended.Nevertheless, Necrotown is an intoxicating read, offering plenty of fun for fans of urban fantasy and noir fiction. The Mountain City Chronicles continues with Vampire Valley, the second book of the series....more",Notes are private!,0,29,1,"Mar 28, 2024","Mar 28, 2024","Mar 28, 2024",,,view (with text),/book/show/59460953-necrotown
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fall of the Giants        (The Dance of Light, #2)","Kontaxis, Gregory*",1739729463,9781739729462,B0CV32P1BH,unknown,4.31,13,"May 10, 2024","May 10, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My complete  is published at Grimdark Magazine.The Fall of the Giants by Gregory Kontaxis is the second volume of his epic fantasy series, The DMy complete  is published at Grimdark Magazine.The Fall of the Giants by Gregory Kontaxis is the second volume of his epic fantasy series, The Dance of Light, following up on his debut novel, The Return of the Knights. Originally published in Greek, The Fall of the Giants has been translated into English by Sophia Travlos and edited by K.E. Andrews, providing a polished reading experience that, for me, is indistinguishable from native English.The scope of The Dance of Light series is enormous, filled to the brim with political intrigue and warring factions. Thankfully, Gregory Kontaxis includes a comprehensive list of characters and information on each kingdom at the beginning of the book. I found myself consulting the list frequently, especially during the early part of the book.The Fall of the Giants brings greater nuance to all the principal characters of the series. I must confess that I was rather annoyed with the lead protagonist, Elliot, in The Return of the Knights, where he came across as brash and overconfident. I found Elliot to be much more realistic, and therefore more relatable, in this second book of the series.As in The Return of the Knights, I enjoyed the over-the-top villainy of Walter Thorn, a local warlord trying to overthrow Queen Sophie of Knightdorn. Another favorite villain is John (the “Long Arm”), a former bounty hunter and member of Walter’s inner circle, whose backstory is given in the excellent prequel novella, The Knight of the Moon.Nevertheless, my favorite character in The Fall of the Giants is Queen Sophie herself. She is, perhaps, the most complex character in the series, a lonely monarch who has lost most of her family and close allies. Sophie is weary from carrying the weight of a crown that she feels ambivalent about at best.The main story of The Fall of the Giants concerns a competition between Elliot and Walter as they seek to form alliances with various legendary races. While Elliot strives to free the Elder Races, elwyn and elves, Walter pursues a fearsome set of allies in giants and their most loyal companions, the terrifying wyverns. With the power of giants and wyverns on his side, Walter could become unstoppable.Kontaxis maintains a steady pace throughout this second volume of the series, never lagging as the story builds up to its striking climax. Despite the obvious comparisons to A Game of Thrones, Kontaxis has a tighter focus on the key storylines compared to George R.R. Martin. However, The Dance of Light series also dials back on elements of gray morality compared to Martin’s A Song of Ice and Fire. Personally, I would have preferred a bit more moral ambiguity in the lead characters in The Fall of the Giants.Overall, The Fall of the Giants improves upon The Return of the Knights in every way, delivering an impressive epic fantasy that brings new layers of nuance to both the characters and story....more",Notes are private!,0,37,1,"Mar 30, 2024","Apr 04, 2024","Mar 27, 2024",,Kindle Edition,view (with text),/book/show/207604562-the-fall-of-the-giants
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tenacious Tale of Tanna the Tendersword,"Conway, Dewey*",,9798989940509,B0CSXBFR5Q,270        pp,5.00,6,unknown,"Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a fun book! The Tenacious Tale of Tanna the Tendersword is delightful in every way, a perfect fantasy book for middle-grade readers while also prWhat a fun book! The Tenacious Tale of Tanna the Tendersword is delightful in every way, a perfect fantasy book for middle-grade readers while also providing plenty of enjoyment for older fantasy fans.The Tenacious Tale of Tanna the Tendersword is packed with humor and witty word play, providing several laugh out loud moments. The characters, led by the tenacious Tanna and her more timid chronicler-in-training, are an absolute blast. The plot is fast-paced and engaging throughout. And this wonderful story is enhanced by its fun interior artwork. If you are looking for the next great middle-grade fantasy, look no further. Be sure to pick up a copy of The Tenacious Tale of Tanna the Tendersword today. (Or maybe two copies: one for your kids and one just for you!)...more",Notes are private!,5,49,1,"Mar 26, 2024","Mar 27, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/205726250-the-tenacious-tale-of-tanna-the-tendersword
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Who Wander Are Lost: Destination Horror Stories,"Amor, Gemma*",,,B0CW19WX2N,345        pp,4.33,6,unknown,"Apr 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My complete  is published at Grimdark Magazine.Let Gemma Amor be your guide in All Who Wander Are Lost, a new anthology of destination horror stMy complete  is published at Grimdark Magazine.Let Gemma Amor be your guide in All Who Wander Are Lost, a new anthology of destination horror stories that lead the reader across adventures on five different continents from northern Norway all the way to Antarctica.All Who Wander Are Lost kicks off with “There’s Something in First Landing State Park,” an ill-fated trip to Virginia Beach where the narrator, Melanie, spots a grotesque, slime-covered man emerging from the sand at sunrise, disappearing into the ocean as he oozes a trail of goop behind him. Amor combines science fiction and horror to astonishing effect, taking the story in bizarre directions on her way to a perfectly executed, jaw-dropping conclusion.The next story, “The Reunion,” is narrated by Tim, a formerly poor boy who was bullied in school and is now returning to his high school reunion as the successful vice president of a pharmaceutical company accompanied by his beautiful wife. But Tim’s plans of proving his worth to his classmates are disrupted by his ex-wife, Louise, who exacts the ultimate revenge on her former husband for abandoning her and their child. Devoid of supernatural elements, “The Reunion” proves that the most horrific monster may be man himself.Gemma Amor drops us on a giant glacier in “Fields of Ice,” the third story of All Who Wander Are Lost, which is set in either a near-future dystopian society or some alternate reality. Hayder, an explorer working for an autocratic leader known as the Minister, is sent on a special mission in pursuit of precious ore, but perhaps she is the one being pursued.The following story, “Let Sleeping Gods Lie,” delivers an Indiana Jones-style adventure as we join an archaeological expedition in Egypt. Written in epistolary format, Gemma Amor takes us on a haunting journey through an underground labyrinth, showing that some ancient powers should be left undisturbed.Amor channels Daphne du Maurier’s “Don’t Look Now” in her Venetian horror, “The Final Wish Foundation,” bringing several thrilling twists to this familiar backdrop to horror. Next up is “A Song for Sam,” in which two brothers travel to Norway to fulfill their late father’s wish to scatter his ashes beneath the aurora borealis, but one brother has a more sinister plan in mind.The remaining stories in All Who Wander Are Lost include “The Ancient Ram Inn,” a classic haunted house horror turned inside out, “A Gentlewoman Abroad” about a businesswoman who despises tourists to an unhealthy degree, and “Less Exalted Tastes” about a rather sadistic form of artistry. The anthology concludes with “Christmas in Antarctica,” a decidedly chilling supernatural horror that will make you want to stay at home for the holidays.Altogether, All Who Wander Are Lost is a masterfully conceived and executed anthology that serves as Gemma Amor’s homage to the human desire to travel and explore. I enjoyed the variety of styles that Amor brings to the concept of destination horror across this anthology....more",Notes are private!,2,64,1,"Mar 18, 2024","Mar 25, 2024","Mar 18, 2024",,Kindle Edition,view (with text),/book/show/210091885-all-who-wander-are-lost
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The First and Last Demon: A Sapphic Fantasy Romance,Hiyodori*,,,B0BXMS74N4,380        pp,4.36,305,unknown,"Mar 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,"Mar 17, 2024","Mar 26, 2024","Mar 17, 2024",,Kindle Edition,view,/book/show/123226319-the-first-and-last-demon
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Unicorn        (The Last Unicorn, #1)","Beagle, Peter S.*",,,,294        pp,4.18,"119,701",Mar 1968,Jul 2008,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,24,1,"Mar 16, 2024","Mar 17, 2024","Mar 16, 2024",,Paperback,view,/book/show/29127.The_Last_Unicorn
