,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jessica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,California Against the Sea: Visions for Our Vanishing Coastline,"Xia, Rosanna*",159714620X,9781597146203,B0BW17YCH5,316        pp,4.69,140,unknown,"Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/122857216-california-against-the-sea
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fates and Furies,"Groff, Lauren*",1594634475,9781594634475,1594634475,390        pp,3.58,"138,690","Sep 15, 2015","Sep 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Hardcover,view,/book/show/24612118-fates-and-furies
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There's Always This Year: On Basketball and Ascension,"Abdurraqib, Hanif",0593448790,9780593448793,0593448790,352        pp,4.62,460,"Mar 26, 2024","Mar 26, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is 5 stars, but a personal 5 stars. Hanif writes about LeBron, yes. and I know little (although that knowledge is growing) about basketball. But This is 5 stars, but a personal 5 stars. Hanif writes about LeBron, yes. and I know little (although that knowledge is growing) about basketball. But this book is really about dreams, and surviving, and loving something as it is, rather than as it could be- and you don't really need to care about the rest to care about that. Not a tight focus, but sprawling, tangential. and it works still. What a strong sense of place. rootedness. care. What a writer. ...more",Notes are private!,0,4,1,"Apr 04, 2024","Apr 08, 2024","Apr 08, 2024",,Hardcover,view (with text),/book/show/181346634-there-s-always-this-year
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strangers on a Train,"Highsmith, Patricia",0393351939,9780393351934,0393351939,273        pp,3.73,"31,918","Mar 15, 1950","Jan 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 21, 2024",not set,"Mar 21, 2024",,Paperback,view,/book/show/25622296-strangers-on-a-train
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kite Runner,"Hosseini, Khaled*",,,,371        pp,4.34,"3,148,877","May 29, 2003",May 2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 21, 2024",not set,"Mar 21, 2024",,Paperback,view,/book/show/77203.The_Kite_Runner
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",0593418395,9780593418390,0593418395,272        pp,3.79,"24,336","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5? Everyone who rated this book poorly for the hot liquid shits is correct. But still, Groff has the language to pull us through. At various points 3.5? Everyone who rated this book poorly for the hot liquid shits is correct. But still, Groff has the language to pull us through. At various points I was thinking about the ecstasy of various saints, the pain and joy of long hikes in nature and of course God. Between this and Matrix, I think Groff is filling a contemplative void in literature that used to be ubiquitous...more",Notes are private!,0,2,1,"Mar 21, 2024","Mar 23, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/62952130-the-vaster-wilds
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What We Don't Talk About When We Talk About Fat,"Gordon, Aubrey",0807098337,9780807098332,,8        pp,4.42,"15,103","Nov 17, 2020","Nov 17, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good overview of anti-fat bias both institutionalized and personal. I’m thankful to the sewing community for introducing these ideas and biases to mA good overview of anti-fat bias both institutionalized and personal. I’m thankful to the sewing community for introducing these ideas and biases to me. Gordon ends the book with action steps. They’re worth thinking about. She also briefly names ways we can move conversations about bias and institutionalized discrimination forward in our own spheres of influence by listening, believing, adjusting and collaborating. I like that simplicity. I did find myself indignant(?) Or arguing with her(?) at points in the book. Unclear whether that’s my bias or useful criticism but that’s neither here nor there As with most non fiction, I wish this were a long form article. It seems like each chapter came from different essays anyway with some overlap between sources etc. ...more",Notes are private!,0,2,1,not set,"Mar 22, 2024","Mar 21, 2024",,Audiobook,view (with text),/book/show/56342597-what-we-don-t-talk-about-when-we-talk-about-fat
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,215","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/173754979-james
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Olive Kitteridge        (Olive Kitteridge, #1)","Strout, Elizabeth*",,,,270        pp,3.85,"236,061","Mar 25, 2008","Mar 25, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/1736739.Olive_Kitteridge
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Adventures of Amina al-Sirafi        (Amina al-Sirafi, #1)","Chakraborty, Shannon",,,,483        pp,4.29,"39,567","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/61294937-the-adventures-of-amina-al-sirafi
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Sinners Bleed,"Cosby, S.A.*",1250831911,9781250831910,1250831911,341        pp,4.26,"50,136","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Not my normal. But read like a True Detective season.,Notes are private!,0,3,1,not set,"Feb 11, 2024","Feb 12, 2024",,Hardcover,view (with text),/book/show/61884832-all-the-sinners-bleed
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Familiar,"Bardugo, Leigh*",125088425X,9781250884251,125088425X,400        pp,4.32,"1,086","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Hardcover,view,/book/show/133286777-the-familiar
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If You See Them: Young, Unhoused, and Alone in America","Sokolik, Vicki*",195411849X,9781954118492,195411849X,336        pp,4.42,174,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/136335400-if-you-see-them
