,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elizabeth's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Path Lit by Lightning: The Life of Jim Thorpe,"Maraniss, David*",1476748411,9781476748412,1476748411,672        pp,4.03,"2,163","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very thorough, very long. I liked the portrayal of Jim in his younger years--his confidence and his attractive personality. I also loved his first wifVery thorough, very long. I liked the portrayal of Jim in his younger years--his confidence and his attractive personality. I also loved his first wife. His second wife was too young but I think they did love each other. His third wife was a promoter and very strong so that gets in the way of whether they were in love or not? At that point, Jim got a couple of facelifts. I thought that was sad. It was also sad that it took so long for the Olympic medals to get returned to the family (after his death). Another tragedy is that he is buried STILL in Pennsylvania rather than Oklahoma which was his wish. The story is spectacularly complicated but Jim holds his place in history and that is a good thing. The author mentioned several times how Jim was an unreliable narrator, not even clear on his own birthdate. The author describes trying to decipher what was mythology while doing his research. The end of the book was very hopeful as Jim's descendants have all gone on to make their positive mark on the world. The condescension toward Jim and making him into a ""curiosity"" are heartbreaking. Still, Jim just kept on going and did the best that he could. He was a great man. Videos I shared at the library when talking about this book:https://www.youtube.com/watch?v=0zVXH...https://davidmaraniss.com/about/ ...more",Notes are private!,0,2,1,not set,"Apr 02, 2024","Apr 02, 2024",,Hardcover,view (with text),/book/show/59365050-path-lit-by-lightning
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bingo Palace,"Erdrich, Louise",0061129755,9780061129759,0061129755,274        pp,3.87,"4,781","Jan 01, 1994","Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/195326.The_Bingo_Palace
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Importance of Being Funny: Why We Need More Jokes in Our Lives,"Gini, Al",1442281766,9781442281769,1442281766,168        pp,3.57,46,unknown,"Jul 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/33505806-the-importance-of-being-funny
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Humor Code: A Global Search for What Makes Things Funny,"McGraw, Peter*",1451665415,9781451665413,1451665415,239        pp,3.43,967,"Apr 01, 2014","Apr 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/18144085-the-humor-code
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lean on Me: A Children's Picture Book,"Withers, Bill",1636141099,9781636141091,1636141099,24        pp,4.27,15,unknown,"Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Classic song about the value of friendship: I had a fun time this week using this beautiful book for story time. I played the youtube video of Bill WiClassic song about the value of friendship: I had a fun time this week using this beautiful book for story time. I played the youtube video of Bill Withers singing his fantastic song. This book is in a series called LyricPop. They have a wonderful catalog of cool pop songs that are illustrated....more,Notes are private!,0,2,1,not set,"Mar 27, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/120841267-lean-on-me
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Learning to Love Midlife: 12 Reasons Why Life Gets Better with Age,"Conley, Chip*",0316567027,9780316567022,0316567027,240        pp,3.60,245,unknown,"Jan 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I liked Chapter 10 which speaks to having time to be a beginner again. I love this thought. I can try new things but I can also pick back up things I I liked Chapter 10 which speaks to having time to be a beginner again. I love this thought. I can try new things but I can also pick back up things I tried once upon a time but veered away from. Life is amazing. Questions for defining your legacy (p. 173) were terrific for narrowing down on mission. Each life stage has its upsides and downsides!...more,Notes are private!,1,2,1,not set,"Mar 27, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/145624785-learning-to-love-midlife
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When: The Scientific Secrets of Perfect Timing,"Pink, Daniel H.*",0735210624,9780735210622,0735210624,272        pp,3.79,"30,349","Jan 09, 2018","Jan 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I grapple with time management and my relationship with time so I enjoyed this book which said I am not the only one, haha. I try my best to live my lI grapple with time management and my relationship with time so I enjoyed this book which said I am not the only one, haha. I try my best to live my life from a time abundance perspective rather than a time poverty perspective. It has taken me years to make this shift. I liked learning about the ""Uh-Oh Effect."" Quote from p. 189 (LP edition) ""When we reach a midpoint, sometimes we slump, but other times we jump. A mental siren alerts us that we've squandered half of our time. That injects a healthy dose of stress--UH-OH, WE'RE RUNNING OUT OF TIME!--that revives our motivation and reshapes our strategy.""...more",Notes are private!,0,2,1,not set,"Mar 27, 2024","Mar 27, 2024",,Hardcover,view (with text),/book/show/35412097-when
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Enormous Potato, The","Davis, Aubrey*",1550743864,9781550743869,1550743864,32        pp,3.75,306,"Jan 01, 1997","Sep 01, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book surfaces this time of year, for me, for St. Patrick's Day. I love it! (It is like the giant turnip and the giant carrot and other stories abThis book surfaces this time of year, for me, for St. Patrick's Day. I love it! (It is like the giant turnip and the giant carrot and other stories about giant vegetables!) The beginning of the description of it, in Amazon, is exactly how I feel about it!""Folk tales give us hope. They show us that we can succeed in spite of apparent problems. And they entertain. Perhaps this accounts for their universal appeal and their amazing ability to survive. “The Enormous Potato” is one such story that has been around for generations. Retold by professional storyteller Aubrey Davis, it shows what can be accomplished when everyone lends a hand to solve a problem.""...more",Notes are private!,0,1,1,not set,"Mar 11, 2024","Mar 11, 2024",,Hardcover,view (with text),/book/show/2955397-enormous-potato-the
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fatal First Edition        (Library Lover's Mystery, #14)","McKinlay, Jenn",0593639359,9780593639351,B0C56S1VDD,280        pp,4.13,763,"Feb 13, 2024","Feb 13, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the 14th in the series. Don’t harm lovely Sully! The library details ring true again: the debate about which is better, the book or the movie?This is the 14th in the series. Don’t harm lovely Sully! The library details ring true again: the debate about which is better, the book or the movie?; the tenacity of a librarian wanting a lost book to be reunited with the owner; the portion of librarianship involved with rare books and restoration; the very fun (genius) subplot of having the library crafters simulate a book! I liked Lindsey & Sully taking the train to and from the conference. I liked how they watched the Hitchcock film, STRANGERS ON THE TRAIN, which I just watched today, spellbinding. I liked how the character of Robbie was correct about who the murderer was. The snowstorm was cleverly woven into the story to make a lot of things happen! Loved the final lines of the book, “In the end, wasn’t that all anyone could hope for? To know that they made a difference and to be remembered well.” Great job! ...more",Notes are private!,0,0,1,"Mar 09, 2024","Mar 10, 2024","Mar 10, 2024",,Kindle Edition,view (with text),/book/show/154462688-fatal-first-edition
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Looking for Bobowicz,"Pinkwater, Daniel",0060535563,9780060535568,0060535563,213        pp,3.93,252,2004,"Jan 03, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Eccentric and silly, just the opposite of UNUSUAL CHICKENS FOR THE EXCEPTIONAL POULTRY FARMER because in this book the boy is being moved to the city Eccentric and silly, just the opposite of UNUSUAL CHICKENS FOR THE EXCEPTIONAL POULTRY FARMER because in this book the boy is being moved to the city by his parents for his betterment. Quote from p. 197...""Oh, this is such an urban thing to have happen! my mother said. ""A giant chicken! This is the kind of rich life experience your father and I wanted you to have."" I like the characters in the book, both the children and adults. The librarian named Starr Lackawanna (funny names throughout this book) on p. 143 says, ""I live to astonish, amaze, and astound. Those are things librarians do well."" SO COOL! Example of word play and fun on p. 147, ""It stopped being an art school in 1939. It specialized in avantgarde--that's ultramodern--art. They had classes in Impossibleism, Supersurrealism, Dynamic Double-Daddy Realism, Ishkabibleism, and Mama."" ""Like Dada, only nicer."" LOL. I learned something about Beaux-Arts architecture on p. 156. ""Look at all the ornaments and doodads and wiggly things on it."" ""Sort of a cross between a wedding cake and a nightmare.""Do kids who read this stuff get the jokes? *Loved the chapters numbered with Roman Numerals....more",Notes are private!,0,1,1,not set,"Mar 07, 2024","Mar 07, 2024",,Paperback,view (with text),/book/show/63341.Looking_for_Bobowicz
