,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Iwillread's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kol nepriklausėme jums,"Wingate, Lisa*",,9786094800597,,477        pp,4.40,"606,933","Jun 06, 2017",2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Aug 25, 2019",,Hardcover,view,/book/show/44158102-kol-nepriklaus-me-jums
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underground Railroad,"Whitehead, Colson*",0385542364,9780385542364,0385542364,320        pp,4.06,"401,194","Aug 02, 2016","Aug 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 19, 2018",,Hardcover,view,/book/show/30555488-the-underground-railroad
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nix,"Hill, Nathan",110194661X,9781101946619,110194661X,640        pp,4.08,"74,436","Aug 30, 2016","Aug 30, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Oct 19, 2018",,Hardcover,view,/book/show/28251002-the-nix
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mefisto klubas        (Rizzoli & Isles, #6)","Gerritsen, Tess*",,9789955133124,9955133120,352        pp,4.03,"45,958","Sep 12, 2006",2011,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Na, dar vienas puikios autorės, puikus detektyvas. Nors 5-etu jo negaliu įvertinti, tačiau tai nei kiek nesumažino mano įstiraukimo skaitant. Tess turNa, dar vienas puikios autorės, puikus detektyvas. Nors 5-etu jo negaliu įvertinti, tačiau tai nei kiek nesumažino mano įstiraukimo skaitant. Tess turi sugebėjimą priversti skaitytoją maksimaliai pasinerti į istoriją. Iš šios knygos tikėjausi nemažai, nes pati idėja - blogio tyrinėtojų klubas - mane labai sudomino. Kai dar neskaičiau Ricoli ir Ailz serijos knygų iš eilės, su Mefisto klubu teko susipažinti kitame kūrinyje - ""Išlikusieji"", kuriame jie tikrai mane labai suintrigavo. Visgi šioje knygoje kažko pritrūko,  o kažko buvo per daug. Man nebuvo itin įdomu skaityti apie visokius velnio simbolius ir reikšmes įvairiose kultūrose. Tačiau žmogui, besidominčiam simbolika, tai turėtų tikrai patikti. Aš tas vietas skaitydavai greit, man jos nesukėlė jokio mistikos pajautimo ar šiurpuliukų. Visgi labai gerbiu autorę už eilinį kartą pademonstruotą įsigilinimą į temą, apie kurią sukasi veiksmas. Susidaro vaizdas, jog Tess yra be galo skrupulinga savo kūriniams, nerašo jų atmestinai, kiekviena smulkmena yra apgalvota ir pateikta taip, kad nekeltų skaitytojui abejonių.Tačiau nors pasirinkta religijotyros tema čia manęs neįtraukė, mano apmaudą atpirko Moros meilės istorija. :) Iš tiesų labai įdomu sekti jos ir Ricoli gyvenimo užkulisius. Manau, kad šis aspektas yra vienas iš Tess arkliukų, darančių jos knygas tokias patrauklias - detektyvinė linija plius asmeniniai santykiai, kas gali būti įdomiau? :) ...more",Notes are private!,0,1,1,"Jun 06, 2018","Jun 09, 2018","Jun 11, 2018",,Hardcover,view (with text),/book/show/19033726-mefisto-klubas
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pribuvėjos išpažintis,"Chamberlain, Diane*",6090104612,9786090104613,6090104612,384        pp,4.08,"42,505",2011,2012,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tai antroji Dianos Chamberlein knyga, kurią perskaičiau. Ją pasirinkau ne atsitiktinai – knyga liaupsinama, kaip viena labiausiai autorę išgarsinusių Tai antroji Dianos Chamberlein knyga, kurią perskaičiau. Ją pasirinkau ne atsitiktinai – knyga liaupsinama, kaip viena labiausiai autorę išgarsinusių kūrinių, internete knibžda teigiamų atsiliepimų apie ją. Tikėjausi, jog nenusivilsiu.Tačiau realybė ta, kad pirmoji skaityta autorės knyga – “Paskutinis pabėgimas“ – man paliko kur kas didesnį įspūdį. Pribuvėjos išpažintis, tai istorija, kuri man pasirodė pernelyg dramatiška ir paini, toli nuo tikrovės, kažkiek dirbtina.Noelė – kaip ir jos mama dirbo pribuvėja, ji visą savo gyvenimą rūpinosi kitais, žmonės ją žino kaip nuoširdžią, visada pasiruošusią padėti, geraširdę moterį. Taros, Emerson ir Noelės draugystė tvirta, patikrinta laiko ir įvairių išbandymų. Gyvenimas teka įprasta vaga, kol mirus Noelei į paviršių pradeda lįsti sunkiai protu suvokiamos paslaptys.Pabrėšiu – sunkiai protu suvokiamos. Skaitant knygą tikrai ne kartą varčiau akis, na tikrai – dramos ryškiai per daug. Be to, veikėjai gana paviršutiniški, be tvirto charakterio, nesudominantys. Būtent atvirkštinė emocija mane taip kaustė “Paskutiniame pabėgime“ – ten veikėjai labai pagaulūs, juos pamėgti arba nekęsti labai lengva, dar iki dabar puikiai prisimenu jausmą, kurį kėlė minėta knyga.Visgi nesigailiu skaičiusi, žadu perskaityti dar ne vieną Chamberlain knygą, nes kas man patinka jos kūryboje, tai lengvas rašymo stilius, malonumas, kurį sukelia jos knygų skaitymas. Net jei ir išvardinau nemažai trūkumų, skaitant “Pribuvėjos išpažintį“ vis tiek apie nieką kitą negalvojau ir knyga puikiai padėjo “atsijungti“ nuo pasaulio. O kartais tik tiek ir reikia. Juk negali visos knygos būti šedevrai, ar ne? 🙂...more",Notes are private!,0,1,1,"Jun 03, 2018","Jun 06, 2018","Jun 11, 2018",,Hardcover,view (with text),/book/show/19069761-pribuv-jos-i-pa-intis
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mergina lede,"Bryndza, Robert*",9955136502,9789955136507,9955136502,384        pp,3.96,"81,916","Feb 12, 2016",2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Na ką, tikėjausi kažko daugiau. Knyga lyginama su Tess kūryba ir iš karto sakau – neapsigaukite. Toks jausmas, kad pats autorius prisiskaitė Tess ir sNa ką, tikėjausi kažko daugiau. Knyga lyginama su Tess kūryba ir iš karto sakau – neapsigaukite. Toks jausmas, kad pats autorius prisiskaitė Tess ir sugalvojo parašyti detektyvą. Knygoje nėra nieko unikalaus – pagrindinė veikėja – Erika Foster – asmeninių netekčių kamuojama detektyvė, kuri nepaklūsta taisyklėms, remiasi intuicija ir nuoširdžiai rūpinasi teisingumu. Galiausiai pati dėl to nukenčia, tiek tiesiogiai, tiek netiesiogiai, įsitaiso priešų, tačiau turi ir tikrų draugų. Na, nieko, absoliučiai nieko išskirtinio. Knyga gana nuspėjama, jau pradžioje aišku, kad tyrimas eina ne ta linkme, kad Erikos nuojauta neapgauna ir reiktų nepaisyti įtakingo politiko užgaidų išsaugoti nužudytos dukters privatumą, nes tai trukdo tyrimui. Vėliau (kaip netikėta) atsiranda dar kelios panašios bylos, kurios siejasi su pagrindine, tad tyrimas įgauna pagreitį, kalbama apie serijinį žudiką. Bet tas žudikas tooooks silpnas ir neišvystytas personažas, kad net kyla klausimas – ar tyčia autorius taip norėjo padaryti, ar jam tiesiog nepavyko sukurti bent minimalios baimės, kurią nusikaltėlis keltų?Svarbu paminėti, kad paties žudiko aš “neišrišau“, iki pat galo visai gerai buvau vedžiojama už nosies. Apskritai – knyga nuo maždaug vidurio prikaustė daug labiau, nei pati pradžia. Dėl to ją perskaičiau greitai, perskaičiusi nesigailiu. Galvoju, kad jei tik autorius atras savo braižą, nemėgdžios jau egzistuojančių rašytojų kūrybos, tai jis visai turi potencialo. Antrą jo knygą paskaityti norėčiau, kažkada tą ir padarysiu....more",Notes are private!,0,2,1,Jun 2018,"Jun 03, 2018","Jun 11, 2018",,Hardcover,view (with text),/book/show/33948727-mergina-lede
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taip sukasi pasaulis nuostabus,"McCann, Colum*",,9786094441028,,432        pp,3.95,"104,955","Jun 16, 2009",2015,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Knyga tarsi linksmieji kalneliai - teko pabūvoti ir labai aukštai, ir labai žemai. Manau, taip atsitiko dėl keleto aspektų:- aprašomų veikėjų. Jų, kaiKnyga tarsi linksmieji kalneliai - teko pabūvoti ir labai aukštai, ir labai žemai. Manau, taip atsitiko dėl keleto aspektų:- aprašomų veikėjų. Jų, kaip jau supratote, yra 11 ir visi išties skirtingi. Vieni mane labai sudomino, privertė susimąstyti, kiti - nepaliko jokio įspūdžio. Tad, jei nuoširdžiai, nors knygą perskaičiau ką tik, galėčiau įvardinti 6 veikėjus. Kitų tiesiog neprisimenu. Galvoju, gal pernelyg pretenzinga buvo skaitytoją apkrauti tokia veikėjų gausa? Kita vertus, knygai įpusėjus daug kas stoja ""į vietas"" ir jei pradžioje susieti herojus tarpusavy buvo sunku, vėliau viskas paaiškėja. Čia toks tarsi prizas kantriam skaitytojui, momentas, kai gali sakyti: ""ahaa, tai va kaip čia"", bet ar tai atperka minutes, kuomet žvilgčiojau, kiek vieno ar kito veikėjo aprašymui dar liko puslapių, nesu tikra. - autoriaus rašymo stiliaus. Mano skoniui jis pasirodė šiek tiek per padrikas. Tarsi norima sukurti lengvumo įspūdį, tačiau iš to lengvumo net per sunku buvo. Teko ne kartą pradėti skaityti pastraipą iš naujo, nes tiesiog visiškai nesuprasdavau, ką ja norima pasakyti, o galiausiai suvokdavau, kad nieko nenorima pasakyti, o tiesiog kuriamas veikėjo charakteris. Tačiau, kas tikrai patiko, tai kai kurios mintys, metaforos, išminties perliukai, kurių dėka stabtelėdavau ir pamąstydavau apie tam tikrus gyvenimo niuansus. Pavyzdžiui, ""...kartais šiame gyvenime yra daugiau grožio, nei pasaulis gali ištverti."" - kūrinio stiliaus. Tai alegorinė knyga, ji nėra paprastas romanas, tinkamas paprastam, jaukiam vakarui. O aš tikėjausi būtent to, todėl teko nusivilti. Šiam kūriniui reikia susikaupti, norint pastebėti visus slaptus palyginimus, reikia skaityti plačiai atmerktom akim. Tuomet akylas skaitytojas įžvelgs gilių prasmių ir bus maloniai nustebintas. Deja, šiuo metu nesu tokia skaitytoja, man dabar toks etapas, kuomet iš knygų noriu kažko, ko nereiktų jaukintis, noriu istorijų, kurios tiesiog ""liptų"". Įdomiausia knygoje buvo kai kurių veikėjų likimai, nuobodžiausia - momentai, kuomet buvo rašoma apie lyno akrobatą. Nors istorija su akrobatu - tikra, o visa kita - išgalvota, visgi juntama, jog knygoje mažai dėmesio buvo skiriama akrobatui ir daugiau - lyno, kaip metaforos vaizdiniui. Tačiau galvoju, jog tai buvo daroma sąmoningai. Prieš skaitant šią knygą rekomenduoju susipažinti su autoriumi, ir perskaityti jo interviu. Manau, jog tai padės į knygą pažvelgti kitaip ir nuspręsti, kada būtent esate pasiruošęs ją skaityti, nes kartoju, bet kokiam eiliniam vakarui knyga netiks. :) Interviu su autoriumi rasite čia - https://www.15min.lt/naujiena/kultura......more",Notes are private!,0,3,1,"Jun 02, 2018","Jun 08, 2018","Jun 02, 2018",,Hardcover,view (with text),/book/show/25617213-taip-sukasi-pasaulis-nuostabus
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dingęs be žinios,"Mishani, D.A.*",,9786094442087,,368        pp,3.50,"1,881",2011,2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Įdomu tai, kad šis detektyvas buvo kažkuo labai kitoks nuo visų, kuriuos iki šiol skaičiau. Man prireikė kelių dienų suprasti - o kuo gi? Pirmiausia, Įdomu tai, kad šis detektyvas buvo kažkuo labai kitoks nuo visų, kuriuos iki šiol skaičiau. Man prireikė kelių dienų suprasti - o kuo gi? Pirmiausia, daugumoje detektyvų pagrindiniai veikėjai būna kažkuo ""sužaloti"", ""kitokie"", ""su paslaptimi"" ,"" sudėtingo charakterio"". O štai Avrahamas Avrahamas (taip, jo toks vardas) yra toks kažkoks... paprastas. Vienišas, kartais nelaimingas, tačiau jautrus, nuoširdžiai besidomintis, toks tikroviškas. Kitas aspektas - veiksmas čia vyksta gana lėtai, paprastai mane tai labai erzina, bet čia nekliuvo. Nemažai laiko skiriama asmeniniams detektyvo išgyvenimams, taip duodama geriau jį pažinti. Dar lėtumas netrukdė ir dėl to, kad visgi yra kuriama įtampa, lėtai, pamažu, labai subtiliai, bet ji tikrai kyla. Tyrimui vykstant beveik nei kiek nepasistūmėjama į priekį ir tas skaitytojui kelia klausimų - nu tai kur gi tas vaikis? Aš pati turėjau kelis variantus, kas jam galėjo nutikti, bet nei vienas neišsipildė.Knygos pabaiga apstulbino. Ne dėl to, kad būtų super sudėtinga, tačiau tikrai netikėta, o tuo pačiu ir elementari. Visi neaiškumai, lėtumas ir keistumai stoja į vietas ir tampa aiškūs. Tas lėtumas knygoje yra paraleliai susijęs su tyrimo lėtumu. Kituose detektyvuose tyrimai vyksta gana greitai, visokios ekspertizės tuoj pat pateikia rezultatų, o čia ne ir knygos tempas tiesiogiai su tuo susijęs. Tai kuria tikroviškumo įspūdį. Pati pabaiga pasėja klaustuką - ar tikrai viskas būtent taip ir buvo? O gal ne? Gal tiesa kiek kitokia? ""Laukite tęsinio"" - paskutinis knygos sakinys užsimena apie galimybę sulaukti bent jau antros knygos su detektyvu Avrahamu. Tikrai laukčiau. Kas man nepatiko? Na bendras jausmas toks, kad knyga tinkama laisvalaikiui, tačiau stiprumo jai trūksta. Tai kitoks detektyvas ir tas yra gerai, bet kitoniškumas šiuo atveju nebuvo toks, kad galėčiau sakyti, jog autorius pavergė mano širdį. Sudomino, užkabino, sukėlė smalsumą, bet ne tiek, kad pulčiau ieškoti kitų jo knygų. Jei pasitaikys akiraty - paskaitysiu, jei ne, tai ne. Skaityti buvo malonu, laikas neprailgo. Literatūrinės vertės, žinoma, tikėtis nereiktų, stipriai pabrėžiu, kad čia laisvalaikio knyga. ...more",Notes are private!,0,1,2,"Apr 05, 2018not set","Apr 08, 2018not set","Apr 18, 2018",,Hardcover,view (with text),/book/show/34392780-ding-s-be-inios
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lopšinė,"Slimani, Leïla",,9789986399483,,216        pp,3.39,"107,756","Aug 18, 2016",Jun 2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Jau seniai nejutau tokios įtampos perskaičiusi vos vieną puslapį. Ji iš karto užkabino, nors tuo pačiu ir be galo gąsdino. Viduje mainėsi jausmai – noJau seniai nejutau tokios įtampos perskaičiusi vos vieną puslapį. Ji iš karto užkabino, nors tuo pačiu ir be galo gąsdino. Viduje mainėsi jausmai – norėjau “atskaityti“, ką jau perskaičiau, bet tuo pačiu ir labai norėjau išsiaiškinti, kodėl?? Įtampos kulminacija – patys pirmieji sakiniai. Jų dėka paaiškėja siaubinga tiesa, tai, kas jau neišvengiama ir skaitytojui nepaliekama net menkiausios vilties, kad viskas gali būti gerai. Gerai jau niekada nebebus, tačiau visa knyga sutelkta į tai, kaip iki šio momento buvo prieita. Nežinau, ar atskleisti, tai kas rašoma tame pirmame puslapyje būtų spoilinimas, bet turbūt patys nujaučiat? Leila Slimani pristato gana paprastą siužetą – jauna šeima nusisamdo auklę. Ieško jos labai atsakingai ir kruopščiai, savo vaikus dievina, todėl nori jiems pačios geriausios priežiūros. Luiza juos abu pakeri iš karto. Ji tuoj pat randą kalbą su Mila ir Adanu, įveda tvarką vietoje namuose vyravusio chaoso, gamina nuostabius valgius, idealiai kuopia namus, nors to net nėra prašoma. Ir visa tai daro kukliai, tyliai, nesimaišydama po kojomis. Tėvai absoliučiai negali atsidžiaugti, todėl kartais kilusias dvejones, dėl Luizos elgesio, įtampos, kurią ilgainiui pradeda abu jausti, keistus, šiurpinančius jos poelgius “nurašo“ ir gyvena toliau. Tiesą sakant jie jau nemoka gyventi be Luizos. Ši įaugo į jų namus, susikūrė juose gūžtą ir giliai įleido šaknis. Tai tam tikra priklausomybė nuo viso gėrio, kurį auklė suteikia, nuo darbų, nuo kurių jie išvaduoti būtent Luizos dėka. Kartojuosi, siužetas gana paprastas. Bet žinote, kas čia yra magiška? Tai, kaip autorė mėsinėja, po kaulelį narsto Luizos asmenybę, atskleisdama visus tuos iškrypimus, nevengdama itin stiprių išsireiškimų, teksto nuogumo. Leila paliečia vidinius jaunų mamų išgyvenimus, pasitaikantį jų vyrų atsainumą, prieštaravimus tarp noro auginti savo vaikus ir tuo pačiu realizuoti save. Autorė kalba apie rasizmo problemas, nelegalius imigrantus, smurtą ir kalba apie tai meistriškai. Kažkur interneto platybėse apie Leilą skaičiau mintį: “ji rašo tai, ko nedrįsta kiti“, šiek tiek pakoreguočiau, mano akimis, ji rašo taip, KAIP nedrįsta kiti. Jei būčiau rašytoja negalėčiau taip rašyti grynai iš banalios baimės “ką apie mane pagalvos, kad taip rašau, kad kokia tai freak’ė esu“, bet apie Leilą taip negalvoju, laikau ją labai drąsia.Dėl ko visgi knygai duodu ne 5, o 4? Gal kaip detektyvų mėgėja, nemėgstu pabaigos, kuri palieka vietos dvejonėms. Man norėjosi teismo proceso, norėjosi daugiau emocijų po to įvykio, norėjosi išgirsti Luizos “pasiteisinimą“....more",Notes are private!,0,1,1,not set,not set,"Mar 30, 2018",,Hardcover,view (with text),/book/show/35435093-lop-in
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moiros ir Furijos,"Groff, Lauren*",9955239204,9789955239208,9955239204,448        pp,3.58,"138,696","Sep 15, 2015",2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2018",,Hardcover,view,/book/show/32793470-moiros-ir-furijos
