,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Frabe's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,URLANDO CON I CANNIBALI,"Maynard, Lee*",886261859X,9788862618595,886261859X,350        pp,4.50,6,unknown,"Apr 23, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""A metà strada fra Il giovane Holden di J. D. Salinger e Corri, coniglio di John Updike"", dice la terza di copertina. Io direi meno, parecchio meno. ""A metà strada fra Il giovane Holden di J. D. Salinger e Corri, coniglio di John Updike"", dice la terza di copertina. Io direi meno, parecchio meno. ...more",Notes are private!,0,0,1,"Feb 28, 2024","Mar 02, 2024","Feb 28, 2024",,Paperback,view (with text),/book/show/135738445-urlando-con-i-cannibali
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il puma,"Stafford, Jean",8845986594,9788845986598,B0C7CY9WG5,222        pp,3.91,"1,082",1947,"Jun 13, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Seconda di copertina: ""Qualcosa di morboso e strisciante, che è del paesaggio, delle presenze che lo anima­no, degli interni di case occasionalmente tSeconda di copertina: ""Qualcosa di morboso e strisciante, che è del paesaggio, delle presenze che lo anima­no, degli interni di case occasionalmente trasformate in camere ardenti, accoglie il lettore di questo paradossale romanzo di formazione..."" Ecco, io sostituirei ""accoglie"" con ""respinge"": questo romanzo proprio non mi ha coinvolto....more",Notes are private!,0,0,1,"Feb 09, 2024","Feb 20, 2024","Feb 09, 2024",,Paperback,view (with text),/book/show/175249853-il-puma
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La strana vita di Cutter e Bone,"Thornburg, Newton",8834713419,9788834713419,8834713419,352        pp,3.96,"1,028",1976,"Jan 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/9841477-la-strana-vita-di-cutter-e-bone
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il dio disarmato,"Pomella, Andrea",880625104X,9788806251048,880625104X,248        pp,3.67,108,"Sep 06, 2022","Sep 06, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Il 16 marzo 1978 le BR rapirono Aldo Moro eliminando cinque uomini della scorta: operazione lampo, tre minuti. Qui l'autore aggiunge ai fatti un ampioIl 16 marzo 1978 le BR rapirono Aldo Moro eliminando cinque uomini della scorta: operazione lampo, tre minuti. Qui l'autore aggiunge ai fatti un ampio contorno frutto d'immaginazione: operazione discutibile, 230 pagine. “Fare un libro è complicato"", dice Pomella a pag. 181; ""Lo è di più - aggiungerei - se si assemblano elementi reali e immaginari, confidando di mantenerlo credibile""....more",Notes are private!,0,0,1,"Feb 06, 2024","Feb 09, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/62317253-il-dio-disarmato
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invito alla meraviglia: Per un incontro ravvicinato con la scienza,"McEwan, Ian*",8806246313,9788806246310,8806246313,128        pp,3.36,225,"Oct 03, 2019","Nov 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lode anche al McEwan saggista.,Notes are private!,0,0,1,"Jan 27, 2024","Jan 30, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/55876803-invito-alla-meraviglia
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Api Grigie,"Kurkov, Andrey",,9791259521323,,386        pp,4.08,"5,935",2018,"Sep 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bel romanzo di Andrei Kurkov del 2019; il protagonista, l'apicoltore Sergej, vive in Ucraina sud-orientale, nella zona grigia contesa dal 2014 tra forBel romanzo di Andrei Kurkov del 2019; il protagonista, l'apicoltore Sergej, vive in Ucraina sud-orientale, nella zona grigia contesa dal 2014 tra forze governative ucraine e separatisti filorussi, poi epicentro dal 2022 della guerra avviata con l’invasione militare russa. Sergej si accontenta di poco e vorrebbe vivere in pace con le sue api, ordinate, laboriose, produttive... a differenza degli uomini, spesso litigiosi, anche al punto - come in quel contesto - di ammazzarsi brutalmente tra loro....more",Notes are private!,0,1,1,"Jan 30, 2024","Feb 07, 2024","Jan 30, 2024",,Paperback,view (with text),/book/show/198971408-api-grigie
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La conca buia,"Morandini, Claudio",,9791254800843,,224        pp,3.21,19,unknown,"Oct 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nel paese di montagna è tempo di competizione politica; il candidato sindaco, furbastro, ha rapporti famigliari singolari; parecchie vicende hanno risNel paese di montagna è tempo di competizione politica; il candidato sindaco, furbastro, ha rapporti famigliari singolari; parecchie vicende hanno risvolti paradossale e finisce che... la lettura è piacevole, per la scrittura buona e l'alta dose di ironia....more",Notes are private!,0,0,1,"Jan 19, 2024","Jan 24, 2024","Jan 19, 2024",,Paperback,view (with text),/book/show/199276886-la-conca-buia
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vorrei chiederti di quel giorno. Vita e morte di un ragazzo che era mio padre,"Tosa, Lorenzo",8831813757,9788831813754,B0CQLXPPD8,391        pp,3.93,14,unknown,"Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Kindle Edition,view,/book/show/204065804-vorrei-chiederti-di-quel-giorno-vita-e-morte-di-un-ragazzo-che-era-mio
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giù nella valle,"Cognetti, Paolo*",8806262165,9788806262167,8806262165,128        pp,3.57,"1,689","Oct 24, 2023","Oct 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sempre bravo, Cognetti.",Notes are private!,0,1,1,"Jan 07, 2024","Jan 09, 2024","Jan 09, 2024",,Hardcover,view (with text),/book/show/199258938-gi-nella-valle
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il ritmo di Harlem,"Whitehead, Colson*",8804740434,9788804740438,8804740434,360        pp,3.74,"69,513","Sep 14, 2021","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/58899215-il-ritmo-di-harlem
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quaderno proibito,"Céspedes, Alba de",8851523118,9788851523114,8851523118,240        pp,4.13,"6,515",1952,Aug 2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Scritto a metà del secolo scorso (al tempo lontano della mia nascita), il “Quaderno” di Alba De Cespedes è uno dei primi passi, incerti ma significatiScritto a metà del secolo scorso (al tempo lontano della mia nascita), il “Quaderno” di Alba De Cespedes è uno dei primi passi, incerti ma significativi, di autocoscienza e rivendicazione del ruolo della donna nella famiglia e nella società....more",Notes are private!,0,11,1,"Dec 10, 2023","Dec 31, 2023","Dec 10, 2023",,Paperback,view (with text),/book/show/300143.Quaderno_proibito
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sistema nervoso in costruzione,"Jefferson, Margo*",8832973162,9788832973167,8832973162,176        pp,3.78,"1,315","Apr 12, 2022","Dec 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""In Sistema nervoso in costruzione, Margo Jefferson scompone, frammenta, distrugge e infine ricompone, i tanti brandelli della sua identità."" Processo""In Sistema nervoso in costruzione, Margo Jefferson scompone, frammenta, distrugge e infine ricompone, i tanti brandelli della sua identità."" Processo complicato, con risultati altalenanti... (dopo aver letto un apprezzamento notevole su ""Robinson"" di Repubblica mi aspettavo ben di più)....more",Notes are private!,0,0,1,"Jan 02, 2024","Jan 06, 2024","Dec 10, 2023",,Paperback,view (with text),/book/show/202911743-sistema-nervoso-in-costruzione
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Israele e i palestinesi in poche parole,"Travaglio, Marco",,9791255430421,B0CLML6FM8,128        pp,3.80,249,unknown,"Nov 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Grazie, Travaglio! Questo ""Israele e i palestinesi in poche parole"" è un ripasso-approfondimento della storia di quella terra tormentata, utile e neceGrazie, Travaglio! Questo ""Israele e i palestinesi in poche parole"" è un ripasso-approfondimento della storia di quella terra tormentata, utile e necessario per capire - almeno in parte - il presente; a mo' d'esempio, personalmente sapevo troppo poco del ""piano Olmert"", 2007-2008, la proposta israeliana che più si avvicinava all'obiettivo ""due popoli due stati"", purtroppo rifiutata: dopo quel dialogo promettente, sempre peggio… e con Hamas e Netanyahu voce alle armi....more",Notes are private!,0,4,1,"Feb 15, 2024","Feb 19, 2024","Dec 07, 2023",,Paperback,view (with text),/book/show/201910064-israele-e-i-palestinesi-in-poche-parole
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Resoconto,"Cusk, Rachel",8806236563,9788806236564,8806236563,185        pp,3.68,"52,265","Sep 14, 2014","Sep 11, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Paperback,view,/book/show/41805368-resoconto
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'impronta dei giorni smarriti: Quando il passato non se ne vuole andare,"Dalpiaz, Antonia",8868762897,9788868762896,8868762897,357        pp,4.00,1,unknown,"May 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Giulio ha un passato pesante che lo blocca, ma con qualche aiuto prezioso poco a poco si apre... ""Cambiare si può"", dice Antonia Dalpiaz in questo belGiulio ha un passato pesante che lo blocca, ma con qualche aiuto prezioso poco a poco si apre... ""Cambiare si può"", dice Antonia Dalpiaz in questo bel romanzo, e alla fine il suo Giulio è un po' Alex Baroni quando canta: ""Devo ricominciare a inventare me... per diventare libero, cambiare... e per non cadere più, cambiare"". Buona nuova vita, allora, Giulio....more",Notes are private!,0,1,1,"Nov 30, 2023","Dec 03, 2023","Dec 01, 2023",,Paperback,view (with text),/book/show/104003350-l-impronta-dei-giorni-smarriti
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Baumgartner,"Auster, Paul",8806261231,9788806261238,8806261231,160        pp,3.80,"4,616","Nov 07, 2023","Nov 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Baumgartner è vecchio, ma ancora presente. Il romanzo è buono, a parte il finale assente.",Notes are private!,0,2,1,"Dec 31, 2023","Jan 02, 2024","Nov 26, 2023",,Hardcover,view (with text),/book/show/200804800-baumgartner
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La balena alla fine del mondo,"Ironmonger, John*",8833938735,9788833938738,8833938735,416        pp,4.01,"8,517","Feb 12, 2015","Oct 21, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Finanza e pandemia...con esubero di fantasia,Notes are private!,0,0,1,"Nov 22, 2023","Nov 27, 2023","Nov 22, 2023",,Paperback,view (with text),/book/show/59106632-la-balena-alla-fine-del-mondo
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un dettaglio minore,"Shibli, Adania",8834606167,9788834606162,8834606167,144        pp,4.19,"18,587","Jun 19, 2017","Apr 15, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Autrice palestinese. Libro pubblicato nel 2017, letto in tempo di guerra (dicembre 2023). Nocciolo del racconto interessante (4 stelle). Scrittura quaAutrice palestinese. Libro pubblicato nel 2017, letto in tempo di guerra (dicembre 2023). Nocciolo del racconto interessante (4 stelle). Scrittura qualitativamente modesta, zeppa di dettagli insignificanti (2 stelle). Apprezzato - più che altro - per informazioni utili colte qua e là (in definitiva: 3 stelle)....more",Notes are private!,0,0,1,"Dec 04, 2023","Dec 06, 2023","Nov 19, 2023",,Paperback,view (with text),/book/show/57694441-un-dettaglio-minore
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zero K,"DeLillo, Don",8806232525,9788806232528,8806232525,248        pp,3.20,"11,625","Mar 03, 2016","Oct 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/32283618-zero-k
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nessuno scrive al colonnello,"García Márquez, Gabriel",8804459182,9788804459187,8804459182,76        pp,3.80,"53,158",1961,"Jan 01, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Da troppi anni la pensione non arrivaogni mattina Buendia aspetta e sperache il governo, buondio, alfine scrivama il tempo fugge... ed è subito sera",Notes are private!,0,2,1,"Nov 12, 2023","Nov 15, 2023","Nov 14, 2023",,Paperback,view (with text),/book/show/8564652-nessuno-scrive-al-colonnello
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eravamo immortali,"Cassardo, Marco",8835728436,9788835728436,B0CD37T5GP,485        pp,3.96,50,unknown,"Sep 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Eravamo immortali” può essere giudicato un grande romanzo: racconta molto dettagliatamente buona parte della vita di due amici, nonché vari decenni d“Eravamo immortali” può essere giudicato un grande romanzo: racconta molto dettagliatamente buona parte della vita di due amici, nonché vari decenni della vita di Torino, la loro città, ma anche dell’Italia, il loro paese, e pure di più: ecco, racconta troppo, e - almeno per me - il troppo stroppia, o storpia… che dir si voglia....more",Notes are private!,0,2,1,"Jan 09, 2024","Jan 16, 2024","Nov 10, 2023",,Kindle Edition,view (with text),/book/show/195257971-eravamo-immortali
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il rapporto,"Claudel, Philippe",8879289721,9788879289726,8879289721,288        pp,4.15,"5,827","Aug 22, 2007","Sep 18, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 04, 2023",,Paperback,view,/book/show/9760142-il-rapporto
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La buona terra,"Buck, Pearl S.",8804404035,9788804404033,8804404035,325        pp,4.00,"249,686","Mar 02, 1931",1995,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"La buona terra... preziosa, un secolo fa, in Cina...",Notes are private!,0,3,1,"Oct 31, 2023","Nov 04, 2023","Oct 31, 2023",,Paperback,view (with text),/book/show/14739138-la-buona-terra
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'ombra in esilio,"Manea, Norman",8842832421,9788842832423,8842832421,304        pp,3.64,14,Oct 2021,"Sep 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Paperback,view,/book/show/199830844-l-ombra-in-esilio
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vita delle rocce,"Bass, Rick",8862619006,9788862619004,8862619006,262        pp,4.09,541,2006,"Oct 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Raccolta di racconti, perlopiù su tematiche ambientaliste, alcuni buoni, altri noiosetti... Menzione speciale per il racconto intitolato ""Titano"", e sRaccolta di racconti, perlopiù su tematiche ambientaliste, alcuni buoni, altri noiosetti... Menzione speciale per il racconto intitolato ""Titano"", e soprattutto per il passo che commenta così l'estinzione delle ""rane giaguaro"" e con essa, più in generale, la perdita di biodiversità in atto: ""Quale altro meraviglioso fenomeno svanirà nel corso delle nostre vite, diventando un giorno solo memoria e storia, racconto ed eredità, e poi frammenti di storia e di eredità, e poi niente, soltanto vento?""...more",Notes are private!,0,0,1,"Feb 20, 2024","Mar 11, 2024","Oct 28, 2023",,Paperback,view (with text),/book/show/199581854-la-vita-delle-rocce
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amleto,"Shakespeare, William",8804314664,9788804314660,8804314664,343        pp,4.02,"952,025",1601,"Apr 20, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Leggere, certo, ma... capire o non capire,questo è il problema",Notes are private!,0,3,1,"Oct 23, 2023","Oct 26, 2023","Oct 25, 2023",,Paperback,view (with text),/book/show/3940213-amleto
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come in cielo,"Scaramella, Damiano",128028496X,9791280284969,B0C32B6JPB,208        pp,3.77,22,unknown,"Sep 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Avevo letto recensioni alquanto positive... Dissento: troppa inverosimiglianza, e pure pretenziosità.",Notes are private!,0,0,1,"Nov 08, 2023","Nov 12, 2023","Oct 22, 2023",,Paperback,view (with text),/book/show/183431057-come-in-cielo
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il libro dei gaeli,"Yorkston, James",,,,304        pp,3.50,2,unknown,Jun 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Scrive pure, l’apprezzato cantautore,ma direi… senza convincere il lettore.",Notes are private!,0,2,1,"Oct 12, 2023","Oct 21, 2023","Oct 12, 2023",,Paperback,view (with text),/book/show/194841928-il-libro-dei-gaeli
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come d'aria,"D'Adamo, Ada",8892762451,9788892762459,8892762451,144        pp,4.06,"3,952",unknown,"Jan 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Testimonianza dolentissima, con tratti d'amore. Testimonianza dolentissima, con tratti d'amore. ...more",Notes are private!,0,0,1,"Sep 26, 2023","Oct 03, 2023","Sep 26, 2023",,Paperback,view (with text),/book/show/139119441-come-d-aria
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gentiluomo in mare,"Lewis, Herbert Clyde",8845986284,9788845986284,B0BT2VM1HH,152        pp,4.08,"1,183","Jan 01, 1937","Jan 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Caduto dalla nave(non visto: guaio grave!),che cosa mai può fareun uomo in mezzo al mare?Nuotare... sperare...ricordare... meditare...",Notes are private!,0,1,1,"Nov 04, 2023","Nov 07, 2023","Sep 21, 2023",,Mass Market Paperback,view (with text),/book/show/86239918-gentiluomo-in-mare
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dov'eri, Adamo?","Böll, Heinrich",8845251586,9788845251580,8845251586,216        pp,3.84,"1,096",1951,"Apr 01, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,La guerra (secondo conflitto mondiale) raccontata nel 1951 da uno scrittore promettente... ma non ancora da Nobel.,Notes are private!,0,0,1,"Sep 18, 2023","Sep 22, 2023","Sep 17, 2023",,Paperback,view (with text),/book/show/15837546-dov-eri-adamo
