,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,NILTON's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Briar Club,"Quinn, Kate*",0063244748,9780063244740,0063244748,432        pp,4.48,79,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/181110045-the-briar-club
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangman's Gap,"Amphlett, Rachel",1915231973,9781915231970,1915231973,362        pp,2.00,1,unknown,"Jun 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/208076485-hangman-s-gap
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,044","Aug 29, 2023","Aug 29, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I suggest reading the author’s notes before reading the story. She does share some personal experience and explain a few things and what inspired her I suggest reading the author’s notes before reading the story. She does share some personal experience and explain a few things and what inspired her to write this work of fiction.Although the protagonist sounds younger than 20 years of age, she is very eloquent and she uses words like collusion, magnanimous, sanctimonious…. Regardless, she also likes the “f” word, which shows up at least 55 times (I have not checked for all of the variations).I was very excited about reading this book, after all I loved Miracle Creek, but unfortunately this one did not work for me. I needed a second POV. I got tired of the protagonist’s voice very fast. She is so annoying. I don’t mind unlikeable characters, but I need a good storytelling or at least a very good writing in order to enjoy a book. Perhaps if this book was written in 3rd person…Also, I don’t read a book with the intention of analyzing it. My main purpose is to be entertained, and this book, in my opinion, failed the simple basics.Now, I’m not an expert on behavioural study or anything related to autism, so I will not touch that subject, which upset so many readers.This book is label as a “mystery”. I guess it’s because we don’t really know what happened. Go figure.But I must confess that I was bored to tears with this family drama.Perhaps I picked the wrong time to read it, or I became a snob, after reading 7 classics in a row (over 7k pages and not a single “F” word) before this book.Ebook (Kobo): 392 pages, 221k words Audiobook narrated by Shannon Tyo, Sean Patrick Hopkins, Thomas Pruyn, Angie Kim (author’s notes only): 13.1 hours (I could not stand the main voice)Hardcover (Hogarth): 387 pagesPS. Don’t mind my opinion. There are lots of 5 and 4 stars. This one was definitely not meant for me. The only reason I did not quit it at 25% was because I purchased a copy....more",Notes are private!,10,12,1,"Apr 08, 2024","Apr 10, 2024","Apr 08, 2024",,Hardcover,view (with text),/book/show/75495002-happiness-falls
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Something Happens to Me,"Finlay, Alex*",1250863791,9781250863799,1250863791,336        pp,4.25,837,"May 28, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/195790670-if-something-happens-to-me
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anna Karenina,"Tolstoy, Leo",0143035002,9780143035008,0143035002,838        pp,4.09,"847,974",1878,"May 31, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Anna Karenina”, by Leo Tolstoy (Penguin Classics Deluxe Edition) - translated by Richard Pevear and Larissa VolokhonskyTW: suicideThe novel was fully“Anna Karenina”, by Leo Tolstoy (Penguin Classics Deluxe Edition) - translated by Richard Pevear and Larissa VolokhonskyTW: suicideThe novel was fully published in 1877.It was initially released in serial installments from 1875 to 1877, all but the last part appearing in the periodical The Russian MessengerLately I’ve been in the mood for reading the classics and this is my 6th one in this month of March. I picked Anna Karenina because it is considered one of the best Russian’s literature and acclaimed by many as the world's greatest novel.As this book is a work of translation I can’t judge the author’s writing but I can praise the good work by the duo noted above. The language was very easy and full of passion, hence my ratings.I thought the beginning was very strong and interesting but after awhile I was wondering why this book received so many high praises, so I stopped reading and watched the 2012 movie adaptation directed by Joe Wright and screenplay written by Tom Stoppard, which production was astonishing. The screenplay was not bad but the book is much better (no surprise here, after all the book requires at least 14 hours (fast readers) and up to 35 hours to be read). But the movie did help me to enjoy the book a lot more, especially with the visualization.Anyways… back to the book.The storyline is very good, very dramatic and very descriptive.The story centers on an extramarital affair between Anna and Count Alexei Kirillovich Vronsky.The Russian society in the 19th century has been presented with great precision. The majority of the characters live in luxury and are part of the high society.Unfortunately not one single character is likable and I really did not care whatever happens to them, but I did appreciate their perspectives, and that is what saves the book (in my opinion).The dialogues are excellent and some situations are interesting and sometimes overly dramatic.All these people were so hungry for love and attention and at the same time were oblivious to what they already had.Anna Karenina became a bit pathetic and annoying with her obsession with the count. I did not think that love was involved at all, but lust. Such a powerful lust. It was kind of fascinating and sad at the same time.Overall, although well written, I did not find the story that gripping or extraordinary, but I liked how the author looked at class, cultural and societal norms, and the emotional toll of expectations by family and friends.I wished that I could have felt some sorry for these privileged characters.Paperback: 838 pages, 348k words - divided into 8 parts and 240 chapters (most of the chapters are short)E- book (Penguin Deluxe Edition): 1275 pages (default)Audiobook (Penguin Edition) Narrated by Miranda Pleasence: 36 hrs 59 min (normal speed)PS. First time ever I heard of prune soup. I did google for some recipes. Apparently it’s a Polish dish....more",Notes are private!,4,16,1,"Mar 28, 2024","Mar 31, 2024","Mar 27, 2024",,Paperback,view (with text),/book/show/151.Anna_Karenina
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wayward Bus,"Steinbeck, John",0142437875,9780142437872,0142437875,261        pp,3.87,"12,236",Feb 1947,"Mar 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/78275.The_Wayward_Bus
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Dubious Battle,"Steinbeck, John",0143039636,9780143039631,0143039636,274        pp,3.92,"14,426",1936,"May 30, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/56083.In_Dubious_Battle
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alias Grace,"Atwood, Margaret*",0385475713,9780385475716,0385475713,468        pp,4.04,"143,534","Sep 07, 1996",Dec 1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/72579.Alias_Grace
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Barnaby Rudge,"Dickens, Charles",0140437282,9780140437287,0140437282,744        pp,3.82,"10,781","Jul 21, 1841","Apr 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/11026.Barnaby_Rudge
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of Africa,"Dinesen, Isak",0679600213,9780679600213,0679600213,401        pp,3.92,"43,923",1937,1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/781787.Out_of_Africa
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fahrenheit 451,"Bradbury, Ray",,,B0064CPN7I,194        pp,3.97,"2,416,917","Oct 19, 1953","Dec 06, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/13079982-fahrenheit-451
