,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,John's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Song of Solomon,"Morrison, Toni",140003342X,9781400033423,140003342X,338        pp,4.14,"112,919","Aug 12, 1977","Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/11334.Song_of_Solomon
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rubicon: The Last Years of the Roman Republic,"Holland, Tom",1400078970,9781400078974,1400078970,408        pp,4.21,"21,024","Jan 01, 2003","Mar 08, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/91017.Rubicon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poems Of Richard Wilbur,"Wilbur, Richard",0156722518,9780156722513,0156722518,240        pp,4.02,126,1963,"Sep 25, 1963",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/194030.The_Poems_Of_Richard_Wilbur
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Guide to John Henry Newman: His Life and Thought,"Velez, Juan R",0813235855,9780813235851,0813235855,448        pp,4.33,3,unknown,"Jan 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/61359091-a-guide-to-john-henry-newman
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Christ, Our Love for All Seasons: A Liturgy of the Hours for Everyone","Wright, Ralph",0809143275,9780809143276,0809143275,240        pp,0.00,0,"Nov 01, 2005","Nov 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/1637221.Christ_Our_Love_for_All_Seasons
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Pym Disposes,"Tey, Josephine",0684847515,9780684847511,0684847515,238        pp,3.96,"8,554",1946,"Aug 18, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 15, 2024",not set,"Feb 15, 2024",,Paperback,view,/book/show/243399.Miss_Pym_Disposes
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Catholics in Exile: Biblical Wisdom for the Journey Home,"Hahn, Scott",164585342X,9781645853428,164585342X,192        pp,4.58,60,unknown,"Sep 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/196783718-catholics-in-exile
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Much Ado About Nothing,"Shakespeare, William",,,,246        pp,4.06,"244,277",1598,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Book club. Not a big fan of reading Willie but I know he’s great. Fun play.,Notes are private!,0,0,1,not set,"Feb 10, 2024","Feb 10, 2024",,Paperback,view (with text),/book/show/12957.Much_Ado_About_Nothing
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,964","Oct 25, 2022","Oct 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"Nov 24, 2022not set","Dec 05, 2022not set","Feb 09, 2024",,Kindle Edition,view,/book/show/60581087-the-passenger
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Long Obedience in the Same Direction: Discipleship in an Instant Society,"Peterson, Eugene H.",0830822577,9780830822577,0830822577,216        pp,4.27,"9,562",Jun 1980,"Jun 30, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/579014.A_Long_Obedience_in_the_Same_Direction
