,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Христо's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
355,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Червените орхидеи на Шанхай,"Morillot, Juliette",,9789542839330,,464        pp,4.31,675,2001,2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,Apr 2022,"Apr 15, 2022","Apr 01, 2022",,Paperback,view,/book/show/61245560
356,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Портретът на Дориан Грей,"Wilde, Oscar",9545972106,,,270        pp,4.12,"1,534,801",Jun 1890,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,23,1,"Mar 30, 2022","Apr 17, 2022","Mar 30, 2022",,Paperback,view,/book/show/7755658
357,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Хляб по водите,"Shaw, Irwin",,,,470        pp,4.14,"2,361",1981,1987,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,12,1,"Mar 28, 2022",Apr 2022,"Mar 28, 2022",,Paperback,view,/book/show/17406015
358,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Избягай, ако можеш        (Колтър Шоу, #1)","Deaver, Jeffery*",,,,344        pp,3.91,"16,696","May 14, 2019","Jul 23, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Нова поредица от Джефри Дивър: https://knigolandia.info/book-/...Шоу е професионален следотърсач – издирва изчезнали хора, а никое престъпление Нова поредица от Джефри Дивър: https://knigolandia.info/book-/...Шоу е професионален следотърсач – издирва изчезнали хора, а никое престъпление не остава загадка за него, след като се е заел да го разкрие. В този роман постепенно се разкрива и обучението, което е получил от баща си, както и тайни от миналото му, които го мотивират и движат напред. Но на първо място трябва да открие изчезнало момиче, за което полицията все още не се е задействала. Търсенето му се увенчава с бърз и ефектен успех, но това се оказва само малка стъпка в започналата опасна игра – друга жертва е вече отвлечена, а Колтър се оказва въвлечен в света на видеоигрите, от една от които сякаш са извадени извратените постановки на престъпника.Издателство ЕРАhttps://knigolandia.info/book-/......more",Notes are private!,0,3,1,"Mar 28, 2022","Apr 04, 2022","Mar 28, 2022",,Paperback,view (with text),/book/show/49220268
359,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Цинковите момчета        (Гласовете на утопията, #3)","Alexievich, Svetlana",,9789545532641,,324        pp,4.30,"10,437",1989,"Dec 14, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Цинковите момчета не се завърнаха: http://knigolandia.info/book-/t...История след история след история. Започващи по много различни начини, но сЦинковите момчета не се завърнаха: http://knigolandia.info/book-/t...История след история след история. Започващи по много различни начини, но свършващи често по сходни. Цинковите ковчези, които летят обратно към родината. Толкова различни причини да се иде на война – например едно момиче казва: ”Бях московско момиче, дето все книги четеше. Струваше ми се, че истинският живот е някъде далече. И там всичките мъже са силни, жените са красиви. Много приключения. Искаше ми се да се откъсна от скучното ежедневие”. А се оказва в реалност, в която момичетата се разпределят между офицерите, ако искат да оцелеят. Мнозина мъже, по-точно момчета – просто излъгани и стоварени там без никаква подготовка. Едно момче, разказва майка му, е подготвяно да воюва на строежа на вилата на един генерал.Издателство „Парадокс“http://knigolandia.info/book-/t......more",Notes are private!,0,22,1,"Mar 27, 2022","Mar 28, 2022","Mar 27, 2022",,Paperback,view (with text),/book/show/43088591
360,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Войната, която промени Рондо","Romanyshyn, Romana",,9786191517923,,40        pp,4.51,392,2015,"Mar 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Войната, която промени Рондо” – книга със сърце и кауза: http://knigolandia.info/book-/v... Самата книга ме изненада повече от приятно, при все“Войната, която промени Рондо” – книга със сърце и кауза: http://knigolandia.info/book-/v... Самата книга ме изненада повече от приятно, при все че почти нямам досега с такъв тип детски творби. Двамината автори рисуват идиличното градче Рондо, в което всичко е китно и подредено – до мига, в който нахлува ВОЙНАТА, нахлува черното и започва да се бори с всички цветове, с всичко красиво. Трима очарователни герои се възправят срещу ѝ: Данко, който има крехко и прозрачно тяло, сред което най-силно свети сърцето му; Фабиан, надуваемо куче със сребърен медальон на шията, който не позволява на вятъра да го отнесе; и Зирка, хартиена птица, която обича да пътешества. Тези трима другари откриват какво ранява Войната и правят нужното, за да я спрат – и както във всяка приказка, доброто побеждава.Софтпресhttp://knigolandia.info/book-/v......more",Notes are private!,0,8,1,"Mar 27, 2022","Mar 27, 2022","Mar 27, 2022",,Hardcover,view (with text),/book/show/60532667
361,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Оцелелите,"Harper, Jane*",,9789542621461,,342        pp,3.76,"96,023","Sep 22, 2020","Mar 20, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Оцелелите пазят своите тайни: http://knigolandia.info/book-/o...Основният фокус на романа се върти около Кийрън, местно момче, който се е оженилОцелелите пазят своите тайни: http://knigolandia.info/book-/o...Основният фокус на романа се върти около Кийрън, местно момче, който се е оженил за местно момиче, но са избрали да живеят далеч. Сега обаче семейна драма ги връща в родния град – там, където преди години е загубил брат си в една жестока буря, белязала завинаги живота му и този на съгражданите му, където го очакват и някогашни приятели, и заклети врагове, и където предстои да се разиграе нова трагедия. Джейн Харпър ни въвежда в неговия живот, в опитите му да намери покой и прошка за смъртта на брат си, за която обвинява себе си, а постепенно и започва да разбулва завесата на миналото и какви събития са довели до изчезването на едно момиче в същия ден, в който бурята е връхлетяла града. Тайната за нейната участ все така виси, а майка ѝ безутешно търси отговорите. Скоро ще ги получи – за добро или лошо.ИК ""Хермес""http://knigolandia.info/book-/o......more",Notes are private!,0,9,1,"Mar 26, 2022","Mar 27, 2022","Mar 26, 2022",,Paperback,view (with text),/book/show/60683923
362,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Улица „Консервна“        (Cannery Row, #1)","Steinbeck, John",6191501722,9786191501724,6191501722,200        pp,4.06,"137,770",1945,2013,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ангелите с образи на дяволи: http://knigolandia.info/book-/u...Сега всъщност видях, че книгата излиза не кога да е, а 1945 г. – и внезапно тя грАнгелите с образи на дяволи: http://knigolandia.info/book-/u...Сега всъщност видях, че книгата излиза не кога да е, а 1945 г. – и внезапно тя грейна в различна светлина. Представяте ли си, в последната военна години, сред опустошената планета, сред триумфиращата Америка, която е спомогнала за европейската победа и е наложила волята си в Тихия океан, излиза книга, в която няма нищо военно, има мир, мир в умовете и в сърцата. Има едни тихи, спокойни улички, които Стайнбек е описал с поетично умение, сякаш човек наистина броди по тях. Има едни чудесни образи с различни житейски роли, но обединени в своята добронамереност и човеколюбие, или както прекрасно е казано, те са и “проститутки, сводници, комарджии и негодници”, и “светци и ангели, благочестивци и мъченици”. Storytelhttp://knigolandia.info/book-/u......more",Notes are private!,0,22,1,"Mar 22, 2022","Mar 30, 2022","Mar 22, 2022",,Paperback,view (with text),/book/show/18402147
363,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Констанс,"FitzSimmons, Matthew*",,9789547695313,,388        pp,4.03,"19,204","Sep 01, 2021",Mar 2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Констанс е клонинг с твърде човешки проблеми: http://knigolandia.info/book-/c...И тук се появява Констанс, която хич не е от тия богатите, но е Констанс е клонинг с твърде човешки проблеми: http://knigolandia.info/book-/c...И тук се появява Констанс, която хич не е от тия богатите, но е роднина на една от създателките на технологията, която по иронична случайност страда от заболяване, което не позволява да има чакащо я приемно тяло. И когато тя се самоубива, това е окончателно. Но за Констанс всичко е различно – тя се буди в ново тяло само за да разбере, че едно от основните правила в клонирането е било нарушено. Презаписването на съзнанието трябва да се случва не по-рядко от веднъж месечно – а при нея са минали година и половина. И вместо това автоматично да я извади от играта, тя е съживена, но с огромен липсващ отрязък от време. През който, както разбира, са се случили ред немислими за сегашното ѝ Аз събития – не просто се е омъжила и се е преместила, но и някой я е убил.Издателство Обсидианhttp://knigolandia.info/book-/c......more",Notes are private!,0,9,1,"Mar 20, 2022","Mar 26, 2022","Mar 20, 2022",,Paperback,view (with text),/book/show/60738845
364,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Граничен пост 2,"Glukhovsky, Dmitry*",,9789542838760,,343        pp,4.07,"1,366","Dec 06, 2021",2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Москва е заплашена от отмъщението на жертвите си: http://knigolandia.info/book-/g... След края на поредицата “Метро” изглеждаше, че Дмитрий ГлухМосква е заплашена от отмъщението на жертвите си: http://knigolandia.info/book-/g... След края на поредицата “Метро” изглеждаше, че Дмитрий Глуховски ще промени изцяло посоката на писането си и “Текст” е само първият от поредица реалистични романи. Но сетне се появи “Граничен пост”, първо като аудиосериал, който представляваше видимо връщане към познатата постапокалиптична стилистика, примесена с политическа критика към настоящата власт в Русия. И ако първата част бе насочена към оцеляването на едно малко градче до мост, отвъд който уж няма нищо, то втората постепенно пренася действието в последната отломка от могъщата държава – Москва. Където пропагандата е единствената информация, където миналото е прекроено така, че да обслужва мита за всемогъщия властник, помазан от Божията воля, а всичко извън стените на столицата се счита за маловажно. Но възмездието идва и ще е страховито.Изд. ""Сиела""http://knigolandia.info/book-/g......more",Notes are private!,0,9,1,"Mar 18, 2022","Mar 20, 2022","Mar 18, 2022",,Paperback,view (with text),/book/show/60860950-2
365,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Долината на щастливците,"Миланов, Милен*",,9789542838159,,234        pp,3.58,26,"Mar 15, 2022","Mar 15, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"В Долината на щастливците се вихри отмъщение: http://knigolandia.info/book-/d...Христо Лепоев е от онези военни герои, които искат само мир и ниВ Долината на щастливците се вихри отмъщение: http://knigolandia.info/book-/d...Христо Лепоев е от онези военни герои, които искат само мир и нищо друго. Той е един от хилядите, които прекарват дълги години по бойните полета между Първата балканска и Първата световна война, получил е своите рани – и физически, и душевни, и се е оттеглил в родното си село, за което е мечтал в окопите. Но сблъсък със съседното село за едни ниви го изпраща на най-неочакваното възможно място – в кабинета на Александър Стамболийски, който има за него важна задача. Нищо по-малко от това да открие и убие самоук бомбаджия с прозвище Македонеца, който застрашава царя и крехкото спокойствие в държавата. При това опасният терорист не се намира наблизо, а чак в Александрия, където Лепоев го очакват смайващи приключения.CIELA Bookshttp://knigolandia.info/book-/d......more",Notes are private!,0,9,1,"Mar 16, 2022","Mar 18, 2022","Mar 16, 2022",,Paperback,view (with text),/book/show/60628030
366,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Черният обелиск,"Remarque, Erich Maria",9545974842,9789545974847,,464        pp,4.38,"13,994",1956,Feb 2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Черният обелиск е свидетел на странно време: http://knigolandia.info/book-/c... 397538На младини в този роман впечатлява любовта, тази оцветена Черният обелиск е свидетел на странно време: http://knigolandia.info/book-/c... 397538На младини в този роман впечатлява любовта, тази оцветена в лудост любов под звуците на музиката на органа в параклиса на клиниката за душевноболни, или нейната пълна противоположност – палуващите двойки, които не се стесняват да се отдадат на страстите си върху подготените за продан надгробни паметници, които осигуряват известно прикритие на действията им. Същото място, където бог проговаря на бедния пияница ефрейтор Кнопф, който има неприятния навик да се облекчава върху бъдещите траурни символи. Или пък прелюбодеянието, което прескача улицата и трябва да бъде опазено в тайна. Тази любов, за която Ремарк далеч не само в този си роман пише така красиво: “Аз държа Изабела здраво в ръцете си. Тя трепери, поглежда ме и се притиска към мен, а аз я държа, ние се държим – двама чужди, които не знаят нищо един за друг, но се държат, защото се разбират погрешно,...Издателство ФАМАhttp://knigolandia.info/book-/c......more",Notes are private!,0,33,1,"Mar 14, 2022","Mar 19, 2022","Mar 14, 2022",,Paperback,view (with text),/book/show/22557659
367,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Гол от засада,"Оливер, Хаим",,,,184        pp,3.90,10,unknown,1973,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Футболна история от друго време: http://knigolandia.info/book-/g... И се зачудих как така сред детските книги у дома я е нямало, ще разпитам нашФутболна история от друго време: http://knigolandia.info/book-/g... И се зачудих как така сред детските книги у дома я е нямало, ще разпитам нашите. Историята на славния ННФК (Непобедим национален футболен клуб) Редут е чудесен източник на забавление и поука, а тяхното противоборство с не твърде големите им противници от ФК Млечните зъби определено бих заобичал силно, ако ми бе попаднала като дете, точно както се случи със гореспоменатата история за баскетболните надежди, които искаха просто да имат свое игрище. Изд. ""Медицина и физкултура""http://knigolandia.info/book-/g......more",Notes are private!,0,3,1,"Mar 12, 2022","Mar 14, 2022","Mar 12, 2022",,Paperback,view (with text),/book/show/32867038
368,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Обратно оброене: 1945. Невероятната история на атомната бомба и 116-те дни, които промениха света","Wallace, Chris",,9789543987160,,400        pp,4.25,"8,676","Jun 09, 2020",2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Обратното броене до Хирошима и Нагасаки: http://knigolandia.info/book-/o...Безспорно най-силно се отличава фокусът върху Труман, който ненадейноОбратното броене до Хирошима и Нагасаки: http://knigolandia.info/book-/o...Безспорно най-силно се отличава фокусът върху Труман, който ненадейно поема поста след смъртта на Рузвелт. Определено личи авторовата симпатия към него, описвайки го как попада внезапно на една маса с Чърчил и Сталин точно в началото на разпадането на големия съюз. Същият този човек трябва да вземе най-важното решение – дали да се използва бомбата, като се ориентира и в огромните научни спорове около нея, и от разнопосочните мнения на съветниците си. Например адмирал Лийхи, най-високопоставеният американски офицер, казва: “проклетото нещо никога няма да сработи” и го нарича “най-голямата измама в света”. Да, от наша гледна точка 1945 г. е краят на световната война, но от тяхна е предстояло кошмарно дебаркиране и воюване на основните японски острови срещу фанатична армия и население, готово да умре за своя император.Издателство Трудhttp://knigolandia.info/book-/o......more",Notes are private!,0,13,1,"Mar 11, 2022","Mar 12, 2022","Mar 11, 2022",,Paperback,view (with text),/book/show/60641367
369,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Какво е животът?: Биологията в пет кратки глави,"Nurse, Paul",,9789542838807,,200        pp,3.96,"2,176",Sep 2020,2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Какво е животът – началото на отговора: http://knigolandia.info/book-/k...Без да се разпростирам излишно – самата книга е само двестатина страниКакво е животът – началото на отговора: http://knigolandia.info/book-/k...Без да се разпростирам излишно – самата книга е само двестатина странички, мога поне да отбележа петте глави, в които той описва както своя труд, така и универсалните открия от последните десетилетия в устройството и работата на клетките, какво са гените и как вършат своята работа, ролята на еволюцията чрез естествен отбор (че закъде без нея?), и двата различни основни аспекта на живота – като химия и като информация. Тук-таме Нърс задълбава в детайли, които просто няма как да бъдат обяснени просто, защото не са – и не могат да бъдат, животът е истинско чудо без създател, което си заслужава изследването. В края на книгата си Нърс – по подобие на Дейвид Атънбъро в “Живот на нашата планета” вплита своите познания в по-широката рамка на климатичните промени и заплахата за земната биосфера следствие на човешката дейност.CIELA Bookshttp://knigolandia.info/book-/k......more",Notes are private!,0,11,1,"Mar 08, 2022","Mar 11, 2022","Mar 08, 2022",,Hardcover,view (with text),/book/show/60886347
370,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Последната миграция,"McConaghy, Charlotte*",,9786199118672,,336        pp,4.14,"73,119","Aug 04, 2020","Aug 25, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Последната миграция за птиците и хората: http://knigolandia.info/book-/p...Франи Стоун е особена птица още от първите страници. Тя трескаво търсПоследната миграция за птиците и хората: http://knigolandia.info/book-/p...Франи Стоун е особена птица още от първите страници. Тя трескаво търси кораб в Гренландия, който да я поведе по дирите на рибарките, като е готова да се справи с всяко препятствие по пътя си. Съдбата я среща с Енис Малоун, затворен в себе си капитан Ахав, който е от малцината, които бродят из вече опразнените от риба морета и мечтае за невероятната вече възможност да има слука. “Докъде е готов да стигне Енис, за да постигне каквото иска, да се сдобие със своя митичен Златен улов? Какво ще пожертва?”, пише Макконъхи. Франи е приета на борда на неговия “Сагани” заради обещанието ѝ, че полетът на рибарките ще отведе обезверения екипаж до добър улов – самите те по един или друг начин знаят, че също са поели на последното си плаване или миграция, защото на всяко пристанище протестите срещу дейността им неумолимо тласкат събитията към пълна забрана на риболова. Издателство MY BOOKhttp://knigolandia.info/book-/p......more",Notes are private!,0,6,1,"Mar 07, 2022","Mar 11, 2022","Mar 07, 2022",,Paperback,view (with text),/book/show/54822463
