,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steph's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,336","Nov 05, 2021","Nov 30, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 08, 2024","Apr 08, 2024",,Hardcover,view,/book/show/58662236-small-things-like-these
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Icebreaker        (Maple Hills, #1)","Grace, Hannah*",,,B0B69VVD6C,435        pp,3.90,"718,836","Aug 23, 2022","Nov 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 03, 2024","Apr 03, 2024",,Kindle Edition,view,/book/show/61767292-icebreaker
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"540,802","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,Apr 2024,"Apr 01, 2024",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blind Tiger,"Brown, Sandra*",1538751968,9781538751961,1538751968,512        pp,4.19,"16,876","Aug 03, 2021","Aug 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 31, 2024","Mar 31, 2024",,Hardcover,view,/book/show/56625109-blind-tiger
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Blind Willow, Sleeping Women and other stories","Murakami, Haruki",9381753741,9789381753743,9381753741,200        pp,3.84,"39,622",Jul 2006,2012,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 28, 2024","Mar 28, 2024",,Paperback,view,/book/show/27407106-blind-willow-sleeping-women-and-other-stories
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Owl and the Two Rabbits,"Sammurtok, Nadia",1772273163,9781772273168,B0BW26B498,34        pp,3.00,3,unknown,"Jun 09, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 25, 2024","Mar 25, 2024",,Kindle Edition,view,/book/show/122799610-the-owl-and-the-two-rabbits
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not If I See You First,"Lindstrom, Eric*",0316259853,9780316259859,0316259853,310        pp,3.89,"9,511","Dec 01, 2015","Dec 01, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 24, 2024","Mar 24, 2024",,Hardcover,view,/book/show/22701879-not-if-i-see-you-first
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Clockwork Orange,"Burgess, Anthony",0393341763,9780393341768,0393341763,240        pp,4.00,"712,047",1962,"May 21, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 24, 2024","Mar 24, 2024",,Paperback,view,/book/show/41817486-a-clockwork-orange
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Map of Salt and Stars,"Joukhadar, Zeyn*",1501169033,9781501169038,1501169033,360        pp,3.92,"18,496","May 01, 2018","May 01, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 22, 2024","Mar 22, 2024",,Hardcover,view,/book/show/36373417-the-map-of-salt-and-stars
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homeroom Diaries,"Patterson, James*",0316207624,9780316207621,0316207624,272        pp,3.66,"1,720",2014,"Jul 21, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 16, 2024","Mar 16, 2024",,Hardcover,view,/book/show/18349885-homeroom-diaries
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enemies in the Orchard,"VanderLugt, Dana*",0310155770,9780310155775,0310155770,288        pp,4.52,504,unknown,"Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 16, 2024","Mar 15, 2024",,Hardcover,view,/book/show/137999953-enemies-in-the-orchard
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dearly,"Atwood, Margaret*",006303249X,9780063032491,006303249X,124        pp,3.74,"13,660","Nov 10, 2020","Nov 10, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 11, 2024","Mar 11, 2024",,Hardcover,view,/book/show/50706476-dearly
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pirate Stew,"Gaiman, Neil*",0062934570,9780062934574,0062934570,48        pp,3.49,"4,155","Dec 01, 2020","Dec 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 10, 2024","Mar 10, 2024",,Hardcover,view,/book/show/50212052-pirate-stew
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One Thing You'd Save,"Park, Linda Sue",1328515133,9781328515131,1328515133,72        pp,3.94,"4,260","Mar 16, 2021","Mar 16, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 10, 2024","Mar 10, 2024",,Hardcover,view,/book/show/53968573-the-one-thing-you-d-save
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I am Walt Disney,"Meltzer, Brad*",0735228752,9780735228757,0735228752,40        pp,4.39,493,2019,"Sep 10, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 10, 2024","Mar 10, 2024",,Hardcover,view,/book/show/43330901-i-am-walt-disney
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Apothecary,"Penner, Sarah *",0778311015,9780778311010,0778311015,301        pp,3.75,"369,363","Mar 02, 2021","Mar 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 10, 2024","Mar 10, 2024",,Hardcover,view,/book/show/53288434-the-lost-apothecary
