,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jamie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
226,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some Desperate Glory,"Tesh, Emily*",1250834988,9781250834980,1250834988,438        pp,4.06,"7,074","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 17, 2023",,Hardcover,view,/book/show/58388343-some-desperate-glory
227,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Self-Portrait with Nothing,"Pokwatka, Aimee*",1250820847,9781250820846,1250820847,295        pp,3.51,"1,658","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2023",,Hardcover,view,/book/show/59807970-self-portrait-with-nothing
228,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Terraformers,"Newitz, Annalee*",1250228026,9781250228024,1250228026,352        pp,3.39,"4,827","Jan 31, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2023",,Paperback,view,/book/show/65214268-the-terraformers
229,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Late Bloomer,"Eddings, Mazey*",1250847087,9781250847089,1250847087,400        pp,3.99,"1,145","Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 05, 2023",,Paperback,view,/book/show/127280315-late-bloomer
230,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Once and Future Sex: Going Medieval on Women's Roles in Society,"Janega, Eleanor",0393867811,9780393867817,0393867811,272        pp,4.07,"1,387","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 21, 2023",,Hardcover,view,/book/show/61089456-the-once-and-future-sex
231,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Regretting Motherhood,"Donath, Orna",1623171377,9781623171377,1623171377,243        pp,4.12,"3,428","Feb 04, 2016","Jul 11, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Paperback,view,/book/show/32302223-regretting-motherhood
232,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Idolatry: How Christian Nationalism Betrays the Gospel and Threatens the Church,"Whitehead, Andrew L.",1587435764,9781587435768,1587435764,240        pp,4.20,378,unknown,"Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Hardcover,view,/book/show/121167237-american-idolatry
233,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homo Ludens: A Study of the Play Element in Culture,"Huizinga, Johan",0807046817,9780807046814,0807046817,220        pp,4.00,"2,575",1938,"Jun 01, 1971",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2023",,Paperback,view,/book/show/233221.Homo_Ludens
234,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everybody: A Book About Freedom,"Laing, Olivia*",0393608778,9780393608779,0393608778,368        pp,4.26,"2,735","Apr 29, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2023",,Hardcover,view,/book/show/55298345-everybody
235,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Stay Smart in a Smart World: Why Human Intelligence Still Beats Algorithms,"Gigerenzer, Gerd",0262046954,9780262046954,0262046954,320        pp,3.85,335,unknown,"Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 13, 2023",,Hardcover,view,/book/show/59446181-how-to-stay-smart-in-a-smart-world
236,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piracy: The Intellectual Property Wars from Gutenberg to Gates,"Johns, Adrian",0226401189,9780226401188,0226401189,640        pp,3.82,203,2010,"Jan 15, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2023",,Hardcover,view,/book/show/6990457-piracy
237,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bring the War Home: The White Power Movement and Paramilitary America,"Belew, Kathleen",0674237692,9780674237698,0674237692,352        pp,4.21,"2,825","Apr 09, 2018","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2023",,Paperback,view,/book/show/42585038-bring-the-war-home
238,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Censors at Work: How States Shaped Literature,"Darnton, Robert",0393242293,9780393242294,0393242293,304        pp,3.79,187,"Sep 22, 2014","Sep 22, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2023",,Hardcover,view,/book/show/20663714-censors-at-work
239,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Case for Books: Past, Present, and Future","Darnton, Robert",1586488260,9781586488260,1586488260,218        pp,3.35,922,2009,"Oct 27, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 26, 2023",,Hardcover,view,/book/show/6699035-the-case-for-books
240,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cyclist and His Shadow: A Memoir,"Haralambon, Olivier",151791373X,9781517913731,151791373X,136        pp,4.07,75,unknown,"May 17, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I like how right away, in the forward, Thomazeau François is pitting this book against The Rider as the seminal classic of cycling literature. I aI like how right away, in the forward, Thomazeau François is pitting this book against The Rider as the seminal classic of cycling literature. I arched a skeptical eyebrow, and… was in total agreement by like, chapter 3.Brilliant. Insane. Philosophical. Spiritual. Erotic. I read it during the nearly-hallucinatory six hours of Milan—San Remo and feel like bits of it have embedded in my brain like gravel, because I think of it every time I watch a race.(Like The Rider, it was also gift from a fellow cycling-obsessed friend, and aren’t I the luckiest one.)...more",Notes are private!,0,2,1,"Mar 18, 2023","Mar 18, 2023","Jun 16, 2023",,Paperback,view (with text),/book/show/59628399-the-cyclist-and-his-shadow
241,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drama Free: A Guide to Managing Unhealthy Family Relationships,"Tawwab, Nedra Glover",0593539273,9780593539279,0593539273,288        pp,4.30,"4,157",unknown,"Feb 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jun 12, 2023","Jun 14, 2023","Jun 16, 2023",,Hardcover,view,/book/show/61327510-drama-free
242,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Spinster's Guide to Danger and Dukes        (Ladies Most Scandalous, #3)","Collins, Manda*",1538725576,9781538725573,1538725576,352        pp,3.82,"3,445","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 25, 2023","Apr 28, 2023","Jun 16, 2023",,Paperback,view,/book/show/60568492-a-spinster-s-guide-to-danger-and-dukes
243,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bachelor's Valet        (Flos Magicae #2),"Powell, Arden*",,,B09BLH3S9P,239        pp,3.99,"1,347","Aug 17, 2021","Aug 17, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lucky me! I really wanted to read another lovable airhead after my re-read of Glitterland. This popped up on my annual free KU trial subscription, andLucky me! I really wanted to read another lovable airhead after my re-read of Glitterland. This popped up on my annual free KU trial subscription, and fulfilled the brief. Alphonse is glorious idiot, knows it, embraces it, and it’s laugh out loud funny to be privy to his train of thought as he tries to ditch a fiance and fall in love....more",Notes are private!,0,2,1,"Feb 19, 2023","Feb 20, 2023","Jun 16, 2023",,Kindle Edition,view (with text),/book/show/156929909-the-bachelor-s-valet
244,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Emily Wilde's Encyclopaedia of Faeries        (Emily Wilde, #1)","Fawcett, Heather*",059350013X,9780593500132,059350013X,317        pp,4.05,"79,547","Jan 10, 2023","Jan 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Is it weird that I loved the footnotes more than the romance? Probably! Strange that it took me longer to read than Jonathan Strange, which was 3x theIs it weird that I loved the footnotes more than the romance? Probably! Strange that it took me longer to read than Jonathan Strange, which was 3x the page count? Probably! Enjoyed it, Wendell was great, but also felt some parts were skimmable, which has more to do with me and what my brain wants to latch onto these days....more",Notes are private!,0,0,1,"Apr 12, 2023","Apr 25, 2023","Jun 16, 2023",,Hardcover,view (with text),/book/show/60657589-emily-wilde-s-encyclopaedia-of-faeries
245,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Minuscule Mansion of Myra Malone,"Burges, Audrey*",0593546474,9780593546475,0593546474,352        pp,3.81,"3,328","Jan 24, 2023","Jan 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,**spoiler alert** Cannot handle the caregiving for angry dying dads right now. :/,Notes are private!,0,0,1,"Apr 22, 2023","Apr 22, 2023","Jun 16, 2023",,Paperback,view (with text),/book/show/60881142-the-minuscule-mansion-of-myra-malone
246,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Read a Book: The Classic Guide to Intelligent Reading,"Adler, Mortimer J.",0671212095,9780671212094,B06XDN7B8J,430        pp,3.98,"24,684","Jan 01, 1940",Sep 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Took his advice and skimmed, lol. Some good info but very redundant. Basically, there’s four types of reading (elementary, inspectional, analytical, aTook his advice and skimmed, lol. Some good info but very redundant. Basically, there’s four types of reading (elementary, inspectional, analytical, and synoptical), and my default is apparently analytical and synoptical. More inspectional reading is ok! (Skimming, pre-reading; done quickly just to get the gist, frequent DNFs when it doesn’t require any further attention.)...more",Notes are private!,0,0,1,"May 11, 2023","May 12, 2023","Jun 16, 2023",,Paperback,view (with text),/book/show/41878914-how-to-read-a-book
