,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Marco's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amatka,"Tidbeck, Karin*",8897561888,9788897561880,8897561888,228        pp,3.79,"3,871",Sep 2012,"Sep 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/41834652-amatka
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,150 acri,"Moustakis, Melinda*",,9791280028440,B0CNG2MDR8,350        pp,0.00,0,unknown,"Apr 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/210950409-150-acri
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il canto del profeta,"Lynch, Paul*",8832973286,9788832973280,8832973286,288        pp,4.15,"26,515","Aug 24, 2023","Mar 08, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Non so sbilanciarmi né da una parte né dall'altra. Devo rimuginarci un po' su.Non so sbilanciarmi né da una parte né dall'altra. Devo rimuginarci un po' su....more,Notes are private!,1,2,1,"Mar 30, 2024","Apr 07, 2024","Mar 30, 2024",,Paperback,view (with text),/book/show/209343141-il-canto-del-profeta
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Incontro con Rama        (Rama, #1)","Clarke, Arthur C.",8817137987,9788817137980,8817137987,248        pp,4.12,"165,957",Jun 1973,Jul 1991,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Il sens of wonder al suo apice. Villeneuve si divertirà un sacco.,Notes are private!,0,2,1,"Mar 28, 2024","Mar 30, 2024","Mar 28, 2024",,Paperback,view (with text),/book/show/52031512-incontro-con-rama
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Termination Shock,"Stephenson, Neal*",0063028050,9780063028050,0063028050,708        pp,3.84,"17,015","Oct 27, 2021","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/57094295-termination-shock
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Teoria del disagio contemporaneo,"Antoni, Andrea",8842831662,9788842831662,8842831662,176        pp,3.88,8,unknown,"Oct 27, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 11, 2024","Mar 19, 2024","Mar 11, 2024",,Paperback,view,/book/show/200627525-teoria-del-disagio-contemporaneo
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Melinoe vestita di zafferano,"Brami, Nicola*",,9791280028907,B0CVG1Q284,320        pp,4.50,22,"Feb 21, 2024","Feb 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/208201116-melinoe-vestita-di-zafferano
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La coppia felice,"Dolan, Naoise",1280028386,9791280028389,B0C31YNCG8,272        pp,3.41,"8,866","May 25, 2023","Sep 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/157841497-la-coppia-felice
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Selvaggio Ovest,"Pasquini, Daniele",,9791255750314,B0CSDVZ9WC,369        pp,4.15,33,2024,"Jan 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/206092092-selvaggio-ovest
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Muschio bianco,"Nerkagi, Anna",,9791280084576,B0CSTSD7MB,172        pp,4.14,21,unknown,"Jan 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/205755720-muschio-bianco
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dialoghi in cielo,Can Xue,,,B0C59CWP4Y,103        pp,3.71,187,1988,"May 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/156197474-dialoghi-in-cielo
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Preghiera nell'assedio,"Ovčina, Damir",,9791259520265,B0C3W1X3KR,704        pp,4.50,372,2016,Mar 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Paperback,view,/book/show/124926791-preghiera-nell-assedio
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sad girl: La ragazza come teoria,"Marzullo, Sara",8832973499,9788832973495,B0CT5Z1BVM,176        pp,3.63,98,unknown,"Jan 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/205878882-sad-girl
