,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,karen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kittentits,"Wilson, Holly*",1638931089,9781638931089,1638931089,368        pp,3.85,26,unknown,"May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/196841905-kittentits
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Juliet the Maniac,"Escoria, Juliet*",1685891276,9781685891275,1685891276,336        pp,3.81,"2,130","May 07, 2019","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/200869878-juliet-the-maniac
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Talent for Murder,"Swanson, Peter*",0063205033,9780063205031,0063205033,320        pp,4.27,113,"Jul 04, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/199116301-a-talent-for-murder
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Share of Night,"Enríquez, Mariana",0451495144,9780451495143,0451495144,588        pp,4.30,"33,889","Nov 27, 2019","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/61111034-our-share-of-night
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen City Detective Agency,"Wright, Snowden*",0062963589,9780062963581,0062963589,272        pp,3.84,25,"Aug 13, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/198530955-the-queen-city-detective-agency
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Main Character,"Goldis, Jaclyn*",1668013045,9781668013045,1668013045,336        pp,3.68,155,"May 21, 2024","May 21, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Apr 03, 2024","Apr 04, 2024","Apr 03, 2024",,Hardcover,view,/book/show/199797969-the-main-character
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Favor,"Murphy, Nora*",1250341833,9781250341839,1250341833,384        pp,3.83,"8,400","May 31, 2022","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Mass Market Paperback,view,/book/show/195790744-the-favor
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Feast,"Foley, Lucy",0063003104,9780063003101,0063003104,368        pp,3.76,558,"Jun 06, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/199743738-the-midnight-feast
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Talent for Murder        (Henry Kimball/Lily Kintner, #3)","Swanson, Peter*",006320505X,9780063205055,B0CHW7YWLR,320        pp,4.27,113,"Jul 04, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Kindle Edition,view,/book/show/199116296-a-talent-for-murder
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Afraid You've Got Dragons,"Beagle, Peter S.*",1668025272,9781668025277,1668025272,288        pp,4.05,100,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/199798488-i-m-afraid-you-ve-got-dragons
