,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Michelle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spoon Stealer,"Crewe, Lesley",1771088818,9781771088817,1771088818,360        pp,4.41,"5,008",unknown,"Sep 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/53489767-the-spoon-stealer
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cuckoo's Calling        (Cormoran Strike, #1)","Galbraith, Robert",0316206849,9780316206846,0316206849,456        pp,3.89,"581,586","Apr 18, 2013","Apr 30, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love Harry Potter. I have read the books at least twice and have seen the movies more times than I should have. I am considering re-reading the bookI love Harry Potter. I have read the books at least twice and have seen the movies more times than I should have. I am considering re-reading the books again. JK Rowlings pseudonymed mystery had me wondering if I would like her adult series. Recently, I came across two friends who don't know each other that read here Glabraith books as soon as they are released. So, I gave them a chance. I liked this way more than I wanted to - I'm not a huge fan of mysteries anymore, but I throughly enjoyed this and will read the others in the series. Do Robin and Strike eventually get together?...more",Notes are private!,0,0,1,"Jan 23, 2024","Feb 03, 2024","Feb 03, 2024",,Hardcover,view (with text),/book/show/16160797-the-cuckoo-s-calling
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Dream of Space,"Kelly, Erin Entrada*",0062747304,9780062747303,0062747304,400        pp,4.12,"7,475","May 05, 2020","May 05, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I downloaded the audio for this book for my grands to listen to on the way to the Huntsville Space and Science center thinking it would be about the sI downloaded the audio for this book for my grands to listen to on the way to the Huntsville Space and Science center thinking it would be about the space shuttle program. Unfortunately it was more about a dysfunctional family. 3 hours in my grands were thoroughly board and wondered why it wasn't about space. So 1 star for the book being 10% (Maybe) about space.After we abandoned it as a trip listen, I was curious enough about the dysfunctional family to want to know how it ended. So 4 stars for a decent middle school my family sucks book.2 overall. ...more",Notes are private!,0,0,1,"Jan 02, 2024","Jan 07, 2024","Feb 03, 2024",,Hardcover,view (with text),/book/show/52515165-we-dream-of-space
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Annabel,"Winter, Kathleen",0887842364,9780887842368,0887842364,464        pp,3.84,"11,778","May 31, 2010","May 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/7984373-annabel
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midnight Feast,"Foley, Lucy",0063003104,9780063003101,0063003104,368        pp,3.76,565,"Jun 06, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Hardcover,view,/book/show/199743738-the-midnight-feast
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Life Impossible,"Haig, Matt*",0593489276,9780593489277,0593489276,368        pp,4.20,20,"Aug 29, 2024","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Hardcover,view,/book/show/198281740-the-life-impossible
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,471","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Hardcover,view,/book/show/181110028-the-great-divide
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Right Stuff,"Wolfe, Tom",,,B00139XSBA,369        pp,4.23,"52,649",1979,"May 16, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Listened to this book in preparation for my trip to the Huntsville Space and Science Center with my grands. I remember watching the movie as a teenageListened to this book in preparation for my trip to the Huntsville Space and Science Center with my grands. I remember watching the movie as a teenager. I really enjoyed listening to this before the trip and then re-watching the movie afterwards. Excellent book for anyone wanting to revisit the beginings of the space program....more,Notes are private!,0,1,1,"Dec 28, 2023","Jan 07, 2024","Dec 28, 2023",,Kindle Edition,view (with text),/book/show/8146619-the-right-stuff
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,345","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/127305853-the-women
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diva,"Goodwin, Daisy*",1250279925,9781250279927,1250279925,336        pp,3.88,"2,438",unknown,"Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/127305805-diva
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What You Are Looking For Is in the Library,"Aoyama, Michiko",1335005625,9781335005625,1335005625,304        pp,4.11,"31,705","Nov 09, 2020","Sep 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I started out enjoying this book especially when I realized that the lives of those in Japan so mirror the mundane problems we have here in the US. HoI started out enjoying this book especially when I realized that the lives of those in Japan so mirror the mundane problems we have here in the US. However the more I read these loosely linked short stories, the more bored I became. The third narrator was horrible and when the fourth wasn't any better I struggled to keep listening. With Christmas approaching I found myself reaching for Christmas music over listening. Trying to start back today I realized I just didn't care enough about this one to finish. DNF...more",Notes are private!,0,0,1,"Dec 08, 2023","Dec 28, 2023","Dec 08, 2023",,Hardcover,view (with text),/book/show/91274427-what-you-are-looking-for-is-in-the-library
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Separation Anxiety,"Zigman, Laura",006290907X,9780062909077,006290907X,288        pp,3.34,"8,401","Mar 03, 2020","Mar 03, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cute, quirky family story. Good palette cleanser.",Notes are private!,0,0,1,"Nov 21, 2023",Dec 2023,"Dec 08, 2023",,Hardcover,view (with text),/book/show/45859492-separation-anxiety
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth as It Is on Television,"Jane, Emily*",1368092993,9781368092999,1368092993,352        pp,3.65,"3,158","Jun 13, 2023","Jun 13, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2 - 2.5 stars. I downloaded this audio when it became available from my library as I was immediately drawn to the title. I wanted to like it. If you e2 - 2.5 stars. I downloaded this audio when it became available from my library as I was immediately drawn to the title. I wanted to like it. If you enjoy listening to books with whiney middle school kids - think of the 80's Full house on steriods with friendly aliens - then you will like this book. If you read it, it might be better as you probably won't read as much whine into the kids voices. That said, it took me way longer to listen to this book than it should have as after one too many whiney ""BBBUUUTTT DAAADDD exclaimations from one of the kids, I would shut off the audio and listen to a knitting podcast. For some reason, I was compelled to pick the book back up after a few days just to figure out what was going to happen and then after the 30th BBBUUUTTT DAAADDD, I had to stop again. I am also a little peeved that the story line was very compelling in the beginning yet fell so flat in the end. I connected with several of the characters and wanted to see where they were going and how the story would come together, but the connections just fizzled out in the end and left me dissatisfied that I waisted time reading it to the the end. So, 3 stars for the story but 1 for the whiney kids. I do think the description of Full House with friendly aliens may be a good description....more",Notes are private!,0,0,1,"Jan 03, 2024","Feb 10, 2024","Dec 05, 2023",,Hardcover,view (with text),/book/show/62874129-on-earth-as-it-is-on-television
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,159","May 19, 2020","May 19, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 14, 2023","Nov 18, 2023","Nov 14, 2023",,Kindle Edition,view,/book/show/51901147-the-ballad-of-songbirds-and-snakes
