,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Wendy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Weyward,"Hart, Emilia",125028080X,9781250280800,125028080X,329        pp,4.09,"140,073","Feb 02, 2023","Mar 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2024","Feb 04, 2024","Jan 30, 2024",,Hardcover,view,/book/show/60654349-weyward
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maybe Someday        (Maybe, #1)","Hoover, Colleen*",1476753164,9781476753164,,384        pp,4.02,"541,857","Apr 18, 2014",Oct 2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2024","Feb 04, 2024","Jan 30, 2024",,Paperback,view,/book/show/62967882-maybe-someday
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God Save Benedict Arnold: The True Story of America's Most Hated Man,"Kelly, Jack*",1250281954,9781250281951,1250281954,320        pp,4.02,291,"Dec 05, 2023","Dec 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 30, 2024","Jan 30, 2024","Jan 30, 2024",,Hardcover,view,/book/show/65214550-god-save-benedict-arnold
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Second Mrs. Astor,"Abe, Shana*",1496732049,9781496732040,1496732049,352        pp,3.99,"53,215","Mar 19, 2021","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/56161317-the-second-mrs-astor
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mortal Engines        (Mortal Engines, #1)","Reeve, Philip*",0060082097,9780060082093,0060082097,326        pp,3.76,"64,934","Nov 16, 2001","Sep 01, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 17, 2024","Jan 30, 2024","Jan 17, 2024",,Paperback,view,/book/show/287861.Mortal_Engines
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Assassin's Blade        (Throne of Glass, #0.1-0.5)","Maas, Sarah J.*",1619632217,9781619632219,,451        pp,4.24,"577,112","Mar 04, 2014","Feb 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 17, 2024","Jan 30, 2024","Jan 17, 2024",,ebook,view,/book/show/126062562-the-assassin-s-blade
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fractal Noise        (Fractalverse #0),"Paolini, Christopher*",1250862485,9781250862488,1250862485,286        pp,3.45,"9,116","May 16, 2023","May 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2024","Jan 17, 2024","Jan 15, 2024",,Hardcover,view,/book/show/62711641-fractal-noise
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Daughter,"Harmel, Kristin*",1982191708,9781982191702,1982191708,384        pp,4.27,"36,970","Jun 06, 2023","Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2024","Jan 15, 2024","Jan 15, 2024",,Hardcover,view,/book/show/62327255-the-paris-daughter
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dog Day Afternoon        (Andy Carpenter, #29)","Rosenfelt, David",1250324475,9781250324474,1250324475,304        pp,4.79,33,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/195790587-dog-day-afternoon
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Flop Dead Gorgeous        (Andy Carpenter, #27)","Rosenfelt, David",1250828902,9781250828903,1250828902,272        pp,4.17,"2,721","Jul 04, 2023","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/61884997-flop-dead-gorgeous
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"'Twas the Bite Before Christmas        (Andy Carpenter, #28)","Rosenfelt, David",1250828848,9781250828842,1250828848,304        pp,4.20,"2,219","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/65213890-twas-the-bite-before-christmas
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Santa's Little Yelpers        (Andy Carpenter, #26)","Rosenfelt, David",1250828813,9781250828811,1250828813,304        pp,4.23,"2,992","Oct 11, 2022","Oct 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/59808267-santa-s-little-yelpers
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Holy Chow        (Andy Carpenter, #25)","Rosenfelt, David",1250828872,9781250828873,1250828872,304        pp,4.27,"3,532","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/58724841-holy-chow
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Best in Snow        (Andy Carpenter, #24)","Rosenfelt, David",1250257174,9781250257178,1250257174,320        pp,4.14,"3,716","Oct 19, 2021","Oct 19, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/56268994-best-in-snow
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dog Eat Dog        (Andy Carpenter, #23)","Rosenfelt, David",1250257123,9781250257123,1250257123,304        pp,4.26,"3,574","Jul 06, 2021","Jul 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/54860398-dog-eat-dog
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Silent Bite        (Andy Carpenter, #22)","Rosenfelt, David",125025714X,9781250257147,125025714X,304        pp,4.06,"3,314","Oct 13, 2020","Oct 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/49127475-silent-bite
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Muzzled        (Andy Carpenter, #21)","Rosenfelt, David",,,,304        pp,4.05,"3,757","Jul 07, 2020","Jul 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/51173557-muzzled
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dachshund Through the Snow        (Andy Carpenter, #20)","Rosenfelt, David",1250237688,9781250237682,1250237688,352        pp,4.10,"4,378","Oct 01, 2019","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/43263499-dachshund-through-the-snow
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bark of Night        (Andy Carpenter, #19)","Rosenfelt, David",1250220777,9781250220776,1250220777,7        pp,4.11,"3,765","Jul 16, 2019","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Audio CD,view,/book/show/41150566-bark-of-night
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Deck the Hounds        (Andy Carpenter, #18)","Rosenfelt, David",1250198488,9781250198488,1250198488,368        pp,4.15,"4,020","Oct 16, 2018","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/37638165-deck-the-hounds
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rescued        (Andy Carpenter, #17)","Rosenfelt, David",1250133068,9781250133069,1250133068,304        pp,4.11,"3,849","Jul 17, 2018","Jul 17, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/36742989-rescued
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Collared        (Andy Carpenter, #16)","Rosenfelt, David",1250055350,9781250055354,1250055350,336        pp,4.14,"4,453","Jul 18, 2017","Jul 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/31450692-collared
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Twelve Dogs of Christmas        (Andy Carpenter, #15)","Rosenfelt, David",1250106761,9781250106766,1250106761,328        pp,4.06,"4,425","Oct 18, 2016","Oct 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/28220750-the-twelve-dogs-of-christmas
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Outfoxed        (Andy Carpenter, #14)","Rosenfelt, David",1427272476,9781427272478,1427272476,7        pp,4.08,"4,255","Jul 19, 2016","Jul 19, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Audio CD,view,/book/show/25991108-outfoxed
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Dear Hamilton,"Dray, Stephanie*",,,B072F14H1Z,652        pp,4.30,"46,634","Apr 03, 2018","Apr 03, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2024","Jan 17, 2024","Jan 06, 2024",,Kindle Edition,view,/book/show/41014257-my-dear-hamilton
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Who Let the Dog Out?        (Andy Carpenter, #13)","Rosenfelt, David",1250055334,9781250055330,1250055334,324        pp,3.94,"4,238","Jul 21, 2015","Jul 21, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,"Jan 06, 2024","Jan 01, 2024",,Hardcover,view,/book/show/23014673-who-let-the-dog-out
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death of a Bacon Heiress        (Hayley Powell Food and Cocktails Mystery #7),"Hollis, Lee*",1496702530,9781496702531,,320        pp,4.00,821,"Mar 29, 2016","Mar 29, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 16, 2023","Aug 19, 2023","Dec 30, 2023",,ebook,view,/book/show/25852688-death-of-a-bacon-heiress
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Psyche and Eros,"McNamara, Luna*",0063295075,9780063295070,0063295075,352        pp,3.77,"9,006","May 25, 2023","Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2023","Aug 18, 2023","Dec 30, 2023",,Hardcover,view,/book/show/62292422-psyche-and-eros
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Open and Shut        (Andy Carpenter, #1)","Rosenfelt, David",,,0446612537,292        pp,4.06,"14,013",2002,"May 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 13, 2023","Aug 16, 2023","Dec 30, 2023",,Mass Market Paperback,view,/book/show/1017537.Open_and_Shut
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wannabe: Reckonings with the Pop Culture That Shapes Me,"Harris, Aisha",0063249944,9780063249943,0063249944,288        pp,3.84,"1,236","Jun 13, 2023","Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 11, 2023","Aug 13, 2023","Dec 30, 2023",,Hardcover,view,/book/show/62365898-wannabe
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death of a Cupcake Queen        (Hayley Powell Food and Cocktails Mystery, #6)","Hollis, Lee*",0758294530,9780758294531,0758294530,315        pp,3.97,903,"May 26, 2015","May 26, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 10, 2023","Aug 13, 2023","Dec 30, 2023",,Mass Market Paperback,view,/book/show/22891453-death-of-a-cupcake-queen
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ink Blood Sister Scribe,"Törzs, Emma*",0063253461,9780063253469,0063253461,416        pp,4.05,"33,728","May 30, 2023","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 05, 2023","Aug 11, 2023","Dec 30, 2023",,Hardcover,view,/book/show/62854842-ink-blood-sister-scribe
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Summer in Savannah,"Harris, Terah Shelton*",1728265746,9781728265742,1728265746,464        pp,4.15,"19,231","Jul 04, 2023","Jul 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 05, 2023","Aug 10, 2023","Dec 30, 2023",,Paperback,view,/book/show/63327797-one-summer-in-savannah
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bride Wore White,"Quick, Amanda*",,,B0B8GG382C,316        pp,4.18,"3,787","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 02, 2023","Aug 05, 2023","Dec 30, 2023",,Kindle Edition,view,/book/show/61974791-the-bride-wore-white
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death of a Christmas Caterer        (Hayley Powell Food and Cocktails Mystery, #5)","Hollis, Lee*",0758294514,9780758294517,0758294514,336        pp,3.89,"1,139","Jan 01, 2014","Oct 07, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Aug 2023,"Aug 05, 2023","Dec 30, 2023",,Mass Market Paperback,view,/book/show/20257089-death-of-a-christmas-caterer
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Mermaid,"Langbein, Julia",0385549679,9780385549677,0385549679,336        pp,3.23,"3,201","Mar 21, 2023","Mar 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 29, 2023",Aug 2023,"Dec 30, 2023",,Hardcover,view,/book/show/61354985-american-mermaid
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death of a Chocoholic        (Hayley Powell Food and Cocktails Mystery, #4)","Hollis, Lee*",0758294492,9780758294494,0758294492,346        pp,3.93,"1,199","Jan 01, 2014","Jan 07, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 29, 2023",Aug 2023,"Dec 30, 2023",,Mass Market Paperback,view,/book/show/17802759-death-of-a-chocoholic
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A City on Mars: Can We Settle Space, Should We Settle Space, and Have We Really Thought This Through?","Weinersmith, Kelly*",1984881736,9781984881731,B0BWH5YYTR,448        pp,4.12,"2,285","Nov 07, 2023","Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023","Jan 07, 2024","Dec 30, 2023",,Hardcover,view,/book/show/125084292-a-city-on-mars
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Whitby Murders        (Yorkshire Murder Mysteries, #6)","Ellis, J.R.*",1542017459,9781542017459,B08P1J6SR3,283        pp,4.15,"8,940","May 27, 2021","May 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023",not set,"Dec 30, 2023",,Kindle Edition,view,/book/show/56144355-the-whitby-murders
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"I'm No Philosopher, But I Got Thoughts: Mini-Meditations for Saints, Sinners, and the Rest of Us","Chenoweth, Kristin*",1400228492,9781400228492,1400228492,224        pp,3.53,"2,836","Jan 17, 2023","Jan 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023","Dec 30, 2023","Dec 30, 2023",,Hardcover,view,/book/show/60693470-i-m-no-philosopher-but-i-got-thoughts
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Inheritance        (The Lost Bride Trilogy, #1)","Roberts, Nora*",1250288320,9781250288325,1250288320,419        pp,4.41,"25,395","Nov 21, 2023","Nov 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 27, 2023","Dec 29, 2023","Dec 30, 2023",,Hardcover,view,/book/show/65213377-inheritance
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Faking Christmas,"Winfrey, Kerry*",,,B0BRMCF5DG,286        pp,3.67,"4,620","Sep 26, 2023","Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 25, 2023","Dec 27, 2023","Dec 30, 2023",,Kindle Edition,view,/book/show/75665923-faking-christmas
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hounded        (Andy Carpenter, #12)","Rosenfelt, David",1250024749,9781250024749,1250024749,313        pp,4.16,"5,111","Jun 30, 2014","Jul 22, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 19, 2023","Dec 23, 2023","Dec 30, 2023",,Hardcover,view,/book/show/18404329-hounded
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unleashed        (Andy Carpenter, #11)","Rosenfelt, David",1250024722,9781250024725,1250024722,308        pp,4.07,"5,164","Jul 23, 2013","Jul 23, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 12, 2023","Dec 19, 2023","Dec 30, 2023",,Hardcover,view,/book/show/16045105-unleashed
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My True Love Gave to Me: Twelve Holiday Stories,"Perkins, Stephanie*",1250059305,9781250059307,1250059305,321        pp,3.66,"41,114","Oct 09, 2014","Oct 14, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 10, 2023","Dec 15, 2023","Dec 30, 2023",,Hardcover,view,/book/show/20309175-my-true-love-gave-to-me
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Leader of the Pack        (Andy Carpenter, #10)","Rosenfelt, David",0312648049,9780312648046,0312648049,360        pp,4.09,"4,654","Jul 17, 2012","Jul 17, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 06, 2023","Dec 30, 2023",,Hardcover,view,/book/show/13167063-leader-of-the-pack
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Twisted Tale Anthology,"Blackburne, Livia*",1368080413,9781368080415,1368080413,576        pp,4.06,648,unknown,"Oct 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 03, 2023","Dec 05, 2023","Dec 30, 2023",,Hardcover,view,/book/show/113277272-a-twisted-tale-anthology
