,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lucy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,588","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Kindle Edition,view,/book/show/61771675-hello-beautiful
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Group: How One Therapist and a Circle of Strangers Saved My Life,"Tate, Christie",,,,288        pp,3.81,"50,078","Oct 27, 2020","Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Hardcover,view,/book/show/50891570-group
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",0063052733,9780063052734,0063052733,306        pp,4.08,"88,960","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/57773248-notes-on-an-execution
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clytemnestra,"Casati, Costanza*",1728268230,9781728268231,1728268230,448        pp,4.26,"21,804","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/61361681-clytemnestra
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,616","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not a singular note. I need more!! A must read for all who loved Daenarys Targaryen (before they did her dirty), being happy?, non-toxic female friendNot a singular note. I need more!! A must read for all who loved Daenarys Targaryen (before they did her dirty), being happy?, non-toxic female friendships, a heroine for the ages!, HOT relationships, etc. etc. ...more",Notes are private!,1,5,1,"Feb 22, 2024","Feb 28, 2024","Dec 23, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Americanah,"Adichie, Chimamanda Ngozi",,,,477        pp,4.32,"371,111","May 14, 2013","May 14, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Gorgeous writing. Definitely a little slow. Character driven,Notes are private!,0,1,1,not set,"Dec 18, 2023","Dec 18, 2023",,Hardcover,view (with text),/book/show/15796700-americanah
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Final Empire        (Mistborn, #1)","Sanderson, Brandon*",,9780765311788,076531178X,541        pp,4.48,"689,126","Jul 17, 2006","Jul 17, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My foray into true fantasy (not just ACOTAR smut), and it was so fun!! This book was amazing and, if you want an approachable entrance to fantasy, I wMy foray into true fantasy (not just ACOTAR smut), and it was so fun!! This book was amazing and, if you want an approachable entrance to fantasy, I would 10/10 recommend. ...more",Notes are private!,3,2,1,not set,"Nov 13, 2023","Nov 14, 2023",,Hardcover,view (with text),/book/show/68428.The_Final_Empire
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leave the World Behind,"Alam, Rumaan*",0062667637,9780062667632,0062667637,241        pp,3.17,"148,512","Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2023",,Hardcover,view,/book/show/50358031-leave-the-world-behind
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Love You but I've Chosen Darkness,"Watkins, Claire Vaye",0593330218,9780593330210,0593330218,304        pp,3.16,"7,148","Oct 05, 2021","Oct 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was sold by the title! And I really enjoyed this book! Claire’s struggle with post partum depression and her reaction to motherhood is so well writtI was sold by the title! And I really enjoyed this book! Claire’s struggle with post partum depression and her reaction to motherhood is so well written, relatable somehow, and very funny. Her homage / almost love letter to her family, her struggle with them, and the feeling of home they all create for her makes her messy decisions make sense. I really like Watkins’ writing style - she mixes it up a lot, which really moves the story. ...more",Notes are private!,0,2,1,"Jan 06, 2024","Jan 16, 2024","Oct 30, 2023",,Hardcover,view (with text),/book/show/57155092-i-love-you-but-i-ve-chosen-darkness
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest,"Cline, Emma",0812998626,9780812998627,,304        pp,3.32,"64,891","May 16, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Absolutely wild. I was SO anxious at every turn. You’re so deep in with the protagonist,Notes are private!,0,1,1,"Oct 06, 2023","Oct 15, 2023","Oct 16, 2023",,Hardcover,view (with text),/book/show/61986136-the-guest
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A ​Court of Silver Flames        (A Court of Thorns and Roses, #4)","Maas, Sarah J.*",168119628X,9781681196282,168119628X,757        pp,4.47,"1,084,232","Feb 16, 2021","Feb 16, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 the others were better, but I’m glad I read it",Notes are private!,0,0,1,"Oct 08, 2023","Oct 14, 2023","Oct 15, 2023",,Hardcover,view (with text),/book/show/53138095-a-court-of-silver-flames
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,603","Aug 01, 2023","Aug 01, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I didn’t like this book and wouldn’t recommend it. I’m shocked it’s getting such good s? It feels like Ann Patchett had to fill a book quota andI didn’t like this book and wouldn’t recommend it. I’m shocked it’s getting such good s? It feels like Ann Patchett had to fill a book quota and ripped out a really cliche, heavy-handed book about family/growing-up/adulthood. ...more",Notes are private!,2,0,1,not set,"Oct 05, 2023","Oct 08, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crook Manifesto        (Ray Carney, #2)","Whitehead, Colson*",0385545150,9780385545150,,336        pp,3.90,"13,328","Jul 18, 2023","Jul 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I thought this one was better than Harlem Shuffle. More time with Pepper who is >>>,Notes are private!,0,0,1,"Sep 14, 2023","Sep 22, 2023","Sep 24, 2023",,Hardcover,view (with text),/book/show/61812836-crook-manifesto
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Wings and Ruin        (A Court of Thorns and Roses, #3)","Maas, Sarah J.*",1635575605,9781635575606,1635575605,703        pp,4.48,"1,538,045","May 02, 2017","Jun 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The best of the three. Loved the series - I am not sure if I’ll read the latest one - so glad I embarked on this journey,Notes are private!,3,3,1,"Sep 08, 2023","Sep 11, 2023","Sep 16, 2023",,Paperback,view (with text),/book/show/50659472-a-court-of-wings-and-ruin
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Mist and Fury        (A Court of Thorns and Roses, #2)","Maas, Sarah J.*",1635575583,9781635575583,,626        pp,4.65,"1,865,547","May 03, 2016","Jun 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I thought the first one was good but it pales in comparison to this one! I genuinely cannot believe how into this series I am… it reminds me of my tweI thought the first one was good but it pales in comparison to this one! I genuinely cannot believe how into this series I am… it reminds me of my tween Twilight days ...more,Notes are private!,0,2,1,"Sep 04, 2023","Sep 06, 2023","Sep 08, 2023",,Paperback,view (with text),/book/show/50659468-a-court-of-mist-and-fury
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,512","May 02, 2023",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 28, 2023",,Hardcover,view,/book/show/180357146-the-covenant-of-water
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Throne of Glass        (Throne of Glass, #1)","Maas, Sarah J.*",163973094X,9781639730940,,406        pp,4.19,"1,479,603","Aug 07, 2012","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Hardcover,view,/book/show/76703559-throne-of-glass
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Thorns and Roses        (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",1635575567,9781635575569,1635575567,419        pp,4.20,"2,490,570","May 05, 2015","Jun 02, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"10/10 no notes. I’m obsessed and cannot wait to embark on #2. Beauty and the beast, meets twilight, meets hunger games, meets game of thrones #faeriep10/10 no notes. I’m obsessed and cannot wait to embark on #2. Beauty and the beast, meets twilight, meets hunger games, meets game of thrones #faerieporn ...more",Notes are private!,2,2,1,"Aug 28, 2023","Sep 03, 2023","Aug 04, 2023",,Paperback,view (with text),/book/show/50659467-a-court-of-thorns-and-roses
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wild Game: My Mother, Her Lover and Me","Brodeur, Adrienne*",,,B07QT7S431,256        pp,3.98,"30,567","Oct 15, 2019","Jan 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 04, 2023",,Kindle Edition,view,/book/show/49893490-wild-game
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women Without Kids: The Revolutionary Rise of an Unsung Sisterhood,"Warrington, Ruby",1683649273,9781683649274,1683649273,240        pp,3.89,"1,312","Mar 28, 2023","Mar 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved this book, and I have a feeling I’ll read it again at another age in my life. It’s an anthropological study of what it means to be a woman witI loved this book, and I have a feeling I’ll read it again at another age in my life. It’s an anthropological study of what it means to be a woman without kids and, for me, somewhat of a therapy / self help book ??? Warrington’s writing, the other texts she sites, her story, and the questions she poses throughout the book made me feel seen, challenged, thoughtful, and less afraid :)...more",Notes are private!,0,1,1,"Jul 13, 2023","Jul 29, 2023","Jul 29, 2023",,Hardcover,view (with text),/book/show/60827550-women-without-kids
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Missing Hearts,"Ng, Celeste*",0593492544,9780593492543,0593492544,335        pp,3.81,"174,145","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,Hardcover,view,/book/show/60149573-our-missing-hearts
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot,"Korelitz, Jean Hanff*",125079076X,9781250790767,125079076X,320        pp,3.82,"113,963","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 05, 2023",,Hardcover,view,/book/show/55315487-the-plot
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Life of Groceries: The Dark Miracle of the American Supermarket,"Lorr, Benjamin*",0553459392,9780553459395,0553459392,328        pp,3.95,"11,516","Sep 08, 2020","Sep 08, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am not a non-fiction gal, even though I’m really trying to be. That being said, this book is amazing. The content is obviously very well researched I am not a non-fiction gal, even though I’m really trying to be. That being said, this book is amazing. The content is obviously very well researched and interesting; what makes it so compelling, though, is the writing. It’s self-reflective, opinionated while remaining factual, and so honest. Ben (my dear friend) makes a book about groceries and the supply chain a psycho-social deep dive of human behaviors. And you know I love a good unpack. ...more",Notes are private!,0,2,1,not set,"Jun 19, 2023","Jun 21, 2023",,Hardcover,view (with text),/book/show/50548165-the-secret-life-of-groceries
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Either/Or,"Batuman, Elif",0525557598,9780525557593,0525557598,368        pp,4.03,"20,924",2022,"May 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 21, 2023",,Hardcover,view,/book/show/58890783-either-or
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158695,,B09SNYDGR9,371        pp,4.22,"504,536","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 21, 2023",,Kindle Edition,view,/book/show/60437824-carrie-soto-is-back
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,737","Feb 07, 2023","Feb 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’d say this is more of a 3.5, but I didn’t love it.",Notes are private!,0,0,1,not set,"Sep 25, 2023","Jun 12, 2023",,Hardcover,view (with text),/book/show/60701439-big-swiss
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shards,"Ellis, Bret Easton",059353560X,9780593535608,059353560X,595        pp,3.99,"20,586","Jan 17, 2023","Jan 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,So dark and twisted and so good. It might be 100 pages too long. You are really sucked into Bret’s world of fear and paranoia and the wildness of 1980So dark and twisted and so good. It might be 100 pages too long. You are really sucked into Bret’s world of fear and paranoia and the wildness of 1980s LA...more,Notes are private!,0,0,1,"Dec 19, 2023","Dec 31, 2023","May 17, 2023",,Hardcover,view (with text),/book/show/60880820-the-shards
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Noise,"DeLillo, Don",0143129554,9780143129554,0143129554,320        pp,3.86,"115,122","Jan 21, 1985","Oct 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2023",,Paperback,view,/book/show/28251250-white-noise
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Plot,"Eugenides, Jeffrey",0374203059,9780374203054,0374203059,406        pp,3.47,"120,972",Oct 2011,"Oct 11, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2023",,Hardcover,view,/book/show/10964693-the-marriage-plot
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Virgin Suicides,"Eugenides, Jeffrey",0747560595,9780747560593,0747560595,250        pp,3.80,"337,919",1993,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2023",,Paperback,view,/book/show/10956.The_Virgin_Suicides
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,184","Mar 07, 2023","Mar 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a 3.5 and it was a very fun read. A good plane or beach read for the summer,Notes are private!,0,0,1,"May 31, 2023","Jun 07, 2023","May 06, 2023",,Hardcover,view (with text),/book/show/61246258-pineapple-street
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empty Planet: The Shock of Global Population Decline,"Bricker, Darrell",,,,304        pp,3.84,"1,612","Feb 05, 2019","Feb 05, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is 3.5 and not because it’s not good, I am just not a non-fiction gal, no matter how hard I am trying to be. I learned a lot! Not sure the point This is 3.5 and not because it’s not good, I am just not a non-fiction gal, no matter how hard I am trying to be. I learned a lot! Not sure the point of the book other than to raise awareness about declining birth rates and that immigration is a really good answer (a message we love)...more",Notes are private!,0,0,1,"Apr 26, 2023","May 16, 2023","Apr 21, 2023",,Hardcover,view (with text),/book/show/37585564-empty-planet
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hours,"Cunningham, Michael*",0312305060,9780312305062,0312305060,230        pp,3.95,"141,237","Jul 31, 1998",Oct 2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2023",,Paperback,view,/book/show/11899.The_Hours
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Dalloway,"Woolf, Virginia",0151009988,9780151009985,0151009988,194        pp,3.79,"306,454","May 14, 1925","Oct 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 19, 2023",,Hardcover,view,/book/show/14942.Mrs_Dalloway
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,"Bilton, Nick*",1591848148,9781591848141,1591848148,328        pp,4.40,"43,579","May 02, 2017","May 02, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I listened to this book and thought the story was so so interesting and well researched. I loved that we got many different people’s experiences of thI listened to this book and thought the story was so so interesting and well researched. I loved that we got many different people’s experiences of the same event. I do not remember The Silk Road at all and it is a fascinating part of modern culture. Def recommend as a listen - might be a little slow to read ...more,Notes are private!,0,0,1,"Apr 09, 2023","Apr 13, 2023","Apr 18, 2023",,Hardcover,view (with text),/book/show/31920777-american-kingpin
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Time of Our History,"Pari, Susanne*",1496739264,9781496739261,1496739264,304        pp,4.06,"5,098","Jan 03, 2023","Jan 03, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really enjoyed this book! It’s an easy read, a compelling story, and I’m easily sucked-in by complicated family dynamics. The middle was maybe 50-10I really enjoyed this book! It’s an easy read, a compelling story, and I’m easily sucked-in by complicated family dynamics. The middle was maybe 50-100 pages too long, though. ...more",Notes are private!,0,0,1,"Mar 29, 2023","Apr 02, 2023","Apr 02, 2023",,Paperback,view (with text),/book/show/60756719-in-the-time-of-our-history
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,127","May 19, 2020","May 19, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wish Suzanne Collins had left the trilogy be but, that being said, am I so excited for another movie (and that Rachel Ziegler is in it)?! Yes I am. I wish Suzanne Collins had left the trilogy be but, that being said, am I so excited for another movie (and that Rachel Ziegler is in it)?! Yes I am. I really could not get behind President Snow. He’s a little twat and always has been ...more",Notes are private!,0,0,1,not set,"Mar 27, 2023","Mar 27, 2023",,Kindle Edition,view (with text),/book/show/51901147-the-ballad-of-songbirds-and-snakes
