,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Габриела's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Без герой,"Boyle, T. Coraghessan*",619186891X,9786191868919,619186891X,0        pp,3.78,652,1994,"Apr 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/210673339
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Кратка история на българския комикс,"Стайков, Антон",,9789544746407,,239        pp,4.85,20,"Nov 01, 2013",Nov 2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/18774275
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Другият сън,"Poleganov, Vladimir",6191509421,9786191509423,6191509421,168        pp,4.05,86,unknown,"Oct 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/32805504
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Отвисоко в печката пада дърво,"Григорова, Екатерина",,9786191868742,,unknown,5.00,1,2024,Feb 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Поезията на Катя Григорова е искра в огнището, бляскава нишка в пуловер, звезда, която примигва в небето – някаква дълбока убеденост, че чудото същестПоезията на Катя Григорова е искра в огнището, бляскава нишка в пуловер, звезда, която примигва в небето – някаква дълбока убеденост, че чудото съществува сред нас....more",Notes are private!,0,5,1,"Apr 07, 2024","Apr 07, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/211029468
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Звезди и белези,"Ангелова, Керана",,9786199233351,,93        pp,0.00,0,2023,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Прелестна книга.//Представи си, че стрелките на времетотръгнат в обратна посока:както сменяме лятното часово време,така да обърнем посоките на живота.Прелестна книга.//Представи си, че стрелките на времетотръгнат в обратна посока:както сменяме лятното часово време,така да обърнем посоките на живота.Представи си, че се налага да преживеешотново всичките си години,които една по една се изнизаха -- да ти се случат повторнои хубавото, и лошото --би ли могла да понесеш отнововсичките малки смърти на своите загуби,всичката светла любов, коятоса ти убили с дума оловои сама си заровила надълбокоедна нощ под луната жестока,всичките родни човеци, коитоедин по един са си тръгвалипрез отворените прозорци на вечността.Би ли могла пак да стъпишвърху стрелките на онзи часовник, който движи времето върху стенатакато Витрувианския човек на да Винчи,в съразмерните му пропорции --би ли могла да понесеш да те разпънатотново стрелките на времето --или все пак всичко си струва, щом се движиш в посока на детството....more",Notes are private!,0,0,1,"Apr 06, 2024","Apr 06, 2024","Apr 06, 2024",,Paperback,view (with text),/book/show/210975034
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Защо да Ви наемем?,"Юлката, Юлиян Филипов -",9543209111,9789543209118,9543209111,120        pp,4.00,3,unknown,"Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/205473789
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boulder,"Baltasar, Eva",1913505383,9781913505387,1913505383,105        pp,3.86,"6,522","Mar 12, 2020","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/59774734-boulder
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Absent Father Effect on Daughters: Father Desire, Father Wounds","Schwartz, Susan*",0367360810,9780367360818,0367360810,176        pp,3.85,61,unknown,"Nov 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/54063179-the-absent-father-effect-on-daughters
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Фридолин,"Caspar, Franz",,,,120        pp,4.30,148,1963,"May 25, 1985",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/18068816
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Без мен,"Иванов, Стефан",,9786197766004,,392        pp,5.00,3,unknown,Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,,view,/book/show/210464684
