,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Fabia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
361,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Premiata Ditta Sorelle Ficcadenti,"Vitali, Andrea",881707201X,9788817072014,881707201X,448        pp,3.49,383,"Feb 26, 2014","Feb 26, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2018",,Hardcover,view,/book/show/20947312-premiata-ditta-sorelle-ficcadenti
362,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Repubblica dell'Immaginazione,"Nafisi, Azar*",8845930068,9788845930065,8845930068,288        pp,3.77,"1,567","Aug 28, 2014",2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2018",,Paperback,view,/book/show/26619329-la-repubblica-dell-immaginazione
363,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un antropologo su Marte,"Sacks, Oliver",8845913961,9788845913969,8845913961,445        pp,4.15,"22,169",1995,"Sep 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2018",,Paperback,view,/book/show/9623505-un-antropologo-su-marte
364,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il Castello,"Kafka, Franz",8807901749,9788807901744,8807901749,386        pp,3.94,"62,703",1926,"Jan 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 03, 2018",,Paperback,view,/book/show/28588271-il-castello
365,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nina Simone. Una vita,"Brun-Lambert, David",8807884771,9788807884771,8807884771,448        pp,3.73,189,"Sep 30, 2005",2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ho finito di leggere questa stupenda biografia di Nina Simone. Sono rimasta davvero entusiasta di questo libro, perché si è rivelato molto più ricco dHo finito di leggere questa stupenda biografia di Nina Simone. Sono rimasta davvero entusiasta di questo libro, perché si è rivelato molto più ricco di quello che potevo aspettarmi. Anche se Nina Simone non la conoscete, o non vi interessa affatto, io vi consiglio di leggerlo ugualmente. In queste pagine la vita della cantante è stata l'occasione per dare al lettore una quantità enorme ed interessante di informazioni preziosissime. C'è tanta storia della musica, ovviamente, ma anche una bella fetta di storia americana e della segregazione, la lotta per i diritti civili, e i personaggi di rilievo che in vario modo sono passati per la vita di Nina. C'è anche l'Africa e la sua storia, l'Europa dove Nina ha vissuto nel suo eterno vagabondare. C'è anche il racconto della malattia mentale, della solitudine, della follia. Non è affatto una biografia celebrativa della diva, ma anzi l'ho trovata estremamente onesta, senza la pretesa di affermare verità assolute.È stata un bellissimo viaggio....more",Notes are private!,0,21,1,"Jun 08, 2020","Jun 19, 2020","Jun 20, 2018",,Paperback,view (with text),/book/show/51475294-nina-simone-una-vita
366,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il sole si spegne,"Dazai, Osamu",8807721090,9788807721090,8807721090,144        pp,3.99,"27,997",1947,2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jun 20, 2018",,Paperback,view,/book/show/14739534-il-sole-si-spegne
367,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'altalena del respiro,"Müller, Herta",880701811X,9788807018114,880701811X,251        pp,3.90,"6,184",2009,"Apr 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2018",,Paperback,view,/book/show/10139919-l-altalena-del-respiro
368,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Da un'altra carne,"De Silva, Diego",8806196545,9788806196547,8806196545,172        pp,3.10,40,2004,2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2018",,Paperback,view,/book/show/9310999-da-un-altra-carne
369,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il gigante sepolto,"Ishiguro, Kazuo*",8806231642,9788806231644,8806231642,328        pp,3.57,"105,197","Mar 03, 2015","Oct 04, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2018",,Paperback,view,/book/show/32453572-il-gigante-sepolto
370,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il dilemma dell'onnivoro,"Pollan, Michael*",8845927822,9788845927829,8845927822,487        pp,4.18,"204,119","Apr 11, 2006","Apr 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2018",,Paperback,view,/book/show/17728218-il-dilemma-dell-onnivoro
371,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il delta di Venere,"Nin, Anaïs",8845246531,9788845246531,8845246531,283        pp,3.62,"22,592",1977,Oct 2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2018",,Paperback,view,/book/show/15779542-il-delta-di-venere
372,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Virginia Woolf e i suoi contemporanei,"Rampello, Liliana",8842819182,9788842819189,8842819182,319        pp,3.99,67,"Jan 01, 1972","Nov 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2018",,Paperback,view,/book/show/36566096-virginia-woolf-e-i-suoi-contemporanei
373,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Storia dell'economia,"Galbraith, John Kenneth",8817115142,9788817115148,8817115142,368        pp,4.03,606,1987,"Jan 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2018",,Paperback,view,/book/show/9682113-storia-dell-economia
374,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Colore. Una biografia. Tra arte storia e chimica, la bellezza e i misteri del mondo del colore","Ball, Philip",8817000728,9788817000727,8817000728,378        pp,4.05,"1,188",1999,"Feb 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 19, 2020",not set,"Jun 09, 2018",,Paperback,view,/book/show/9694745-colore-una-biografia-tra-arte-storia-e-chimica-la-bellezza-e-i-mister
375,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'altra verità,"Merini, Alda",8817065358,9788817065351,8817065358,158        pp,3.99,"1,341",1986,"Mar 07, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Mar 06, 2019","Mar 08, 2019","Jun 09, 2018",,Paperback,view,/book/show/19307877-l-altra-verit
376,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ipazia. La vera storia,"Ronchey, Silvia",,,,320        pp,3.36,211,Nov 2010,Apr 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2018",,Paperback,view,/book/show/16147624-ipazia-la-vera-storia
377,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ascolta il mio cuore,"Pitzorno, Bianca",8804530227,9788804530220,8804530227,304        pp,4.39,"2,897",1991,"Feb 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2018",,Paperback,view,/book/show/3685047-ascolta-il-mio-cuore
378,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le vergini suicide,"Eugenides, Jeffrey",8866210706,9788866210702,8866210706,206        pp,3.80,"337,938",1993,"Sep 03, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2018",,Paperback,view,/book/show/18529233-le-vergini-suicide
379,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of The Hobbit by J.R.R. Tolkien,"Hammond, Wayne G.",0007440812,9780007440818,0007440812,144        pp,4.32,"6,179","Oct 27, 2011","Oct 27, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 09, 2018",,Hardcover,view,/book/show/11870160-the-art-of-the-hobbit-by-j-r-r-tolkien
