,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inmate,"McFadden, Freida*",,,B0B1XQTZ1R,388        pp,4.09,"372,077","Jun 13, 2022","Jun 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2024",not set,"Jan 06, 2024",,Kindle Edition,view,/book/show/61149872-the-inmate
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Dickens and His Carol,"Silva, Samantha*",,,B06Y5VGLNP,282        pp,3.78,"17,262","Oct 31, 2017","Oct 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 25, 2023","Jan 05, 2024","Nov 25, 2023",,Kindle Edition,view,/book/show/35020420-mr-dickens-and-his-carol
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The English Understand Wool,"DeWitt, Helen",,,B09YP7RCPZ,64        pp,4.16,"5,827","Aug 16, 2022","Aug 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 25, 2023","Nov 25, 2023","Nov 25, 2023",,Kindle Edition,view,/book/show/61266261-the-english-understand-wool
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Signal Fires,"Shapiro, Dani*",,,B09Q8FNM11,240        pp,3.92,"32,981","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 04, 2023",not set,"Sep 04, 2023",,Kindle Edition,view,/book/show/60126274-signal-fires
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,B07WG8L7WC,319        pp,3.82,"996,013","Feb 20, 2020","Jun 02, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 15, 2023",,Kindle Edition,view,/book/show/52656911-the-guest-list
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Fall Out of Love Madly,"Casale, Jana*",,,B09FP1NXTL,352        pp,3.50,"6,124","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 24, 2022",not set,"Oct 24, 2022",,Kindle Edition,view,/book/show/59855080-how-to-fall-out-of-love-madly
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Me,"Davis, Viola",0063037327,9780063037328,0063037327,304        pp,4.56,"116,107","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2022",,Hardcover,view,/book/show/58687126-finding-me
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anomaly,"Le Tellier, Hervé",,,B08XB11TVR,399        pp,3.81,"52,562","Aug 20, 2020","Nov 23, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 16, 2022","Sep 25, 2022","Sep 16, 2022",,Kindle Edition,view,/book/show/57726637-the-anomaly
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny You Should Ask,"Sussman, Elissa",,,B0998FRV47,330        pp,3.60,"119,883","Apr 12, 2022","Apr 12, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 18, 2022","Aug 29, 2022","Aug 18, 2022",,Kindle Edition,view,/book/show/59965034-funny-you-should-ask
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verity,"Hoover, Colleen*",,,B09H6T8LTR,333        pp,4.32,"2,675,315","Dec 07, 2018","Oct 05, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 17, 2022","Jul 18, 2022","Jul 17, 2022",,Kindle Edition,view,/book/show/59218704-verity
