,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Deacon Tom's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The President Is a Sick Man: Wherein the Supposedly Virtuous Grover Cleveland Survives a Secret Surgery at Sea and Vilifies the Courageous Newspaperman Who Dared Expose the Truth,"Algeo, Matthew*",1569768757,9781569768754,B00IWGPEMI,273        pp,3.95,"2,474","May 01, 2011","May 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/22675324-the-president-is-a-sick-man
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ted & Me        (Baseball Card Adventures Book 11),"Gutman, Dan",,,B005PMWOGQ,213        pp,4.26,499,"Mar 20, 2012",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/12991848-ted-me
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old School,"Wolff, Tobias",,,B000FC28A8,354        pp,3.84,"13,032","Nov 04, 2003","Aug 31, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Strong Writing""Old School"" by Tobias Wolff is a captivating novel that delves into themes of ambition, identity, and the power of literature within thStrong Writing""Old School"" by Tobias Wolff is a captivating novel that delves into themes of ambition, identity, and the power of literature within the confines of a prestigious boys' prep school in the 1960s. Wolff's sharp writing and exploration of class dynamics make this a thought-provoking and immersive read that will resonate with fans of character-driven storytelling....more",Notes are private!,0,1,1,"Apr 11, 2024","Apr 11, 2024","Apr 11, 2024",,Kindle Edition,view (with text),/book/show/40940082-old-school
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cut and Thirst,"Atwood, Margaret*",1662523335,9781662523335,B0CRJGKXBS,35        pp,3.06,"3,280","May 01, 2024","May 01, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 09, 2024","Apr 09, 2024","Apr 09, 2024",,Kindle Edition,view,/book/show/209411839-cut-and-thirst
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Road to the Breaking,"Bennett, Chris*",1733107940,9781733107945,B08R22Z9QN,261        pp,4.28,504,unknown,"Jan 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/56642612-road-to-the-breaking
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Amazing Spiderman (#1) The Chameleon Strikes,"Lee, Stan",,,,25        pp,4.02,109,unknown,"Mar 01, 1963",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,ebook,view,/book/show/59812802-the-amazing-spiderman-1-the-chameleon-strikes
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Journey to the New World: The Diary of Remember Patience Whipple, Mayflower, 1620","Lasky, Kathryn",059050214X,9780590502146,059050214X,173        pp,3.68,"9,033",1996,"Sep 01, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 04, 2024","Apr 06, 2024","Apr 04, 2024",,Hardcover,view,/book/show/472286.A_Journey_to_the_New_World
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,"Schlender, Brent*",,,B00N6PCWY8,482        pp,4.14,"16,463","Mar 24, 2015","Mar 24, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A WinnerSimply spectacular in so many ways. This was not only a biography of the great man but a history lesson of computing at the end of the 20th ceA WinnerSimply spectacular in so many ways. This was not only a biography of the great man but a history lesson of computing at the end of the 20th century until today. It was not over flattering but boldly honest as far as I could imagine. I highly recommend. ...more,Notes are private!,0,7,1,"Apr 04, 2024","Apr 08, 2024","Apr 04, 2024",,Kindle Edition,view (with text),/book/show/24386240-becoming-steve-jobs
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Secret War: The World War II Diary of Madeline Beck, Long Island, New York 1941","Osborne, Mary Pope",0590687158,9780590687157,0590687158,182        pp,4.00,"4,287",2000,"Sep 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a wonderful little book about WWII’s impact on a young girl’s life. Her ups and downs, including young love make this a special experience. WhThis is a wonderful little book about WWII’s impact on a young girl’s life. Her ups and downs, including young love make this a special experience. What I enjoyed the most was how her and a good friend took on the challenge of guarding the Long Island coastline. I recommend....more",Notes are private!,0,11,1,"Apr 03, 2024","Apr 04, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/1000239.My_Secret_War
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Visitors: A Novel,"Beauman, Sally",,,B00GLS2H8S,545        pp,3.64,"2,786","Feb 01, 2014","Jul 08, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant4 1/2 StarsI thoroughly enjoyed this book. My only complaint is that it was a little bit too long, but that certainly would not keep me from Brilliant4 1/2 StarsI thoroughly enjoyed this book. My only complaint is that it was a little bit too long, but that certainly would not keep me from giving it a good .it was really special for me because I recently returned from Egypt and the valley of the kings. So, all of the scenes and interplay of this book could be easily imagined in my minds eye.I loved it. It was fantastic – – just too long! ...more",Notes are private!,6,12,1,"Apr 03, 2024","Apr 06, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/19812156-the-visitors
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier in Germany,"Snyder, James",,9798990153226,B0CZ2D1M3N,359        pp,4.00,1,unknown,"May 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/210361905-soldier-in-germany
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Batter's Box: A Novel of Baseball, War, and Love","Kutler, Andy*",,,B07MVMXTW8,325        pp,4.66,88,unknown,"Mar 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/44424080-the-batter-s-box
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lincoln's Angel: The Rebecca Pomroy Story,"Fowler, DL",,,B0CQ6DFVLD,unknown,5.00,4,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Hardcover,view,/book/show/203752287-lincoln-s-angel
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taproot: A Story about a Gardener and a Ghost,"Young, Keezy",1549301950,9781549301957,B074V9CGDB,125        pp,3.88,"8,808","Sep 26, 2017","Sep 26, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars.The strength of this book was the beauty of the artwork. Unfortunately, the story was a bit weak and not really much of a balance. It was a 3.5 stars.The strength of this book was the beauty of the artwork. Unfortunately, the story was a bit weak and not really much of a balance. It was a bit of a struggle in the middleOverall,a good book that I enjoyed. If you’re into ghosts, goblins and things like that, you might enjoy it too...more",Notes are private!,0,4,1,"Apr 03, 2024","Apr 05, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/36174464-taproot
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes from Underground,"Dostoevsky, Fyodor",067973452X,9780679734529,067973452X,136        pp,4.18,"160,778",1864,Sep 1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Paperback,view,/book/show/49455.Notes_from_Underground
