,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Luna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inverno,"Zarin, Cynthia",0374610134,9780374610135,0374610134,144        pp,3.07,121,unknown,"Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Hardcover,view,/book/show/127283010-inverno
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,762","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed the lovely sentences and Patchett's seamless flow from past to present. A gifted writer and storyteller. Her sentences are memorable. Here iI enjoyed the lovely sentences and Patchett's seamless flow from past to present. A gifted writer and storyteller. Her sentences are memorable. Here is a favorite about pear trees: ""In the summer, all that is hideous about a pear tree is hidden by leaves and pears. But once those disguises were removed they were nothing but acres of murderous psychopaths.""...more",Notes are private!,0,0,1,"Feb 05, 2024","Feb 10, 2024","Feb 10, 2024",,Hardcover,view (with text),/book/show/63241104-tom-lake
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,968","Oct 25, 2022","Oct 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Finished today! I spent my time with the stunning gem! I'm combining the  of The Passenger with Stella Maris.After reading Stella Maris i came tFinished today! I spent my time with the stunning gem! I'm combining the  of The Passenger with Stella Maris.After reading Stella Maris i came to believe that Cormac is both Bobby Western and his sister Alicia. I adore him even more after reading these two books. He always wrote with a brilliant philosophical outlook. A vision. It's time to reread... especially the Border Trilogy. The Passenger and Stella Maris aren't the coming of age story of those early books. They are the summation of his life, almost a look back from the beyond. ""Because that's what people do when their waiting for the end.""Merged :Finished today! I spent my time with the stunning gem! I'm combining the  of The Passenger with Stella Maris.After reading Stella Maris i came to believe that Cormac is both Bobby Western and his sister Alicia. I adore him even more after reading these two books. He always wrote with a brilliant philosophical outlook. A vision. It's time to reread... especially the Border Trilogy. The Passenger and Stella Maris aren't the coming of age story of those early books. They are the summation of his life, almost a look back from the beyond. ""Because that's what people do when their waiting for the end.""Merged :Finished today! I spent my time with the stunning gem! I'm combining the  of The Passenger with Stella Maris.After reading Stella Maris i came to believe that Cormac is both Bobby Western and his sister Alicia. I adore him even more after reading these two books. He always wrote with a brilliant philosophical outlook. A vision. It's time to reread... especially the Border Trilogy. The Passenger and Stella Maris aren't the coming of age story of those early books. They are the summation of his life, almost a look back from the beyond. ""Because that's what people do when their waiting for the end.""...more",Notes are private!,0,1,2,"Dec 03, 2022not set","Feb 28, 2023not set","Feb 09, 2024",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Doors,Tan Twan Eng,1639731938,9781639731930,1639731938,320        pp,4.16,"8,906","May 04, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/65215270-the-house-of-doors
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,David Copperfield,"Dickens, Charles",,,B0C2TMZH8B,"1,083        pp",4.03,"238,611",Nov 1850,"Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Kindle Edition,view,/book/show/134945530-david-copperfield
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Promised Land: The Triumph and Tragedy of Israel,"Shavit, Ari",0385521707,9780385521703,0385521707,464        pp,4.21,"9,770",2013,"Nov 19, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ari Shavit is an Israeli jounalist. My Promised Land is a memoir in which he tells the history of Israel and Zionism through the story of his ancestorAri Shavit is an Israeli jounalist. My Promised Land is a memoir in which he tells the history of Israel and Zionism through the story of his ancestors, his memories, and interviews. In his words it is a, ""Personal journey through contemporary and historical Israel."" It is honest and fairly balanced. Not political at all. Near the end of this book there felt like a foreboding, a warning. I wish he'd write an addendum.A quote that surprised me was from Moshe Dayan:""April 1956, the security officer of a kibbutz close to the Palestinian enclave was killed by infiltrators from Gaza, causing Moshe Dayan, the Israeli chief of staff, to warn Israelis of the unresolved grievances simmering in the territory: “Let us not, today, cast the blame on the murderers, Dayan said. “For eight years now, they have sat in the refugee camps in Gaza, and before their eyes we have turned their lands and villages, where they and their fathers dwelt, into our home.”...more",Notes are private!,0,1,1,Jan 2024,"Jan 05, 2024","Jan 05, 2024",,Hardcover,view (with text),/book/show/15798334-my-promised-land
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love and Saint Augustine,"Arendt, Hannah",0226025977,9780226025971,0226025977,254        pp,3.94,259,1928,"Apr 26, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/26190.Love_and_Saint_Augustine
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is Happiness,"Williams, Niall*",163557420X,9781635574203,163557420X,400        pp,4.22,"14,104","Sep 05, 2019","Dec 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/42972008-this-is-happiness
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Most Fun We Ever Had,"Lombardo, Claire*",0385544251,9780385544252,0385544251,532        pp,3.95,"79,062","Jun 25, 2019","Jun 25, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/41880044-the-most-fun-we-ever-had
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546882,9780385546881,B0BVTXZXZJ,432        pp,4.48,"58,200","Dec 05, 2023","Dec 05, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a fairly good story based on a diary of a midwife in the 1700s. Easy, quick read and strong female character. When it comes to historical ficThis was a fairly good story based on a diary of a midwife in the 1700s. Easy, quick read and strong female character. When it comes to historical fiction I adore the writing of Hilary Mantel, Diana Gabaldon, Elizabeth Gilbert -The Signature of All Things about a female botanist. Ann Patchett and Barbara Kingsolver are brilliant writers. Frozen River was just okay by comparison but on its own clean good storytelling...more",Notes are private!,0,1,1,"Feb 23, 2024","Feb 25, 2024","Dec 29, 2023",,Kindle Edition,view (with text),/book/show/56699106-the-frozen-river
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simple Tibetan Buddhism: A Guide to Tantric Living,"Simpkins, C. Alexander",0804831998,9780804831994,0804831998,168        pp,3.77,13,"Nov 01, 2001","Nov 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We have a lot of books on Buddhism on our shelves. I took this one down to read since I'm looking for an appropriate one to give to a friend. I'm not We have a lot of books on Buddhism on our shelves. I took this one down to read since I'm looking for an appropriate one to give to a friend. I'm not sure this is best one. It's great someone who really wants to dive into a practice but I'm looking for a more daily practice of releasing from attachment to outcomes. Letting go of expectations. This is a good book, but probably not the one for her....more",Notes are private!,0,2,1,"Dec 16, 2023","Dec 16, 2023","Dec 16, 2023",,Paperback,view (with text),/book/show/792370.Simple_Tibetan_Buddhism
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,229","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 11, 2023",,Hardcover,view,/book/show/71872930-north-woods
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,562","May 25, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/62047984-yellowface
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,088","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Hardcover,view,/book/show/62039166-the-bee-sting
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,532","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Kindle Edition,view,/book/show/158875813-prophet-song
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,558","Mar 31, 2022","Apr 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved the series on Apple TV and read the book afterwards. There were many difference and I happened to really like the changes made for the televisI loved the series on Apple TV and read the book afterwards. There were many difference and I happened to really like the changes made for the television series. They were improvements to the book, in my opinion....more",Notes are private!,0,0,1,"Dec 05, 2023","Dec 05, 2023","Dec 05, 2023",,Hardcover,view (with text),/book/show/58065033-lessons-in-chemistry
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamas Contained: The Rise and Pacification of Palestinian Resistance,"Baconi, Tareq",0804797412,9780804797412,0804797412,368        pp,4.31,215,unknown,"May 15, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Hardcover,view,/book/show/35793669-hamas-contained
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light in Gaza: Writings Born of Fire,"Abusalim, Jehad",164259699X,9781642596991,164259699X,279        pp,4.72,"1,101","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Paperback,view,/book/show/60746110-light-in-gaza
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Palestine's Children: Returning to Haifa & Other Stories,"Kanafani, Ghassan",0894108905,9780894108907,0894108905,199        pp,4.38,769,1984,"Aug 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Paperback,view,/book/show/125252.Palestine_s_Children
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hundred Years' War on Palestine: A History of Settler-Colonial Conquest and Resistance, 1917-2017","Khalidi, Rashid",1627798552,9781627798556,1627798552,336        pp,4.51,"12,069","Jan 28, 2020","Jan 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Hardcover,view,/book/show/41812831-the-hundred-years-war-on-palestine
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eastbound,"Kerangal, Maylis de",1953861504,9781953861504,1953861504,160        pp,3.99,"4,463",2012,"Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Paperback,view,/book/show/61953755-eastbound
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Living to Tell the Tale,"García Márquez, Gabriel",0141019425,9780141019420,0141019425,496        pp,4.02,"11,693",2002,"Jan 27, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Paperback,view,/book/show/4392.Living_to_Tell_the_Tale
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gennaro's Limoni: Vibrant Italian Recipes Celebrating the Lemon,"Contaldo, Gennaro",1623718600,9781623718602,1623718600,192        pp,4.13,39,unknown,"Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Hardcover,view,/book/show/58774607-gennaro-s-limoni
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Generations and The Seven Grandfather Teachings,"Vukelich, James*",,,B0C6RVS92X,64        pp,4.72,316,unknown,"Jun 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/169739638-the-seven-generations-and-the-seven-grandfather-teachings
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sir Gawain and the Green Knight,Unknown,0451528182,9780451528186,0451528182,144        pp,3.76,"70,409",1350,Nov 2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Mass Market Paperback,view,/book/show/3049.Sir_Gawain_and_the_Green_Knight
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Song of Achilles,"Miller, Madeline*",1408816032,9781408816035,1408816032,352        pp,4.33,"1,485,031","Sep 20, 2011","Sep 20, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 18, 2023",,Hardcover,view,/book/show/11250317-the-song-of-achilles
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,579","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/87556695-let-us-descend
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fire Next Time,"Baldwin, James",067974472X,9780679744726,067974472X,106        pp,4.54,"100,410","Jan 31, 1963","Feb 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 08, 2023",,Paperback,view,/book/show/464260.The_Fire_Next_Time
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"East West Street: On the Origins of ""Genocide"" and ""Crimes Against Humanity""","Sands, Philippe",0385350716,9780385350716,0385350716,448        pp,4.46,"10,615","May 24, 2016","May 24, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 08, 2023",,Hardcover,view,/book/show/27068666-east-west-street
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arcadia,"Groff, Lauren*",1401340873,9781401340872,1401340873,291        pp,3.72,"24,671","Mar 13, 2012","Mar 13, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A beautifully written extended family saga about growing up on a commune in the 1970s. It felt very real. I recommend this over any cult story, fictioA beautifully written extended family saga about growing up on a commune in the 1970s. It felt very real. I recommend this over any cult story, fiction or otherwise....more",Notes are private!,0,1,1,"Oct 21, 2023","Nov 07, 2023","Oct 21, 2023",,Hardcover,view (with text),/book/show/11866694-arcadia
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution,"McDermott, Alice",0374610487,9780374610487,0374610487,324        pp,3.88,"12,810","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 16, 2023",,Hardcover,view,/book/show/101404407-absolution
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me What I Am,"Mannion, Una",0063314770,9780063314771,0063314770,279        pp,3.93,"1,703","May 30, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Hardcover,view,/book/show/63331306-tell-me-what-i-am
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fates and Furies,"Groff, Lauren*",1594634475,9781594634475,1594634475,390        pp,3.58,"138,696","Sep 15, 2015","Sep 15, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I came to Lauren Groff by way of James Salter. My own writing has been inspired by Salter. When I read an article Lauren Groff wrote about Light YearsI came to Lauren Groff by way of James Salter. My own writing has been inspired by Salter. When I read an article Lauren Groff wrote about Light Years i knew it was the same for her. Fates and Furies is about a married couple and her writing captures their depth of character with brilliance in much the same way Salter did with Light Years. Her tribute is an honor to Salter and she has made it her own. Below is an excerpt from her essay on Salter.""...But Light Years, his 1975 novel, glows in a holy way. I buy it in multiples because I press it into the hands of practically everyone who enters my house, and I reread it a few times a year to reset my expectations of what a great novel looks like.Those nights, I stay up alone in the quiet house, hearing my babies’ sleeping breath in the monitors, and open Light Years to let myself feel the beauty, and the ache of sadness that I’m so careful to modulate in my own domestic sphere. To function, I need my ecstatic experiences controlled, limited to the time it takes to read a book. Light Years sits beside me like a good friend during those sleepless nights, and together we watch the morning dawn with its just-bearable brightness. The description of the book belies its power: Light Years traces the unexceptional marriage of Nedra and Viri, a well-off couple with a house on the Hudson, two little girls, a pony, a bunny, a dog, all the accoutrements of a comfortable bourgeois life. They love each other, have lovers, fall apart. But the true story of Light Years is more mysterious and far colder, found in the way it is told, in brief, vivid scenes strung like pearls on a filament of decades. The book has been called impressionistic, but I think that’s false, because impressionism implies a blurred close-view and a cohesive long-view, and every sentence and scene in Light Years is cut by diamonds. It’s more like a series of careful explosions, strobing one after another through the darkness of years. Or it is a deep river glinting in the sun.""Salter wrote of his characters Nedra and Viri: ""Their life is mysterious, it is like a forest; from far off it seems a unity, it can be comprehended, described, but closer it begins to separate, to break into light and shadow, the density blinds one. Within there is no form, only prodigious detail that reaches everywhere: exotic sounds, spills of sunlight, foliage, fallen trees, small beasts that flee at the sound of a twig-snap, insects, silence, flowers.""Groff essay continues and she writes about Light Years: ""When the reader is not being tenderized by the sophisticated undercurrents of emotion in this book, she is being seduced by Salter’s language. His dialogue hides more than it reveals; the sudden darts into his characters’ points of view uncover the author’s profound generosity toward them, even when they’re acting terribly. It is this wild generosity that is James Salter’s greatest gift to a reader, the ability to hold within a single character or scene or sentence the precise and the deeply mysterious, the admirable and the dirty, the flesh and the spirit. To look upon it all with clear and warm eye, without judgment or false sentiment. To offer it up in a way as aesthetically devastating as anybody ever has in the history of novels. If such kindness to we hungry, sleepless, aching readers of the world isn’t saintly, I don’t know what is.""I do know what it is to be mesmerized by James Salter’s writing. His novels have depth and beauty. Fates and Furies is a great book. I will read all her books!...more",Notes are private!,0,0,1,"Oct 04, 2023","Oct 15, 2023","Sep 12, 2023",,Hardcover,view (with text),/book/show/24612118-fates-and-furies
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot,"Korelitz, Jean Hanff*",125079076X,9781250790767,125079076X,320        pp,3.82,"113,972","May 11, 2021","May 11, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a page turner! There was a lot of foreshadowing and that's not too big a criticism. Many were literary. Housekeeping early on was big! DefiniThis was a page turner! There was a lot of foreshadowing and that's not too big a criticism. Many were literary. Housekeeping early on was big! Definitely reminded me of Ladder to the Sky. And the Talented Mr. Ripley was a good one. Can't say to much without giving spoilers. But it was twisty, well done, and a fun read....more",Notes are private!,0,4,1,"Sep 07, 2023","Sep 08, 2023","Sep 07, 2023",,Hardcover,view (with text),/book/show/55315487-the-plot
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bluest Eye,"Morrison, Toni",,,,7        pp,4.11,"252,666","Jun 01, 1970","Jul 18, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2023",,Audiobook,view,/book/show/54253198-the-bluest-eye
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,278","Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A wonderful story from James McBride. Having read The Color of Water, I'm aware he has a Black father and a Jewish mother which must be how he is so gA wonderful story from James McBride. Having read The Color of Water, I'm aware he has a Black father and a Jewish mother which must be how he is so good at writing both halves of this story with such great character development. Vividly told and with exceptional pacing! I couldn't put this book down! It helped that I had a cold and was in my comfortable reading chair all day! ...more",Notes are private!,0,3,1,"Feb 11, 2024","Feb 12, 2024","Aug 31, 2023",,Hardcover,view (with text),/book/show/65678550-the-heaven-earth-grocery-store
