,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Adriana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Yellow Wall-Paper,"Gilman, Charlotte Perkins",1558611584,9781558611580,1558611584,64        pp,4.10,"201,646","Jan 10, 1892","Sep 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 11, 2023",,Paperback,view,/book/show/286957.The_Yellow_Wall_Paper
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,335","May 19, 2020","May 19, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hunger Games obsession, I’m so back. Honestly if I rated this book on pure enjoyment I’d give it 5 ⭐️. The songs, the mockingjays, the hanging tree, tHunger Games obsession, I’m so back. Honestly if I rated this book on pure enjoyment I’d give it 5 ⭐️. The songs, the mockingjays, the hanging tree, the descent and also the ascent of Snow… too good. ...more",Notes are private!,0,0,1,"Dec 07, 2023","Dec 22, 2023","Dec 07, 2023",,Kindle Edition,view (with text),/book/show/51901147-the-ballad-of-songbirds-and-snakes
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Towards Bethlehem,"Didion, Joan",,,,238        pp,4.19,"67,273",1968,"Oct 28, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/424.Slouching_Towards_Bethlehem
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paradais,"Melchor, Fernanda*",1913097870,9781913097875,1913097870,118        pp,3.65,"12,611",2021,"Mar 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Paperback,view,/book/show/58730652-paradais
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Postcards from the Edge,"Fisher, Carrie",1849833648,9781849833646,1849833648,240        pp,3.62,"17,312","Aug 01, 1987","Nov 10, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Paperback,view,/book/show/14906205-postcards-from-the-edge
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Album,"Didion, Joan",0374532079,9780374532079,0374532079,224        pp,4.06,"39,042",1979,"Nov 10, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Paperback,view,/book/show/421.The_White_Album
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamlet,"Shakespeare, William",0613998669,9780613998666,0613998669,400        pp,4.02,"952,070",1601,"Jul 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,SOMETHING IS ROTTEN IN THE STATE OF DENMARK!!!!,Notes are private!,0,1,1,"Sep 22, 2023","Oct 15, 2023","Sep 22, 2023",,Library Binding,view (with text),/book/show/349566.Hamlet
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lord of the Rings,"Tolkien, J.R.R.",,,,"1,216        pp",4.53,"676,153",1954,"Oct 12, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 10, 2023",,Paperback,view,/book/show/33.The_Lord_of_the_Rings
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outliers: The Story of Success,"Gladwell, Malcolm",0316017922,9780316017923,0316017922,309        pp,4.19,"786,144","Nov 18, 2008","Nov 18, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 09, 2023","Sep 22, 2023","Sep 09, 2023",,Hardcover,view,/book/show/3228917-outliers
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Brilliant Friend        (The Neapolitan Novels, #1)","Ferrante, Elena",,,,331        pp,4.04,"332,960","Oct 19, 2011","Sep 25, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2023",,Paperback,view,/book/show/35036409-my-brilliant-friend
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goldfinch,"Tartt, Donna",0316055433,9780316055437,0316055433,771        pp,3.94,"925,220","Sep 23, 2013","Oct 22, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2023",,Hardcover,view,/book/show/17333223-the-goldfinch
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,562","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2023",,Hardcover,view,/book/show/57945316-babel
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559752,9780525559757,0525559752,305        pp,3.52,"191,009","Jun 11, 2019","Jun 09, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars.somehow the strangeness of this book is both its greatest strength and its greatest weakness. lines like “so he always smelled sort of bibli3.5 stars.somehow the strangeness of this book is both its greatest strength and its greatest weakness. lines like “so he always smelled sort of biblical. like incense and roasted flesh” drew me in, while lines like “she looks at us all in her probing, intensely gynecological way” repelled me. don’t really know what to think. ravenously creative and bizzare. but for some reason lacking in a lot of natural charm....more",Notes are private!,0,0,1,"Oct 11, 2023","Nov 20, 2023","Aug 10, 2023",,Paperback,view (with text),/book/show/53285047-bunny
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madame Bovary,"Flaubert, Gustave",0192840398,9780192840394,0192840398,329        pp,3.70,"334,530","Dec 15, 1856",2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Paperback,view,/book/show/2175.Madame_Bovary
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elvis and Me: The True Story of the Love Between Priscilla Presley and the King of Rock N' Roll,"Presley, Priscilla Beaulieu",0593639561,9780593639566,0593639561,288        pp,4.00,"22,283","Sep 19, 1985","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Paperback,view,/book/show/63376550-elvis-and-me
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death of a Salesman,"Miller, Arthur",0435233076,9780435233075,0435233076,144        pp,3.57,"234,385",1949,"Jan 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Hardcover,view,/book/show/12898.Death_of_a_Salesman
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slaughterhouse-Five,"Vonnegut, Kurt, Jr.",0385333846,9780385333849,0385333846,275        pp,4.10,"1,369,614","Mar 31, 1969","Jan 12, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Paperback,view,/book/show/4981.Slaughterhouse_Five
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Beyond Death: The Anatomy of a Myth in the Arts,"Binion, Rudolph",0814711898,9780814711897,0814711898,184        pp,3.75,4,"Feb 01, 1993","Feb 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 31, 2023","Aug 02, 2023","Aug 01, 2023",,Hardcover,view,/book/show/1846647.Love_Beyond_Death
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Good Morning, Midnight","Rhys, Jean",0393357805,9780393357806,0393357805,208        pp,3.87,"10,636",1939,"Mar 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2023",,Paperback,view,/book/show/45894065-good-morning-midnight
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play It As It Lays,"Didion, Joan",0374529949,9780374529949,0374529949,231        pp,3.92,"67,111",1970,"Nov 15, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,SO good and there’s nothing more to say,Notes are private!,0,3,1,"Aug 10, 2023","Aug 16, 2023","Jul 09, 2023",,Paperback,view (with text),/book/show/428.Play_It_As_It_Lays
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stranger,"Camus, Albert",,,,159        pp,4.02,"1,094,419","May 19, 1942","Mar 28, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Paperback,view,/book/show/49552.The_Stranger
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Catch-22,"Heller, Joseph",0684833395,9780684833392,0684833395,453        pp,3.99,"831,202","Nov 10, 1961","Sep 04, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Paperback,view,/book/show/168668.Catch_22
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Old Man and the Sea,"Hemingway, Ernest",0684830493,9780684830490,0684830493,96        pp,3.80,"1,148,320","Sep 01, 1952",1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2023",,Hardcover,view,/book/show/2165.The_Old_Man_and_the_Sea
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moor's Last Sigh,"Rushdie, Salman",009959241X,9780099592419,009959241X,434        pp,3.93,"14,000",1995,"Jul 04, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 05, 2023","Jul 31, 2023","May 27, 2023",,Paperback,view,/book/show/9865.The_Moor_s_Last_Sigh
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color Purple,"Walker, Alice",0143135694,9780143135692,0143135694,304        pp,4.27,"685,382","Jun 01, 1982","Dec 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Paperback,view,/book/show/52892857-the-color-purple
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sound and the Fury,"Faulkner, William",,,,366        pp,3.85,"182,049","Oct 07, 1929",Oct 1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Paperback,view,/book/show/10975.The_Sound_and_the_Fury
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Farewell to Arms,"Hemingway, Ernest",0099910101,9780099910107,0099910101,293        pp,3.82,"321,780",Sep 1929,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Paperback,view,/book/show/10799.A_Farewell_to_Arms
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beloved,"Morrison, Toni",,9781400033416,1400033411,324        pp,3.95,"435,382","Sep 16, 1987","Jun 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2023",,Paperback,view,/book/show/6149.Beloved
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fleabag: The Scriptures,"Waller-Bridge, Phoebe",1529394805,9781529394801,1529394805,368        pp,4.88,"11,857","Nov 26, 2019","Nov 26, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2023",,Hardcover,view,/book/show/51042792-fleabag
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le Petit Prince,"Saint-Exupéry, Antoine de",3125971403,9783125971400,3125971403,123        pp,4.32,"2,111,736","Apr 06, 1943","Jan 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 20, 2023",,Mass Market Paperback,view,/book/show/70720.Le_Petit_Prince
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Satanic Verses,"Rushdie, Salman",0312270828,9780312270827,0312270828,561        pp,3.71,"65,685","Sep 26, 1988",1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2023",,Paperback,view,/book/show/12781.The_Satanic_Verses
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Cold Blood,"Capote, Truman",0679745580,9780679745587,0679745580,343        pp,4.09,"659,358","Jan 01, 1959","Feb 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2023",,Paperback,view,/book/show/168642.In_Cold_Blood
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart Is a Lonely Hunter,"McCullers, Carson",0618084746,9780618084746,0618084746,359        pp,3.99,"110,191","Jun 04, 1940","Jan 01, 1961",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"5 “lonely” stars for a book that deals with pervasive human loneliness in the most sincere, deep-rooted way. All around so brilliant and wise with lay5 “lonely” stars for a book that deals with pervasive human loneliness in the most sincere, deep-rooted way. All around so brilliant and wise with layers upon layers of meaning. The world is a sad, lonely place as Carson McCullers reminds me, but in some ways and in the struggle against the nature of the world, that is what makes it beautiful....more",Notes are private!,0,0,1,"Mar 04, 2023","May 06, 2023","Mar 04, 2023",,Paperback,view (with text),/book/show/37380.The_Heart_Is_a_Lonely_Hunter
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tortilla Curtain,"Boyle, T. Coraghessan*",,,,355        pp,3.66,"32,548",1995,1995,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 04, 2023","Apr 27, 2023","Mar 04, 2023",,Paperback,view,/book/show/24731.The_Tortilla_Curtain
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Allegiant        (Divergent, #3)","Roth, Veronica*",0007524277,9780007524273,0007524277,531        pp,3.60,"1,052,920","Oct 22, 2013","Oct 22, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/18710190-allegiant
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Four: A Divergent Story Collection        (Divergent, #0.1-0.4)","Roth, Veronica*",0062285688,9780062285683,0062285688,285        pp,3.96,"227,571","Jul 08, 2014","Jul 08, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Paperback,view,/book/show/18126198-four
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Insurgent        (Divergent, #2)","Roth, Veronica*",0007442912,9780007442911,0007442912,525        pp,3.97,"1,498,730","May 01, 2012","May 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/11735983-insurgent
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divergent        (Divergent, #1)","Roth, Veronica*",0062024035,9780062024039,0062024035,487        pp,4.14,"3,974,415","Apr 25, 2011","Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2023",,Paperback,view,/book/show/13335037-divergent
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tale of Two Cities,"Dickens, Charles",0141439602,9780141439600,0141439602,489        pp,3.87,"947,152","Nov 26, 1859",2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2022",,Paperback,view,/book/show/1953.A_Tale_of_Two_Cities
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm,"Orwell, George",0451526341,9780451526342,,141        pp,3.99,"3,884,160","Aug 17, 1945",Apr 1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2022",,Mass Market Paperback,view,/book/show/170448.Animal_Farm
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Their Eyes Were Watching God,"Hurston, Zora Neale",0061120065,9780061120060,0061120065,238        pp,3.98,"347,201",1937,"May 30, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,God-like,Notes are private!,0,0,1,"Dec 19, 2022","Jan 24, 2023","Dec 19, 2022",,Paperback,view (with text),/book/show/37415.Their_Eyes_Were_Watching_God
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lord of the Flies,"Golding, William",,,,227        pp,3.69,"2,904,234","Sep 17, 1954","Mar 15, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m beginning my mission to read what is currently an undetermined amount of classic books I feel I should’ve read by now. Lord of the Flies is the fiI’m beginning my mission to read what is currently an undetermined amount of classic books I feel I should’ve read by now. Lord of the Flies is the first. It’s a classic! Parabolic, symbolic. Oh, “ravenous, unreasoning and eternally insatiable nature” of man (and clearly boy), as the little note at the end of my copy puts it....more",Notes are private!,0,1,1,"Nov 21, 2023","Nov 30, 2023","Nov 27, 2022",,Kindle Edition,view (with text),/book/show/18964701-lord-of-the-flies
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Giver        (The Giver, #1)","Lowry, Lois*",0385732554,9780385732550,0385732554,208        pp,4.12,"2,478,521","Apr 26, 1993","Jan 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 27, 2022",,Paperback,view,/book/show/3636.The_Giver
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Catcher in the Rye,"Salinger, J.D.",0316769177,9780316769174,0316769177,277        pp,3.80,"3,523,806","Jul 16, 1951","Jan 30, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I would write a goddam  of this but I just don’t feel like it. You have to be in the mood for that sort of thing. I’d probably say something preI would write a goddam  of this but I just don’t feel like it. You have to be in the mood for that sort of thing. I’d probably say something pretty corny anyway. ...more,Notes are private!,0,1,1,"Jun 07, 2023","Jun 10, 2023","Nov 27, 2022",,Paperback,view (with text),/book/show/5107.The_Catcher_in_the_Rye
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Howl and Other Poems,"Ginsberg, Allen",0872863107,9780872863101,0872863107,56        pp,4.13,"111,484",1956,"Jan 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i read this while taking a boiling hot bath, over-heating, sweating, naked, my body contorted, my skin steaming, and i think that’s generally what thei read this while taking a boiling hot bath, over-heating, sweating, naked, my body contorted, my skin steaming, and i think that’s generally what the sensation of reading Howl is like 4.5 stars!...more",Notes are private!,0,0,1,"Dec 28, 2022","Dec 28, 2022","Nov 27, 2022",,Hardcover,view (with text),/book/show/6295.Howl_and_Other_Poems
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things They Carried,"O’Brien, Tim",0767902890,9780767902892,0767902890,246        pp,4.14,"313,558","Mar 28, 1990","Dec 29, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2022",,Paperback,view,/book/show/133518.The_Things_They_Carried
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Call of Cthulhu and Other Weird Stories,"Lovecraft, H.P.",0141182342,9780141182346,0141182342,420        pp,4.13,"50,226",1926,"Oct 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2022",,Paperback,view,/book/show/160149.The_Call_of_Cthulhu_and_Other_Weird_Stories
