,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paul's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics,"Mesquita, Bruce Bueno De",,,B005GPSLHI,462        pp,4.27,"9,951","Sep 27, 2011",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/60873111-the-dictator-s-handbook
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lyrics: 1956 to the Present,"McCartney, Paul",163149256X,9781631492563,163149256X,960        pp,4.60,"2,235","Nov 02, 2021","Nov 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When we met Elvis he was tall so Ringo had to stand on a box to shake his hand. When I wrote Yesterday I went round playing it to random people and I When we met Elvis he was tall so Ringo had to stand on a box to shake his hand. When I wrote Yesterday I went round playing it to random people and I asked them Did You Write This Song and they all said no, so I realised I’d written it in my sleep. Then it became the most recorded song of all time. I was quite surprised. In the early days we tried to keep things very simple, Love Me Do, that’s very straightforward, but She Loves You, now that’s sung by an intermediary so it’s already getting sophisticated. When we moved to London we learned words like intermediary and we discovered Stockhausen. It’s hard to believe that when I was growing up in Liverpool they had only just invented the motor car. I go back so far I’m in front of me ! John was never violent, people have got the wrong idea. He didn’t need to be – he just gave you that look and you’d beat yourself up. His Aunt Mimi was a tough lady. Twice a week she would break his guitar over his head and every time he would buy another for eleven and sixpence. That’s old money. Young people wouldn’t know what shillings and pence were, or things like radios or horses. I get told I’m a real boomer. I’m not sure why. When I was growing up there wasn’t any such thing as The Beatles. It’s hard to imagine that now. I’m a keen ornithologist.I really enjoy dancing, cooking, driving fast, composing for large orchestras, painting, writing poetry, playing drums and meeting the Queen. She was very cool. Not as tall as Elvis. Young people today won’t remember that but she wasn’t. She asked me, did you write These Boots are Made for Walking? I said no ma’am, that was somebody else. You have to call her ma’am. And you have to walk backwards. It’s true I’ve met quite a few people, Willem de Kooning, Harold Pinter, Bertrand Russell, Dustin Hoffman, you know. But really that’s the wrong way to put it. They met me.*Or :Diamond geezer, national treasure, somewhat like listening to your granddad ramble on and on, repeating some stories word for word, if your granddad is the world’s most successful musician ever....more",Notes are private!,0,26,1,"Apr 08, 2024","Apr 09, 2024","Apr 08, 2024",,Hardcover,view (with text),/book/show/57132832-the-lyrics
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Escaping the Rabbit Hole: How to Debunk Conspiracy Theories Using Facts, Logic, and Respect","West, Mick*",1510735801,9781510735804,1510735801,304        pp,3.77,796,"Sep 18, 2018","Sep 18, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE CONSPIRACY ICEBERGThis book is a practical guide to deprogramming your friend or family member. In order to get to grips with the whole thing we hTHE CONSPIRACY ICEBERGThis book is a practical guide to deprogramming your friend or family member. In order to get to grips with the whole thing we have to start by understanding this other conspiratorial way of thinking, beginning with the conspiracy iceberg. I thought this was a useful way to think about conspiracy theories. There’s a hierarchy. At the top is the almost reasonable, and the bottom is the clearly batshit. This is Mick’s little list:1.	Big Pharma – they conspire to sell drugs that people don’t actually need. 2.	Global warming – it’s a hoax.3.	JFK – blah blah4.	9/11 – it was an inside job.5.	Chemtrails – they are putting something sinister into the atmosphere.6.	False flag shootings – the LA and the Sandy Hook shootings were false flag fakes.7.	Moon landing – look at the shadows, sheeple8.	UFO cover up – blah blah9.	Flat earth – now you’re talking10.	Reptile overlords – yeah, those shapeshifting rascals. The Queen of England was one, you know. In fact the whole royal family.It turns out that someone who believes in 9/11 theories thinks flat earthers are crazy and quite likely government shills paid to make decent conspiracy theorists looks like idiots.Now the next excellent point : within the mainstream theories there are also hierarchies of believability. The 9/11 stuff gives the clearest example. The most believable version of that one says that the Bush government knew it was going to happen and deliberately allowed it. In this entry-level theory, you can agree on the rest of the official version, that the planes brought down the towers. The next set of 9/11 theories say the US government made the whole thing happen themselves, that it was a gigantic false flag operation. Controlled explosions, not planes, brought down the towers. Then down there in the bottom of the barrel are the “no-planers” : a group who thinks that all the television footage was faked, that nothing hit the towers and that all the screaming running crowds were paid actors and the planes were CGI. The mainstream truthers think these no-planers are either raving idiots or quite likely government shills paid to make decent conspiracy theorists looks like idiots. In order to begin extracting your friend from the rabbit hole, says Mick, you need to locate their demarcation point – the line where they say this bit is what I believe, but that bit is silly. And then you can start investigating the bit of the believed theory that is closest to the demarcation line, and start to move the demarcation line inch by inch towards reasonableness. It might take a long time, and you have to do it with maximum respect. No name calling. No sneering!YOU ARE MIRRORED IN THE EYES OF YOUR OPPONENTHe says you have to remember that the conspiracy believer thinks you have been fooled by bad information into believing something that is clearly impossible. Hey, just exactly what YOU think about HIM. So, proceed with caution. You can let him try to convert you. You can restate his argument and improve it! This reminded me of the Stones’ 19th Nervous BreakdownOn our first trip I tried so hard to rearrange your mindBut after a while I realized you were disarranging mine IT WON’T BE EASYFor example, the difficulty in rebutting the truthers’ controlled demolition 9/11 theory is that this was a unique building collapse, so when they all say well, it just doesn’t look right, how could they fall down so neatly we can’t point to other examples where 102 storey buildings fell down. THREE COMPLAINTS, KIND OFThis is a pretty good well meaning book but of course there were a couple of things wrong with it. Mick began his debunking by spending years investigating chemtrails so this is his big expertise, and I myself wouldn’t care if twenty chemtrails fell on my house, I have zero interest, so pages 85 to 128 were useless, and should have been devoted to something of more general interest. Also – a bigger question is glanced at but never confronted, which is : what kind of world do the truthers think we are living in? If the US government is so evil they will murder 3000 of their own citizens to provide themselves with a pretext for a couple of foreign invasions (that seems to be the gist of the argument) then – are Americans actually living in a democracy at all or is this elaborate Congress and elections and political parties set-up just shadowplay? If the deep state can steal one election, why won’t it steal the next election too? And by the way how come they allow all you truthers to run about undermining their total information control? And also by the way what are we supposed to do with all this truth? If enough people believe in the 9/11 theory will that mean we can rise up and catch the criminals and put them in prison? Is that the point?Also – and this is probably true – in order to rebut most of the conspiracy theories you have to arm yourself with the most arcane knowledge, because that’s what the theorists do. When they quote Newton’s second law of thermodynamics at youyou tell them that Newton’s laws only apply to abstract point masses, and they will tell you that’s bullshit. You try to tell them about point masses versus rigid bodies versus articulated bodies, elastic versus inelastic collisions, conservation of momentum versus conservation of energy, potential energy in the building versus chemical energy from explosives, static force versus dynamic force, vertical support cross-sections, and the square-cube scaling law. They tell you that’s all a bunch of handwaving because they think “every action has an equal and opposite reaction” proves the buildings could not have simply collapsed as they did. THERE’S PROBABLY A CUTE NAME FOR THIS FALLACYThe 9/11 theorists can’t abide the idea that 19 guys with box cutters caused all that horror. It can’t have happened like that, there must be something more to it.This is the same thing as thinking that weaselly nobody Lee Harvey Oswald could not have killed JFK either at all or by himself. One nasty little guy killing the most powerful man in the world? Come on. Must be more to it than that.I LIKED THISThe common concession in debates that “the truth is somewhere in the middle is a fallacy. The world is not half flatI BELIEVE IN THE GOVERNMENT AND I LOVE THE FBI AND THE CIANon-theorists are always in the invidious position of sort of more or less accepting the Official Version of 9/ll or climate change or vaccinations, etc, for which we are continually mocked. It’s cooler to be a conspiracist....more",Notes are private!,18,49,1,Apr 2024,"Apr 02, 2024","Apr 01, 2024",,Hardcover,view (with text),/book/show/37510834-escaping-the-rabbit-hole
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Comics: A History,"Dauber, Jeremy",0393635600,9780393635607,0393635600,592        pp,3.76,301,"Nov 16, 2021","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/56769537-american-comics
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Grass,"Christopher, John",0722122977,9780722122976,0722122977,224        pp,3.88,"9,767",1956,"May 26, 1982",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/941731.The_Death_of_Grass
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beach Boys,"Boys, The Beach",1905662858,9781905662852,1905662858,408        pp,5.00,1,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/201287843-the-beach-boys
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nuclear War: A Scenario,"Jacobsen, Annie*",0593476093,9780593476093,0593476093,400        pp,4.55,753,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/182733784-nuclear-war
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notice,"Lewis, Heather",1800818629,9781800818620,B0C7LR8ZR8,241        pp,3.34,593,"Aug 01, 2004","Mar 07, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"HOW I GOT HEREA curious and kind of heartwarming story – now and then I watch the videos of a booktuber named Criminolly and at some point he got dragHOW I GOT HEREA curious and kind of heartwarming story – now and then I watch the videos of a booktuber named Criminolly and at some point he got dragged into reading The Most Disturbing Books Ever. He would do a video about one of these every now and then. The titles were suggested to him by his booktube followers and friends, and you can imagine they were mostly the usual suspects. One must-read on this list was Notice by Heather Lewis. He discovered it was out of print & shelled out for a second hand copy. Then he read it and was mightily impressed and contacted Serpent’s Tail, the original publishers, asking why they’d let it go out of print. Lots of back and forth later, and lo! Because of his enthusiasm and encouragement they republished Notice in February this year. How nice – it’s like finding out that us book fans actually count for something! Power to the people!THE MOST DISTURBING BOOKSOlly read Cows by Matthew Stokoe and quite rightly called it The Least Disturbing Book Ever – that was great (I agree). Anyway, after all this extreme reading he nominated Notice as The Most Disturbing – much worse than American Psycho, The Wasp Factory, We Need to Talk About Kevin, etc etc. (BTW Lolita was on the list, quite rightly.) So naturally my curiosity was somewhat piqued. Why do we read disturbing books anyway? Same reason as we watch horror films. Which is? Well, sometimes I think it’s just a macho thing – do you dare to watch The Human Centipede Full Sequence? (Answer : no!!!) Like – do you dare to ride the great big scary rollercoaster? (Answer – no!!!!) I’ve read a bundle of these Disturbing Books and there’s another bundle I would never ever read – 120 Days of Sodom by de Sade, Hogg by Samuel Delaney, anything by Peter Sotos, My Absolute Darling…. CONNECTIONSHeather Lewis writes somewhat like Dennis Cooper and Mary Gaitskell, the subject matter is ghastly, awful, horrendous, but it’s recounted in a lacksadaisical, lacklustre, affectless zoned-out style, quite appropriate for the first person narration, because this first person is severely traumatised and gets retraumatised at least twice. And Notice can be filed next to some other narratives of female self-immolation, like Story of O and The Piano Teacher. It’s in that unhappy orbit. WAS IT ANY GOODWell it was strange – nothing like the vortex of horror I was expecting. This is the story of a self-destructive woman who drifts in and out of prostitution and runs into a couple of horribly sadistic clients; but mainly it’s the story of her lesbian relationships with two women, and these take up the great majority of the book, and are written about very tenderly, but also in a blank ghastly can’t-escape-from-my-own-head kind of way. The language is distant, desiccated, debilitated, and frankly very wearing :I glanced at Beth because I hadn’t been keeping an eye on her and had just now noticed it. She was looking right at me. This put me further off base because until then I thought maybe she hadn’t been paying attention. Realizing she was confused me all the more because I’d been both wanting her to and not. Or I’d been wanting her to but at the same time was afraid of it.There are pages of this kind of mad waffley sub-psychobabble. It was like Henry James if Henry James was a 14 year old girl strung out on quaaludes. As I say, an appropriate voice for the character, but for me a turgid not great read, sorry to say....more",Notes are private!,11,31,1,"Mar 22, 2024","Mar 26, 2024","Mar 26, 2024",,Kindle Edition,view (with text),/book/show/175938321-notice
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Raymond Carver: A Writer's Life,"Sklenicka, Carol*",074326245X,9780743262453,074326245X,592        pp,4.23,679,"Sep 08, 2009","Nov 24, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/5789689-raymond-carver
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In His Steps,"Sheldon, Charles M.",,,B007TV12VY,273        pp,4.17,"26,492",1897,"Jun 01, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the original What Would Jesus Do? novel. It has a curious history. In 1896 this preacher Charles Sheldon thought up the famous challenge and hThis is the original What Would Jesus Do? novel. It has a curious history. In 1896 this preacher Charles Sheldon thought up the famous challenge and had the lightbulb idea of incorporating it into his sermon in the form of an ongoing story – come back next week for part two, everybody! See what happens when our characters try to live their lives asking WWJD all the time! The idea was a huge hit, his church was packed, and at the end of it he wrote it up as a novel and serialised it in a religious magazine and tried to get it published. The publishers turned him down flat. So the magazine decided to publish it as a novel themselves, and they sent off the manuscript to be copyrighted but they didn’t send the whole manuscript and the copyright office said their application was invalid.So the magazine version sold out immediately – 100,000 copies, apparently, and of course other respectable publishers spotted this phenomenon and also saw that it was out of copyright and pirated it and sold millions, and poor Charles Sheldon didn’t get a dime. How sad. But it was God’s will, you know!I read all this in the preface, which also tells me In His Steps has beencarefully edited and updated for modern readers. Hmmm…. What could that mean? I don’t think they did a great job because quite soon we have Rev Sheldon introducing a young female character like this :A statuesque blonde of attractive proportions, Virginia had an appealing face. The spectacles she wore simply emphasised her gifted intellect.Well anyhow, the story is located in the town of Raymond and focuses on the big cheeses in the church who take the WWJD pledge, such as the editor of one of the main local papers. He immediately decides to stop publishing accounts of prize fighting and he cancels all adverts for alcohol and tobacco, much to his manager’s consternation, who loudly proclaims they will go bust within the month.Transposing the moral teachings of first century rural Judea onto late 19th century middle America throws up some bizarre questions, which Rev Sheldon acknowledges :It is a different age. There are many perplexing questions in our civilisation that are not mentioned in the teachings of Jesus. How am I going to tell what he would do?Apparently if you feel that’s what Jesus would do, then that’s enough. So we get some ludicrous stuff like :The three agreed that, whatever Jesus might do in detail as editor of a daily paper, He would be guided by the same general principles that directed His conduct as the Saviour of the world….Jesus would not issue a Sunday edition. [image]The big idea is actually most interesting – what would happen if Christians actually took the teachings of Jesus seriously? The characters are convinced they are at the beginning of a social revolution. And yes, you can see that could very well be. But the novel fritters the big idea away, and its band of well-meaning wealthy types spend their time and money improving the lives of the poor by singing beautifully to them and closing down saloons. There are cringe-makingly pat scenes such as the one where it is discovered that a member of the church is the owner of some slum tenements – he immediately weeps and promises to fix all the plumbing. (In fact there is a whole ocean of religious weeping here, the pages are wringing with it. )But I will give the Rev Sheldon credit for one scene, in which a bunch of working men let the do-gooders know what the real solutions are, as opposed to the weeping, singing and nourishing soup. One guy frankly says that revolutionary socialism is the only way forward, none of this mystical nonsense. And indeed there is a lot of Christian self-criticism in here :The bishop was appalled to discover how few of his wealthy friends would really suffer any genuine inconvenience for the sake of humanity.Well, as a novel this is hopeless, the reverend was no writer, his characters are thin puppets, and he has no idea of a plot, but we can’t complain about that, it’s all about the Big Idea; and I don’t think he worked it out well enough or went as far as he could with it. File under : curiosities.[image]...more",Notes are private!,3,22,1,"Mar 19, 2024","Mar 22, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/20897783-in-his-steps
