,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Betsy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spectators,"Robinson, Betsy*",,9798989689224,B0CYH7LL5M,216        pp,5.00,1,unknown,"Sep 03, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For all my friends who love reading books set in New York City, I’ve written a new one:This is what you get when you mix apathy, shamanism, Buddhism, For all my friends who love reading books set in New York City, I’ve written a new one:This is what you get when you mix apathy, shamanism, Buddhism, esoteric Yogic traditions, quantum physics, the power of DNA ancestry, and cluelessness with a small band of older women negotiating chaos in New York City.Part love letter to NYC’s Upper West Side, part an ode to friendship between a writer and her creations (reluctant psychic protagonist Lily Hogue and her loner friends, with guest appearances of real and fictional historical events and people, from Bernie Madoff to Paul Simon to terrorists), The Spectators’ cast of characters battles the problems of foreknowing disasters we cannot control and being part of an uncontrollable human herd. Available for preorder (launch is September 3rd) wherever you like to buy books and e-books.And here’s a book trailer with the inspiration for writing it: https://www.goodreads.com/videos/2099......more",Notes are private!,0,6,1,not set,not set,"Apr 11, 2024",,Paperback,view (with text),/book/show/210156667-the-spectators
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apeirogon,"McCann, Colum*",1400069602,9781400069606,1400069602,463        pp,4.25,"21,700","Feb 25, 2020","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/50185600-apeirogon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sparrow,"Hynes, James",1419771248,9781419771248,1419771248,394        pp,4.03,"1,042","May 04, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/98654347-sparrow
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loitering With Intent,"Spark, Muriel",1844082482,9781844082483,1844082482,192        pp,3.78,"4,497","May 22, 1981","Apr 05, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/991351.Loitering_With_Intent
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waterland,"Swift, Graham",0679739793,9780679739791,0679739793,368        pp,3.90,"9,289",1983,"Mar 31, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/871594.Waterland
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559736,9780525559733,0525559736,307        pp,3.52,"190,820","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/42815544-bunny
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lover,"Sacks, Rebecca*",0063284235,9780063284234,0063284235,288        pp,4.06,197,unknown,"Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book hurts. In fact it is nothing short of excruciating—in a good way. This is how it is when the truth, with all its contradictions, fear, love,This book hurts. In fact it is nothing short of excruciating—in a good way. This is how it is when the truth, with all its contradictions, fear, love, and deceit, is the story. Through the tale of a Canadian Jew (her father is Jewish; her mother is not; so by Jewish law, her Jewishness is a choice) studying in Israel who falls in love with a young Israeli soldier, Rebecca Sacks writes the whole mess of Israel vs. Palestine, Jewishness, the Israeli army, racism, fear, rigidity, unfairness, and desperate young love that is a prayer to the Big Love—to exist above the fray, and finally the choice to live “on the wrong side of history.”Everybody is real and has a point you can identify with. Everybody is right at some point that gets so distorted it veers into wrong. Nothing is simple. And thus, the excruciating pain.This leads me to wonder if people take extremist positions in an attempt to avoid this pain of almost ripping apart from understanding the humanity and worth of everybody. When you blindly justify killing—Palestinians or Jews—you wipe out the truth of everybody’s pain and humanity.I am a writer who read this book in the midst of my literary environment roiling with a tsunami of antisemitic extremism that I never dreamed could happen. (I will put some links to stories about this at the end of this , in case you are not informed about the recent happenings.)I read this book while progressive liberals are canceling writers who want to write both sides of the story. Both sides, with people hurting, is now cause for blanket condemnation. This too hurts, but there is no love involved. I’d rather hurt from a true story that sees that all people are whole and hurting and loving and desperate and responsible for choosing extremism and inhumanity because it simply allows them a sense of power. I’d rather get ripped apart and expanded by that.This book is that kind of truthful work. It is not predictable, so assume nothing and allow it to take you and hurt you. You’ll grow from it.______________To read about the literary community and antisemitism: https://michelle-cameron.com/2024/03/...To read about the brouhaha at Guernica magazine over publication, then cancellation of a gorgeous essay by Israeli translator Joanna Chen about her efforts to aid hurting people on both sides of the conflict, as well as writer Meghan Daum’s experiences in an MFA culture where people are silenced before they can write: https://meghandaum.substack.com/p/gue...A solution, Peace Lovers Unite: https://www.betsyrobinson-writer.com/......more",Notes are private!,4,14,1,"Mar 27, 2024","Apr 04, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/63241100-the-lover
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cats on a Pole,"Robinson, Betsy*",,9798989689200,B0CT3WNLGQ,202        pp,4.50,2,unknown,"Jul 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s my novel and I like it from the inside out. I hope you like it from the outside in. It’s a little edgy, sometimes funny, here’s the cover copy. IIt’s my novel and I like it from the inside out. I hope you like it from the outside in. It’s a little edgy, sometimes funny, here’s the cover copy. It'll be out July 2nd, but it's available for preorder wherever you like to buy books and e-books.BlurbDespite his psychic gifts, healing teacher Joshua Gardner never saw student Harmony Rogers coming. Cats on a Pole is the story of two psychically-gifted people who are isolated—like cats stuck up on a telephone pole. But their belief that they don’t fit in actually makes them more like most people than either of them will acknowledge. A passionate love affair without physical contact, a battle of wills without speech, a psychic duel between male and female equals who have, for the first time, met their match. Cats on a Pole is an intense, sexy, sometimes funny, metaphysical love story that “outs” the insecurities we all have, exposing our overwhelming commonality.Book Trailer of inspiration for Cats on a Pole...more",Notes are private!,2,7,1,not set,not set,"Mar 15, 2024",,Paperback,view (with text),/book/show/205682052-cats-on-a-pole
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,730","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/139400713-martyr
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Pastoral,"Roth, Philip",,,0099771810,432        pp,3.94,"80,018","May 12, 1997","Sep 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/11650.American_Pastoral
