,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steven's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Searching for Schindler: A Memoir,"Keneally, Thomas",0385526172,9780385526173,0385526172,288        pp,3.95,984,2007,"Oct 14, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Thomas Keneally wrote the famous Schindler’s List which won the Booker Prize and then became the basis of the movie directed by Steven Spielberg that Thomas Keneally wrote the famous Schindler’s List which won the Booker Prize and then became the basis of the movie directed by Steven Spielberg that won the Oscar Award for Best Picture and Best director. It tells the story of the remarkable Oskar Schindler who managed to establish several factories in Poland where he.saved hundreds of Jews from death in Nazi concentration camps.This book is a fascinating account of how Keneally discovered the story - via a chance visit to a leather goods shop in Beverly Hills where he met Poldek, one of the Jews who had been safeguarded - and was told the story of Schindler, backed up by many documents Poldek had gathered together. The two of them then became colleagues in researching more details and promoting the idea of the book.The intricacies of gathering information and dealing with publication are vividly presented and the book becomes even more interesting when Spielberg signs a contract to make it a movie, set mostly in Krakow in Poland.Keneally writes well and the story behind a famous book and movie is dramatic, intriguing and full of interesting characters. All in all a very fine read....more",Notes are private!,0,0,1,not set,Mar 2024,"Mar 03, 2024",,Hardcover,view (with text),/book/show/2762289-searching-for-schindler
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,744","May 25, 2023","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a great book, full of sharp scenes and insights into the publishing world.It has a bite to it as it recounts how a white writer appropriates hThis is a great book, full of sharp scenes and insights into the publishing world.It has a bite to it as it recounts how a white writer appropriates her dead Asian friend’s manuscript and passes it off as her work.The conclusion is as dramatic as the writing is excellent. Very much worth reading!...more",Notes are private!,0,0,1,not set,"Jan 08, 2024","Jan 09, 2024",,Hardcover,view (with text),/book/show/62047984-yellowface
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Islands: Stories,"Irving, Dionne",1646220668,9781646220663,1646220668,272        pp,3.77,638,"Nov 01, 2022","Nov 01, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is another book on the shortlist for the 2023 Giller Prize. I am not usually drawn to short stories but this is a fine read from the perspective This is another book on the shortlist for the 2023 Giller Prize. I am not usually drawn to short stories but this is a fine read from the perspective of a black woman with Jamaican roots.The 2023 Giller choices are excellent, a reflection of diversity and talent that is superb. I especially enjoyed Birnam Wood and All the Colour of the World. But it is very rare to find a book that is by a black female author on the Giller list, especially a volume that is so emotionally powerful and beautifully written.So I would choose this book for the Prize. Read it, it’s an excellent book!...more",Notes are private!,0,0,1,not set,"Nov 11, 2023","Nov 11, 2023",,Paperback,view (with text),/book/show/60679371-the-islands
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Colour in the World,"Richardson, C.S.",1039003516,9781039003514,1039003516,208        pp,3.78,850,unknown,"Jan 17, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is another novel on the shortlist for the 2023 Giller Prize, written by an author whose work I have enjoyed before. It’s also an unusual book madThis is another novel on the shortlist for the 2023 Giller Prize, written by an author whose work I have enjoyed before. It’s also an unusual book made up of dozens of very short chapters that combine narrative plus commentary on historical and artistic insights.I found that the approach worked, keeping me engaged and fascinated as Henry grows up, starting from age three and continuing for decades. Both a romance and a novel about the tragedy of war, this is also a book with fine writing about art and its historical development.The author succeeds in utilizing an imaginative format and telling an emotionally powerful story. All in all, one of the best of the Giller nominees!...more",Notes are private!,0,1,1,not set,"Nov 08, 2023","Nov 08, 2023",,Hardcover,view (with text),/book/show/61421831-all-the-colour-in-the-world
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Study for Obedience,"Bernstein, Sarah",1039009069,9781039009066,1039009069,208        pp,3.10,"7,239","Jul 06, 2023","Aug 22, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is another novel on the Giller Prize shortlist.It is a strange book tracing the thoughts of a young woman who has left her home country to go andThis is another novel on the Giller Prize shortlist.It is a strange book tracing the thoughts of a young woman who has left her home country to go and take care of her eldest brother. She finds herself in a difficult situation as local people become suspicious of her and her brother leaves her for business elsewhere.It seems to be a book about oppression of women and the conflicts that arise in families but I must admit that I found much of the narrative confusing and hard to follow.Not a winner for me though the Giller sometimes goes to inscrutable books....more,Notes are private!,0,1,1,not set,"Nov 05, 2023","Nov 05, 2023",,Hardcover,view (with text),/book/show/123636870-study-for-obedience
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",0374110336,9780374110338,0374110336,432        pp,3.83,"30,759","Mar 02, 2023","Mar 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is one of the novels on the shortlist for the Giller Prize for 2023, which the author has won previously.Set in New Zealand, it’s a superb book wThis is one of the novels on the shortlist for the Giller Prize for 2023, which the author has won previously.Set in New Zealand, it’s a superb book with excellent characterization, a taut and fascinating plot and fine writing. It will keep you deeply engaged and uncertain of possible outcomes. You’ll also find it connecting powerfully to contemporary economic and social events.This would be a very worthy winner of the Giller given its intricacies and its focus on the environment plus its riveting characters....more",Notes are private!,0,0,1,not set,Nov 2023,"Nov 02, 2023",,Hardcover,view (with text),/book/show/60784757-birnam-wood
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Double Life of Benson Yu,"Chong, Kevin*",1668005492,9781668005491,1668005492,224        pp,3.57,"1,023","Apr 18, 2023","Apr 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the first of the 2023 Giller Prize finalists that I have read. It’s a remarkable book featuring time travel, a focus on child abuse and SamuraThis is the first of the 2023 Giller Prize finalists that I have read. It’s a remarkable book featuring time travel, a focus on child abuse and Samurai traditions. Rooted in Chinatown, it’s a complicated novel.Overall I found it an engaging read, though the shifts in time and characters were sometimes difficult to follow. Not likely to win but a fascinating book....more",Notes are private!,0,0,1,not set,"Oct 22, 2023","Oct 22, 2023",,Hardcover,view (with text),/book/show/61273339-the-double-life-of-benson-yu
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lucy by the Sea        (Amgash, #4)","Strout, Elizabeth*",0593446062,9780593446065,0593446062,291        pp,3.92,"64,816","Sep 20, 2022","Sep 20, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are a growing number of novels that are treating the grim period of rapidly spreading Covid 19 with its effects and deaths. This book will come There are a growing number of novels that are treating the grim period of rapidly spreading Covid 19 with its effects and deaths. This book will come to be seen as one of the best.Lucy Barton is an author who used to be married to William, a scientist, who identifies the dangers of the virus early on, especially in the crowded confines of New York where they both live. He persuades Lucy that they must protect themselves by moving to a more remote place in Maine. And there they spend the time before vaccines are developed, trying to help their children, and trying not to get sick.The novel captures so well what so many of us experienced, the sense of isolation, uncertainty and long term togetherness with just one other person as we went through this siege. This is complicated in this case by the divorced situation of the two people.The author handles the complex human dynamics well and gives us an achingly beautiful story of how Covid changed the lives of all the characters in the book. ...more",Notes are private!,0,0,1,not set,"Oct 06, 2023","Oct 13, 2023",,Hardcover,view (with text),/book/show/60657583-lucy-by-the-sea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Collector        (Gabriel Allon, #23)","Silva, Daniel",,,B0BK9DCTXJ,414        pp,4.40,"21,930","Jul 18, 2023","Jul 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Daniel Silva has a fine talent for suspense and pulls together interesting characters in his novels. This is especially true for his Gabriel Allon serDaniel Silva has a fine talent for suspense and pulls together interesting characters in his novels. This is especially true for his Gabriel Allon series featuring the former Israeli spy chief.At the same time, though, you have to ignore his pro-American geopolitics to enjoy some of his books including this one. I managed to do so and enjoyed the suspense and characters but be warned! A good thriller overall....more",Notes are private!,0,0,1,not set,"Oct 02, 2023","Oct 04, 2023",,Kindle Edition,view (with text),/book/show/63883284-the-collector
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind Knows My Name,"Allende, Isabel*",0593598105,9780593598108,0593598105,260        pp,4.03,"33,291","Jun 06, 2023","Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have enjoyed many novels by Isabel Allende but this recent book moved me especially deeply. It is an emotional and evocative story about refugees, wI have enjoyed many novels by Isabel Allende but this recent book moved me especially deeply. It is an emotional and evocative story about refugees, what motivates them and the struggles they face. Even more it’s a book about those who help them and how that can reshape their own lives. The book starts with the Nazi Holocaust and a child sent for his safety to England. Then Allende skillfully builds a story that connects to contemporary refugees fleeing Guatemala who experience the recent separation of children from their parents in detention in the United States. The plot is powerful and will keep you fully engaged.Allende is particularly good at her characterizations and she provides a range of fascinating people who propel her novel forward.This is a book that gives us a fine understanding of a tragic context and offers an example of how it can bring out the worst but also the best of humanity. An excellent read!!...more",Notes are private!,0,0,1,not set,"Sep 17, 2023","Sep 18, 2023",,Hardcover,view (with text),/book/show/62583516-the-wind-knows-my-name
