,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Laura's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jane Was Here: An Illustrated Guide to Jane Austen's England,"Jacobsen, Nicole*",1784883360,9781784883362,1784883360,128        pp,4.19,539,"Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 19, 2020",,Hardcover,view,/book/show/52606699-jane-was-here
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scarlett Letters: The Making of the Film Gone With the Wind,"Wiley, John Jr.",1589798724,9781589798724,1589798724,536        pp,3.78,100,"Jan 01, 2014","Oct 08, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2016",,Hardcover,view,/book/show/22114150-scarlett-letters
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Power Foods: 150 Delicious Recipes with the 38 Healthiest Ingredients: A Cookbook,Whole Living Magazine,0307465322,9780307465320,0307465322,384        pp,4.14,783,"Dec 28, 2010","Dec 28, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 11, 2015",,Paperback,view,/book/show/9265477-power-foods
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Juliet,"Fortier, Anne*",0345516109,9780345516107,0345516109,447        pp,3.92,"27,677","Jan 01, 2010","Aug 24, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ahhhh, Tuscany in the summer! This book does a fine job of transporting you both to modern day Siena and to 14th-century Siena through two simultaneouAhhhh, Tuscany in the summer! This book does a fine job of transporting you both to modern day Siena and to 14th-century Siena through two simultaneous stories. The main story, set in modern day, involves a rather unappealing young woman named Julie who travels to Siena to uncover secrets about her family and The True Story about the two feuding families who provided the basis for Romeo and Juliet. The second storyline, set among the danger and drama of Renaissance Siena, is where the novel really shines. Somehow it’s so vivid and immediate that I was desperate to find out if maybe – maybe! – things would work out for these prototypes of the star-crossed lovers we first met in 8th grade English class. All the best plot elements from Shakespeare’s play are here – perfidious adults, power politics, and the anguish of doomed love. And such doom! In this author’s rendition, the action is fleshed out to be grander, darker, more violent, and more exciting than a masked ball and a couple of duels. (Will I be struck by lightning for saying that?) The bad news is that the novel derails in the modern day sections. Our main character Julie is irritating, she has an evil twin sister who’s sometime evil and sometimes just childish, and the dialogue has so many bizarre idioms that I wondered if it had been written by a foreigner (turns out, yes). And unfortunately, the modern story is narrated in first person so we’re treated to Julie’s uneven voice and questionable powers of reason the whole time. Plus her obsession with Romeo and Juliet means she quotes it incessantly and feels mystically doomed because, after all, Romeo and Juliet is a tragedy, so she’s obviously fated for a tragic end herself! Because we are doomed to repeat history!! (That was not a spoiler: Julie does not end up stabbing herself in a crypt.) Anyway, the end result is that the 14th century storyline is a gripping homage to Shakespeare, but the modern storyline comes like come across like a Shakespeare-themed Nancy Drew adventure. Even this isn’t entirely bad, though, because instead of Ned Nickerson we get a swarthy Italian policeman with rich relatives.Another plus is that I learned a lot about Siena, which I’ve never been to and now am dying to visit. Overall, it was a fun summer read....more",Notes are private!,0,0,1,not set,not set,"Oct 26, 2013",,Hardcover,view (with text),/book/show/6718608-juliet
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Presence of My Enemies,"Burnham, Gracia",0842362398,9780842362399,0842362398,340        pp,4.30,"7,672",2003,"Apr 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2013",,Mass Market Paperback,view,/book/show/202183.In_the_Presence_of_My_Enemies
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House at Tyneford,"Solomons, Natasha*",0452297648,9780452297647,0452297648,359        pp,3.79,"19,883",Apr 2011,"Dec 27, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Two-plus stars. This had promise, but fell a bit flat. While the descriptions of life for Jews in Vienna at the end of the 30's was interesting and unTwo-plus stars. This had promise, but fell a bit flat. While the descriptions of life for Jews in Vienna at the end of the 30's was interesting and understandably moving, once the action moved to England the story lost its fizz. Part of the problem is that I didn’t much like the main character, so the story suffered by being in first person. Plus I don’t like feeling conflicted about being sympathetic to a plight more than to the person suffering the plight. Shouldn't a person's suffering make her more sympathetic?? Not necessarily to me, and I don’t want to bother wondering if this is a character flaw. Regardless, I don’t think the book came across as less cohesive and captivating because of my maybe-flaw – I think the book simply wasn’t as gripping as it could have been. ...more",Notes are private!,0,0,1,not set,Mar 2012,"Jun 11, 2012",,Paperback,view (with text),/book/show/11488123-the-house-at-tyneford
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Foreign Policy Since World War II,"S, Hook",1933116714,9781933116716,1933116714,388        pp,3.65,229,1960,"Jul 15, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not as heinously boring as I thought it’d be, nor as heinously biased.",Notes are private!,0,0,1,not set,Jun 2011,"Jun 11, 2012",,Paperback,view (with text),/book/show/183783.American_Foreign_Policy_Since_World_War_II
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Major Barbara,"Shaw, George Bernard",140695716X,9781406957167,140695716X,98        pp,3.66,"7,134",1905,"Nov 03, 2006",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The problem with Shaw is that I always feel crabbier when I read him. Even Pygmalion, which strikes me as a superior play, makes me slightly irritableThe problem with Shaw is that I always feel crabbier when I read him. Even Pygmalion, which strikes me as a superior play, makes me slightly irritable, and Major Barbara doesn’t have any musical tunes to hum while you’re trudging through Shaw’s dreary I Am So Keenly Critical and Nuanced dialogue. The other problem is that, in my opinion, he’s neither keen nor nuanced. He’s bigoted and cranky, and his weak humor begs an unfavorable comparison to Oscar Wilde, who probably didn’t like this play either. I know – Shaw brings up interesting questions about individual and corporate responsibility toward those who purchase goods, and he explores the question (impossibility) of a utopia. These are good issues, and not easily resolved in or out of the play. But Shaw’s antagonism toward religion and his disgust for human beings in general are so off-putting that I want to toss the book at his feet. Too bad someone didn’t tell him that misanthropy gets tiresome. In retrospect, possibly what pushed me over the edge wasn’t actually Shaw’s play, but having to listen to self-righteous classmates discuss it. “It’s awful that the Salvation Army hands out bread and soup instead of providing job training!” “Yes, in fact it’s EVIL when you think about it!” No, it’s not. Isn’t it bad enough to have to read about ridiculous characters? Must I also have to listen to ridiculous comments from actual people?? ...more",Notes are private!,0,4,1,not set,Apr 2011,"Jun 11, 2012",,Paperback,view (with text),/book/show/367762.Major_Barbara
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Murder of Roger Ackroyd        (Hercule Poirot, #4)","Christie, Agatha",1579126278,9781579126278,1579126278,288        pp,4.27,"274,204","Jun 07, 1926","Sep 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 07, 2012",,Hardcover,view,/book/show/16328.The_Murder_of_Roger_Ackroyd
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen of Last Hopes: The Story of Margaret of Anjou,"Higginbotham, Susan*",1402242816,9781402242816,1402242816,345        pp,3.91,"2,090","Jan 01, 2011","Jan 28, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 07, 2012",,Paperback,view,/book/show/7889845-the-queen-of-last-hopes
