,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aušra Strazdaitė-Ziberkienė's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black Throne,"Zelazny, Roger",0743435796,9780743435796,0743435796,288        pp,3.19,364,Oct 1990,"Oct 29, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Mass Market Paperback,view,/book/show/16505.The_Black_Throne
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Eyre Affair        (Thursday Next, #1)","Fforde, Jasper*",0142001805,9780142001806,0142001805,374        pp,3.89,"132,377","Jul 19, 2001","Feb 25, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Paperback,view,/book/show/27003.The_Eyre_Affair
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nosferatu,"Sargent, Carl",9986970121,,,222        pp,3.51,386,"Aug 01, 1994",1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kas verti valdyti Žemę ir panašiai elfų, trolių, orkų ir žmonių kontekste. Su daug šaudymo ir kompiuterių, kurie nelabai fantastiški.",Notes are private!,0,2,1,"Mar 31, 2024","Mar 31, 2024","Mar 31, 2024",,Paperback,view (with text),/book/show/18692149-nosferatu
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nedetektyvai,"Petronis, Augminas",,9786094803918,,112        pp,3.94,18,Oct 2023,Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/199329019-nedetektyvai
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God Engines,"Scalzi, John*",1596062800,9781596062801,1596062800,136        pp,3.63,"7,350",Dec 2009,Dec 2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/6470498-the-god-engines
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sveika, tinginyste","Maier, Corinne",9986164249,9789986164241,9986164249,97        pp,3.02,495,"Jan 01, 2004","Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/111695257-sveika-tinginyste
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apsėstieji,"Gombrowicz, Witold",,9789955235224,9955235225,384        pp,3.79,924,"Sep 30, 1939",2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/13418244-aps-stieji
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,10 1/2 pasaulio istorijos skyrių,"Barnes, Julian",9986394317,9789986394310,,349        pp,3.88,"15,388","Oct 07, 1989",2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/18686519-10-1-2-pasaulio-istorijos-skyri
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Peacekeeper        (The Good Lands, #1)","Blanchard, B.L.*",154203650X,9781542036504,B09BZ9J3QL,312        pp,3.87,"3,426","Jun 01, 2022","Jun 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Kindle Edition,view,/book/show/58723037-the-peacekeeper
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Faterlandas,"Harris, Robert*",9955130172,9789955130178,9955130172,352        pp,4.01,"47,774",1992,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/21898275-faterlandas
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seventh Function of Language,"Binet, Laurent",1250181682,9781250181688,1250181682,359        pp,3.76,"6,058","Aug 19, 2015","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/36031246-the-seventh-function-of-language
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,HHhH,"Binet, Laurent",2246760011,9782246760016,B00EAS0ZPS,442        pp,4.06,"25,500","Jan 13, 2010",Jan 2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/7992363-hhhh
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Čingischanas,"Weatherford, Jack",,9789955266990,,448        pp,4.05,"73,581","Mar 16, 2004",Sep 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/53120999-ingischanas
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Up the Line,"Silverberg, Robert",0743444973,9780743444972,0743444973,320        pp,3.68,"1,868",1969,"Jun 04, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/449343.Up_the_Line
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vytauto ir Jogailos įvaizdis Lietuvos ir Lenkijos visuomenėse,"Nikzentaitis, Alvydas",9955445548,,,143        pp,3.33,3,"Jan 01, 2002",2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/20336321-vytauto-ir-jogailos-vaizdis-lietuvos-ir-lenkijos-visuomen-se
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vladislovo Jogailos damos,"Janicki, Kamil",6094803221,9786094803222,,392        pp,4.30,74,"Mar 10, 2021",2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/62808496-vladislovo-jogailos-damos
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lietuviais Esame Mes Gime, Lietuviu Dainynas, Dainavimui Arba Pianio : Lithuanians We Are Born, Lithuanian Folklore Songs Arranged for Piano","Žilevičius, Juozas",,,B01M3TG3WE,111        pp,0.00,0,unknown,"Jan 01, 1964",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/151611519-lietuviais-esame-mes-gime-lietuviu-dainynas-dainavimui-arba-pianio
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miestas,"Simak, Clifford D.",,,,219        pp,4.08,"17,505",May 1944,1980,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/18715799-miestas
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gedimino kraujas,"Gudas, Eimantas",6090158992,9786090158999,6090158992,520        pp,4.70,10,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/209412480-gedimino-kraujas
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life: A User's Manual,"Perec, Georges",0879237511,9780879237516,0879237511,581        pp,4.19,"8,994","May 15, 1978",Oct 1988,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/28293.Life
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dingusių žodžių žodynas,"Williams, Pip",6094930738,9786094930737,6094930738,480        pp,4.03,"141,126","Mar 31, 2020",2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2024",not set,"Mar 02, 2024",,Hardcover,view,/book/show/210079141-dingusi-od-i-odynas
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Modern Culture,"Scruton, Roger",0826494447,9780826494443,0826494447,192        pp,3.94,185,"Jun 15, 2005","Nov 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/209357.Modern_Culture
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kūrėjo kelias: Praktinės kūrybingumo pamokos,"Cameron, Julia",,9786090112731,,256        pp,3.95,"111,325","Mar 04, 2002",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/22031649-k-r-jo-kelias
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jautrusis pasakotojas,"Tokarczuk, Olga",6094802845,9786094802843,,256        pp,4.16,"2,055","Nov 12, 2020",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/59129277-jautrusis-pasakotojas
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bendroji užmaršties teorija,"Agualusa, José Eduardo",,9786099618821,,156        pp,3.90,"7,237",2012,Dec 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/56242803-bendroji-u-mar-ties-teorija
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darbuotojai,"Ravn, Olga",,9786098306422,,144        pp,3.68,"15,880","May 24, 2018",2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Kaip gi galėčiau atsisakyti, jeigu suteikėte man darbą? Noriu grįžti prie jūros. Noriu ilsėtis, noriu dar kartą paimti į rankas kūdikį. Kai kūdikis g""Kaip gi galėčiau atsisakyti, jeigu suteikėte man darbą? Noriu grįžti prie jūros. Noriu ilsėtis, noriu dar kartą paimti į rankas kūdikį. Kai kūdikis glaudė prie manęs lūpas, buvau jam tiek kūnas, tiek daiktas. Kai iš manęs ištryško pinas, buvau ir pienas, ir ne pienas. Jei smarkiai suspaudžiu krūtį, vis dar pasirodo vienas kitas lašelis, bet kam jis, kokia iš jo nauda, negi ką nors galėčiau su tiek išmaitinti šešiatūkstantiniame laive?"" (p.77)Sunki knyga. Bet rekomenduoju. ...more",Notes are private!,0,6,1,"Feb 28, 2024","Apr 04, 2024","Feb 28, 2024",,Paperback,view (with text),/book/show/149178012-darbuotojai
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jaujininkas,"Kivirähk, Andrus",,9786098120981,,208        pp,4.09,"4,329",Oct 2000,Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/200986227-jaujininkas
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tigana,"Kay, Guy Gavriel*",0451457765,9780451457769,0451457765,676        pp,4.09,"48,227",Aug 1990,"Dec 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/104089.Tigana
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"XX a. rytų proza        (Pasaulinės literatūros biblioteka, #91)","Akutagawa, Ryūnosuke",5415006052,,,572        pp,4.00,9,"Aug 19, 1986","Aug 19, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Skaičiau dėl Akatagawa Riunoske’s kūrybos. Radau tai, ko ieškojau.",Notes are private!,0,3,1,"Feb 24, 2024","Apr 04, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/20939526-xx-a-ryt-proza
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moneta & labirintas II,"Adomėnas, Mantas",,9786094798603,,560        pp,4.31,97,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/208194178-moneta-labirintas-ii
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kairė tamsos ranka,"Le Guin, Ursula K.",6094276035,9786094276033,6094276035,314        pp,4.10,"181,959",1969,Jan 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/205860691-kair-tamsos-ranka
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pavojingi žodžiai,"Radzevičiūtė, Undinė*",,9786094803987,,180        pp,3.84,87,Dec 2023,Dec 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/202451062-pavojingi-od-iai
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pirmadienis Emerald gatvėje,"Katiliškis, Marius",,9789955754756,,224        pp,3.12,8,unknown,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/123254183-pirmadienis-emerald-gatv-je
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Palimpsest,"Valente, Catherynne M.*",0553385763,9780553385762,0553385763,367        pp,3.66,"5,056","Feb 24, 2009","Feb 24, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/3973532-palimpsest
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sirens of Titan,"Vonnegut, Kurt, Jr.",,,,224        pp,4.15,"141,459",1959,"Sep 09, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/4982.The_Sirens_of_Titan
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Katės lopšys,"Vonnegut, Kurt, Jr.",9955640235,,,303        pp,4.16,"402,893",1963,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/17235231-kat-s-lop-ys
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Windup Girl,"Bacigalupi, Paolo*",1597801577,9781597801577,1597801577,359        pp,3.75,"74,911",Sep 2009,"Sep 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/6597651-the-windup-girl
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Susitaikymas        (Pietinis pakraštys #3),"VanderMeer, Jeff*",,9786094275166,,344        pp,3.64,"65,334","Sep 02, 2014",2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Jis prarado nuovoką, nebejuto, kokiu greičiu leidžiasi laiptais ir kaip vyksta transformacija. Nebenumanė, ar iš jo liko bent menka žmogiškumo atplai""Jis prarado nuovoką, nebejuto, kokiu greičiu leidžiasi laiptais ir kaip vyksta transformacija. Nebenumanė, ar iš jo liko bent menka žmogiškumo atplaišėlė, tik kone iki šleikštulio kankinmaia dabar šliaužė (o gal liuoksėjo?) žemyn be galo senomis pakopomis, laiptais, vedančiais į akinamą šviesą dugne, žėrinčią nemirtingojo augalo pavidalu, riaumojančią kaip kometa, bet nejudrią, ir dabar jis nusprendė žengti pirmyn, į patį kraštutinį tašką, prasiveržti, įveikus tą kankynę ir atsispyrus spinduliuojamam įsakymui atsigręžti atgal, ir įžengti...."" (p. 313)...more",Notes are private!,0,1,1,"Mar 17, 2024","Mar 26, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/60652429-susitaikymas
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Santaka        (Southern Reach, #2)","VanderMeer, Jeff*",,9786094274299,,360        pp,3.54,"85,018","May 06, 2014",2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Nes įkandin direktorės vilkosi plunksniški smaragdinių dulkių pluoštai ir jai už nugaros iš pagrindų mainėsi aplinkinis pasaulis, prisipildydamas švi""Nes įkandin direktorės vilkosi plunksniški smaragdinių dulkių pluoštai ir jai už nugaros iš pagrindų mainėsi aplinkinis pasaulis, prisipildydamas šviesumos, lietui netenkant gylio ir tamsumos. Lietaus čiurkšlės menko, nyko ir galiausiai visai ištirpo. Prie ""Pietinio pakraščio"" artinosi Srities X riba.""...more",Notes are private!,0,4,1,"Mar 03, 2024","Mar 13, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/55219446-santaka
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tobulumo spąstai. Kaip mus veikia perfekcionizmas ir kaip iš jo ištrūkti,"Curran, Thomas*",,9786094798177,,unknown,3.99,"1,245",unknown,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Keturi iš penkių tik dėl daug žadėjusios pradžios. Buvo gerai ir įdomu. O tada …. Na, paskaitykit/paklausykit patys.",Notes are private!,0,2,1,"Feb 18, 2024","Mar 22, 2024","Feb 18, 2024",,Audiobook,view (with text),/book/show/204340785-tobulumo-sp-stai-kaip-mus-veikia-perfekcionizmas-ir-kaip-i-jo-i-tr-kti
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sunaikinimas        (Southern Reach, #1)","VanderMeer, Jeff*",,9786094273780,,208        pp,3.77,"232,199","Feb 04, 2014",2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"„Religingas ar prietaringas žmogus, tikintis angelais ar demonais, situaciją gali matyti visai kitoje šviesoje. Beveik kiekvienas turbūt matytų skirti„Religingas ar prietaringas žmogus, tikintis angelais ar demonais, situaciją gali matyti visai kitoje šviesoje. Beveik kiekvienas turbūt matytų skirtingai. Tačiau aš nesu kiti žmonės, aš esu aš. Esu tik biologė; man nebūtina tikėti antgamtiniais dalykais, kad matyčiau gilesnę prasmę. Žinau, šie spėliojimai neišbaigti, netikslūs, menkaverčiai. Jei stokojau pagrįstų atsakymų, tai dėl to, kad nėra iki galo aišku, kokius klausimus kelti. Mūsų instrumentai nenaudingi, metodologija ydinga, o motyvacija egoistinė.“ (p. 202)...more",Notes are private!,0,6,1,"Feb 18, 2024","Feb 19, 2024","Feb 18, 2024",,Paperback,view (with text),/book/show/45863797-sunaikinimas
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Butas Paryžiuje,"Foley, Lucy",,9786094901515,,352        pp,3.67,"516,260","Feb 22, 2022",Dec 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/63114175-butas-pary-iuje
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,38 minučių karas,"Ivanickas, Gintautas K.*",,9786090400814,,284        pp,3.37,52,"Jun 27, 2016","Jun 27, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 17, 2024","Feb 25, 2024","Feb 17, 2024",,Hardcover,view,/book/show/30759383-38-minu-i-karas
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trys spalvos,"Ivanickas, Gintautas K.*",,,,unknown,4.83,6,unknown,"Feb 15, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 15, 2024","Feb 18, 2024","Feb 15, 2024",,Kindle Edition,view,/book/show/208545918-trys-spalvos
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sign: A Novel,"Yun, Monokuro*",1642791180,9781642791181,1642791180,188        pp,3.83,29,unknown,"May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Library Binding,view,/book/show/41758749-the-sign
