,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,eb's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truly Madly Guilty,"Moriarty, Liane*",,,B015MR0UJG,517        pp,3.59,"294,074","Jul 26, 2016","Jul 26, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm embarrassed to admit how much I enjoyed this. Yes, the constant, heavy-handed mentions of the mysterious barbecue were infuriating, as well as comI'm embarrassed to admit how much I enjoyed this. Yes, the constant, heavy-handed mentions of the mysterious barbecue were infuriating, as well as completely unnecessary, and it all wraps up way too tidily, and it does plod. But I found the characters completely convincing! And I've been thinking about them a lot since finishing this a week ago. ...more",Notes are private!,0,0,1,not set,not set,"Mar 20, 2023",,Kindle Edition,view (with text),/book/show/27831371-truly-madly-guilty
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fleishman Is in Trouble,"Brodesser-Akner, Taffy",0525510877,9780525510871,0525510877,373        pp,3.64,"81,618","Jun 18, 2019","Jun 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I get the intention with the first-person narrator—she’s writing the story of her friend in the same way she used to write magazine profiles—but for mI get the intention with the first-person narrator—she’s writing the story of her friend in the same way she used to write magazine profiles—but for me it’s a miscalculation, especially when the last chapter rolls around, the predictable meta stuff gets trotted out, and the narrator unfurls a fiery essay about how mistreated women are (and they are! I agree!) and how therefore she refuses to keep caring about Fleishman, and is going to stop thinking about him and regain interest in her own family. OK, and great, but then why did we, the long-suffering readers, have to spend 300 pages in his company?You could easily trim 100, maybe 200, pages from this novel with no effect. The repetition is nuts. Get rid of all the graphic T-shirt mentions, the complaints about NJ, and every single reference to Toby’s dating app (not a single one of which advances the plot or adds new insight) and you’d trim fat and lose nothing important. Not that I have any business mentioning this, since I do exactly the same thing, but TBA really leans on repetition, lists, and compound sentences. They do provide momentum, but they also feel cheap and cheat-y. In an interview, TBA said she kept the doc of her ms open on her computer all the time, and jumped into it when she had a few minutes, and it really shows; the novel is disjointed and messy. (And riddled with nonsensical sentences like “Sexual awakenings were not supposed to extend beyond what was merely an upgrade in enjoyment for men.” Not exactly Updike, contra Elizabeth Gilbert’s blurb.)...more",Notes are private!,0,1,1,not set,not set,"Aug 28, 2019",,Hardcover,view (with text),/book/show/41880602-fleishman-is-in-trouble
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,French Exit,"deWitt, Patrick",0062846949,9780062846945,,256        pp,3.55,"26,076","Aug 28, 2018","Aug 28, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DeWitt has Donna Tartt disease: all of his characters, including doormen from the outer boroughs, talk like something out of Dickens. For me, this makDeWitt has Donna Tartt disease: all of his characters, including doormen from the outer boroughs, talk like something out of Dickens. For me, this makes him unreadable. ...more",Notes are private!,0,3,1,not set,not set,"May 12, 2019",,ebook,view (with text),/book/show/36300687-french-exit
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nine Perfect Strangers,"Moriarty, Liane*",1250069823,9781250069825,1250069823,453        pp,3.55,"427,941","Sep 18, 2018","Nov 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The more commercial aspects of Moriarty‘s work really eat into the pleasure she gives me, but I burst into noisy sobs while reading the last pages of The more commercial aspects of Moriarty‘s work really eat into the pleasure she gives me, but I burst into noisy sobs while reading the last pages of this book, and I can count on one hand the number of authors who can get me to do that. ...more",Notes are private!,0,5,1,not set,not set,"May 10, 2019",,Hardcover,view (with text),/book/show/39280445-nine-perfect-strangers
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Year of Rest and Relaxation,"Moshfegh, Ottessa",1787330419,9781787330412,1787330419,289        pp,3.64,"394,992","Jul 10, 2018","Jul 12, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Really loved it and then suddenly had had enough and couldn’t make it through one more page. Moshfegh is intimidatingly cool—the pre**spoiler alert** Really loved it and then suddenly had had enough and couldn’t make it through one more page. Moshfegh is intimidatingly cool—the premise, the brand names, the poker-faced jokes. I skipped to the last page, found a cheap 9/11 ending, and was so glad I’d bailed. ...more",Notes are private!,0,0,1,not set,not set,"May 10, 2019",,Paperback,view (with text),/book/show/36203391-my-year-of-rest-and-relaxation
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay Up with Hugo Best,"Somers, Erin*",1982102357,9781982102357,1982102357,272        pp,2.90,"2,755","Apr 02, 2019","Apr 02, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Erin Somers is SHARP and smart. I almost loved this book, but here were my problems: 1) What’s the point? Money doesn’t buy happines**spoiler alert** Erin Somers is SHARP and smart. I almost loved this book, but here were my problems: 1) What’s the point? Money doesn’t buy happiness? That’s not interesting enough. If an older man brings you to his country house, he expects sex? That’s too obvious, and acknowledging that it’s obvious doesn’t get you out of your pickle. 2) The cool, cynical tone, which I found forced. 3) If June has a crush on Hugo for years, why is she being so cool and cynical around him? Would she really be able to manage the rat-a-tat banter she pulls off? 4) Why does Hugo invite June out in the first place? The premise only makes sense if she’s a knockout, but we’re not led to think she is. I want to read Somers’s next book, but I hope she puts down her chisel and dares to be earnest. ...more",Notes are private!,0,0,1,not set,not set,"May 10, 2019",,Hardcover,view (with text),/book/show/40539024-stay-up-with-hugo-best
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Very Nice,"Dermansky, Marcy*",0525655638,9780525655633,0525655638,290        pp,3.24,"6,966","Jul 02, 2019","Jul 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2019",,Hardcover,view,/book/show/42359582-very-nice
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Asymmetry,"Halliday, Lisa",150116676X,9781501166761,150116676X,277        pp,3.43,"28,430","Feb 06, 2018","Feb 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The tone is amused, but Halliday has an unspoken and impassioned thesis: yes, it's possible to write convincingly from the point of view of someone whThe tone is amused, but Halliday has an unspoken and impassioned thesis: yes, it's possible to write convincingly from the point of view of someone who's unlike you in nearly every way. Twitter says you can't? ""Hold my beer,"" says Halliday. And she really does pull it off. Admittedly, the second third of the novel (told in close third-person from the POV of an Iraqi-American man) isn't nearly as sparkling and jaw-droppingly perfect as the first third (told in close third-person from the POV of a young white American woman), but I don't think anyone could argue successfully that Halliday/her fictional stand-in is appropriative or tone deaf. If I have a complaint, it's that the spoiler although the second third of the book is written by the protagonist of the first third, that's where the connection between the two stories ends. There's no thematic or plot overlap—which is part of the point, that you can escape your own world entirely when you're writing fiction. This makes you feel, though, that you're reading two novellas that are technically but not actually related. ...more",Notes are private!,0,0,1,not set,not set,"Jan 31, 2019",,Hardcover,view (with text),/book/show/35297339-asymmetry
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manhattan Beach,"Egan, Jennifer*",1476716730,9781476716732,1476716730,438        pp,3.62,"87,024","Oct 03, 2017","Oct 03, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are many pleasures here: the World War II setting, the old-timey Brooklyn stuff, the sex scene and all the ocean scenes, the restraint around deThere are many pleasures here: the World War II setting, the old-timey Brooklyn stuff, the sex scene and all the ocean scenes, the restraint around detailing Dexter Styles's crimes, the occasional glittering perfect metaphor. There are also a LOT of metaphors, so so soooooo many. Other problems: the plot hinges on unlikely coincidences, the two central male characters are ciphers, and sometimes Egan drops a bunch of research onto the page and it lands like a brick through a greenhouse roof (usually it's worked in seamlessly, though). I'm sure some readers have a problem with the happy ending, but I don't: it made me happy to read it. And whatever this novel's imperfections, I couldn't wait to dive back into it every night. ...more",Notes are private!,0,0,1,not set,not set,"Jan 31, 2019",,Hardcover,view (with text),/book/show/34467031-manhattan-beach
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man at the Helm,"Stibbe, Nina*",0241003156,9780241003152,0241003156,313        pp,3.64,"4,974","Aug 28, 2014","Aug 28, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's no Love, Nina, which I'm constantly rereading, but it's dry and unsentimental and funny in a very Stibbean way.It's no Love, Nina, which I'm constantly rereading, but it's dry and unsentimental and funny in a very Stibbean way....more",Notes are private!,0,0,2,not setnot set,not setnot set,"Jan 31, 2019",,Hardcover,view (with text),/book/show/22015256-man-at-the-helm
