,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joe's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes from the Road,"Ingram, Mike*",1736765930,9781736765937,1736765930,180        pp,4.53,59,unknown,"Mar 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 14, 2022",,Paperback,view,/book/show/60142657-notes-from-the-road
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dig Me Out,"Lillard, Amy Lee*",1732989664,9781732989665,1732989664,214        pp,4.17,18,unknown,"Oct 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 25, 2021",not set,"Oct 25, 2021",,Paperback,view,/book/show/57136823-dig-me-out
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Index of Self-Destructive Acts,"Beha, Christopher R.*",1947793829,9781947793828,B07Y211FVV,520        pp,4.08,"1,781","May 05, 2020","May 05, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Out of the gate, I loved this one—it’s about baseball, and politics, and argumentation, and big data, and writing, and literature. The problem is abouOut of the gate, I loved this one—it’s about baseball, and politics, and argumentation, and big data, and writing, and literature. The problem is about halfway through the novel a lot of those themes kind of get lost in the sauce as we keep bouncing back and forth between characters whose connections aren’t quite tight enough to justify all of their presences in the book. That said, I dug it overall, just wish there had been two or three fewer POV characters and maybe a smidge more focus....more",Notes are private!,0,0,1,"Aug 17, 2021","Oct 08, 2021","Aug 17, 2021",,Hardcover,view (with text),/book/show/50970293-the-index-of-self-destructive-acts
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interior Chinatown,"Yu, Charles*",,,0307907198,288        pp,3.97,"58,322","Jan 28, 2020","Jan 28, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 05, 2021","Aug 16, 2021","Aug 05, 2021",,Hardcover,view,/book/show/44436221-interior-chinatown
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"In the Woods        (Dublin Murder Squad, #1)","French, Tana*",,,,431        pp,3.79,"399,731","May 17, 2007","May 27, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Aug 02, 2021not set","Aug 02, 2021",,Paperback,view,/book/show/2459785.In_the_Woods
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Violence        (Lydia Chin & Bill Smith #13),"Rozan, S.J.*",1643135317,9781643135311,1643135317,352        pp,3.89,593,"Dec 01, 2020","Dec 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really great concept and the description of art was really strong. Also, the story itself was highly engaging. However, the pater between the two mainReally great concept and the description of art was really strong. Also, the story itself was highly engaging. However, the pater between the two main characters was kind of lame, the characterization of the artist wasn’t super clear, and the end was way over the top. Fun read though....more",Notes are private!,0,0,1,not set,"Jun 28, 2021","Jun 30, 2021",,Hardcover,view (with text),/book/show/51601881-the-art-of-violence
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,"McGhee, Heather",0525509569,9780525509561,0525509569,415        pp,4.64,"17,957","Feb 16, 2021","Feb 16, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"May 12, 2021not set","Jun 07, 2021not set","May 12, 2021",,Hardcover,view,/book/show/53231851-the-sum-of-us
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fleishman Is in Trouble,"Brodesser-Akner, Taffy",0525510877,9780525510871,0525510877,373        pp,3.64,"81,617","Jun 18, 2019","Jun 18, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Why didn't they just send their kids to a school with aftercare? Also, is it possible to read about a doctor named Fleishman without picturing Rob MorWhy didn't they just send their kids to a school with aftercare? Also, is it possible to read about a doctor named Fleishman without picturing Rob Morrow? Like just name him Joel and be done with it. ...more",Notes are private!,0,1,1,not set,Apr 2021,"May 06, 2021",,Hardcover,view (with text),/book/show/41880602-fleishman-is-in-trouble
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The System: A Novel,"Gattis, Ryan*",1250800366,9781250800367,1250800366,432        pp,4.26,525,"Dec 08, 2020","Dec 07, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2021,"May 06, 2021",,Paperback,view,/book/show/56268833-the-system
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Office of Historical Corrections,"Evans, Danielle*",,9781594487330,1594487332,269        pp,4.19,"32,434","Nov 10, 2020","Nov 10, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2021,"May 06, 2021",,Hardcover,view,/book/show/51777605-the-office-of-historical-corrections
