,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Suzanne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hum,"Phillips, Helen*",1668008831,9781668008836,1668008831,272        pp,4.20,92,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/195791689-hum
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eifelheim,"Flynn, Michael",0765300966,9780765300966,0765300966,320        pp,3.75,"4,112",Jan 2006,"Oct 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/416327.Eifelheim
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summer of Blood: The Peasants' Revolt of 1381,"Jones, Dan*",0007213913,9780007213917,0007213913,238        pp,3.99,"1,478","Dec 04, 2009","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/6435078-summer-of-blood
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maman's Homesick Pie: A Persian Heart in an American Kitchen,"Bijan, Donia*",1565129571,9781565129573,1565129571,272        pp,3.94,"1,033","Jan 01, 2011","Oct 11, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/11487954-maman-s-homesick-pie
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Love You So Much It's Killing Us Both,"Stovall, Mariah*",1593767609,9781593767600,1593767609,336        pp,3.58,242,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/185767233-i-love-you-so-much-it-s-killing-us-both
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",039959096X,9780399590962,039959096X,352        pp,3.66,"176,356","Apr 04, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/203227876-romantic-comedy
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Planted Trees,"Giono, Jean",1784878014,9781784878016,1784878014,56        pp,4.20,"15,307",1953,"Feb 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/59527517-the-man-who-planted-trees
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Extinction of Irena Rey,"Croft, Jennifer*",1639731709,9781639731701,1639731709,320        pp,3.41,531,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/172979818-the-extinction-of-irena-rey
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maddalena and the Dark,"Fine, Julia*",1250867878,9781250867872,1250867878,304        pp,3.39,979,"Jun 13, 2023","Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book had me at the inside cover announcing its setting: “Venice, 1717.” I’ve often said that it might be impossible to write a bad book set in VeThis book had me at the inside cover announcing its setting: “Venice, 1717.” I’ve often said that it might be impossible to write a bad book set in Venice, Italy. At least I haven’t run across one yet.This tale of two girls and their friendship forged in the competitive, repressive environment of a Church-run musical conservatory makes it apparent that teenage passions may not change that much century to century or from one culture to another. I loved this beautifully written tale of music, magic, and finally, malevolence. Highborn Maddelena’s family has barely survived a serious scandal due to her mother’s indiscretions and it is up to her to rescue all of them from society’s condemnation by marrying well (no pressure!). Orphan Luisa, whom she befriends at the Ospedale della Pietà, has no family at all to worry about, only a burning desire to excel at the violin and to develop an exceptional talent, and music eventually empowers her in a way she never thought possible. A love triangle develops, with a woman scorned and treachery that brings a terrible revenge. When Maddalena first discovers the source of a magical power in her magical city, she knows the main questions it asks are: What do you want?, and  What will you pay?  Magic may be magic, but it isn't free....more",Notes are private!,0,3,1,"Feb 26, 2024","Mar 08, 2024","Feb 26, 2024",,Hardcover,view (with text),/book/show/61884841-maddalena-and-the-dark
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All My Mother's Lovers,"Masad, Ilana*",1524745979,9781524745974,1524745979,336        pp,3.57,"4,321","May 26, 2020","May 26, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/49532609-all-my-mother-s-lovers
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Turtle House,"Churchill, Amanda*",0063290510,9780063290518,0063290510,304        pp,4.14,800,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/158649877-the-turtle-house
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Margo's Got Money Troubles,"Thorpe, Rufi*",0063356589,9780063356580,0063356589,304        pp,4.34,374,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/199534613-margo-s-got-money-troubles
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Electric Moons: A Social History of Street Lighting in Los Angeles,"Mandelkern, India",1955125317,9781955125314,1955125317,200        pp,0.00,0,unknown,"Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/123656800-electric-moons
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jaded,"Lee, Ela*",1668010992,9781668010990,1668010992,384        pp,4.29,926,"Feb 08, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/176442986-jaded
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Not to Age: The Scientific Approach to Getting Healthier as You Get Older,"Greger, Michael*",1250796334,9781250796332,1250796334,640        pp,4.27,"1,038","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/59808041-how-not-to-age
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sentence,"Erdrich, Louise",006267112X,9780062671127,006267112X,387        pp,3.96,"68,613","Nov 09, 2021","Nov 09, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2024","Mar 24, 2024","Feb 14, 2024",,Hardcover,view,/book/show/56816904-the-sentence
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stone Cold Fox,"Croft, Rachel Koller*",0593547519,9780593547519,0593547519,384        pp,3.67,"20,279","Feb 14, 2023","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/204016907-stone-cold-fox
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ancestors: A History of Britain in Seven Burials,"Roberts, Alice",1471188043,9781471188046,1471188043,448        pp,4.11,"2,154",2021,"May 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/60418639-ancestors
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amnesiascope: A Novel,"Erickson, Steve",0805053611,9780805053616,0805053611,240        pp,3.72,454,"May 01, 1996","Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/184926.Amnesiascope
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She: Fiction,"Latiolais, Michelle",0393354164,9780393354164,0393354164,256        pp,3.76,200,"May 02, 2016","May 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/32191726-she
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Our Ancient Faith: Lincoln, Democracy, and the American Experiment","Guelzo, Allen C.",0593534441,9780593534441,0593534441,272        pp,4.17,125,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/150247437-our-ancient-faith
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dead in Long Beach, California","Blackburn, Venita",0374602824,9780374602826,0374602824,240        pp,3.26,410,"Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/127282888-dead-in-long-beach-california
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.91,"7,410","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/127306192-anita-de-monte-laughs-last
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Paris, 7 A.M.","Wieland, Liza*",1501197215,9781501197215,1501197215,352        pp,3.05,572,"Jun 11, 2019","Jun 11, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My new book club was divided on this about 50/50. Half thought it was weak in the plot area and worried that various parts did not hold together storyMy new book club was divided on this about 50/50. Half thought it was weak in the plot area and worried that various parts did not hold together story-wise, with disparate elements just sort of floating around. The rest of us, including me, appreciated the skillful prose and general mood of the book. I loved the language and saw what some called the disconnected portions as chances to flesh out the characters, their personalities, and enrich both the relationships between them and the environment in which they were moving. Not a page-turner, but I like to sink into a well-written literary narrative for the sake of more than the plot.Paris, 7 a.m.  story is a fictional episode in the life of poet Elizabeth Bishop that imagines her helping to rescue Jewish babies from the Nazis in the late 1930s and this story of anonymous parents giving up their children in order to save them is moving and evocative of other mother-daughter themes throughout the novel. The story also incorporates the historical fact that Bishop was separated when she was a small child from her own mother who was mentally ill and institutionalized. Weiland includes several real-life friends of Elizabeth Bishop, including poet Maryanne Moore, painter Margaret Miller, and Clara Eleanor Longworth de Chambrun, as characters. Clara is an older woman and French countess who had lost a grown daughter to illness in 1921 and the bond between Elizabeth and Clara in Paris, 7 a.m. further reflects the dynamics of mother-daughter relationships and the trauma of grief and loss when those relationships are severed. Author Liza Weiland is herself a poet and it shows. The language throughout the book is often beautiful and convincingly conveys the intellectual and emotional experience of Elizabeth, the predominant POV character.Present tense narration seems to be an unpopular device with some, but I usually like it when it’s chosen for appropriate works, and I liked it here. It gives an immediacy and an interiority that suited this story and added to the many other elements that made this an enjoyable read for me....more",Notes are private!,0,4,1,"Feb 08, 2024","Feb 22, 2024","Feb 03, 2024",,Hardcover,view (with text),/book/show/42202074-paris-7-a-m
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Washington Black,"Edugyan, Esi",1847659977,,B01MUCUUYT,448        pp,3.96,"67,323","Aug 02, 2018","Aug 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Kindle Edition,view,/book/show/39603810-washington-black
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,792,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Hardcover,view,/book/show/199798179-the-ministry-of-time
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautyland,"Bertino, Marie-Helene*",,,B0C2MXQSXG,304        pp,4.26,"2,311","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Kindle Edition,view,/book/show/133287058-beautyland
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Love,"Link, Kelly",0812996585,9780812996586,0812996585,628        pp,3.54,"1,896","Feb 08, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/157981682-the-book-of-love
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bleaker House: Chasing My Novel to the End of the World,"Stevens, Nell",0345811747,9780345811745,0345811747,256        pp,3.40,"1,675","Mar 14, 2017","Mar 14, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/30763887-bleaker-house
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orbital,"Harvey, Samantha",,,B0BVHFPCLW,144        pp,3.76,"1,969","Dec 05, 2023","Nov 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Kindle Edition,view,/book/show/96177640-orbital
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dabbler's Guide to Witchcraft: Seeking an Intentional Magical Path,"Lyte, Fire*",198217434X,9781982174347,198217434X,272        pp,4.24,570,Sep 2021,"Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/56898263-the-dabbler-s-guide-to-witchcraft
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spiral Dance: A Rebirth of the Ancient Religion of the Great Goddess,Starhawk*,0062516329,9780062516329,0062516329,326        pp,4.03,"10,392",1979,"Sep 22, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/73869.The_Spiral_Dance
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"5 Types of People Who Can Ruin Your Life: Identifying and Dealing with Narcissists, Sociopaths, and Other High-Conflict Personalities","Eddy, Bill*",0143131362,9780143131366,0143131362,197        pp,3.92,"1,149","Feb 06, 2018","Feb 06, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/35133298-5-types-of-people-who-can-ruin-your-life
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antarctica,"Keegan, Claire",0802139019,9780802139016,0802139019,224        pp,3.88,"7,084",1999,"May 02, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/492459.Antarctica
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Gramazio, Holly*",0385550618,9780385550611,0385550618,352        pp,3.79,"2,267","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/193781998-the-husbands
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enlightenment,"Perry, Sarah",0063352613,9780063352612,0063352613,384        pp,4.11,75,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Hardcover,view,/book/show/196774352-enlightenment
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,451","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So short, so simple, so good. How does she do something like this in only 118 pages of text? Small things like these can be amazing.",Notes are private!,4,4,1,not set,not set,"Jan 21, 2024",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,110","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/62039166-the-bee-sting
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,801","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/139400713-martyr
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shakespeare: The Man Who Pays the Rent,"Dench, Judi",1250325773,9781250325778,1250325773,400        pp,4.59,916,"Oct 26, 2023","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/127280282-shakespeare
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,747","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/63133205-the-woman-in-me
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cost of Living: Essays,"Maloney, Emily*",1250213304,9781250213303,1250213304,240        pp,3.59,"1,092","Feb 08, 2022","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/60741804-cost-of-living
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the House Upon the Dirt Between the Lake and the Woods,"Bell, Matt*",1616952539,9781616952532,1616952539,312        pp,3.31,"1,550","Jun 18, 2013","Jun 18, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/16041846-in-the-house-upon-the-dirt-between-the-lake-and-the-woods
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Tree or a Person or a Wall: Stories,"Bell, Matt*",1616955236,9781616955236,1616955236,383        pp,3.63,217,"Sep 13, 2016","Sep 13, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/28251061-a-tree-or-a-person-or-a-wall
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Victorian and the Romantic: A Memoir, a Love Story, and a Friendship Across Time","Stevens, Nell",0385543506,9780385543507,0385543506,272        pp,3.62,886,"Aug 07, 2018","Aug 07, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Jan 29, 2024","Feb 02, 2024","Jan 17, 2024",,Hardcover,view,/book/show/36950013-the-victorian-and-the-romantic
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution,"McDermott, Alice",0374610487,9780374610487,0374610487,324        pp,3.88,"12,823","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/101404407-absolution
