,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joe's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1940: FDR, Willkie, Lindbergh, Hitler—the Election amid the Storm","Dunn, Susan",0300190867,9780300190861,0300190867,432        pp,4.12,257,"Jan 01, 2013","Jun 04, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Hardcover,view,/book/show/16073296-1940
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Like Sleep,"Healy, Jeremiah",0671649124,9780671649128,0671649124,253        pp,3.76,123,1987,"Jul 01, 1988",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024","Mar 28, 2024","Mar 23, 2024",,Board Book,view,/book/show/1024849.So_Like_Sleep
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lethal Pursuit        (Barker & Llewelyn, #11)","Thomas, Will*",1250170400,9781250170408,1250170400,320        pp,4.07,"1,401","Nov 12, 2019","Nov 12, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024","Mar 17, 2024","Mar 14, 2024",,Hardcover,view,/book/show/43263422-lethal-pursuit
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Darkest Hour: How Churchill Brought England Back from the Brink,"McCarten, Anthony*",006274951X,9780062749512,006274951X,336        pp,4.04,"4,713","Dec 07, 2017","Nov 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 13, 2024","Mar 12, 2024",,Hardcover,view,/book/show/34848678-darkest-hour
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death on the Last Train        (Thomas Littlejohn #12),"Bellairs, George",,,B00LFLC7WW,220        pp,4.02,197,1948,"Aug 26, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 12, 2024","Mar 12, 2024",,Kindle Edition,view,/book/show/24675048-death-on-the-last-train
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Why We Did It: A Travelogue from the Republican Road to Hell,"Miller, Tim",0063161478,9780063161474,0063161478,288        pp,3.97,"3,812","Jun 28, 2022","Jun 28, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2024","Mar 12, 2024","Mar 11, 2024",,Hardcover,view,/book/show/59039973-why-we-did-it
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"From the Grave        (Mac McKenzie, #17)","Housewright, David*",1250212170,9781250212177,1250212170,320        pp,3.98,571,"Jul 28, 2020","Jul 28, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024","Mar 11, 2024","Mar 10, 2024",,Hardcover,view,/book/show/51176631-from-the-grave
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Freddy and Fredericka,"Helprin, Mark",1594200548,9781594200540,1594200548,553        pp,3.78,"3,951",2005,"Jul 07, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Apr 03, 2024","Mar 09, 2024",,Hardcover,view,/book/show/543152.Freddy_and_Fredericka
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death in Ecstasy        (Roderick Alleyn, #4)","Marsh, Ngaio",,,B00BI8CE4S,275        pp,3.76,"4,067",1936,"Dec 15, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 06, 2024","Mar 08, 2024","Mar 06, 2024",,Kindle Edition,view,/book/show/19271796-death-in-ecstasy
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Germany 1923: Hyperinflation, Hitler's Putsch, and Democracy in Crisis","Ullrich, Volker",1324093463,9781324093466,1324093463,448        pp,3.94,303,"Sep 15, 2022","Sep 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 07, 2024","Mar 03, 2024",,Hardcover,view,/book/show/77265055-germany-1923
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Triptych        (Will Trent, #1)","Slaughter, Karin*",0804180288,9780804180283,0804180288,458        pp,4.13,"98,965","Aug 15, 2006",Feb 2023,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 02, 2024","Mar 05, 2024","Mar 02, 2024",,Mass Market Paperback,view,/book/show/203552905-triptych
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadowers        (Matt Helm, #7)","Hamilton, Donald",0857683373,9780857683373,0857683373,220        pp,3.96,499,"Jan 01, 1964","Dec 03, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,Mar 2024,"Mar 01, 2024",,Mass Market Paperback,view,/book/show/17568799-the-shadowers
