,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lisette's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Granville Legacy        (House of Grace #3),"Osborne, Patricia.M.*",,,B08Y82GCV1,225        pp,4.76,49,unknown,"Mar 17, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/57436682-the-granville-legacy
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coal Miner's Son        (House of Grace #2),"Osborne, Patricia.M.*",,,B084RHSF42,334        pp,4.58,53,unknown,"Mar 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/53562804-the-coal-miner-s-son
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Grace        (House of Grace #1),"Osborne, Patricia.M.*",,,B06XHKZHS4,314        pp,4.42,165,May 2017,"Mar 08, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the second book I’ve read by Patricia Osborne. I loved her novel The Oath so much that I decided to read her previous work. All I can say is tThis is the second book I’ve read by Patricia Osborne. I loved her novel The Oath so much that I decided to read her previous work. All I can say is that House of Grace won’t be the last one I read. That’s a given. I look forward to the other two books in this series.Grace is a wonderful character. Born to great wealth, she doesn’t hesitate to give it all up when she falls madly in love with a coal miner. She pour herself into their life together. Her background and his don’t matter: love does. A strong woman, even in her young years, Grace endures what she must to follow her heart.That’s about all I want to say about the plot: no desire to ruin it for anyone. What draws me into this author’s work is Osborne's storytelling, her understanding of family (good, bad, and in-between), and the emotions that her characters and their respective situations stir in me. She isn't afraid to take us where her characters lead—whether that be in the sunshine or the dark shade. Her writing is relatable and strong—her stories compelling. For readers who love family drama, I highly recommend this author and this book....more",Notes are private!,0,3,1,not set,"Apr 06, 2024","Apr 06, 2024",,Kindle Edition,view (with text),/book/show/34527672-house-of-grace
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Joyful Trouble: Based on the True Story of a Dog Enlisted in the Royal Navy,"Furstenberg, Patricia*",,,B07227P973,254        pp,4.50,46,"Apr 17, 2017","Apr 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/34896666-joyful-trouble
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ocher of Abundance: Poems—Volume 16,"Slater, Wendy E.*",1943512205,9781943512201,1943512205,101        pp,5.00,23,unknown,"Feb 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the second volume of poetry I’ve read by Wendy Slater. I knew when I read the first one, I would indeed return for more.Slater is an extraordiThis is the second volume of poetry I’ve read by Wendy Slater. I knew when I read the first one, I would indeed return for more.Slater is an extraordinarily talented poet. I love reading her words. They’re so rich in imagery and with each poem, I stop to visualize what interpretation my past experiences and my imagination have joined forces to present to me in concert with Slater’s artistry. I wonder what the story is behind her words, and how close it may be to my own. I read every poem multiple times to truly feel the weight of the words. I only wish I were able to  this poetry as well as Slater writes it. For me, that is beyond impossible. In 1608, she writes these words …	a man with a cart and bedding,		Luggage and grief			Wheeling and bumping				Singing a lonesome songWith this I see the opening scene of a movie. Sadly, I also see humanity as I see it nearly every day out in the world. I am always in awe when a poet of Slater’s stature so brilliantly captures so much in so few, but perfectly chosen words.These lines also resonated strongly with me, as I know they will with many:	Because home is home		the walls do speak		when we listenALSO:	And I was too generous		with sight		in seeing both sidesReading a gifted poet is a treat … and it is an experience that brings so much to the reader who is willing to dig deep, to remember, to feel. This is the epitome of my experience reading Wendy Slater’s work....more",Notes are private!,0,2,1,"Mar 10, 2024",not set,"Mar 10, 2024",,Paperback,view (with text),/book/show/51450889-the-ocher-of-abundance
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Locked in Silence: A Novel,"Dyen, Natalie Zellat*",,,B0CPGXM155,284        pp,4.44,57,unknown,"Feb 01, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Locked in Silence is a beautifully written, compelling, heartbreaking (and simultaneously uplifting) historical fiction novel. Lizzy O’Meara is a younLocked in Silence is a beautifully written, compelling, heartbreaking (and simultaneously uplifting) historical fiction novel. Lizzy O’Meara is a young woman who is incarcerated for murdering her newborn baby, a crime she vehemently denies having committed. Conditions are harsh as she serves her unjust four-year sentence in solitary confinement. Lizzy’s fortitude and strength, confronted with abuse and despair, diminish to the brink of insanity, where suicide appears to be the only way out. But after four years, she emerges back into the world. She is different, the world is different, yet so much of what she fought for remains the same. When she receives some shocking news about the supposed crime she committed, her world changes again.Author Dyen does a masterful job of capturing the courage and the strong will of a woman who has seen the worst, but presses on. Not only does Lizzy do what she can to right the personal wrongs in her life, she champions the abolitionist movement (fighting all of the ugliness that surrounds it) with unfailing determination that constantly tests her inner strength. This beautiful portrait of Lizzy O’Meara is also a touching love story—in more ways than one. Lizzy’s character was so very real to me in every way, and the events of pre-Civil War Philadelphia were superbly researched. An excellent novel indeed....more",Notes are private!,0,2,1,"Mar 02, 2024",not set,"Mar 02, 2024",,Kindle Edition,view (with text),/book/show/203200624-locked-in-silence
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Trace of Romance,"Swann, Ann*",1631123580,,B0CP33RJVC,95        pp,5.00,4,unknown,"Feb 06, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ann Swann is one of my favorite authors, and I’ve enjoyed her work across multiple genres for years. Her latest release, A Trace of Romance, is a trulAnn Swann is one of my favorite authors, and I’ve enjoyed her work across multiple genres for years. Her latest release, A Trace of Romance, is a truly sweet and extremely touching romance.I’m not a fan of romance novels with bare-chested men on the covers, but I am very much a fan of romance stories with well-developed characters who are relatable … flaws and all. Real people.I won’t recap the general plot in any detail as one can easily read the blurb. Rather, I’d just like to expound a bit on why I loved this beautifully written novella. So many of us can relate to past loves that for one reason or another, didn’t fully form into lifetime relationships … or continue to form at all. Life happens for all of us, and things can swiftly change. Especially when tragedy is involved. We move on, but often, we don’t forget. This is what happened with Laynie and Trace, both from the town of Beach Way, Oregon, who always thought they’d be together. What I loved about this story is that when Trace returns to Beach Way, and Laynie and he see one another again, their chemistry is strong. The past, which determined their present, still plays a role in their story. Author Swann doesn’t give us romance in a corny or clichéd sense, but she handles this reunion and this mutual love beautifully, realistically, and in a way that I found immensely satisfying and lovely to read....more",Notes are private!,0,2,1,"Feb 10, 2024",not set,"Feb 10, 2024",,Kindle Edition,view (with text),/book/show/202931096-a-trace-of-romance
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House Built on Fog & Sand: A Collection of Poems and Artwork,"Arrigo, Anna Casamento",,,B081G6LCJ8,100        pp,4.10,29,"Nov 01, 2019","Nov 13, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Power of a WordSeveral years ago, I read a  of this book, put it on my TBR list, and have been waiting for a quiet moment to read and to savThe Power of a WordSeveral years ago, I read a  of this book, put it on my TBR list, and have been waiting for a quiet moment to read and to savor it. On a quiet Sunday, with the rain falling outside, I believe the mood was finally set.Anna Casemento Arrigo knows the power of a word. In many of these gorgeous poems, there is only one word per line. A gifted poet knows that one word must do so much to move forth the message, the scene, the inner thoughts, and the soul of the poet who has placed them just so.While I enjoy well-written poetry such as this, I never quite know how one s it adequately or accurately. So, as I read, I jotted down my thoughts, hoping they’d make sense as I came back to them. I read most of these poems twice to receive the full impact. And I so enjoyed the inclusion of artwork throughout, gently complementing the poetry. In the poem “god …” I discovered fantastic, thought-provoking imagery. In “Maria,” the sad, yet-for-some joy of going home was beautifully captured.There wasn’t one poem unworthy of its place in this collection. I loved “Dust Bowl” and “By the river” which paints a word portrait of an old man. Being a long-time admirer of artist Edvard Munch, I was delighted by the poem in his name. One of my favorites was “Leftover Crumbs,” a poignant and powerful description of a man at a bar. Another favorite, “No receipt,” compared unwanted and painful memories to old clothing being collected for donation. Superb! ...more",Notes are private!,0,0,1,"Feb 04, 2024",not set,"Feb 04, 2024",,Kindle Edition,view (with text),/book/show/54556393-house-built-on-fog-sand
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Protective Instinct,"York, Joy*",,,,274        pp,4.94,17,"Jan 16, 2024","Jan 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Having read the first two books by this author, I knew this story, like her other ones, would take off out of the gate and continue to deliver the actHaving read the first two books by this author, I knew this story, like her other ones, would take off out of the gate and continue to deliver the action, twists, and surprises until the very end.I’m not one to write s that merely recap a book. Rather, I like to share is what stood out and impacted me the most. I’ll only say that when crime novelist Sebastian Bartoli and kindergarten teacher Morgan Sklyar meet, the circumstances are beyond anything either could have imagined. Two people couldn’t meet in a more unconventional way and have less in common. Except … as Joy York does so well in this novel, is to show how very wrong initial appearances can be, and that the person who seems to be all wrong, can be very right. But when danger follows, survival is paramount.Adding to this, Sebastian (Bash) and Morgan both learn some shocking things about their respective family ties that are tough enough to deal with in “normal” times, much less when chaos chases them.Just when you think all has been revealed … well, I’ll leave that to the reader to discover. I especially recommend this book to fans of romantic suspense....more",Notes are private!,0,2,1,"Jan 23, 2024",not set,"Jan 23, 2024",,ebook,view (with text),/book/show/203161874-protective-instinct
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ignite Your Creativity: Simple & Easy Ideas - 99 Writing Prompts Included,"Romes, Jan*",,,B0CS1Y69B4,98        pp,4.50,4,unknown,"Jan 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Author Jan Romes has chosen the perfect title for this book. While not claiming to be the foremost expert on the subject, this author who has written Author Jan Romes has chosen the perfect title for this book. While not claiming to be the foremost expert on the subject, this author who has written thirty books (fiction) with more on the way, and who has been an avid user of social media for years, has a lot of exceptionally good advice.First, while a seasoned writer might think, “I don’t need this,” one may be wrong. While Romes isn’t offering any shocking or wild techniques, what she does quite expertly is to remind writers (and other creatives) just how much inspiration is right in front of our eyes. She reminds every creative person to look at the nuances of everything that surrounds us—even at what one might consider mundane. It could be something we’ve seen or heard so many times that we fail to find value where a metaphoric treasure trove may exist.Second, this is a terrific resource for writers and other creatives or are just starting out and who may feel overwhelmed by all of the content, the rules, the writing books, and so much more. I do believe that this book can really help the author to organize their thoughts and better make use of inspiration that may seem invisible or out of reach. I would also highly recommend this book to anyone teaching creative writing. This would make a superb guide to teaching students of all ages.The author also talks briefly about language—learning new language and being mindful of which words work best for different genres. With 99 writing prompts, this couldn’t be more perfect for creative writing students or authors who need fresh ways to think. No matter where you are in life, we can all have days where we feel like a dead battery that needs recharging. And that’s where this book comes to the rescue. A gem....more",Notes are private!,0,2,1,"Jan 14, 2024",not set,"Jan 14, 2024",,Kindle Edition,view (with text),/book/show/205171912-ignite-your-creativity
