,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,David's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The English Patient,"Ondaatje, Michael",0771068719,9780771068713,0771068719,320        pp,3.87,"132,007",Sep 1992,"Apr 18, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 10, 2017",not set,"Nov 10, 2017",,Hardcover,view,/book/show/11713.The_English_Patient
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storyteller,"Vargas Llosa, Mario",0312420285,9780312420284,0312420285,245        pp,3.73,"5,033",1987,"Nov 03, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 28, 2017",not set,"Sep 28, 2017",,Paperback,view,/book/show/53931.The_Storyteller
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parodies Lost,"Powers, Alan W.*",1786975122,9781786975126,1786975122,102        pp,5.00,8,2016,Dec 2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A genuinely witty and finely wrought poetic work. Masterfully written by an intellect highly attuned to the sense and sensibility of great poetry. A jA genuinely witty and finely wrought poetic work. Masterfully written by an intellect highly attuned to the sense and sensibility of great poetry. A joy to read with many comic allusions to parody the immortals. If you love poetry and want a few really good laughs, then you really should read this gem. Only a true poet could write a parody of the masters as amusing as this one by Powers....more",Notes are private!,0,8,1,"Oct 11, 2017","Oct 25, 2017","Sep 26, 2017",,Paperback,view (with text),/book/show/33403885-parodies-lost
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer of Robert Byron,"Arnett, Steven*",,9781370546480,,unknown,3.33,15,unknown,"Aug 12, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""The Summer of Robert Byron"" is a romance narrated by a Vietnam War Veteran in 1966 about the redeeming power of love in overcoming the most unimagina""The Summer of Robert Byron"" is a romance narrated by a Vietnam War Veteran in 1966 about the redeeming power of love in overcoming the most unimaginable and horrific of dark nights of the spirit. The protagonist's surname suggests the great British Romantic poet, Lord Byron, and the object of Robert's affection is Jean Summer, a beautiful, worthy woman who is a school teacher in Blue Spring, Michigan. Robert's unspeakably dreadful experience in Vietnam haunts him to the point that he is unable both to communicate and, therefore, to commit with reciprocity to a woman's love: he is convinced that he is unworthy of it. This condition of his deep sense of alienation caused by the collective horrors of Vietnam leaves him deeply, spiritually wounded with scars few can see and without a remedy for his healing. Arnett's tale reminded me in places of ""A Farewell to Arms"" by Hemingway insofar as it juxtaposes the conflicting powers of love and war. Arnett is at his best when he alludes, with understatement, to the heartbreak he experienced in Vietnam, which is now being so well portrayed by Ken Burns in his new documentary film on the war. The natural banter of the dialogue between Robert and Jean represents another virtue of the writing of Arnett in this novel. He moves along the plot points of the story arc briskly and convincingly and skillfully within the genre. The existential challenge for Robert and Jean is whether the power of love is sufficient to overcome the horror of war: it is a conflict of the human condition well worth understanding. If the absurdity and nihilistic outcomes of war win the day, despite the beauty of love, then where does that leave us? What would such an outcome say about the possibility of finding meaning and depth and beauty resident within existence? Conversely, despite the snake in the Garden of Eden, if the human condition also offers the opportunity for love and time to heal even the most debilitating wounds of mind and body, then perhaps salvation exists for those of us fortunate enough to find it in dealing with the everyday hardships of existence. And perhaps the value and joys of love are even heightened by the contrast of the suffering, which precedes it. Arnett portrays the existential dance of love and war in his heartfelt romantic tale with a humility and integrity that I respect and admire. His ability to present his heroine with depth, intelligence and nobility render Jean as a round, well animated character whom it is a pleasure to get to know within Arnett's narrative. From my perspective the print version would be improved by technical pre-production enhancements leading to a higher rating. The bottom line and net effect are that this tale of love and war is one to add to your reading list because so much of one's sense of the meaning of life can be derived from the resolution of love and war. In a cynical world where war is so much a focus on the global stage one may find solace in the perception that humankind is also endowed with the means to overcome its worst catastrophe if we only have the courage and faith and relentless persistence to deploy it wisely....more",Notes are private!,0,0,1,"Sep 21, 2017","Sep 28, 2017","Sep 15, 2017",,ebook,view (with text),/book/show/36051478-the-summer-of-robert-byron
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The History of the Decline and Fall of the Roman Empire Volume I,"Gibbon, Edward",0140433937,9780140433937,0140433937,"1,114        pp",4.17,"3,147",1776,"Aug 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 14, 2017",,Paperback,view,/book/show/377965.The_History_of_the_Decline_and_Fall_of_the_Roman_Empire_Volume_I
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It Can't Happen Here,"Lewis, Sinclair",045121658X,9780451216588,045121658X,400        pp,3.78,"19,536",Oct 1935,"Oct 04, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Doremus Jessup is a newspaper editor in Vermont witness to and victim of the unprecedented political ascent of an ambitious champion of the average ciDoremus Jessup is a newspaper editor in Vermont witness to and victim of the unprecedented political ascent of an ambitious champion of the average citizen, Buzz Windrip, running for President. Buzz eschews liberal elites and makes outrageous promises, that his electoral base will buy wholesale, because at least he is an advocate for their point of view and they have been previously ignored and underserved. Thus, Buzz Windrip becomes President of the USA. He immediately and strategically takes steps to neuter the other two branches of government, which normally would create checks and balances to his executive power. He establishes a devoted private militia, the Minute Men, and grants his goon squad powers over the citizenry to fulfill his vision of building an Aryan Nation within the USA. Then Buzz gerrymanders the states into districts in order to minimize the individual powers of states rights. He orders that martial law be imposed during which his powers as (Commander-in-) Chief go unchecked and he is eager to start a needless war with Mexico at which point he can pretty much solely dictate the political direction of the nation under the blanket pretext of necessary emergency measures. He proclaims himself the supreme leader of the nation and takes down one by one all dissidents and rivals. He emasculates the free presss by sending any and all critics into concentration camps through the loyal, mindless and cruel thugs of his Minute Men. Buzz uses Orwellian techniques to communicate how he plans to raise the quality of life by endowing every citizen with a gift of $5,000: naturally, there is no budgetary funding for such an outrageous promise (think Middle Class Tax Relief) but the sleeping electorate buys this promise and a legion of other Big Lies that he can't possibly keep. Elaborate and convincing shows of power are staged, especially among military groups to keep adversaries at bay. Minorities are brutally persecuted and made scapegoats in order to ensure that the American Way remains the Aryan Way. Unchallenged and unquestioned patriotism, or chauvinism, prevail as a national sentiment despite the harm done to democratic institutions by incumbents in power absent the intelligent, critical minds of the free press and true patriots with the courage to speak out against an absolute, totalitarian regime ruled by a narcissist, egomaniac relentlessly seeking to enlarge the scope of his own political and material gain through the auspices of wealthy individuals and corporate entities (""Corpos"")supporting him for their own pursuit of self-interest and enrichment. So with the underclasses to provide him with sufficient plurality to take-over democratic ideals and political funding provided by the Corpos, Windrip builds a totalitarian regime within the USA. The intelligentsia flees, while able to do so, as a diaspora to other democratic nations like Canada. If scenarios of this coup d'état seem familiar, history shows them as Hitler's playbook in his ascent within a democracy to create an absolute dictatorship with Nazi Germany. None of this real history of Nazi Germany happened by accident and the epic misery it created offers a history lesson well worth revisiting now. When one is witness to the torchlight gathering at the University of Virginia of rabid devotees of White Nationalism, the Aryan Nation, KKK and Nazism, it is not such a leap as we may suppose and it has deeply painful precedents. In 2007 I wrote a novel and a stage play entitled, ""AmericA, Inc."" (https://www.goodreads.com/book/show/8...) as a satire of the rise in 2020 of an entirely corporate, totalitarian state based upon the political and policy measures taken by the Bush administration. ""AmericA, Inc."" reinforces the dystopian visions of Sinclair Lewis in this novel and Philip Roth in ""The Plot against America."" Is the execution of these fearful visions well underway now in the USA? To lack the imagination that it can't happen here is a premise that no thinking person who loves freedom and democracy can afford. It's important to understand both the playbook and proactively to block the power plays underway at this time to replace American democracy with American oligarchy. Witness this evidence of its progress: the heightened persecution of minorities and immigrants, voter suppression measures, Citizens United, a proposed national registry of voters, Dreamer registration database gathering, perpetual war and aggressive war mongering, pandering to national hate groups, voter and vote manipulation with proven adversarial foreign assistance, Congressional gerrymandering, the rise of fake news propaganda in this administration propagated digitally, more than 600 Big Lies to date emanating from the White House, the establishment of puppets of the top 1% within Congress and the Vice Presidency, the dogged harassment of truly skilled, professional journalists and members of the Free Press, the preponderance of foolish and fruitless diplomatic measures alienating allies and infuriating nuclear enemies, the executive coddling of Russian adversaries, the dominance of military and Alt Right Advisors within the executive branch, the brutal, unmitigated slander of political adversaries, the outright encouragement by pardon and signaling to hate groups that a true Aryan Nation will come to be, the demolition of DACA, the sabotage of healthcare for all Americans, the insane expense of a Great Southern Border Wall that, as promised, Mexico would be out of its mind to fund and never, ever will fund, and the entirely disproportionate influence of Big Business in campaign funding. The refusal to adhere to precedents by the executive leadership to disclose taxes, to distance itself from material gain by political measures from which it now directly benefits and bad faith in not serving the true majority of its constituents with public policies that polls demonstrate it clearly wants. What outlandish campaign promises has Trump kept? Why did voters for Trump not recognize the Big Lies of his campaign or administration to date? Why do supporters not accept them now? After all this, why is Trump's approval rating not zero? After so much bad faith, why does he still remain in office? The endless stream of Big Lies continues unabated and is checked only by the diligence of the Free Press in the NY Times, Washington Post, Colbert, Maddow and other gifted, courageous investigative journalists. Consider this premise openly and honestly: the reason Trump gained the Electoral College majority, despite losing a majority individual vote, is supposed to be due to a difference of around 60,000 total votes in the stronghold Blue Wall States of Pennsylvania, Wisconsin and Michigan not won by Republicans in decades. Mathematically, this means that if only 20,000 registered voters had switched their votes in each of these three states, or had been hacked, Clinton would be in office, presumably making peace instead of war with North Korea, and protecting humanely democratic ideals for all Americans. What, would you imagine, are the mathematical odds that voting machines with these states in the 2016 General Election, among 62 million voters nationwide, were not technologically hacked to make this happen, among only, on average, 10,000 voters per state, possibly with foreign technological assistance given the power at stake in the executive branch? Buzz Windrip would have considered this power ploy taken from the playbook of Hitler from Nazi Germany a no-brainer: the playbook certainly proved it could work there in one of the world's leading democracies. Buzz would have made it happen. So the question begged by the book title, ""It Can't Happen Here,"" is answered by Sinclair Lewis: ""It already has."" Gird your loins, my patriotic American brothers and sisters who value real democracy. Can you not recognize and accept that oligarchy is happening here and now?...more",Notes are private!,0,9,1,"Aug 28, 2017","Sep 12, 2017","Aug 28, 2017",,Paperback,view (with text),/book/show/11371.It_Can_t_Happen_Here
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master of Petersburg,"Coetzee, J.M.",0140238107,9780140238105,0140238107,256        pp,3.63,"3,887",1994,"Nov 01, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fascinating read. His syntax reveals a clarity and credibility so elevated in its integrity that one lives the POV of the narrator in this case the exFascinating read. His syntax reveals a clarity and credibility so elevated in its integrity that one lives the POV of the narrator in this case the existential, genius novelist Dostoevsky. It is a daunting bit of narrative ambition, bordering on hubris, to assume the POV of Dostoevsky and yet Coetzee is compelling, skilled and possibly even on the brink of masterful in this rendition. He writes a great deal about the relationship between fathers and sons -- very Turgenev. What does it mean to suffer as a Russian writer (""History is made in the streets."" | ""I was sent to live a Russian life."") In this point-of-view of the Russian writer, Coetzee purposely ends his sentences dozens of times with prepositions and neglects the comma after an initial dependent clause. A Nobel Prize winner may do as he will and be forgiven. Not sure whether Fyodor Mikhailovich, the eponymous Master of Petersburg, would forgive Coetzee these grammatical lapses in his persona. Perhaps, they are not deemed lapses in South Africa and Australia where he writes. Coetzee dives deeply and boldly into Dostoevsky's battle with epilepsy by deeming his seizures of ""the falling sickness"" as ""possessions,"" which color and shade his body of work over a lifetime. Intriguing quotes on his relationship with God and gambling: ""He said to God: if you love me, save me... I will wager my life that you will save me... And he threw down his wager. And God did not appear. God did not intervene... Perhaps God does not hear very well. Perhaps he is hard of hearing and weak of vision too, like any old man."" In a moment of self reflection he says: ""I am I... manacled to myself till the day I die... What am I to do? he thinks. If I were only in touch with my heart, might it be given to me to know?... He is waiting for a sign, and he is betting... that the dog is not the sign, is not a sign at all, is just a dog among many dogs howling in the night."" All good stuff. The character portrait work is deep, idiosyncratic and realistic. The story arc moves along briskly in its development but, as I have said of this author in a  of ""Disgrace,"" he seems to vault heedlessly over the top in his plot point concerning the protagonist's relationship with Matryona, the seductive landlord's young daughter. I really don't see the point of this sacrilege assigned to the immortal and epic suffering of Dostoevsky -- a sacred figure in the Pantheon of true literary geniuses. If he actually did commit such a moral lapse, I fail to see its symbolic contribution, a la his fathers and sons theme, to this otherwise great novel. To me it steals from the integrity of the author and the protagonist in whose name he has written as it has the effect to diminish the verisimilitude and grandeur of an already sufficiently cruel, Godless and Russian naturalism. Bottom line: master craftsmanship by Coetzee in the strength of character development, story arc and memorably written narrative. But like ""Disgrace"" I end the reading in feeling manipulated and disappointed by a sense of hopelessness, which so infuses the bleak worldview of Coetzee....more",Notes are private!,0,8,1,"Sep 11, 2017","Sep 26, 2017","Aug 17, 2017",,Paperback,view (with text),/book/show/6201.The_Master_of_Petersburg
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poetics,Aristotle,0140446362,9780140446364,0140446362,62        pp,3.83,"25,653",-335,"Sep 26, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 12, 2017",not set,"Aug 12, 2017",,Paperback,view,/book/show/13270.Poetics
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There Is No Escape Out of Time,"Valencia, Jacqueline*",1554831695,9781554831692,1554831695,100        pp,3.67,12,unknown,"Apr 23, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I found in Valencia's poetry a refreshing honesty and vulnerability expressed with lyrical qualities blending high intelligence, poetic sensibility anI found in Valencia's poetry a refreshing honesty and vulnerability expressed with lyrical qualities blending high intelligence, poetic sensibility and depth perception. In the title one recalls a variation on a Proustian theme riffing on Time. In ""Macro/Micro"" she reflects upon a fly on the windowsill: ""a tightly rolled-up newspaper | at the ready | holds our fates."" I seem to recall James Joyce fixing his focus on a fly at a window to good effect in ""Ulysses."" In ""Every Day a New Cure"" she writes ""Imagination serves as an in-between | dystopias are yesteryear's utopias | drink up the ever present | drive on, make love | wind up, pitch down, stand | strong | forget about it | and dwell."" Very much enjoyed ""you know nothing"" in which she writes lines which ring of Whitman: ""I am nothing. By being nothing, I effect change in the world... I am action in my inaction and define everything else from my non-existence... Encapsulating and holding nothing in my parameters, you cannot define me for you purposes. I have no meaning, and with that I effect change in the world."" Importantly, I sense that Valencia has made sacrifices for her poetry and paid her existential dues. The sacrifices lend true authenticity to the poetry and distinguish it. I urge you to read Valencia and gaze upon the enlightened soul of a true poet of our Time. ...more",Notes are private!,0,4,1,not set,not set,"Aug 01, 2017",,Paperback,view (with text),/book/show/28203724-there-is-no-escape-out-of-time
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wilde in America: Oscar Wilde and the Invention of Modern Celebrity,"Friedman, David M.",0393063178,9780393063172,0393063178,320        pp,3.76,149,"Oct 06, 2014","Oct 06, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 25, 2017","Aug 12, 2017","Jul 25, 2017",,Hardcover,view,/book/show/20663688-wilde-in-america
