,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Textual Intervention: Critical and Creative Strategies for Literary Studies,"Pope, Rob",0415054370,9780415054379,0415054370,232        pp,3.85,13,"Dec 13, 1994","Nov 17, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 12, 2014",,Paperback,view,/book/show/1348759.Textual_Intervention
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Outsiders,"Trocchi, Alexander",,,,unknown,3.85,13,1961,1961,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"mostly, i am haunted by the way continuity between the body and mind, self and other, and the world and person are drawn out.",Notes are private!,0,2,1,not set,not set,"Mar 21, 2014",,Paperback,view (with text),/book/show/829497.The_Outsiders
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dialectic of Enlightenment: Philosophical Fragments,"Adorno, Theodor W.",0804736332,9780804736336,0804736332,304        pp,4.11,"7,427",1947,"Mar 13, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2013",,Paperback,view,/book/show/85812.Dialectic_of_Enlightenment
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Castle,"Kafka, Franz",0805211063,9780805211061,0805211063,328        pp,3.94,"62,707",1926,"Dec 15, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2013",,Paperback,view,/book/show/333538.The_Castle
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night        (The Night Trilogy, #1)","Wiesel, Elie",,,,120        pp,4.37,"1,244,797",1956,"Jan 16, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2013",,Paperback,view,/book/show/1617.Night
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Essay Concerning Human Understanding,"Locke, John",1406790273,9781406790276,1406790273,355        pp,3.86,"16,409",1690,"Jan 24, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2013",,Paperback,view,/book/show/90078.An_Essay_Concerning_Human_Understanding
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Groundwork of the Metaphysics of Morals,"Kant, Immanuel",0521626951,9780521626958,0521626951,120        pp,3.84,"20,444",1785,"Apr 28, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2013",,Paperback,view,/book/show/60080.Groundwork_of_the_Metaphysics_of_Morals
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting,"Druckerman, Pamela*",0449010880,9780449010884,,10        pp,4.02,"67,662","Feb 07, 2012","Feb 07, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What surprised me most was the conversation, unexpected and completely honest, about gender differences and how access to childcare influences those dWhat surprised me most was the conversation, unexpected and completely honest, about gender differences and how access to childcare influences those differences (at least, culturally). I do wish there were more sections, like the sleep section, backed up by science, data, and research instead of simply anecdotes and observations. Overall, a really comforting read for a new parent with a lot of supportive suggestions and important ideas to think about regarding the way we parent/nurture AND self care. More childcare books probably need this self care addition/value. ...more",Notes are private!,0,0,1,not set,not set,"May 21, 2013",,Audiobook,view (with text),/book/show/13152287-bringing-up-b-b
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Brief Wondrous Life of Oscar Wao,"Díaz, Junot",1594489580,9781594489587,1594489580,335        pp,3.89,"263,640","Sep 06, 2007","Sep 06, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 16, 2013",,Hardcover,view,/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting,"Jin, Ha",0375706410,9780375706417,0375706410,310        pp,3.54,"22,363",1999,"Sep 19, 2000",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's almost hard to separate not liking a character, a sign of good writing and good character development, and not liking the story much. I'm not surIt's almost hard to separate not liking a character, a sign of good writing and good character development, and not liking the story much. I'm not sure if the character got in the way. I do know that I was more interested in the margins: the wife, the daughter, the brother-in-law, etc. The people who didn't get much narrative seemed more compelling. ...more",Notes are private!,0,0,1,not set,not set,"May 16, 2013",,Paperback,view (with text),/book/show/235773.Waiting
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Wife,"McLain, Paula*",0345521307,9780345521309,0345521307,314        pp,3.82,"296,296","Feb 27, 2011","Feb 27, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 16, 2013",,Hardcover,view,/book/show/8683812-the-paris-wife
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,956","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"it took time to fall in love with this book, which is surprising because the characters in the first chapters were charming, full, and surprising. butit took time to fall in love with this book, which is surprising because the characters in the first chapters were charming, full, and surprising. but the way the sentences are constructed, the way the characters intertwine, and the way the stories become a unified story really won me over. i know talking about the story might be useful for a , but i'd rather sit down and talk about the syntax. i was always reading over a sentence, seeing its brevity and plainness and wondering how the author had managed to pin down so much complication in such a small and precise sentence. ...more",Notes are private!,0,3,1,not set,not set,"Apr 03, 2013",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Policing the Crisis: Mugging, the State, and Law and Order","Hall, Stuart",0333220617,9780333220610,0333220617,454        pp,4.37,165,"Jan 01, 1978","Apr 30, 1978",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 25, 2012",,Paperback,view,/book/show/126241.Policing_the_Crisis
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Representation: Cultural Representations and Signifying Practices,"Hall, Stuart",0761954325,9780761954323,0761954325,400        pp,4.05,631,1997,1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 25, 2012",,Paperback,view,/book/show/219848.Representation
