,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lauren's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sister Outsider: Essays and Speeches,"Lorde, Audre",0895941414,9780895941411,0895941414,190        pp,4.53,"35,763","Jun 01, 1984","Jun 01, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/32951.Sister_Outsider
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Living a Feminist Life,"Ahmed, Sara",0822363046,9780822363040,0822363046,312        pp,4.33,"2,820","Feb 03, 2017","Mar 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/29771377-living-a-feminist-life
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Way of Being Free,"Okri, Ben",0753801418,9780753801413,0753801418,144        pp,4.13,257,"Jun 01, 1998","Jan 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/215177.A_Way_of_Being_Free
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Decline and Fall of the Roman Empire,"Gibbon, Edward",,,,"1,312        pp",4.02,"14,638",Feb 1776,"Aug 12, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/19400.The_Decline_and_Fall_of_the_Roman_Empire
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,305","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Reconciliation: How to Be a Force for Change,"Wilson-Raybould, Jody",0771004389,9780771004384,0771004389,352        pp,4.30,689,"Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/60752187-true-reconciliation
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truth Telling: Seven Conversations about Indigenous Life in Canada,"Good, Michelle*",1443467812,9781443467810,1443467812,215        pp,4.46,"1,372","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/60198143-truth-telling
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medicine Wheel for the Planet: A Journey Toward Personal and Ecological Healing,"Grenz, Jennifer",,9781039006010,,280        pp,4.43,14,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/208545123-medicine-wheel-for-the-planet
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Evil Mother,"Atwood, Margaret*",1662504497,9781662504495,B09T971KPQ,32        pp,3.90,"75,805","Apr 01, 2022","Apr 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/60497502-my-evil-mother
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tipiskawi Kisik: Night Sky Star Stories,"Buck, Wilfred",,9781927849460,,25        pp,4.58,24,unknown,2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/53436166-tipiskawi-kisik
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ocean at the End of the Lane,"Gaiman, Neil*",0062255665,9780062255662,0062255665,195        pp,4.02,"617,998","Jun 18, 2013","Jun 03, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dang now I really want to read this as a physical book, I feel like it would be better for my brain to picture the whimsical imagery that way. Very fuDang now I really want to read this as a physical book, I feel like it would be better for my brain to picture the whimsical imagery that way. Very fun book....more",Notes are private!,0,1,1,"Feb 29, 2024","Mar 06, 2024","Feb 29, 2024",,Paperback,view (with text),/book/show/18505792-the-ocean-at-the-end-of-the-lane
