,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jennifer's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Survival of the Richest        (The Trust Fund Duet, #1)","Warren, Skye*",,,B07BHG8FYF,unknown,3.91,"4,161","Jun 12, 2018","Jun 12, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was the first time I read one of Skye’s novels, and if I’m being completely honest Survival of the Richest isn’t normally the type of read I seekThis was the first time I read one of Skye’s novels, and if I’m being completely honest Survival of the Richest isn’t normally the type of read I seek out. But there’s never anything wrong with pushing past comfort zones and usual routines, and this novel delivered from the first chapter.Survival of the Richest centers on Harper St. Claire, a girl emotionally older than her years and on the verge of transforming into a woman. Initially, I wondered if her teenage voice was too mature for the character in the story, but my concerns soon faded. Harper’s life could easily be compared to a prime-time soap – family wealth, high society, and over the top drama. She bounces between the households of her divorced parents and endures a revolving door of subsequent step-mothers, step-fathers, and step-siblings. By the time she is introduced to current step-mother, Louise, and step-brother Christopher Bardot, her policy regarding their new relationship is deeply rooted – “I don’t want to mess with them. They’ll be gone next year.”In this case, Harper is only partly correct. While Louise quickly fades from her father’s world, Christopher holds on. Over the course of several years, a long-distance friendship and bond builds between the two former step-siblings, but despite Harper’s growing attraction and greatest wishes where Christopher is concerned, they are kept apart by one obstacle after another. Christopher comes from humble beginnings and his ambition and his acumen for business drive him to become a self-made millionaire, earning the respect of Harper’s father. From the first time me meets Harper, Christopher is compelled to protect her at all costs and when Harper’s father burdens him with a life-altering responsibility, the job at hand threatens their chances at a future together.But just when things couldn’t seem any more complicated, Harper is introduced to Christopher’s business partner, Sutton Mayfair. In looks and personality, Sutton is everything that Christopher is not. Despite pining after Christopher for years, Harper notices and appreciates the differences between the two men, and Sutton is immediately attracted to her. He sees things in Harper that she wishes Christopher could acknowledge. What quickly develops is an intense love triangle that made Survival of the Richest unputdownable. I was desperate for Harper to choose the man who was best for her. I bounced back and forth between Christopher and Sutton, wondering if there was one clear choice over another and even questioning at times if she should walk away from both men altogether. I won’t lie, the ending of this book snuck up on me quickly and left me hungry for more. Thankfully, a sequel is on the way at the end of the summer, which gives me plenty of time to theorize how the story of Harper, Christopher, and Sutton will ultimately play itself out. It’s clear that some of the secondary characters in this book likely have novels of their own, but Survival of the Richest is easily read as a stand alone novel. The chemistry between Harper and her love interests runs the spectrum of loving and intimate to primal and possessive. If you’re in the mood for a passionate read with a fair dose of angst, Survival of the Richest is great choice.Merged :This was the first time I read one of Skye’s novels, and if I’m being completely honest Survival of the Richest isn’t normally the type of read I seek out. But there’s never anything wrong with pushing past comfort zones and usual routines, and this novel delivered from the first chapter.Survival of the Richest centers on Harper St. Claire, a girl emotionally older than her years and on the verge of transforming into a woman. Initially, I wondered if her teenage voice was too mature for the character in the story, but my concerns soon faded. Harper’s life could easily be compared to a prime-time soap – family wealth, high society, and over the top drama. She bounces between the households of her divorced parents and endures a revolving door of subsequent step-mothers, step-fathers, and step-siblings. By the time she is introduced to current step-mother, Louise, and step-brother Christopher Bardot, her policy regarding their new relationship is deeply rooted – “I don’t want to mess with them. They’ll be gone next year.”In this case, Harper is only partly correct. While Louise quickly fades from her father’s world, Christopher holds on. Over the course of several years, a long-distance friendship and bond builds between the two former step-siblings, but despite Harper’s growing attraction and greatest wishes where Christopher is concerned, they are kept apart by one obstacle after another. Christopher comes from humble beginnings and his ambition and his acumen for business drive him to become a self-made millionaire, earning the respect of Harper’s father. From the first time me meets Harper, Christopher is compelled to protect her at all costs and when Harper’s father burdens him with a life-altering responsibility, the job at hand threatens their chances at a future together.But just when things couldn’t seem any more complicated, Harper is introduced to Christopher’s business partner, Sutton Mayfair. In looks and personality, Sutton is everything that Christopher is not. Despite pining after Christopher for years, Harper notices and appreciates the differences between the two men, and Sutton is immediately attracted to her. He sees things in Harper that she wishes Christopher could acknowledge. What quickly develops is an intense love triangle that made Survival of the Richest unputdownable. I was desperate for Harper to choose the man who was best for her. I bounced back and forth between Christopher and Sutton, wondering if there was one clear choice over another and even questioning at times if she should walk away from both men altogether. I won’t lie, the ending of this book snuck up on me quickly and left me hungry for more. Thankfully, a sequel is on the way at the end of the summer, which gives me plenty of time to theorize how the story of Harper, Christopher, and Sutton will ultimately play itself out. It’s clear that some of the secondary characters in this book likely have novels of their own, but Survival of the Richest is easily read as a stand alone novel. The chemistry between Harper and her love interests runs the spectrum of loving and intimate to primal and possessive. If you’re in the mood for a passionate read with a fair dose of angst, Survival of the Richest is great choice....more",Notes are private!,0,0,2,"Jun 07, 2018not set","Jun 10, 2018not set","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/210704384-survival-of-the-richest
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Boy Erased: A Memoir of Identity, Faith, and Family","Conley, Garrard*",0735213461,9780735213463,0735213461,340        pp,3.62,"20,155","May 10, 2016","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/33358204-boy-erased
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the World Beside,"Conley, Garrard*",0525537333,9780525537335,0525537333,352        pp,4.05,104,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/181350347-all-the-world-beside
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bittersweet        (True North, #1)","Bowen, Sarina*",1950155714,9781950155712,1950155714,330        pp,4.03,"22,231","Jun 14, 2016","Jan 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/206043009-bittersweet
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five Year Lie,"Bowen, Sarina*",0063280604,9780063280601,0063280604,432        pp,4.15,210,"May 14, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/195853534-the-five-year-lie
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heartless        (Chestnut Springs, #2)","Silver, Elsie*",172829701X,9781728297019,172829701X,432        pp,4.39,"200,618","Oct 14, 2022","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2023",,Paperback,view,/book/show/125460757-heartless
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rules of Dating My One-Night Stand,"Ward, Penelope*",1959827138,9781959827139,1959827138,337        pp,4.20,"3,512","Nov 12, 2023","Nov 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 19, 2023",,Paperback,view,/book/show/150210774-the-rules-of-dating-my-one-night-stand
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Graham Effect        (Campus Diaries #1),"Kennedy, Elle*",1728283272,9781728283272,1728283272,496        pp,4.24,"103,333","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2023",,Paperback,view,/book/show/123233861-the-graham-effect
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sterling Heat        (Sterling Falls, #1)","Dunbar, L.B.*",,,B0BY178SLV,365        pp,4.35,"1,475",unknown,"Sep 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Kindle Edition,view,/book/show/123214250-sterling-heat
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,36 Pearl Street,"Krupa, T.S.*",,,B0CBYNCJL1,393        pp,4.26,27,unknown,"Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Kindle Edition,view,/book/show/190842891-36-pearl-street
