,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Milly *:･ﾟ✧'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day,"Nicholls, David",0340896965,9780340896969,0340896965,435        pp,3.83,"341,398","Jun 11, 2009","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/6280118-one-day
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,820","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/139400713-martyr
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Sisters,"Mellors, Coco*",0593723767,9780593723760,0593723767,352        pp,4.39,347,"Apr 25, 2024","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/195430687-blue-sisters
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,596","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/194802722-funny-story
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If He Had Been with Me,"Nowlin, Laura*",1402277822,9781402277825,1402277822,336        pp,3.83,"310,936","Apr 01, 2013","Apr 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Paperback,view,/book/show/15835031-if-he-had-been-with-me
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,957","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/63133205-the-woman-in-me
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Flawless        (Chestnut Springs, #1)","Silver, Elsie*",,,B09VV2CR51,424        pp,4.09,"232,781","Jun 24, 2022","Jun 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2023",,Kindle Edition,view,/book/show/60755618-flawless
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things We Left Behind        (Knockemout, #3)","Score, Lucy*",,9798886439298,B0BVNZD4FY,592        pp,4.44,"234,836","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/116536542-things-we-left-behind
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things We Hide From the Light        (Knockemout, #2)","Score, Lucy*",172827611X,9781728276113,172827611X,592        pp,4.07,"335,483","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Paperback,view,/book/show/62024808-things-we-hide-from-the-light
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Best Laid Plans        (The Best Men, #1)","Sorensen, Karla*",1662514409,9781662514401,B0C3JYNSQW,359        pp,4.10,"4,285",unknown,"Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Kindle Edition,view,/book/show/141236991-the-best-laid-plans
