,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Julie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,340","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Steel Wave        (World War II: 1939-1945, #2)","Shaara, Jeff",0345461428,9780345461421,0345461428,493        pp,4.28,"7,388","May 13, 2008","May 13, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 05, 2023","Dec 17, 2023","Nov 05, 2023",,Hardcover,view,/book/show/2047408.The_Steel_Wave
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,541","Apr 18, 2023","Apr 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,"Mar 19, 2024","Nov 03, 2023",,Hardcover,view,/book/show/61714633-the-wager
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A World of Curiosities        (Chief Inspector Armand Gamache, #18)","Penny, Louise*",1250145295,9781250145291,1250145295,390        pp,4.47,"62,932","Nov 29, 2022","Nov 29, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 25, 2023","Nov 02, 2023","Oct 25, 2023",,Hardcover,view,/book/show/60899502-a-world-of-curiosities
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Lincoln's Rival,"Chiaverini, Jennifer*",0525954287,9780525954286,0525954287,419        pp,3.47,"3,801","Jan 01, 2014","Jan 14, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 18, 2023",,Hardcover,view,/book/show/18079837-mrs-lincoln-s-rival
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Quilter's Apprentice        (Elm Creek Quilts, #1)","Chiaverini, Jennifer*",0452281725,9780452281721,0452281725,272        pp,3.95,"15,635","Apr 06, 1999","Apr 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 18, 2023",,Paperback,view,/book/show/148874.The_Quilter_s_Apprentice
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maisie Dobbs        (Maisie Dobbs, #1)","Winspear, Jacqueline*",0142004332,9780142004333,0142004332,292        pp,3.92,"110,742","Jul 01, 2003","May 25, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 18, 2023",,Paperback,view,/book/show/462033.Maisie_Dobbs
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder Offstage        (Posie Parker Mystery, #1)","Hathaway, L.B.*",0992925401,,B00LDWEXDO,278        pp,3.84,"4,352","Jun 28, 2014","Jun 28, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 18, 2023",,Kindle Edition,view,/book/show/23001667-murder-offstage
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Madness of Crowds        (Chief Inspector Armand Gamache, #17)","Penny, Louise*",1250145260,9781250145260,1250145260,436        pp,4.19,"66,877","Aug 24, 2021","Aug 24, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 15, 2023","Oct 24, 2023","Oct 15, 2023",,Hardcover,view,/book/show/56269078-the-madness-of-crowds
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,696","Dec 06, 2015","Sep 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,Paperback,view,/book/show/44421460-before-the-coffee-gets-cold
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Darker,"Feeney, Alice*",1250843936,9781250843937,1250843936,338        pp,3.77,"174,914","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,Hardcover,view,/book/show/59808050-daisy-darker
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night She Disappeared,"Jewell, Lisa*",1982137363,9781982137366,1982137363,416        pp,4.12,"224,462","Jul 22, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 08, 2023",,Hardcover,view,/book/show/55922299-the-night-she-disappeared
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nightingale,"Hannah, Kristin*",0312577222,9780312577223,0312577222,440        pp,4.62,"1,358,290","Oct 08, 2015","Feb 03, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Hardcover,view,/book/show/21853621-the-nightingale
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vagabonds: The Story of Henry Ford and Thomas Edison's Ten-Year Road Trip,"Guinn, Jeff",1501159305,9781501159305,1501159305,307        pp,3.75,722,"Jul 09, 2019","Jul 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Hardcover,view,/book/show/42201398-the-vagabonds
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Devils Are Here        (Chief Inspector Armand Gamache, #16)","Penny, Louise*",1250145236,9781250145239,1250145236,439        pp,4.43,"69,696","Sep 01, 2020","Sep 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 20, 2023","Sep 20, 2023","Sep 20, 2023",,Hardcover,view,/book/show/49127539-all-the-devils-are-here
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,311        pp,4.21,"671,501",Apr 1966,"May 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,not setnot set,"Aug 23, 2023",,Paperback,view,/book/show/18373.Flowers_for_Algernon
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sea of Monsters        (Percy Jackson and the Olympians, #2)","Riordan, Rick*",0786856866,9780786856862,,279        pp,4.24,"1,172,634","Apr 01, 2006","Apr 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 04, 2023","Aug 04, 2023","Aug 04, 2023",,Hardcover,view,/book/show/28186.The_Sea_of_Monsters
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,"Bird, Kai*",,,,721        pp,4.31,"42,648","Apr 05, 2005","Dec 18, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 09, 2023","Jul 28, 2023","Jul 09, 2023",,Paperback,view,/book/show/80571.American_Prometheus
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Better Man        (Chief Inspector Armand Gamache, #15)","Penny, Louise*",1250066212,9781250066213,1250066212,437        pp,4.30,"62,706","Aug 27, 2019","Aug 27, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jun 23, 2023not set","Jun 23, 2023not set","Jun 23, 2023",,Hardcover,view,/book/show/44034500-a-better-man
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0385534256,9780385534253,,359        pp,4.15,"340,197","Apr 18, 2017","Apr 18, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2023","Jan 04, 2024","Jun 21, 2023",,ebook,view,/book/show/29496076-killers-of-the-flower-moon
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things That Matter: Three Decades of Passions, Pastimes and Politics","Krauthammer, Charles",0385349173,9780385349178,,388        pp,4.22,"9,128","Oct 22, 2013","Oct 22, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 11, 2023","Jul 06, 2023","May 11, 2023",,Hardcover,view,/book/show/17345217-things-that-matter
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm and Related Readings,"Orwell, George",0395796776,9780395796771,0395796776,182        pp,3.89,"1,715",unknown,1997,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 05, 2023","May 11, 2023","May 05, 2023",,Hardcover,view,/book/show/3341119-animal-farm-and-related-readings
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kingdom of the Blind        (Chief Inspector Armand Gamache, #14)","Penny, Louise*",1250066204,9781250066206,1250066204,389        pp,4.33,"62,181","Nov 27, 2018","Nov 27, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 16, 2023","May 05, 2023","Apr 16, 2023",,Hardcover,view,/book/show/38232379-kingdom-of-the-blind
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wine and War: The French, the Nazis, and the Battle for France's Greatest Treasure","Kladstrup, Don",0767904486,9780767904483,0767904486,290        pp,4.03,"5,038","May 15, 2001","Apr 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2023",,Paperback,view,/book/show/356296.Wine_and_War
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of a Certain Age,"Raybourn, Deanna*",0593200683,9780593200681,0593200683,368        pp,3.86,"87,927","Sep 06, 2022","Sep 06, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 21, 2023","Oct 15, 2023","Feb 03, 2023",,Hardcover,view,/book/show/60149532-killers-of-a-certain-age
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Forest of Vanishing Stars,"Harmel, Kristin*",198215893X,9781982158934,198215893X,376        pp,4.26,"70,647","Jul 06, 2021","Jul 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2023",,Hardcover,view,/book/show/55711683-the-forest-of-vanishing-stars
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Glass Houses        (Chief Inspector Armand Gamache, #13)","Penny, Louise*",1250066190,9781250066190,1250066190,391        pp,4.32,"69,325","Aug 29, 2017","Aug 29, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 31, 2023","Feb 23, 2023","Jan 31, 2023",,Hardcover,view,/book/show/33602101-glass-houses
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Great Reckoning        (Chief Inspector Armand Gamache, #12)","Penny, Louise*",1250022134,9781250022134,1250022134,389        pp,4.43,"71,879","Aug 30, 2016","Aug 30, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 16, 2023","Jan 31, 2023","Jan 16, 2023",,Hardcover,view,/book/show/28220985-a-great-reckoning
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Maid        (Molly the Maid, #1)","Prose, Nita*",,,,304        pp,3.78,"539,001","Jan 04, 2022","Jan 04, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 08, 2023","Jan 16, 2023","Jan 08, 2023",,Hardcover,view,/book/show/55196813-the-maid
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Noel,"Evans, Richard Paul",0743287037,9780743287036,0743287037,304        pp,4.15,"9,409","Jan 01, 2006","Oct 03, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2023","Jan 05, 2023","Jan 02, 2023",,Hardcover,view,/book/show/156463.Finding_Noel
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the Last Man: A Novel of the First World War,"Shaara, Jeff",0345461363,9780345461360,0345461363,636        pp,4.25,"7,200","Jan 01, 2004","Aug 30, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 21, 2022","Dec 30, 2022","Dec 21, 2022",,Paperback,view,/book/show/26175.To_the_Last_Man
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Nature of the Beast        (Chief Inspector Armand Gamache, #11)","Penny, Louise*",1250022088,9781250022080,1250022088,376        pp,4.24,"63,885",2015,"Aug 25, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 18, 2022","Dec 18, 2022","Dec 18, 2022",,Hardcover,view,/book/show/24586590-the-nature-of-the-beast
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Long Way Home        (Chief Inspector Armand Gamache, #10)","Penny, Louise*",1250022061,9781250022066,1250022061,373        pp,4.07,"68,403","Aug 26, 2014","Aug 26, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 22, 2022","Nov 04, 2022","Oct 22, 2022",,Hardcover,view,/book/show/19561922-the-long-way-home
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outliers: The Story of Success,"Gladwell, Malcolm",0316017922,9780316017923,0316017922,309        pp,4.19,"786,140","Nov 18, 2008","Nov 18, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 10, 2022","Oct 21, 2022","Oct 10, 2022",,Hardcover,view,/book/show/3228917-outliers
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How the Light Gets In        (Chief Inspector Armand Gamache, #9)","Penny, Louise*",0312655479,9780312655471,0312655479,405        pp,4.47,"85,070","Aug 27, 2013","Sep 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 26, 2022","Oct 10, 2022","Sep 26, 2022",,Hardcover,view,/book/show/17167084-how-the-light-gets-in
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Indemnity Only        (V.I. Warshawski, #1)","Paretsky, Sara*",0440210690,9780440210696,0440210690,323        pp,3.90,"18,383",1982,"Jun 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 12, 2022",,Mass Market Paperback,view,/book/show/643988.Indemnity_Only
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Beautiful Mystery        (Chief Inspector Armand Gamache, #8)","Penny, Louise*",1250031125,9781250031129,1250031125,373        pp,4.20,"79,099","Aug 28, 2012","Jul 02, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 06, 2022","Sep 17, 2022","Sep 06, 2022",,Paperback,view,/book/show/16045144-the-beautiful-mystery
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Raised in Captivity: Fictional Nonfiction,"Klosterman, Chuck",0735217920,9780735217928,0735217920,320        pp,3.59,"3,511","Jul 16, 2019","Jul 16, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Sep 2022,"Sep 05, 2022","Sep 01, 2022",,Hardcover,view,/book/show/42585299-raised-in-captivity
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shark Handbook: The Essential Guide for Understanding the Sharks of the World,"Skomal, Gregory*",1604330074,9781604330076,1604330074,280        pp,4.34,104,"Jul 01, 2008","Jul 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 14, 2022","Aug 16, 2022","Aug 14, 2022",,Paperback,view,/book/show/3039520-the-shark-handbook
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Slow Fire Burning,"Hawkins, Paula*",073521123X,9780735211230,073521123X,307        pp,3.50,"154,761","Aug 24, 2021","Aug 31, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 14, 2022","Aug 14, 2022","Aug 14, 2022",,Hardcover,view,/book/show/56213354-a-slow-fire-burning
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pentagon: A History,"Vogel, Steve*",,9798200279630,B08ZD4MR3W,unknown,4.75,4,unknown,"Mar 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 27, 2022",,Audio CD,view,/book/show/59775200-the-pentagon
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batman: The Long Halloween,"Loeb, Jeph",1401232590,9781401232597,1401232590,384        pp,4.33,"100,479","Nov 30, 1997","Oct 11, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jul 2022,Jul 2022,"Jul 01, 2022",,Paperback,view,/book/show/10862724-batman
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Trick of the Light        (Chief Inspector Armand Gamache, #7)","Penny, Louise*",0312655452,9780312655457,0312655452,339        pp,4.31,"77,387","Aug 30, 2011","Aug 30, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 05, 2022","Jun 22, 2022","Jun 05, 2022",,Hardcover,view,/book/show/10680329-a-trick-of-the-light
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Klosterman, Chuck",0743236017,9780743236010,B003RCJPGI,272        pp,3.74,"71,119","Jul 20, 2003","Jun 22, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 29, 2022","May 29, 2022","May 29, 2022",,Paperback,view,/book/show/599.Sex_Drugs_and_Cocoa_Puffs
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bury Your Dead        (Chief Inspector Armand Gamache #6),"Penny, Louise*",0312626908,9780312626907,0312626908,371        pp,4.36,"85,698","Sep 28, 2010","Aug 02, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 24, 2022","Apr 24, 2022","Apr 24, 2022",,Paperback,view,/book/show/10391873-bury-your-dead
